method,block,target_step,branch,horizon,relative_l2,error_sq,target_sq,sample_count,row_count,mean_runtime_macs,mean_observable_macs
broyden4,21,4,0,2,0.7939763100676973,9990890.242093466,15848534.10799962,4,4,263577600,0
broyden4,21,4,0,3,1.8680343790307286,55304290.88665688,15848534.10799962,4,4,251596800,0
broyden4,21,4,1,1,0.49899795751837367,3920511.445471731,15745091.54641192,4,4,179712000,0
broyden4,21,4,1,2,0.7993165724063473,10059648.935771266,15745091.54641192,4,4,263577600,0
broyden4,21,4,1,3,1.7709220657234155,49379204.444976114,15745091.54641192,4,4,251596800,0
broyden4,21,6,0,1,0.30852676459792555,1433088.3249885016,15055225.613218475,4,4,227635200,0
broyden4,21,6,0,2,0.5118504690110344,3944332.1476574657,15055225.613218475,4,4,455270400,0
broyden4,21,6,0,3,0.7272002848600506,7961508.237334177,15055225.613218475,4,4,539136000,0
broyden4,21,6,1,1,0.33892603773345503,1713335.3511232783,14915317.646595946,4,4,227635200,0
broyden4,21,6,1,2,0.573121655272984,4899210.996323754,14915317.646595946,4,4,455270400,0
broyden4,21,6,1,3,0.7785221478774025,9040125.323146736,14915317.646595946,4,4,539136000,0
broyden4,22,4,0,1,0.5309060064421062,312572.9963624839,1108960.75809291,4,4,179712000,0
broyden4,22,4,0,2,0.8198809464773841,745448.7073368976,1108960.75809291,4,4,263577600,0
broyden4,22,4,0,3,1.1120932143241213,1371508.678456155,1108960.75809291,4,4,251596800,0
broyden4,22,4,1,1,0.52692908032242,300596.95497738535,1082630.4615104347,4,4,179712000,0
broyden4,22,4,1,2,0.7313761404099027,579111.006413333,1082630.4615104347,4,4,263577600,0
broyden4,22,4,1,3,0.9423887075063566,961480.2977161057,1082630.4615104347,4,4,251596800,0
broyden4,22,6,0,1,0.37602869401409417,167394.33998232044,1183855.773877834,4,4,227635200,0
broyden4,22,6,0,2,0.6008270687356345,427363.8445216022,1183855.773877834,4,4,455270400,0
broyden4,22,6,0,3,0.8177218590802835,791607.7024176936,1183855.773877834,4,4,539136000,0
broyden4,22,6,1,1,0.4256574592454994,216825.87934083404,1196714.6828795476,4,4,227635200,0
broyden4,22,6,1,2,0.6008713738850207,432069.537600036,1196714.6828795476,4,4,455270400,0
broyden4,22,6,1,3,0.7431636107807792,660936.1280027365,1196714.6828795476,4,4,539136000,0
broyden4,23,4,0,1,0.6236638775579406,483668.6821883227,1243502.8540050033,4,4,179712000,0
broyden4,23,4,0,2,1.0621550435337974,1402886.763755423,1243502.8540050033,4,4,263577600,0
broyden4,23,4,0,3,1.7674709533500925,3884645.1812383924,1243502.8540050033,4,4,251596800,0
broyden4,23,4,1,1,0.5754377840913183,364241.7024220356,1100000.588067871,4,4,179712000,0
broyden4,23,4,1,2,0.8983106638133467,887658.728141307,1100000.588067871,4,4,263577600,0
broyden4,23,4,1,3,1.4134651212220035,2197673.1886934307,1100000.588067871,4,4,251596800,0
broyden4,23,6,0,1,0.42642273349815185,188173.9627055012,1034853.4005636317,4,4,227635200,0
broyden4,23,6,0,2,0.7573404697280945,593555.2633908619,1034853.4005636317,4,4,455270400,0
