method,block,target_step,branch,horizon,relative_l2,error_sq,target_sq,sample_count,row_count,mean_runtime_macs,mean_observable_macs
ar2,22,4,0,3,0.9571781343109798,1016018.7356684769,1108960.75809291,4,4,107827200,0
ar2,22,4,1,1,0.6628513642973299,475677.4365965558,1082630.4615104347,4,4,35942400,0
ar2,22,4,1,2,0.8634498816287627,807150.4831945844,1082630.4615104347,4,4,71884800,0
ar2,22,4,1,3,0.969805431789626,1018238.390005579,1082630.4615104347,4,4,107827200,0
ar2,22,6,0,1,0.4720978518707697,263853.4913850774,1183855.773877834,4,4,35942400,0
ar2,22,6,0,2,0.713530089003355,602730.7933376029,1183855.773877834,4,4,71884800,0
ar2,22,6,0,3,0.8816209423558042,920158.3948797199,1183855.773877834,4,4,107827200,0
ar2,22,6,1,1,0.5304892694484283,336778.08778471017,1196714.6828795476,4,4,35942400,0
ar2,22,6,1,2,0.7454044445744153,664927.929711635,1196714.6828795476,4,4,71884800,0
ar2,22,6,1,3,0.8735778078281194,913258.672646919,1196714.6828795476,4,4,107827200,0
ar2,23,4,0,1,0.5993114014188363,446634.08790994086,1243502.8540050033,4,4,35942400,0
ar2,23,4,0,2,0.7704656570516304,738164.8424203028,1243502.8540050033,4,4,71884800,0
ar2,23,4,0,3,0.8745480628109787,951073.6525069221,1243502.8540050033,4,4,107827200,0
ar2,23,4,1,1,0.6627728909908664,483194.9538549717,1100000.588067871,4,4,35942400,0
ar2,23,4,1,2,0.8323084432148795,762011.4864880295,1100000.588067871,4,4,71884800,0
ar2,23,4,1,3,0.9569970116666978,1007428.1469508968,1100000.588067871,4,4,107827200,0
ar2,23,6,0,1,0.4893933561564324,247853.45062315825,1034853.4005636317,4,4,35942400,0
ar2,23,6,0,2,0.6982672413303923,504570.86169223045,1034853.4005636317,4,4,71884800,0
ar2,23,6,0,3,0.8574862006619608,760909.6827646499,1034853.4005636317,4,4,107827200,0
ar2,23,6,1,1,0.5792501608202599,346415.4350672603,1032440.2049456197,4,4,35942400,0
ar2,23,6,1,2,0.7720716630542044,615432.0855980662,1032440.2049456197,4,4,71884800,0
ar2,23,6,1,3,0.8806691494342256,800738.0649273703,1032440.2049456197,4,4,107827200,0
ar2,24,4,0,1,0.507950515759105,1184446.4283576605,4590633.39229573,4,4,35942400,0
ar2,24,4,0,2,0.6480709674424621,1928047.5651011383,4590633.39229573,4,4,71884800,0
ar2,24,4,0,3,0.7364250056672382,2489600.513824384,4590633.39229573,4,4,107827200,0
ar2,24,4,1,1,0.576821908589108,1330149.8590372377,3997763.314450399,4,4,35942400,0
ar2,24,4,1,2,0.7336790745850099,2151935.9636893035,3997763.314450399,4,4,71884800,0
ar2,24,4,1,3,0.8061140675885141,2597826.1170986723,3997763.314450399,4,4,107827200,0
ar2,24,6,0,1,0.41665636111060167,641729.3379574865,3696543.8400848024,4,4,35942400,0
ar2,24,6,0,2,0.5983096887077318,1323268.3722648215,3696543.8400848024,4,4,71884800,0
ar2,24,6,0,3,0.7045138462346839,1834741.680703407,3696543.8400848024,4,4,107827200,0
ar2,24,6,1,1,0.4707020859714561,778558.7060990185,3513978.6589356894,4,4,35942400,0
ar2,24,6,1,2,0.68649828433882,1656067.4913075692,3513978.6589356894,4,4,71884800,0
ar2,24,6,1,3,0.7902831657076193,2194646.523243031,3513978.6589356894,4,4,107827200,0
ar2,25,4,0,1,0.498623634009648,1087692.2024151767,4374821.079096621,4,4,35942400,0
ar2,25,4,0,2,0.7035097891635981,2165212.7999781985,4374821.079096621,4,4,71884800,0
ar2,25,4,0,3,0.8785735382194327,3376887.03899223,4374821.079096621,4,4,107827200,0
ar2,25,4,1,1,0.5320242190724346,1274956.924470374,4504355.986275547,4,4,35942400,0
ar2,25,4,1,2,0.7216642717021344,2345865.5394259887,4504355.986275547,4,4,71884800,0
ar2,25,4,1,3,0.8574515841245035,3311707.108281232,4504355.986275547,4,4,107827200,0
ar2,25,6,0,1,0.3696075299069812,642211.0446497507,4701063.845769359,4,4,35942400,0
ar2,25,6,0,2,0.578369761383876,1572560.2988813599,4701063.845769359,4,4,71884800,0
ar2,25,6,0,3,0.7216642979675504,2448311.0373114026,4701063.845769359,4,4,107827200,0
ar2,25,6,1,1,0.3888032447275926,705247.1676413363,4665321.6272079125,4,4,35942400,0
ar2,25,6,1,2,0.605720038711828,1711691.414092992,4665321.6272079125,4,4,71884800,0
ar2,25,6,1,3,0.7347210651773317,2518410.7976707015,4665321.6272079125,4,4,107827200,0
ar2,26,4,0,1,0.24883101021781326,148714.48060461893,2401840.9950494375,4,4,35942400,0
ar2,26,4,0,2,0.38461808978850737,355306.920358864,2401840.9950494375,4,4,71884800,0
ar2,26,4,0,3,0.4986979174931016,597336.9257448632,2401840.9950494375,4,4,107827200,0
ar2,26,4,1,1,0.30825448414692275,224499.0761029356,2362630.2064363915,4,4,35942400,0
ar2,26,4,1,2,0.4194288467107002,415635.2229717472,2362630.2064363915,4,4,71884800,0
ar2,26,4,1,3,0.5332195296317149,671750.2659626359,2362630.2064363915,4,4,107827200,0
ar2,26,6,0,1,0.18339937223978864,80700.52656848652,2399278.5918027544,4,4,35942400,0
