cell,family,density_target,rank,aggregate_output_relative_l2,worst_record_output_relative_l2
layer14_step00_early,hierarchical32,0.25,8,0.03813468576262421,0.0860914305401795
layer14_step00_early,hierarchical32,0.25,16,0.0211740441273526,0.052802489109496774
layer14_step00_early,hierarchical32,0.25,32,0.008686651664500455,0.023614091381514733
layer14_step00_early,motion_warp8x8,0.125,0,0.44251375610028465,0.7998649242933359
layer14_step00_early,motion_warp8x8,0.125,4,0.1431925512218518,0.23403875352550724
layer14_step00_early,motion_warp8x8,0.125,8,0.09840098456020191,0.17230362966332882
layer14_step00_early,motion_warp8x8,0.125,16,0.05768805353704563,0.11348575410202796
layer14_step00_early,motion_warp8x8,0.125,32,0.024138909697620812,0.052335802169640774
layer14_step00_early,motion_warp8x8,0.25,0,0.32157833300704913,0.6375405296883893
layer14_step00_early,motion_warp8x8,0.25,4,0.09814645421255316,0.18002249753549712
layer14_step00_early,motion_warp8x8,0.25,8,0.06589685109043522,0.11693464409453694
layer14_step00_early,motion_warp8x8,0.25,16,0.03761629615617379,0.07385308009447056
layer14_step00_early,motion_warp8x8,0.25,32,0.015267259342886452,0.03456798273233957
layer14_step00_early,shifted32,0.125,0,0.27727864633814464,0.6914313839526058
layer14_step00_early,shifted32,0.125,4,0.08795025941339558,0.18070311816516246
layer14_step00_early,shifted32,0.125,8,0.05895338180598196,0.12878202299165908
layer14_step00_early,shifted32,0.125,16,0.033708800280217076,0.08016806784645125
layer14_step00_early,shifted32,0.125,32,0.014275945762751143,0.03518017750428108
layer14_step00_early,shifted32,0.25,0,0.1856388040789897,0.4244135638417148
layer14_step00_early,shifted32,0.25,4,0.05777878986556259,0.12662069130522852
layer14_step00_early,shifted32,0.25,8,0.03818124180362384,0.08616086179541446
layer14_step00_early,shifted32,0.25,16,0.021292129896721343,0.052396808014064385
layer14_step00_early,shifted32,0.25,32,0.008728009140122417,0.024420876700404333
layer14_step00_early,shifted64,0.125,0,0.27338527726521594,0.7253097257264781
layer14_step00_early,shifted64,0.125,4,0.08435684760827877,0.1680029823408103
layer14_step00_early,shifted64,0.125,8,0.05632827141295594,0.12000830668680956
layer14_step00_early,shifted64,0.125,16,0.0322135730663525,0.07397020690619963
layer14_step00_early,shifted64,0.125,32,0.01359577870177298,0.033147210427265816
layer14_step00_early,shifted64,0.25,0,0.18717119992591172,0.4650885699730354
layer14_step00_early,shifted64,0.25,4,0.05708040562080838,0.12491660449054323
layer14_step00_early,shifted64,0.25,8,0.03754217588690473,0.0867529326221649
layer14_step00_early,shifted64,0.25,16,0.0208378627769289,0.05178466142616684
layer14_step00_early,shifted64,0.25,32,0.00846726830066078,0.023510151604707426
layer14_step00_early,support_family_oracle,0.125,0,0.2642161858630607,0.6366152758396223
layer14_step00_early,support_family_oracle,0.125,4,0.08270026007818385,0.1680029823408103
layer14_step00_early,support_family_oracle,0.125,8,0.0553924588501653,0.12000830668680956
layer14_step00_early,support_family_oracle,0.125,16,0.031680679264749156,0.07397020690619963
layer14_step00_early,support_family_oracle,0.125,32,0.013449003860270708,0.033147210427265816
layer14_step00_early,support_family_oracle,0.25,0,0.1822670080924052,0.4245201210037627
layer14_step00_early,support_family_oracle,0.25,4,0.056009316471453414,0.12491660449054323
layer14_step00_early,support_family_oracle,0.25,8,0.03678505296139691,0.08529584416912118
layer14_step00_early,support_family_oracle,0.25,16,0.020436557579313615,0.05109557534344714
layer14_step00_early,support_family_oracle,0.25,32,0.008353922763195475,0.022912771312684932
layer14_step00_early,thw8x8,0.125,0,0.2837414243800788,0.625637372962564
layer14_step00_early,thw8x8,0.125,4,0.09095412283751936,0.1954206316002916
layer14_step00_early,thw8x8,0.125,8,0.06165719571866487,0.1343879270965222
layer14_step00_early,thw8x8,0.125,16,0.03563734684101721,0.08070145908332477
layer14_step00_early,thw8x8,0.125,32,0.015087525123526149,0.03659752316983154
layer14_step00_early,thw8x8,0.25,0,0.20059569920168593,0.43807241305556355
layer14_step00_early,thw8x8,0.25,4,0.06171425563682281,0.14615360727604082
layer14_step00_early,thw8x8,0.25,8,0.04133615691485594,0.09745853661706286
layer14_step00_early,thw8x8,0.25,16,0.023383309694872297,0.056814840741450726
layer14_step00_early,thw8x8,0.25,32,0.009615289616233974,0.02582245758107503
layer14_step09_middle,fixed64,0.125,0,0.16861911526181012,0.5602560520938592
layer14_step09_middle,fixed64,0.125,4,0.07668958544048872,0.21956787525070412
layer14_step09_middle,fixed64,0.125,8,0.0564201028730834,0.1771102186630918
layer14_step09_middle,fixed64,0.125,16,0.035563445746816864,0.1243778997858684
layer14_step09_middle,fixed64,0.125,32,0.01620445901625599,0.06640856617160827
layer14_step09_middle,fixed64,0.25,0,0.10294104171608356,0.35427041377536256
layer14_step09_middle,fixed64,0.25,4,0.04124698734143231,0.12127975882388119
layer14_step09_middle,fixed64,0.25,8,0.029133898262410373,0.08337671105538702
layer14_step09_middle,fixed64,0.25,16,0.017398680813157295,0.05312202513963924
layer14_step09_middle,fixed64,0.25,32,0.007382251023950022,0.027174315060984753
layer14_step09_middle,hierarchical32,0.125,0,0.16084318447983348,0.5493678586152593
layer14_step09_middle,hierarchical32,0.125,4,0.07181592333134296,0.19631717537081528
layer14_step09_middle,hierarchical32,0.125,8,0.0527503842704992,0.15745743493668796
layer14_step09_middle,hierarchical32,0.125,16,0.03306869389140259,0.1101537910597206
layer14_step09_middle,hierarchical32,0.125,32,0.014984929202134654,0.057828343998900064
layer14_step09_middle,hierarchical32,0.25,0,0.09562413922332588,0.3359508344720223
layer14_step09_middle,hierarchical32,0.25,4,0.03784569785206146,0.12670385938486084
layer14_step09_middle,hierarchical32,0.25,8,0.02669304389295679,0.07940564502044899
layer14_step09_middle,hierarchical32,0.25,16,0.01595945454954696,0.04648072677724993
layer14_step09_middle,hierarchical32,0.25,32,0.0067817671079553965,0.02329838207412709
layer14_step09_middle,motion_warp8x8,0.125,0,0.34081490383931207,0.7129488908342346
layer14_step09_middle,motion_warp8x8,0.125,4,0.16522463305178836,0.28023101900686503
layer14_step09_middle,motion_warp8x8,0.125,8,0.12164813410836219,0.2297764523076914
layer14_step09_middle,motion_warp8x8,0.125,16,0.07661991003977073,0.16817242721271325
layer14_step09_middle,motion_warp8x8,0.125,32,0.033816100111966826,0.09086188251236375
layer14_step09_middle,motion_warp8x8,0.25,0,0.19992901446240455,0.5146918260353538
layer14_step09_middle,motion_warp8x8,0.25,4,0.08329817851804469,0.16540625123791125
layer14_step09_middle,motion_warp8x8,0.25,8,0.05945593322614799,0.1218429589763179
layer14_step09_middle,motion_warp8x8,0.25,16,0.03569285209831813,0.08490907382586624
layer14_step09_middle,motion_warp8x8,0.25,32,0.015309720846270778,0.04292724949186985
layer14_step09_middle,shifted32,0.125,0,0.1610748584038005,0.5356077185762139
layer14_step09_middle,shifted32,0.125,4,0.07212270583476744,0.20068616526112842
layer14_step09_middle,shifted32,0.125,8,0.05289227087438727,0.16057817780177533
layer14_step09_middle,shifted32,0.125,16,0.03317306198891907,0.11222731400074146
layer14_step09_middle,shifted32,0.125,32,0.015061313190149408,0.05958612144937937
layer14_step09_middle,shifted32,0.25,0,0.096064111478623,0.33752459243431665
layer14_step09_middle,shifted32,0.25,4,0.038057676069071754,0.1247065358974175
layer14_step09_middle,shifted32,0.25,8,0.026835690601325072,0.08019546529080807
layer14_step09_middle,shifted32,0.25,16,0.016028591214185213,0.04754618232087214
layer14_step09_middle,shifted32,0.25,32,0.006824385519020623,0.023647818304656208
layer14_step09_middle,shifted64,0.125,0,0.1686437718821031,0.5659031655669876
layer14_step09_middle,shifted64,0.125,4,0.07702490363089112,0.2192151261935307
layer14_step09_middle,shifted64,0.125,8,0.05666170958884485,0.1758352088712177
layer14_step09_middle,shifted64,0.125,16,0.03570066109970614,0.1254108404130693
layer14_step09_middle,shifted64,0.125,32,0.01629910568786387,0.06822275397852123
layer14_step09_middle,shifted64,0.25,0,0.10293951350898828,0.35235207228125837
layer14_step09_middle,shifted64,0.25,4,0.04131880522439059,0.121781025255879
layer14_step09_middle,shifted64,0.25,8,0.0291575306423855,0.07924791457168572
layer14_step09_middle,shifted64,0.25,16,0.017434193892219986,0.052312786189764926
layer14_step09_middle,shifted64,0.25,32,0.007432788738749993,0.027390008639681267
layer14_step09_middle,support_family_oracle,0.125,0,0.16067401863541292,0.5493678586152593
layer14_step09_middle,support_family_oracle,0.125,4,0.07129778260706136,0.19631717537081528
layer14_step09_middle,support_family_oracle,0.125,8,0.05215227412031962,0.15745743493668796
layer14_step09_middle,support_family_oracle,0.125,16,0.03263974877408317,0.1101537910597206
layer14_step09_middle,support_family_oracle,0.125,32,0.014875049760132349,0.057828343998900064
layer14_step09_middle,support_family_oracle,0.25,0,0.09569236012014032,0.3359508344720223
layer14_step09_middle,support_family_oracle,0.25,4,0.03769158756449129,0.121781025255879
layer14_step09_middle,support_family_oracle,0.25,8,0.026561110162166803,0.07940564502044899
layer14_step09_middle,support_family_oracle,0.25,16,0.01583563339266,0.04648072677724993
layer14_step09_middle,support_family_oracle,0.25,32,0.006766021988176042,0.02329838207412709
layer14_step09_middle,thw8x8,0.125,0,0.18839593826665102,0.7791449764807894
layer14_step09_middle,thw8x8,0.125,4,0.09230145942713333,0.2519400054468124
layer14_step09_middle,thw8x8,0.125,8,0.06932365808436407,0.206700119975121
layer14_step09_middle,thw8x8,0.125,16,0.044831977313433344,0.14680414080414234
layer14_step09_middle,thw8x8,0.125,32,0.02112234057058383,0.0774747606897509
layer14_step09_middle,thw8x8,0.25,0,0.11554147757955859,0.4717121138101654
layer14_step09_middle,thw8x8,0.25,4,0.04987860657400162,0.14435886474244997
layer14_step09_middle,thw8x8,0.25,8,0.03596535900678912,0.10970800421927872
layer14_step09_middle,thw8x8,0.25,16,0.022347058348159962,0.07402068214645732
layer14_step09_middle,thw8x8,0.25,32,0.010067699371649556,0.03579925174652293
layer14_step19_late,fixed64,0.125,0,0.12400815340786717,0.44042941768694976
layer14_step19_late,fixed64,0.125,4,0.06174415394303882,0.17965471250893222
layer14_step19_late,fixed64,0.125,8,0.04742026007802277,0.15264872477298852
layer14_step19_late,fixed64,0.125,16,0.03144997609699167,0.11221999012455726
layer14_step19_late,fixed64,0.125,32,0.015089304353907759,0.06264807864611935
layer14_step19_late,fixed64,0.25,0,0.07079290773363749,0.2495749630008609
layer14_step19_late,fixed64,0.25,4,0.02896657390127307,0.09863980556494005
layer14_step19_late,fixed64,0.25,8,0.021020214460317665,0.07537735517402196
layer14_step19_late,fixed64,0.25,16,0.013159948375159818,0.052005020330588354
layer14_step19_late,fixed64,0.25,32,0.005809677095131896,0.02215060266216806
layer14_step19_late,hierarchical32,0.125,0,0.11404284353846439,0.3739892647956577
layer14_step19_late,hierarchical32,0.125,4,0.05461780063340674,0.16305521366404607
layer14_step19_late,hierarchical32,0.125,8,0.041676639834819056,0.13661061593006005
layer14_step19_late,hierarchical32,0.125,16,0.027442434600217877,0.09738951378039921
layer14_step19_late,hierarchical32,0.125,32,0.012889600190517094,0.05094997735621742
layer14_step19_late,hierarchical32,0.25,0,0.06529206863863612,0.22649615333523893
layer14_step19_late,hierarchical32,0.25,4,0.025955285925158864,0.08465034781806617
layer14_step19_late,hierarchical32,0.25,8,0.018756604792184897,0.06759736224196959
layer14_step19_late,hierarchical32,0.25,16,0.011683253874575467,0.04581027465309337
layer14_step19_late,hierarchical32,0.25,32,0.005088494329038767,0.019315847191313594
layer14_step19_late,motion_warp8x8,0.125,0,0.34872195573654213,1.0121603208814365
layer14_step19_late,motion_warp8x8,0.125,4,0.17835924262802955,0.359578004997002
layer14_step19_late,motion_warp8x8,0.125,8,0.13455533566193772,0.29439075954954913
layer14_step19_late,motion_warp8x8,0.125,16,0.08716205101550274,0.2008752683737441
layer14_step19_late,motion_warp8x8,0.125,32,0.03968151223362658,0.10829685432114235
layer14_step19_late,motion_warp8x8,0.25,0,0.13443545133034995,0.32162414676643747
layer14_step19_late,motion_warp8x8,0.25,4,0.06827583415662232,0.20586653429790053
layer14_step19_late,motion_warp8x8,0.25,8,0.05054516625017565,0.16889198537720426
layer14_step19_late,motion_warp8x8,0.25,16,0.03210263281354922,0.11539124184022952
layer14_step19_late,motion_warp8x8,0.25,32,0.014256997526118937,0.05046742515977532
layer14_step19_late,shifted32,0.125,0,0.11466260423063254,0.38120276559906513
layer14_step19_late,shifted32,0.125,4,0.05475583657723888,0.16121892450132783
layer14_step19_late,shifted32,0.125,8,0.041713597532623235,0.1348349841463889
layer14_step19_late,shifted32,0.125,16,0.02746944436300585,0.09679977406533026
layer14_step19_late,shifted32,0.125,32,0.012911798672902158,0.05028426513627026
layer14_step19_late,shifted32,0.25,0,0.06541371995813604,0.22779704999423855
layer14_step19_late,shifted32,0.25,4,0.025987042716295938,0.08646151141899638
layer14_step19_late,shifted32,0.25,8,0.01879021986660867,0.06823961910558696
layer14_step19_late,shifted32,0.25,16,0.011709686009401843,0.04611554253161613
layer14_step19_late,shifted32,0.25,32,0.005086429069140322,0.019256770737921366
layer14_step19_late,shifted64,0.125,0,0.12430113638468766,0.4391689405182432
layer14_step19_late,shifted64,0.125,4,0.06200335382986801,0.18146306089628123
layer14_step19_late,shifted64,0.125,8,0.0475960356735067,0.15250456573452337
layer14_step19_late,shifted64,0.125,16,0.03163776386542099,0.11273363680175238
layer14_step19_late,shifted64,0.125,32,0.015186843486021473,0.06349344825419838
layer14_step19_late,shifted64,0.25,0,0.07113425196981736,0.245658445500564
layer14_step19_late,shifted64,0.25,4,0.02901423778239233,0.09545170452722372
layer14_step19_late,shifted64,0.25,8,0.02103455778549616,0.07432685684232121
layer14_step19_late,shifted64,0.25,16,0.01317407014018267,0.05132208519852712
layer14_step19_late,shifted64,0.25,32,0.005816086221947676,0.0224539975605975
layer14_step19_late,support_family_oracle,0.125,0,0.11405288183324545,0.3739892647956577
layer14_step19_late,support_family_oracle,0.125,4,0.054326082794472916,0.16121892450132783
layer14_step19_late,support_family_oracle,0.125,8,0.041394593186490004,0.1348349841463889
layer14_step19_late,support_family_oracle,0.125,16,0.027259911804415633,0.09679977406533026
layer14_step19_late,support_family_oracle,0.125,32,0.012862926380361952,0.05094997735621742
layer14_step19_late,support_family_oracle,0.25,0,0.06531187703119061,0.22649615333523893
layer14_step19_late,support_family_oracle,0.25,4,0.025893623889413575,0.08465034781806617
layer14_step19_late,support_family_oracle,0.25,8,0.01870283357908596,0.06759736224196959
layer14_step19_late,support_family_oracle,0.25,16,0.011633426956964074,0.04581027465309337
layer14_step19_late,support_family_oracle,0.25,32,0.005077261432470344,0.019315847191313594
layer14_step19_late,thw8x8,0.125,0,0.15767500497320835,0.4125860170871946
layer14_step19_late,thw8x8,0.125,4,0.09080788011062407,0.2504345476765222
layer14_step19_late,thw8x8,0.125,8,0.0718952063909301,0.21375805175717388
layer14_step19_late,thw8x8,0.125,16,0.04916460825060449,0.1643283603864616
layer14_step19_late,thw8x8,0.125,32,0.024091859215944224,0.09215044107747745
layer14_step19_late,thw8x8,0.25,0,0.08389014789681869,0.23318823813764372
layer14_step19_late,thw8x8,0.25,4,0.039779538757012935,0.11704045463507674
layer14_step19_late,thw8x8,0.25,8,0.030006877102368417,0.09748566211822826
layer14_step19_late,thw8x8,0.25,16,0.019547709329824674,0.06842830674299248
layer14_step19_late,thw8x8,0.25,32,0.008950854011890198,0.03488299716052752
