method,iteration,rank,block_size,sparse_kind,high_precision_params,relative_fro_error,activation_relative_l2,activation_cosine,spectral_error_proxy,best_activation_relative_l2_so_far,lowrank_norm,bcm_norm,sparse_norm,weight_key,shape,activation_source,lr16_budget_params,budget_ratio_vs_lr16
alternating_svd_r8_rowsparse_b16,2,8,0,row,157696,0.4647998809814453,0.4756315350532532,0.8966199159622192,2.7536399364471436,0.4756315350532532,30.384483337402344,0.0,4.009660720825195,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9390243902439024
alternating_svd_r8_rowsparse_b16,3,8,0,row,157696,0.4644795358181,0.47494813799858093,0.896934986114502,2.7519819736480713,0.47494813799858093,30.43421745300293,0.0,4.673977375030518,blocks.0.ffn.0.weight,8960x1536,real:q,167936,0.9390243902439024
alternating_svd_r8_tilesparse_b32,0,8,0,tile,167936,0.46819886565208435,0.47941359877586365,0.894298791885376,2.794794797897339,0.47941359877586365,30.263242721557617,0.0,0.0,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r8_tilesparse_b32,1,8,0,tile,167936,0.46549510955810547,0.4767055809497833,0.8957885503768921,2.769296169281006,0.4767055809497833,30.310325622558594,0.0,3.381610870361328,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r8_tilesparse_b32,2,8,0,tile,167936,0.464942067861557,0.4752512276172638,0.8966444730758667,2.7637200355529785,0.4752512276172638,30.3714599609375,0.0,3.7490358352661133,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r8_tilesparse_b32,3,8,0,tile,167936,0.46461302042007446,0.47489503026008606,0.8969075679779053,2.763005018234253,0.47489503026008606,30.422382354736328,0.0,4.122054100036621,blocks.0.ffn.0.weight,8960x1536,real:q,167936,1.0
alternating_svd_r16,0,16,0,none,49152,0.47059231996536255,0.48228684067726135,0.8972878456115723,1.6639971733093262,0.48228684067726135,21.464309692382812,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,1,16,0,none,49152,0.4671074450016022,0.479656457901001,0.8996282815933228,1.6499240398406982,0.479656457901001,21.573535919189453,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,2,16,0,none,49152,0.46556639671325684,0.4779599905014038,0.9003604650497437,1.6502350568771362,0.4779599905014038,21.717044830322266,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r16,3,16,0,none,49152,0.4647442698478699,0.47628021240234375,0.9015752077102661,1.6436340808868408,0.47628021240234375,21.818796157836914,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,0,13,256,none,49152,0.47448834776878357,0.4866761267185211,0.8957164883613586,1.7071526050567627,0.4866761267185211,20.42629051208496,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,1,13,256,none,49152,0.4703747034072876,0.4822728931903839,0.8983157277107239,1.6957839727401733,0.4822728931903839,20.5338077545166,1.6601321697235107,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,2,13,256,none,49152,0.46863675117492676,0.48095908761024475,0.8989498615264893,1.681355357170105,0.48095908761024475,20.66379165649414,2.516052722930908,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_bcm_b256_svd_r13,3,13,256,none,49152,0.46776238083839417,0.47956329584121704,0.8999083042144775,1.677648663520813,0.47956329584121704,20.75037956237793,2.9775311946868896,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
alternating_svd_r8_rowsparse_b16,0,8,0,row,49152,0.4819323718547821,0.49180734157562256,0.8940408825874329,1.845378041267395,0.49180734157562256,18.28106117248535,0.0,0.0,blocks.15.self_attn.q.weight,1536x1536,real:q,49152,1.0
