category,layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
camera_motion,22,64,history_centered,30,0.3084881234688454,0.05504294914146542,0.2712432120615633,0.05144870884891084
camera_motion,22,64,raw,30,0.27194933369687574,0.051289075187173835,0.27194933369687574,0.051289075187173835
camera_motion,22,8,history_centered,30,0.4886136069706888,0.042018395535580254,0.42929810919164973,0.04084890003047129
camera_motion,22,8,raw,30,0.4367315866439681,0.039383993226919566,0.4367315866439681,0.039383993226919566
camera_motion,23,1,history_centered,30,0.789502183355974,0.027706673202055304,0.652111177121389,0.030640558839748356
camera_motion,23,1,raw,30,0.7251606238126165,0.028608508344501515,0.7251606238126165,0.028608508344501515
camera_motion,23,16,history_centered,30,0.43989322330184616,0.048416403393212334,0.36368843232769993,0.04482493923208599
camera_motion,23,16,raw,30,0.36743732909316246,0.04402939465948315,0.36743732909316246,0.04402939465948315
camera_motion,23,2,history_centered,30,0.6336463228308659,0.03125862804421782,0.5235017185947453,0.03262486807834225
camera_motion,23,2,raw,30,0.6106284042467157,0.028870301330505454,0.6106284042467157,0.028870301330505454
camera_motion,23,32,history_centered,30,0.3816818787828681,0.05365337396298419,0.3156470546480061,0.048476247716324715
camera_motion,23,32,raw,30,0.31712856100432735,0.04816042201828852,0.31712856100432735,0.04816042201828852
camera_motion,23,4,history_centered,30,0.5711985220174649,0.03731187735603739,0.4720174010679559,0.0371751362776358
camera_motion,23,4,raw,30,0.49045060696097376,0.03488883182071428,0.49045060696097376,0.03488883182071428
camera_motion,23,64,history_centered,30,0.3239556183623653,0.05492369847816441,0.2679210525641774,0.04872788621573969
camera_motion,23,64,raw,30,0.2685987253346853,0.04846241183588572,0.2685987253346853,0.04846241183588572
camera_motion,23,8,history_centered,30,0.5036672495093301,0.039653882736341566,0.41626917562329513,0.03830400387112002
camera_motion,23,8,raw,30,0.4250219281835819,0.03731420665057372,0.4250219281835819,0.03731420665057372
camera_motion,7,1,history_centered,30,0.9538485124348703,0.009950067389203772,0.9070594143178125,0.016477612171610166
camera_motion,7,1,raw,30,0.944846513131025,0.011076000135670703,0.944846513131025,0.011076000135670703
camera_motion,7,16,history_centered,30,0.7162359202203141,0.03289251321624475,0.6811944596235671,0.035129786887389464
camera_motion,7,16,raw,30,0.687999376071318,0.03427428303300396,0.687999376071318,0.03427428303300396
