method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean
c_s14-14_b06-08,single_cell,C,1,1,1.0026789167290397,1.0026789167290397,1.0026789167290397,1.0026789167290397,0.9714048503498215,0.9714048503498215,0.9714048503498215,34.82923319320482,0.0,6.0,6.0,0.0,6.0
c_s14-14_b09-11,single_cell,C,1,1,1.00416333128714,1.00416333128714,1.00416333128714,1.00416333128714,0.9713456055895371,0.9713456055895371,0.9713456055895371,34.800685335284,0.0,6.0,6.0,0.0,6.0
c_s14-14_b12-14,single_cell,C,1,1,1.000485531219995,1.000485531219995,1.000485531219995,1.000485531219995,0.9706688253933282,0.9706688253933282,0.9706688253933282,34.69963277157669,0.0,6.0,6.0,0.0,6.0
c_s14-14_b15-17,single_cell,C,1,1,0.9983022014057259,0.9983022014057259,0.9983022014057259,0.9983022014057259,0.9701490462682321,0.9701490462682321,0.9701490462682321,34.58151926380467,0.0,6.0,6.0,0.0,6.0
c_s14-14_b18-20,single_cell,C,1,1,0.9946271564429117,0.9946271564429117,0.9946271564429117,0.9946271564429117,0.9701168717623813,0.9701168717623813,0.9701168717623813,34.657226312462484,0.0,6.0,6.0,0.0,6.0
c_s14-14_b21-23,single_cell,C,1,1,0.9638543156083152,0.9638543156083152,0.9638543156083152,0.9638543156083152,0.9717666467363408,0.9717666467363408,0.9717666467363408,35.03634754488128,0.0,6.0,6.0,0.0,6.0
c_s14-14_b24-26,single_cell,C,1,1,0.9993776236874936,0.9993776236874936,0.9993776236874936,0.9993776236874936,0.9713468008638353,0.9713468008638353,0.9713468008638353,34.976695611732836,0.0,6.0,6.0,0.0,6.0
c_s14-14_b27-29,single_cell,C,1,1,0.9975488695705101,0.9975488695705101,0.9975488695705101,0.9975488695705101,0.9712990790732083,0.9712990790732083,0.9712990790732083,34.99902489493004,0.0,6.0,6.0,0.0,6.0
c_s15-15_b00-02,single_cell,C,1,1,1.0019242697859434,1.0019242697859434,1.0019242697859434,1.0019242697859434,0.971434016836144,0.971434016836144,0.971434016836144,35.0481476470378,0.0,6.0,6.0,0.0,6.0
c_s15-15_b03-05,single_cell,C,1,1,0.9994727818637663,0.9994727818637663,0.9994727818637663,0.9994727818637663,0.9714180916534992,0.9714180916534992,0.9714180916534992,35.06051970914871,0.0,6.0,6.0,0.0,6.0
c_s15-15_b06-08,single_cell,C,1,1,0.9877207182262168,0.9877207182262168,0.9877207182262168,0.9877207182262168,0.9720281411626068,0.9720281411626068,0.9720281411626068,35.253207910958494,0.0,6.0,6.0,0.0,6.0
c_s15-15_b09-11,single_cell,C,1,1,1.0019810824613904,1.0019810824613904,1.0019810824613904,1.0019810824613904,0.9712245902926985,0.9712245902926985,0.9712245902926985,34.92271685942714,0.0,6.0,6.0,0.0,6.0
c_s15-15_b12-14,single_cell,C,1,1,0.9976644141191676,0.9976644141191676,0.9976644141191676,0.9976644141191676,0.9714254383778905,0.9714254383778905,0.9714254383778905,35.117281163391034,0.0,6.0,6.0,0.0,6.0
c_s15-15_b15-17,single_cell,C,1,1,1.0008549378679583,1.0008549378679583,1.0008549378679583,1.0008549378679583,0.9710443175313775,0.9710443175313775,0.9710443175313775,34.82177582349143,0.0,6.0,6.0,0.0,6.0
c_s15-15_b18-20,single_cell,C,1,1,0.9976848382075996,0.9976848382075996,0.9976848382075996,0.9976848382075996,0.9710288430554328,0.9710288430554328,0.9710288430554328,34.934403057529096,0.0,6.0,6.0,0.0,6.0
c_s15-15_b21-23,single_cell,C,1,1,1.0047652517162842,1.0047652517162842,1.0047652517162842,1.0047652517162842,0.9718040764129647,0.9718040764129647,0.9718040764129647,35.0073832663739,0.0,6.0,6.0,0.0,6.0
c_s15-15_b24-26,single_cell,C,1,1,1.0063728814527488,1.0063728814527488,1.0063728814527488,1.0063728814527488,0.9715700184950592,0.9715700184950592,0.9715700184950592,35.121722958600415,0.0,6.0,6.0,0.0,6.0
c_s15-15_b27-29,single_cell,C,1,1,1.0067321190237397,1.0067321190237397,1.0067321190237397,1.0067321190237397,0.9721645337621645,0.9721645337621645,0.9721645337621645,35.22976171913346,0.0,6.0,6.0,0.0,6.0
c_s16-16_b00-02,single_cell,C,1,1,1.0047047356615835,1.0047047356615835,1.0047047356615835,1.0047047356615835,0.9717297608662916,0.9717297608662916,0.9717297608662916,35.21344927692327,0.0,6.0,6.0,0.0,6.0
c_s16-16_b03-05,single_cell,C,1,1,1.0066471674149848,1.0066471674149848,1.0066471674149848,1.0066471674149848,0.9720095731371248,0.9720095731371248,0.9720095731371248,35.32738482487292,0.0,6.0,6.0,0.0,6.0
c_s16-16_b06-08,single_cell,C,1,1,1.0062600005471811,1.0062600005471811,1.0062600005471811,1.0062600005471811,0.9717158272760635,0.9717158272760635,0.9717158272760635,35.26879064866205,0.0,6.0,6.0,0.0,6.0
c_s16-16_b09-11,single_cell,C,1,1,1.005666839910678,1.005666839910678,1.005666839910678,1.005666839910678,0.9714903980720376,0.9714903980720376,0.9714903980720376,35.30991247930259,0.0,6.0,6.0,0.0,6.0
c_s16-16_b12-14,single_cell,C,1,1,1.0059180005572086,1.0059180005572086,1.0059180005572086,1.0059180005572086,0.9715269464101972,0.9715269464101972,0.9715269464101972,35.12617773496952,0.0,6.0,6.0,0.0,6.0
c_s16-16_b15-17,single_cell,C,1,1,1.0049842629557881,1.0049842629557881,1.0049842629557881,1.0049842629557881,0.9705361796400446,0.9705361796400446,0.9705361796400446,34.93917641134444,0.0,6.0,6.0,0.0,6.0
