model,role,control,method,target_scalar_density,metric,mean,std,min,max,count
llama2-7b,contract,original,fft2_topk_oracle,0.015625,retained_energy,0.08048695627615375,0.0035802030034746174,0.07119933191406062,0.0906622391108759,120
llama2-7b,contract,original,fft2_topk_oracle,0.0625,retained_energy,0.2357988763095608,0.005891009292059622,0.21980961514870676,0.2503682391839142,120
llama2-7b,contract,original,fft2_topk_oracle,0.125,retained_energy,0.3852446939790937,0.00685067864436941,0.3647345824740109,0.40069511388289664,120
llama2-7b,contract,original,fft2_topk_oracle,0.25,retained_energy,0.5968337358769412,0.006562893946654586,0.5783040758594797,0.612740874219561,120
llama2-7b,contract,original,identity_topk_oracle,0.015625,retained_energy,0.12949865709633324,0.019737517279433264,0.11370120260225543,0.26494660821900173,120
llama2-7b,contract,original,identity_topk_oracle,0.0625,retained_energy,0.3374307178637611,0.017462884641002617,0.3188157307718873,0.4449599128527233,120
llama2-7b,contract,original,identity_topk_oracle,0.125,retained_energy,0.5141155875939226,0.014547212909232332,0.49300694365787057,0.5921928332945157,120
llama2-7b,contract,original,identity_topk_oracle,0.25,retained_energy,0.7322591478033198,0.009365817874302473,0.7179701833232012,0.7745566087331407,120
llama2-7b,contract,original,row_fft_lowfreq_static,0.015625,retained_energy,0.01570880005934343,0.0027026696117290615,0.010041397692044108,0.023246705063351452,120
llama2-7b,contract,original,row_fft_lowfreq_static,0.0625,retained_energy,0.062239667865362454,0.005068349665531416,0.051173025793951825,0.07738231174043912,120
llama2-7b,contract,original,row_fft_lowfreq_static,0.125,retained_energy,0.12531456399706373,0.007550055290303583,0.11091759648985693,0.1501745364462728,120
llama2-7b,contract,original,row_fft_lowfreq_static,0.25,retained_energy,0.25152382614536595,0.008515809501037322,0.22987226121683896,0.2847271432360223,120
llama2-7b,contract,original,row_fft_topk_oracle,0.015625,retained_energy,0.08635876032735083,0.01879739362457065,0.07228950253235755,0.23877883506932832,120
llama2-7b,contract,original,row_fft_topk_oracle,0.0625,retained_energy,0.24315915763288898,0.018578329801598844,0.2252685999376953,0.3837095374348323,120
llama2-7b,contract,original,row_fft_topk_oracle,0.125,retained_energy,0.3925493562871378,0.016842532032806917,0.3678706128324133,0.5141263866935692,120
llama2-7b,contract,original,row_fft_topk_oracle,0.25,retained_energy,0.603376615911108,0.012823309858021149,0.578412288615709,0.6865836465867888,120
llama2-7b,contract,rowcol_shuffled,column_fft_lowfreq_static,0.015625,retained_energy,0.01538849091332615,0.002749972090109637,0.009008607376057843,0.023290246610551235,120
llama2-7b,contract,rowcol_shuffled,column_fft_lowfreq_static,0.0625,retained_energy,0.06261193923644033,0.005594816077630263,0.04967284634720518,0.07816844153180837,120
llama2-7b,contract,rowcol_shuffled,column_fft_lowfreq_static,0.125,retained_energy,0.12491534342509313,0.007511333322215999,0.10444458711517367,0.1398959291161346,120
llama2-7b,contract,rowcol_shuffled,column_fft_lowfreq_static,0.25,retained_energy,0.25020024160447485,0.010368667658889656,0.22587597760634937,0.2765628964371467,120
llama2-7b,contract,rowcol_shuffled,column_fft_topk_oracle,0.015625,retained_energy,0.0849417560971958,0.00443250460226487,0.07373888009355523,0.09518983863501297,120
llama2-7b,contract,rowcol_shuffled,column_fft_topk_oracle,0.0625,retained_energy,0.24394750829178016,0.00781044738563016,0.22507038604071555,0.26881889062887326,120
llama2-7b,contract,rowcol_shuffled,column_fft_topk_oracle,0.125,retained_energy,0.39479008908371893,0.009137915312271148,0.37453605793016026,0.4243493578395802,120
llama2-7b,contract,rowcol_shuffled,column_fft_topk_oracle,0.25,retained_energy,0.606512915691869,0.008866047852877134,0.587270590489079,0.6374154942037173,120
llama2-7b,contract,rowcol_shuffled,fft2_lowfreq_static,0.015625,retained_energy,0.015558193275464306,0.0026519803040213146,0.010219905235823298,0.02341636109691723,120
llama2-7b,contract,rowcol_shuffled,fft2_lowfreq_static,0.0625,retained_energy,0.0630442051810469,0.005098915891518489,0.050984804304340256,0.07525796598058733,120
llama2-7b,contract,rowcol_shuffled,fft2_lowfreq_static,0.125,retained_energy,0.12463127282470673,0.007327480739692323,0.10549298844983747,0.14306992214399483,120
llama2-7b,contract,rowcol_shuffled,fft2_lowfreq_static,0.25,retained_energy,0.24977426411649487,0.009727814690096084,0.22555806775328477,0.27572047987802367,120
llama2-7b,contract,rowcol_shuffled,fft2_topk_oracle,0.015625,retained_energy,0.08037437072098325,0.003614499862577247,0.06935478532077245,0.08963789769798132,120
llama2-7b,contract,rowcol_shuffled,fft2_topk_oracle,0.0625,retained_energy,0.23537913984968126,0.005691879472265304,0.21958389720915067,0.2502390764591488,120
llama2-7b,contract,rowcol_shuffled,fft2_topk_oracle,0.125,retained_energy,0.38460536385227767,0.006743171558320809,0.36585573801751,0.4020234841281432,120
llama2-7b,contract,rowcol_shuffled,fft2_topk_oracle,0.25,retained_energy,0.5965394595504245,0.006688408011819442,0.5784815644354611,0.6118399475446062,120
llama2-7b,contract,rowcol_shuffled,identity_topk_oracle,0.015625,retained_energy,0.12949865709633324,0.019737517279433264,0.11370120260225543,0.26494660821900173,120
llama2-7b,contract,rowcol_shuffled,identity_topk_oracle,0.0625,retained_energy,0.3374307178637611,0.017462884641002617,0.3188157307718873,0.4449599128527233,120
llama2-7b,contract,rowcol_shuffled,identity_topk_oracle,0.125,retained_energy,0.5141155875939226,0.014547212909232332,0.49300694365787057,0.5921928332945157,120
llama2-7b,contract,rowcol_shuffled,identity_topk_oracle,0.25,retained_energy,0.7322591478033198,0.009365817874302473,0.7179701833232012,0.7745566087331407,120
llama2-7b,contract,rowcol_shuffled,row_fft_lowfreq_static,0.015625,retained_energy,0.01570880005934343,0.0027026696117290615,0.010041397692044108,0.023246705063351452,120
llama2-7b,contract,rowcol_shuffled,row_fft_lowfreq_static,0.0625,retained_energy,0.06275276083564804,0.004837354102986364,0.0511902622247727,0.07268024399124796,120
llama2-7b,contract,rowcol_shuffled,row_fft_lowfreq_static,0.125,retained_energy,0.12523958196656912,0.006753056722713302,0.10895889191380044,0.14387182560623668,120
llama2-7b,contract,rowcol_shuffled,row_fft_lowfreq_static,0.25,retained_energy,0.2502899900342815,0.009803297160898904,0.22714631983052155,0.27942822489598995,120
llama2-7b,contract,rowcol_shuffled,row_fft_topk_oracle,0.015625,retained_energy,0.08605709212689933,0.019005151926530343,0.07507090842120541,0.2298884605261218,120
llama2-7b,contract,rowcol_shuffled,row_fft_topk_oracle,0.0625,retained_energy,0.24296880358496653,0.018160013486636758,0.22501516337140967,0.3748784759922751,120
llama2-7b,contract,rowcol_shuffled,row_fft_topk_oracle,0.125,retained_energy,0.39240969846709073,0.015939399175383104,0.3689577216171917,0.5038736106023144,120
llama2-7b,contract,rowcol_shuffled,row_fft_topk_oracle,0.25,retained_energy,0.603296512447186,0.011700549849976424,0.5816955761443208,0.6786073962602407,120
llama2-7b,contract,smooth_positive_control,column_fft_lowfreq_static,0.015625,retained_energy,0.2122105747548937,0.2019681793367572,4.579107158647677e-07,0.7326878907619861,120
llama2-7b,contract,smooth_positive_control,column_fft_lowfreq_static,0.0625,retained_energy,0.6009369240460064,0.20770130319770388,0.09232914002437635,0.9943249840347319,120
llama2-7b,contract,smooth_positive_control,column_fft_lowfreq_static,0.125,retained_energy,1.0,1.7133060673205684e-15,0.9999999999999949,1.0000000000000062,120
llama2-7b,contract,smooth_positive_control,column_fft_lowfreq_static,0.25,retained_energy,1.0,1.7133060673205684e-15,0.9999999999999949,1.0000000000000062,120
llama2-7b,contract,smooth_positive_control,column_fft_topk_oracle,0.015625,retained_energy,0.4743175214662637,0.1156784943808626,0.2645462134077543,0.7387004738366618,120
llama2-7b,contract,smooth_positive_control,column_fft_topk_oracle,0.0625,retained_energy,0.9119133010213032,0.05848147488516755,0.7086560529634243,0.9990016358047218,120
llama2-7b,contract,smooth_positive_control,column_fft_topk_oracle,0.125,retained_energy,1.0,2.011567670306795e-15,0.9999999999999936,1.000000000000006,120
llama2-7b,contract,smooth_positive_control,column_fft_topk_oracle,0.25,retained_energy,1.0,2.011567670306795e-15,0.9999999999999936,1.000000000000006,120
llama2-7b,contract,smooth_positive_control,fft2_lowfreq_static,0.015625,retained_energy,1.0,1.5467768333691353e-16,0.9999999999999996,1.0000000000000004,120
llama2-7b,contract,smooth_positive_control,fft2_lowfreq_static,0.0625,retained_energy,1.0,1.5467768333691353e-16,0.9999999999999996,1.0000000000000004,120
llama2-7b,contract,smooth_positive_control,fft2_lowfreq_static,0.125,retained_energy,1.0,1.5467768333691353e-16,0.9999999999999996,1.0000000000000004,120
llama2-7b,contract,smooth_positive_control,fft2_lowfreq_static,0.25,retained_energy,1.0,1.5467768333691353e-16,0.9999999999999996,1.0000000000000004,120
llama2-7b,contract,smooth_positive_control,fft2_topk_oracle,0.015625,retained_energy,1.0,1.9615467471717385e-16,0.9999999999999994,1.0000000000000007,120
llama2-7b,contract,smooth_positive_control,fft2_topk_oracle,0.0625,retained_energy,1.0,1.9615467471717385e-16,0.9999999999999994,1.0000000000000007,120
llama2-7b,contract,smooth_positive_control,fft2_topk_oracle,0.125,retained_energy,1.0,1.9615467471717385e-16,0.9999999999999994,1.0000000000000007,120
llama2-7b,contract,smooth_positive_control,fft2_topk_oracle,0.25,retained_energy,1.0,1.9615467471717385e-16,0.9999999999999994,1.0000000000000007,120
llama2-7b,contract,smooth_positive_control,identity_topk_oracle,0.015625,retained_energy,0.09317878207601674,0.013679122275535761,0.058873903215040796,0.12869524171625019,120
llama2-7b,contract,smooth_positive_control,identity_topk_oracle,0.0625,retained_energy,0.2842049677163127,0.02939991942913268,0.21283100653269066,0.37272135384757715,120
llama2-7b,contract,smooth_positive_control,identity_topk_oracle,0.125,retained_energy,0.4610768096265674,0.03499880426941566,0.3711703363574048,0.5735679167638418,120
llama2-7b,contract,smooth_positive_control,identity_topk_oracle,0.25,retained_energy,0.6932816430127088,0.03206704634288805,0.6090424423820106,0.7899019957926898,120
llama2-7b,contract,smooth_positive_control,row_fft_lowfreq_static,0.015625,retained_energy,0.2097294947317731,0.1953298462299158,1.6945692082298296e-06,0.7845111236922178,120
llama2-7b,contract,smooth_positive_control,row_fft_lowfreq_static,0.0625,retained_energy,0.6047682521499667,0.21024202685466478,0.07064284984965878,0.9852507380967457,120
llama2-7b,contract,smooth_positive_control,row_fft_lowfreq_static,0.125,retained_energy,1.0,1.9793734579070603e-15,0.9999999999999927,1.0000000000000082,120
llama2-7b,contract,smooth_positive_control,row_fft_lowfreq_static,0.25,retained_energy,1.0,1.9793734579070603e-15,0.9999999999999927,1.0000000000000082,120
llama2-7b,contract,smooth_positive_control,row_fft_topk_oracle,0.015625,retained_energy,0.4770566718533181,0.1316533359333796,0.24808092835178513,0.837912985646406,120
llama2-7b,contract,smooth_positive_control,row_fft_topk_oracle,0.0625,retained_energy,0.9186961728490667,0.06051258200727854,0.7283763968738337,0.9999682104532506,120
llama2-7b,contract,smooth_positive_control,row_fft_topk_oracle,0.125,retained_energy,0.9999999999999999,2.558629873234213e-15,0.9999999999999918,1.0000000000000075,120
llama2-7b,contract,smooth_positive_control,row_fft_topk_oracle,0.25,retained_energy,0.9999999999999999,2.558629873234213e-15,0.9999999999999918,1.0000000000000075,120
llama2-7b,expand,matched_gaussian,column_fft_lowfreq_static,0.015625,retained_energy,0.01587495698441747,0.0029025854807197965,0.008795545563700359,0.02621034687546534,240
llama2-7b,expand,matched_gaussian,column_fft_lowfreq_static,0.0625,retained_energy,0.06239966609315209,0.005259296455840326,0.04570931050703812,0.07617738502838309,240
llama2-7b,expand,matched_gaussian,column_fft_lowfreq_static,0.125,retained_energy,0.12507560794002875,0.0069472663475673305,0.1073578133918409,0.14825396852785552,240
llama2-7b,expand,matched_gaussian,column_fft_lowfreq_static,0.25,retained_energy,0.24908273618538185,0.009956686129129453,0.22062003444055636,0.27738001311502597,240
llama2-7b,expand,matched_gaussian,column_fft_topk_oracle,0.015625,retained_energy,0.08197200753164058,0.003659407848861629,0.07436334246237296,0.09441860310978699,240
llama2-7b,expand,matched_gaussian,column_fft_topk_oracle,0.0625,retained_energy,0.23850975055188797,0.005982246631231514,0.22217370061765368,0.2553278181340496,240
llama2-7b,expand,matched_gaussian,column_fft_topk_oracle,0.125,retained_energy,0.3884819616125932,0.006726607530140669,0.37063376247544816,0.40697822549096274,240
llama2-7b,expand,matched_gaussian,column_fft_topk_oracle,0.25,retained_energy,0.6005170779705088,0.006404225426410256,0.5843092236912891,0.6168490508677001,240
llama2-7b,expand,matched_gaussian,fft2_lowfreq_static,0.015625,retained_energy,0.01606130455816085,0.002949655513576232,0.008487034564423871,0.026969747188805026,240
llama2-7b,expand,matched_gaussian,fft2_lowfreq_static,0.0625,retained_energy,0.062377939982110685,0.005540236192127067,0.04973841814113491,0.07659565033988362,240
llama2-7b,expand,matched_gaussian,fft2_lowfreq_static,0.125,retained_energy,0.12449506998189659,0.007499061120666532,0.10069778419460836,0.1449427642042453,240
llama2-7b,expand,matched_gaussian,fft2_lowfreq_static,0.25,retained_energy,0.24871125050292917,0.009354641248122478,0.2256347919963512,0.2713855031294019,240
llama2-7b,expand,matched_gaussian,fft2_topk_oracle,0.015625,retained_energy,0.07994651908132677,0.0032929268491019856,0.07100664786668348,0.09134518146286946,240
llama2-7b,expand,matched_gaussian,fft2_topk_oracle,0.0625,retained_energy,0.23499640805952024,0.005261535838415717,0.21948077239554342,0.25419527784863055,240
llama2-7b,expand,matched_gaussian,fft2_topk_oracle,0.125,retained_energy,0.38411029256966767,0.005854415996727775,0.36861487692065303,0.40027494262503177,240
llama2-7b,expand,matched_gaussian,fft2_topk_oracle,0.25,retained_energy,0.5960278221827829,0.00592149113884701,0.579013994115786,0.6101395990484749,240
llama2-7b,expand,matched_gaussian,identity_topk_oracle,0.015625,retained_energy,0.11886158187728484,0.004312314270602901,0.10608576277891697,0.1323154505920711,240
llama2-7b,expand,matched_gaussian,identity_topk_oracle,0.0625,retained_energy,0.3241486656368255,0.006281211630444344,0.3090749942565366,0.3403297127564576,240
llama2-7b,expand,matched_gaussian,identity_topk_oracle,0.125,retained_energy,0.5020403510564766,0.006391482124739435,0.485699145297811,0.5182009505669779,240
llama2-7b,expand,matched_gaussian,identity_topk_oracle,0.25,retained_energy,0.7238145190294533,0.005497042679353997,0.7096815217808278,0.7379771261079561,240
llama2-7b,expand,matched_gaussian,row_fft_lowfreq_static,0.015625,retained_energy,0.015711503737530434,0.002442470750697977,0.010208178890151217,0.023117665870360838,240
llama2-7b,expand,matched_gaussian,row_fft_lowfreq_static,0.0625,retained_energy,0.06282602489335014,0.004911888083107776,0.04877238818312824,0.07678339139332181,240
llama2-7b,expand,matched_gaussian,row_fft_lowfreq_static,0.125,retained_energy,0.12536814858807876,0.007332529548496316,0.10004929345768593,0.14390234119711495,240
llama2-7b,expand,matched_gaussian,row_fft_lowfreq_static,0.25,retained_energy,0.24967578486786016,0.009870783407001335,0.22091387856917183,0.2762280277998451,240
llama2-7b,expand,matched_gaussian,row_fft_topk_oracle,0.015625,retained_energy,0.08212481075932661,0.0033355920086958874,0.07330850322270105,0.09294126698743109,240
llama2-7b,expand,matched_gaussian,row_fft_topk_oracle,0.0625,retained_energy,0.23878116694286597,0.005402286417226165,0.22686450275376346,0.2524516618366275,240
llama2-7b,expand,matched_gaussian,row_fft_topk_oracle,0.125,retained_energy,0.3887826894200669,0.006253842569078724,0.3696310526467604,0.40485510365572375,240
llama2-7b,expand,matched_gaussian,row_fft_topk_oracle,0.25,retained_energy,0.6005763966156112,0.006273372984988483,0.5810703064004242,0.6179059433291504,240
llama2-7b,expand,original,column_fft_lowfreq_static,0.015625,retained_energy,0.01805091207339629,0.004039479071271956,0.00995183162308606,0.03316509743820869,240
llama2-7b,expand,original,column_fft_lowfreq_static,0.0625,retained_energy,0.06515212806886735,0.006393403914176113,0.049823229901216695,0.08549534232805554,240
llama2-7b,expand,original,column_fft_lowfreq_static,0.125,retained_energy,0.12765333650648558,0.008600713226797625,0.10576839145018284,0.1510092596416672,240
llama2-7b,expand,original,column_fft_lowfreq_static,0.25,retained_energy,0.2524673613892603,0.009583426600625413,0.21959086217486035,0.28304841542893316,240
llama2-7b,expand,original,column_fft_topk_oracle,0.015625,retained_energy,0.08329379372463508,0.0036580094444372256,0.0739365870348215,0.09421982465855573,240
llama2-7b,expand,original,column_fft_topk_oracle,0.0625,retained_energy,0.24071065926182442,0.006090304182706656,0.2249108777810838,0.26315524597530404,240
llama2-7b,expand,original,column_fft_topk_oracle,0.125,retained_energy,0.39082353890085,0.006913096553188654,0.37218416018380396,0.41529912596241153,240
llama2-7b,expand,original,column_fft_topk_oracle,0.25,retained_energy,0.6022760086079376,0.006539161497415342,0.5850420436003521,0.6226589545255933,240
llama2-7b,expand,original,fft2_lowfreq_static,0.015625,retained_energy,0.015915321495899037,0.0030049185499820327,0.010178305073478316,0.02638297657917849,240
llama2-7b,expand,original,fft2_lowfreq_static,0.0625,retained_energy,0.06323559323661548,0.006075340882002151,0.05092528340847808,0.08081403025272885,240
llama2-7b,expand,original,fft2_lowfreq_static,0.125,retained_energy,0.1255907033955624,0.007525382939687838,0.10935119111973789,0.1502682989041992,240
llama2-7b,expand,original,fft2_lowfreq_static,0.25,retained_energy,0.2515349945958963,0.009782383949175221,0.22275468707269072,0.27742046668332193,240
llama2-7b,expand,original,fft2_topk_oracle,0.015625,retained_energy,0.08046078656933028,0.003433720924239105,0.07151912293215816,0.09070618329977882,240
llama2-7b,expand,original,fft2_topk_oracle,0.0625,retained_energy,0.235707729982405,0.005739264106945504,0.21783497719614311,0.25126216623735836,240
llama2-7b,expand,original,fft2_topk_oracle,0.125,retained_energy,0.3848535747845848,0.0065584511013346974,0.36136155547728005,0.4003248092188049,240
llama2-7b,expand,original,fft2_topk_oracle,0.25,retained_energy,0.5964078770286622,0.006460052644827547,0.5721921854470376,0.6152716644270962,240
llama2-7b,expand,original,identity_topk_oracle,0.015625,retained_energy,0.13079241207057887,0.012054853912959356,0.11014554952533435,0.17846004297703652,240
llama2-7b,expand,original,identity_topk_oracle,0.0625,retained_energy,0.33844066239466547,0.013740014417356896,0.3100619651495484,0.3898005396145687,240
llama2-7b,expand,original,identity_topk_oracle,0.125,retained_energy,0.5148183133098115,0.012043931832824517,0.48470817833812263,0.5552201990455239,240
llama2-7b,expand,original,identity_topk_oracle,0.25,retained_energy,0.7323106956956477,0.008503631212824716,0.7040795791822625,0.7587146195780127,240
llama2-7b,expand,original,row_fft_lowfreq_static,0.015625,retained_energy,0.015693694255090578,0.002853053297778114,0.0094721220967764,0.027040465694726835,240
llama2-7b,expand,original,row_fft_lowfreq_static,0.0625,retained_energy,0.06275154438738159,0.005609274083427863,0.04608211790626369,0.07947307365563046,240
llama2-7b,expand,original,row_fft_lowfreq_static,0.125,retained_energy,0.12475113813431504,0.00746983336917341,0.1027703107813295,0.1492550565102493,240
llama2-7b,expand,original,row_fft_lowfreq_static,0.25,retained_energy,0.24944835624435172,0.010137622498989507,0.22781526042822878,0.2764512734625057,240
llama2-7b,expand,original,row_fft_topk_oracle,0.015625,retained_energy,0.09184517913441889,0.01095539705823271,0.07544021161664388,0.13933480359060804,240
llama2-7b,expand,original,row_fft_topk_oracle,0.0625,retained_energy,0.25292679549399705,0.014668471651235339,0.2272120993099259,0.30403025632449276,240
llama2-7b,expand,original,row_fft_topk_oracle,0.125,retained_energy,0.40314206766015775,0.014406977961697985,0.37604319903989863,0.45585329797308766,240
llama2-7b,expand,original,row_fft_topk_oracle,0.25,retained_energy,0.6124849701998165,0.011708676205781358,0.5885031903148258,0.6546372377208051,240
llama2-7b,expand,rowcol_shuffled,column_fft_lowfreq_static,0.015625,retained_energy,0.01805091207339629,0.004039479071271956,0.00995183162308606,0.03316509743820869,240
llama2-7b,expand,rowcol_shuffled,column_fft_lowfreq_static,0.0625,retained_energy,0.06515539658262487,0.006305619217168673,0.04883369897020803,0.09189259438623233,240
llama2-7b,expand,rowcol_shuffled,column_fft_lowfreq_static,0.125,retained_energy,0.12724275136467764,0.00788933280387757,0.1078096268492872,0.1544417854739412,240
llama2-7b,expand,rowcol_shuffled,column_fft_lowfreq_static,0.25,retained_energy,0.25300127575933634,0.009746390342828778,0.22451592174776297,0.27797064237219843,240
llama2-7b,expand,rowcol_shuffled,column_fft_topk_oracle,0.015625,retained_energy,0.0832115065774694,0.0036219974199608734,0.07420732415661867,0.09389742096784949,240
llama2-7b,expand,rowcol_shuffled,column_fft_topk_oracle,0.0625,retained_energy,0.24009903142947397,0.006001447932760367,0.22364025828192,0.2552586589390482,240
llama2-7b,expand,rowcol_shuffled,column_fft_topk_oracle,0.125,retained_energy,0.38996236602903056,0.006917331635845493,0.3698028715304973,0.40495471277943723,240
llama2-7b,expand,rowcol_shuffled,column_fft_topk_oracle,0.25,retained_energy,0.6016571642221665,0.0066212448449682266,0.5833244517937861,0.6171204605339552,240
llama2-7b,expand,rowcol_shuffled,fft2_lowfreq_static,0.015625,retained_energy,0.016085607451804845,0.002949319671203007,0.008707696769778454,0.0255666196383804,240
llama2-7b,expand,rowcol_shuffled,fft2_lowfreq_static,0.0625,retained_energy,0.06314139402534262,0.005463067365370386,0.05043718762941403,0.0823905491411106,240
llama2-7b,expand,rowcol_shuffled,fft2_lowfreq_static,0.125,retained_energy,0.12618033666802345,0.007373530666552294,0.10676338253779048,0.14391364669991227,240
llama2-7b,expand,rowcol_shuffled,fft2_lowfreq_static,0.25,retained_energy,0.2518727628678463,0.009927327439828612,0.22530396354166551,0.283390116879816,240
