method,requested_token_budget,actual_critical_tokens,rank,metric,mean,std,min,max,count
block128_oracle,256,256,64,critical_mass,0.22457353964758417,0.25001528512652416,0.008876645006239414,0.6836501359939575,12
block128_oracle,256,256,8,critical_mass,0.22457353964758417,0.25001528512652416,0.008876645006239414,0.6836501359939575,12
block128_oracle,512,512,16,critical_mass,0.3236903161741793,0.3220514025188863,0.017635606229305267,0.8555190563201904,12
block128_oracle,512,512,32,critical_mass,0.3236903161741793,0.3220514025188863,0.017635606229305267,0.8555190563201904,12
block128_oracle,512,512,64,critical_mass,0.3236903161741793,0.3220514025188863,0.017635606229305267,0.8555190563201904,12
block128_oracle,512,512,8,critical_mass,0.3236903161741793,0.3220514025188863,0.017635606229305267,0.8555190563201904,12
block128_oracle,64,128,16,critical_mass,0.14290493602554002,0.17364320907809588,0.004460388794541359,0.5030688047409058,12
block128_oracle,64,128,32,critical_mass,0.14290493602554002,0.17364320907809588,0.004460388794541359,0.5030688047409058,12
block128_oracle,64,128,64,critical_mass,0.14290493602554002,0.17364320907809588,0.004460388794541359,0.5030688047409058,12
block128_oracle,64,128,8,critical_mass,0.14290493602554002,0.17364320907809588,0.004460388794541359,0.5030688047409058,12
block16_oracle,1024,1024,16,critical_mass,0.47564129345119,0.3983647189329037,0.038407228887081146,0.9828954935073853,12
block16_oracle,1024,1024,32,critical_mass,0.47564129345119,0.3983647189329037,0.038407228887081146,0.9828954935073853,12
block16_oracle,1024,1024,64,critical_mass,0.47564129345119,0.3983647189329037,0.038407228887081146,0.9828954935073853,12
block16_oracle,1024,1024,8,critical_mass,0.47564129345119,0.3983647189329037,0.038407228887081146,0.9828954935073853,12
block16_oracle,128,128,16,critical_mass,0.26212141282546025,0.308573090539692,0.005175321362912655,0.8580741882324219,12
block16_oracle,128,128,32,critical_mass,0.26212141282546025,0.308573090539692,0.005175321362912655,0.8580741882324219,12
block16_oracle,128,128,64,critical_mass,0.26212141282546025,0.308573090539692,0.005175321362912655,0.8580741882324219,12
block16_oracle,128,128,8,critical_mass,0.26212141282546025,0.308573090539692,0.005175321362912655,0.8580741882324219,12
block16_oracle,256,256,16,critical_mass,0.33548405836336315,0.35305501749351736,0.010113419033586979,0.916521430015564,12
block16_oracle,256,256,32,critical_mass,0.33548405836336315,0.35305501749351736,0.010113419033586979,0.916521430015564,12
block16_oracle,256,256,64,critical_mass,0.33548405836336315,0.35305501749351736,0.010113419033586979,0.916521430015564,12
block16_oracle,256,256,8,critical_mass,0.33548405836336315,0.35305501749351736,0.010113419033586979,0.916521430015564,12
block16_oracle,512,512,16,critical_mass,0.406193141049395,0.3824578953567598,0.01972527615725994,0.9562623500823975,12
block16_oracle,512,512,32,critical_mass,0.406193141049395,0.3824578953567598,0.01972527615725994,0.9562623500823975,12
block16_oracle,512,512,64,critical_mass,0.406193141049395,0.3824578953567598,0.01972527615725994,0.9562623500823975,12
block16_oracle,512,512,8,critical_mass,0.406193141049395,0.3824578953567598,0.01972527615725994,0.9562623500823975,12
block16_oracle,64,64,16,critical_mass,0.1872430011474838,0.24298256187580983,0.002641884610056877,0.7114671468734741,12
block16_oracle,64,64,32,critical_mass,0.1872430011474838,0.24298256187580983,0.002641884610056877,0.7114671468734741,12
block16_oracle,64,64,64,critical_mass,0.1872430011474838,0.24298256187580983,0.002641884610056877,0.7114671468734741,12
block16_oracle,64,64,8,critical_mass,0.1872430011474838,0.24298256187580983,0.002641884610056877,0.7114671468734741,12
block32_oracle,1024,1024,16,critical_mass,0.44941970333456993,0.38114364706752146,0.036647897213697433,0.9690293073654175,12
block32_oracle,1024,1024,32,critical_mass,0.44941970333456993,0.38114364706752146,0.036647897213697433,0.9690293073654175,12
block32_oracle,1024,1024,64,critical_mass,0.44941970333456993,0.38114364706752146,0.036647897213697433,0.9690293073654175,12
block32_oracle,1024,1024,8,critical_mass,0.44941970333456993,0.38114364706752146,0.036647897213697433,0.9690293073654175,12
block32_oracle,128,128,16,critical_mass,0.20063066575676203,0.24754386261895944,0.004802108742296696,0.7223736047744751,12
block32_oracle,128,128,32,critical_mass,0.20063066575676203,0.24754386261895944,0.004802108742296696,0.7223736047744751,12
block32_oracle,128,128,64,critical_mass,0.20063066575676203,0.24754386261895944,0.004802108742296696,0.7223736047744751,12
block32_oracle,128,128,8,critical_mass,0.20063066575676203,0.24754386261895944,0.004802108742296696,0.7223736047744751,12
block32_oracle,256,256,16,critical_mass,0.28350998857058585,0.3132969558350283,0.009472912177443504,0.8682446479797363,12
block32_oracle,256,256,32,critical_mass,0.28350998857058585,0.3132969558350283,0.009472912177443504,0.8682446479797363,12
block32_oracle,256,256,64,critical_mass,0.28350998857058585,0.3132969558350283,0.009472912177443504,0.8682446479797363,12
block32_oracle,256,256,8,critical_mass,0.28350998857058585,0.3132969558350283,0.009472912177443504,0.8682446479797363,12
block32_oracle,512,512,16,critical_mass,0.36680020826558274,0.35647628356491146,0.01864977553486824,0.9244213700294495,12
block32_oracle,512,512,32,critical_mass,0.36680020826558274,0.35647628356491146,0.01864977553486824,0.9244213700294495,12
block32_oracle,512,512,64,critical_mass,0.36680020826558274,0.35647628356491146,0.01864977553486824,0.9244213700294495,12
block32_oracle,512,512,8,critical_mass,0.36680020826558274,0.35647628356491146,0.01864977553486824,0.9244213700294495,12
block32_oracle,64,64,16,critical_mass,0.1295068027684465,0.17638510993220907,0.0024288890417665243,0.5556991696357727,12
