split,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
test,diag_gaussian,oracle_mass,0.0625,64,216,2.9188307503506787,0.9375528710290818,18.73946416313278,0.5933832446182216,0.09279496223940643,10.77644708147032
test,diag_gaussian,oracle_mass,0.125,16,216,2.7946958618621704,0.8038592391872142,10.001757382966229,0.6852618191667177,0.19534662867996153,5.119105493437057
test,diag_gaussian,oracle_mass,0.125,64,216,3.2070662508253247,0.5953978198813766,18.73946416313278,0.6852618191667177,0.1543209876543206,6.480000000000016
validation,centroid,moment,0.0625,16,108,0.13991257612383834,0.4610227441065613,0.9263034029515731,0.5921027571376827,0.13675213675213663,7.312500000000007
validation,centroid,moment,0.0625,64,108,0.1476316662985739,0.4657975634394227,0.9682403712919205,0.5921027571376827,0.09279609279609263,10.776315789473703
validation,centroid,moment,0.125,16,108,0.10545019861269143,0.3577318235160033,0.8321850334329022,0.6881911278598838,0.19534888979333387,5.119046241101925
validation,centroid,moment,0.125,64,108,0.11115470140079425,0.36782053280628996,0.8683689044535664,0.6881911278598838,0.154323248767693,6.479905056336181
validation,centroid,oracle_mass,0.0625,16,108,0.12807514039831672,0.4123778385224221,0.8865287602705221,0.607055872540783,0.13675213675213663,7.312500000000007
validation,centroid,oracle_mass,0.0625,64,108,0.13654492797243367,0.4333556187445859,0.9259589918212383,0.607055872540783,0.09279609279609263,10.776315789473703
validation,centroid,oracle_mass,0.125,16,108,0.09602904829525001,0.33760318900645053,0.7982378415845766,0.7020235581806412,0.19535341202007833,5.118927740546556
validation,centroid,oracle_mass,0.125,64,108,0.10246969454655451,0.35895946539109136,0.8336880576520044,0.7020235581806412,0.15432777099443745,6.4797151773548505
validation,diag_gaussian,moment,0.0625,16,108,2.7606482048218433,0.9271598419498484,9.14249160505153,0.5685475771129348,0.13675213675213663,7.312500000000007
validation,diag_gaussian,moment,0.0625,64,108,2.409297530606264,0.7156215116414354,7.708735061126118,0.5685475771129348,0.09279609279609263,10.776315789473703
validation,diag_gaussian,moment,0.125,16,108,2.7527830074148145,0.8450204966268029,9.14249160505153,0.6634753562647899,0.1953511509067061,5.118986990138442
validation,diag_gaussian,moment,0.125,64,108,2.3169812818045012,0.42292403270870316,9.33126204094374,0.6634753562647899,0.15432550988106522,6.479810115454502
validation,diag_gaussian,oracle_mass,0.0625,16,108,2.749829831241838,0.9272658772027933,9.105475897900819,0.607055872540783,0.13675213675213663,7.312500000000007
validation,diag_gaussian,oracle_mass,0.0625,64,108,1.5560988350059772,0.9426190634510548,5.9053222066257005,0.607055872540783,0.09279609279609263,10.776315789473703
validation,diag_gaussian,oracle_mass,0.125,16,108,2.742795662307968,0.7852936511424286,9.105475897900819,0.7020235581806412,0.19535341202007833,5.118927740546556
validation,diag_gaussian,oracle_mass,0.125,64,108,1.6444945723873576,0.5595261358851072,6.411389294423027,0.7020235581806412,0.15432777099443745,6.4797151773548505
