split,sampling_step,branch,layer,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,19,cond,14,diag_gaussian,oracle_mass,0.125,64,12,0.09353887461630095,0.1611496867094432,0.16744336007794383,0.8525247474511465,0.1543345543345543,6.479430379746836
calibration,19,cond,29,centroid,moment,0.0625,16,12,0.021060855555950653,0.06556896703834132,0.07770681759200632,0.8491985946893692,0.13675213675213674,7.312500000000001
calibration,19,cond,29,centroid,moment,0.0625,64,12,0.02964345770031572,0.10056595494469658,0.1190226222219658,0.8491985946893692,0.0927960927960928,10.776315789473683
calibration,19,cond,29,centroid,moment,0.125,16,12,0.013039084270011343,0.04142035292185843,0.05028222923395839,0.9055592566728592,0.19536019536019536,5.11875
calibration,19,cond,29,centroid,moment,0.125,64,12,0.018087800237694438,0.06331415741863491,0.06834777972133779,0.9055592566728592,0.1543345543345543,6.479430379746836
calibration,19,cond,29,centroid,oracle_mass,0.0625,16,12,0.019465392582894717,0.06125871797879971,0.07081995270399874,0.8520118693510691,0.13675213675213674,7.312500000000001
calibration,19,cond,29,centroid,oracle_mass,0.0625,64,12,0.026806474419872155,0.0900447722294942,0.09981862044061546,0.8520118693510691,0.0927960927960928,10.776315789473683
calibration,19,cond,29,centroid,oracle_mass,0.125,16,12,0.011470352235153237,0.03999721907253498,0.04732558221155743,0.9086569050947825,0.19536019536019536,5.11875
calibration,19,cond,29,centroid,oracle_mass,0.125,64,12,0.015633811263213376,0.058486152477652806,0.060170984719069245,0.9086569050947825,0.1543345543345543,6.479430379746836
calibration,19,cond,29,diag_gaussian,moment,0.0625,16,12,1.0769306494169018,1.3688715959839532,1.3771153488440115,0.7673277954789414,0.13675213675213674,7.312500000000001
calibration,19,cond,29,diag_gaussian,moment,0.0625,64,12,1.8149213856774067,1.747811139303011,2.653698592447054,0.7673277954789414,0.0927960927960928,10.776315789473683
calibration,19,cond,29,diag_gaussian,moment,0.125,16,12,1.0782822346064684,1.3723304008304937,1.384801581836324,0.8241535677310216,0.19536019536019536,5.11875
calibration,19,cond,29,diag_gaussian,moment,0.125,64,12,2.403107048874881,1.9296127627902677,3.5958169099842854,0.8241535677310216,0.1543345543345543,6.479430379746836
calibration,19,cond,29,diag_gaussian,oracle_mass,0.0625,16,12,1.3174640584851554,1.5679209424184442,1.7671744460322534,0.8520118693510691,0.13675213675213674,7.312500000000001
calibration,19,cond,29,diag_gaussian,oracle_mass,0.0625,64,12,3.6109902006657366,3.182504419071196,5.3502979055638455,0.8520118693510691,0.0927960927960928,10.776315789473683
calibration,19,cond,29,diag_gaussian,oracle_mass,0.125,16,12,1.3306479468533856,1.6093409052188874,1.7671744460322534,0.9086569050947825,0.19536019536019536,5.11875
calibration,19,cond,29,diag_gaussian,oracle_mass,0.125,64,12,3.630773447785284,3.2081370381903223,5.385982688658311,0.9086569050947825,0.1543345543345543,6.479430379746836
calibration,9,cond,0,centroid,moment,0.0625,16,12,0.16697267687938552,0.4418782626557637,0.4682493917569529,0.5460486306498448,0.13675213675213674,7.312500000000001
calibration,9,cond,0,centroid,moment,0.0625,64,12,0.1756631740509881,0.46222331160292296,0.48795413006102095,0.5460486306498448,0.0927960927960928,10.776315789473683
calibration,9,cond,0,centroid,moment,0.125,16,12,0.12988188648075624,0.3550372427141054,0.4260724548550348,0.6159405522048473,0.19533984533984536,5.119283258672778
calibration,9,cond,0,centroid,moment,0.125,64,12,0.1360756052670829,0.3702069001647098,0.4432500488221851,0.6159405522048473,0.15431420431420428,6.480284847685613
calibration,9,cond,0,centroid,oracle_mass,0.0625,16,12,0.16418554304437566,0.4331581670213759,0.4583810875279997,0.5471091754734516,0.13675213675213674,7.312500000000001
calibration,9,cond,0,centroid,oracle_mass,0.0625,64,12,0.17262744560121884,0.45303494405861994,0.47789757276164446,0.5471091754734516,0.0927960927960928,10.776315789473683
calibration,9,cond,0,centroid,oracle_mass,0.125,16,12,0.12569859564348101,0.3402313006936122,0.40876113106380063,0.6173186351855596,0.19533984533984536,5.119283258672778
calibration,9,cond,0,centroid,oracle_mass,0.125,64,12,0.13173056796370658,0.35479417488756726,0.4250094022430477,0.6173186351855596,0.15431420431420428,6.480284847685613
calibration,9,cond,0,diag_gaussian,moment,0.0625,16,12,0.16456440292398833,0.43946426667851873,0.4725945863689269,0.5469864762077729,0.13675213675213674,7.312500000000001
calibration,9,cond,0,diag_gaussian,moment,0.0625,64,12,0.17329661930728535,0.46042675731339655,0.49288796187513323,0.5469864762077729,0.0927960927960928,10.776315789473683
calibration,9,cond,0,diag_gaussian,moment,0.125,16,12,0.13102700139938478,0.35908723359329864,0.42814818454519926,0.616683921466271,0.19533984533984536,5.119283258672778
calibration,9,cond,0,diag_gaussian,moment,0.125,64,12,0.13763331975289553,0.37560370484917144,0.4459763615741931,0.616683921466271,0.15431420431420428,6.480284847685613
calibration,9,cond,0,diag_gaussian,oracle_mass,0.0625,16,12,0.16385456240481347,0.4351444180052428,0.46299492265053593,0.5471091754734516,0.13675213675213674,7.312500000000001
calibration,9,cond,0,diag_gaussian,oracle_mass,0.0625,64,12,0.17253297390680258,0.4560493429646466,0.4831603744334666,0.5471091754734516,0.0927960927960928,10.776315789473683
calibration,9,cond,0,diag_gaussian,oracle_mass,0.125,16,12,0.1283516883948729,0.3490094630684757,0.4145360090027898,0.6173186351855596,0.19533984533984536,5.119283258672778
calibration,9,cond,0,diag_gaussian,oracle_mass,0.125,64,12,0.1348643126181977,0.36510336346655936,0.4316322660777741,0.6173186351855596,0.15431420431420428,6.480284847685613
calibration,9,cond,14,centroid,moment,0.0625,16,12,0.19791057880595136,0.40254083396816687,0.4262334093423274,0.6215314517418543,0.13675213675213674,7.312500000000001
calibration,9,cond,14,centroid,moment,0.0625,64,12,0.20582249287024265,0.41774848254791774,0.45692212736417964,0.6215314517418543,0.0927960927960928,10.776315789473683
calibration,9,cond,14,centroid,moment,0.125,16,12,0.1659488911818546,0.36385726514668926,0.37182884901870855,0.7212365468343099,0.19536019536019536,5.11875
calibration,9,cond,14,centroid,moment,0.125,64,12,0.17084274326352528,0.37309773967242055,0.39464232466691535,0.7212365468343099,0.1543345543345543,6.479430379746836
calibration,9,cond,14,centroid,oracle_mass,0.0625,16,12,0.18299608442110415,0.40090575622825014,0.43184996443682516,0.6319246888160706,0.13675213675213674,7.312500000000001
calibration,9,cond,14,centroid,oracle_mass,0.0625,64,12,0.19476935736426004,0.43101608919536083,0.4655188134057339,0.6319246888160706,0.0927960927960928,10.776315789473683
calibration,9,cond,14,centroid,oracle_mass,0.125,16,12,0.13215657527398522,0.30287871056675997,0.32217155536543435,0.7415079548954964,0.19536019536019536,5.11875
calibration,9,cond,14,centroid,oracle_mass,0.125,64,12,0.140579397711115,0.3206853295177819,0.3426591349661898,0.7415079548954964,0.1543345543345543,6.479430379746836
calibration,9,cond,14,diag_gaussian,moment,0.0625,16,12,0.20546594460271614,0.42243623254042717,0.42275275813252483,0.625507190823555,0.13675213675213674,7.312500000000001
calibration,9,cond,14,diag_gaussian,moment,0.0625,64,12,0.21244747033897585,0.43814631969755546,0.45309710546442367,0.625507190823555,0.0927960927960928,10.776315789473683
calibration,9,cond,14,diag_gaussian,moment,0.125,16,12,0.17171796837964895,0.37164505788501245,0.39110397950117015,0.7235674808422724,0.19536019536019536,5.11875
calibration,9,cond,14,diag_gaussian,moment,0.125,64,12,0.1764320879651413,0.3850106883599398,0.3947901780446596,0.7235674808422724,0.1543345543345543,6.479430379746836
calibration,9,cond,14,diag_gaussian,oracle_mass,0.0625,16,12,0.18297272235925977,0.39468312996870625,0.42164654135232865,0.6319246888160706,0.13675213675213674,7.312500000000001
calibration,9,cond,14,diag_gaussian,oracle_mass,0.0625,64,12,0.19177083283392604,0.42517397674456536,0.45429702052110854,0.6319246888160706,0.0927960927960928,10.776315789473683
calibration,9,cond,14,diag_gaussian,oracle_mass,0.125,16,12,0.12758248820819593,0.30191380348127295,0.32080855857908286,0.7415079548954964,0.19536019536019536,5.11875
calibration,9,cond,14,diag_gaussian,oracle_mass,0.125,64,12,0.13385645930268966,0.3210123809598029,0.34180737315931203,0.7415079548954964,0.1543345543345543,6.479430379746836
calibration,9,cond,29,centroid,moment,0.0625,16,12,0.025580132037803887,0.0584431555145393,0.06381616659210902,0.7237772941589355,0.13675213675213674,7.312500000000001
calibration,9,cond,29,centroid,moment,0.0625,64,12,0.033476752287782165,0.07948045125410236,0.08912417844821613,0.7237772941589355,0.0927960927960928,10.776315789473683
calibration,9,cond,29,centroid,moment,0.125,16,12,0.01685634883155774,0.034138103640511265,0.03601498034962961,0.7896047532558441,0.19536019536019536,5.11875
calibration,9,cond,29,centroid,moment,0.125,64,12,0.021707223959235668,0.045350260250114315,0.04976223483768428,0.7896047532558441,0.1543345543345543,6.479430379746836
calibration,9,cond,29,centroid,oracle_mass,0.0625,16,12,0.025419765203153758,0.05644503350066327,0.06932755512135785,0.725729533781608,0.13675213675213674,7.312500000000001
calibration,9,cond,29,centroid,oracle_mass,0.0625,64,12,0.03308658374063878,0.07780702518638374,0.09552841718273357,0.725729533781608,0.0927960927960928,10.776315789473683
calibration,9,cond,29,centroid,oracle_mass,0.125,16,12,0.01570425608315211,0.03153213066077504,0.031698490106567376,0.7919681097070376,0.19536019536019536,5.11875
calibration,9,cond,29,centroid,oracle_mass,0.125,64,12,0.0196047362422585,0.039877512592376624,0.040458716405130976,0.7919681097070376,0.1543345543345543,6.479430379746836
calibration,9,cond,29,diag_gaussian,moment,0.0625,16,12,1.3666770021834926,1.4186852873545306,2.346247431299053,0.6416922666997683,0.13675213675213674,7.312500000000001
calibration,9,cond,29,diag_gaussian,moment,0.0625,64,12,2.632745462014609,2.1668216107655245,4.572968612998002,0.6416922666997683,0.0927960927960928,10.776315789473683
calibration,9,cond,29,diag_gaussian,moment,0.125,16,12,1.3636907984763942,1.3903197930060749,2.346247431299053,0.7074797683550665,0.19536019536019536,5.11875
calibration,9,cond,29,diag_gaussian,moment,0.125,64,12,8.746665781308515,6.87576141503095,15.198146161021517,0.7074797683550665,0.1543345543345543,6.479430379746836
calibration,9,cond,29,diag_gaussian,oracle_mass,0.0625,16,12,1.5934195225251075,1.642046217861515,2.7376179921052164,0.725729533781608,0.13675213675213674,7.312500000000001
calibration,9,cond,29,diag_gaussian,oracle_mass,0.0625,64,12,2.0502350641228633,2.3662776588567005,3.4725886690325183,0.725729533781608,0.0927960927960928,10.776315789473683
calibration,9,cond,29,diag_gaussian,oracle_mass,0.125,16,12,1.5791782176391085,1.4174851473477625,2.7376179921052164,0.7919681097070376,0.19536019536019536,5.11875
calibration,9,cond,29,diag_gaussian,oracle_mass,0.125,64,12,1.821212628962912,1.4650100728186777,3.164065323919051,0.7919681097070376,0.1543345543345543,6.479430379746836
test,0,cond,0,centroid,moment,0.0625,16,24,0.24735648874428962,0.8408394564026123,0.9031317998849522,0.5193934570997953,0.13675213675213674,7.312500000000001
test,0,cond,0,centroid,moment,0.0625,64,24,0.2598809826190297,0.8768291811997355,0.9414982026226347,0.5193934570997953,0.09279609279609285,10.776315789473678
test,0,cond,0,centroid,moment,0.125,16,24,0.20189591053392317,0.7572758981065557,0.8174831004391345,0.5967336793740591,0.1953398453398454,5.119283258672777
test,0,cond,0,centroid,moment,0.125,64,24,0.2115101004014685,0.7894766141590269,0.8517340010088267,0.5967336793740591,0.15431420431420426,6.480284847685615
test,0,cond,0,centroid,oracle_mass,0.0625,16,24,0.23986599007345002,0.8209748164179529,0.8835215127061927,0.5197432227432728,0.13675213675213674,7.312500000000001
