category,layer,mode,method,capacity,delay,run_count,observation_count,mean_cosine_mean,mean_cosine_std,median_cosine_mean,median_cosine_std,mean_relative_l2_mean,mean_relative_l2_std,coverage_mean,coverage_std,cosine_gain_vs_recent
__all__,7,frame_centered_unit,uniform_reservoir,64,1,30,450,0.9566831317261406,0.05750182273207502,0.976017976357176,0.05130568488813683,0.14684375373709116,0.1596002086030261,0.8629166666666667,0.1954823983266922,-0.04331686827385939
__all__,7,frame_centered_unit,uniform_reservoir,64,2,30,420,0.9586206108436565,0.05325099865413816,0.9769599567302364,0.04813658272090298,0.1476424445588732,0.15050754748764142,0.8669642857142857,0.1899408865704182,-0.04137938915634354
__all__,7,frame_centered_unit,uniform_reservoir,64,4,30,360,0.9536840483150283,0.05263451311276173,0.9726442410561301,0.05185374498028015,0.169553269932239,0.14407692163529512,0.853125,0.19548672784587934,0.03488782880772423
__all__,7,frame_centered_unit,uniform_reservoir,64,8,30,240,0.9347930925597793,0.0633359795415443,0.9559627220697783,0.06494939615225213,0.22266051865750883,0.16391881010963383,0.7927083333333333,0.22935361692640086,0.13864852191723864
camera_motion,0,frame_centered_unit,instant_adaptive,64,0,6,96,1.0,0.0,1.0,3.204937810639273e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,0,frame_centered_unit,instant_adaptive,64,1,6,90,1.0,0.0,1.0,3.310045537663031e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,0,frame_centered_unit,instant_adaptive,64,2,6,84,1.0,0.0,1.0,3.4262226380941543e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,0,frame_centered_unit,instant_adaptive,64,4,6,72,0.938121247961549,0.07865667666727942,0.9457370387252619,0.07836165968826496,0.2462332665595967,0.19905847878558072,0.8194444444444444,0.28651619785939236,0.03932328918362493
camera_motion,0,frame_centered_unit,instant_adaptive,64,8,6,48,0.8695525602202746,0.08855947642398641,0.8916302462690512,0.09768215778338472,0.4161493500603061,0.19041822590667942,0.5963541666666666,0.28639914161179364,0.1288807088304259
camera_motion,0,frame_centered_unit,instant_oja,64,0,6,96,1.0,0.0,1.0,3.204937810639273e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,0,frame_centered_unit,instant_oja,64,1,6,90,1.0,0.0,1.0,3.310045537663031e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,0,frame_centered_unit,instant_oja,64,2,6,84,1.0,0.0,1.0,3.4262226380941543e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,0,frame_centered_unit,instant_oja,64,4,6,72,0.9386447135889122,0.07110295845705707,0.942762106449637,0.07136291817303612,0.26482598130454105,0.19216909888556197,0.7803819444444444,0.3060077442404163,0.039846754810988094
camera_motion,0,frame_centered_unit,instant_oja,64,8,6,48,0.9474182075376891,0.05585870598544669,0.9535064009079796,0.056377285003940986,0.2536316071832117,0.15582696698061352,0.8294270833333334,0.22669341883145405,0.20674635614784043
camera_motion,0,frame_centered_unit,recent_window,64,0,6,96,1.0,0.0,1.0,3.204937810639273e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,0,frame_centered_unit,recent_window,64,1,6,90,1.0,0.0,1.0,3.310045537663031e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,0,frame_centered_unit,recent_window,64,2,6,84,1.0,0.0,1.0,3.4262226380941543e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,0,frame_centered_unit,recent_window,64,4,6,72,0.8987979587779241,0.12571378509002007,0.9041052479713529,0.12616139019444322,0.33766944454818515,0.27273475528182717,0.6970486111111112,0.3843820180906026,0.0
camera_motion,0,frame_centered_unit,recent_window,64,8,6,48,0.7406718513898487,0.19048549470570092,0.7487279495646445,0.19318351391653416,0.6298756011747759,0.31614793568054544,0.34375,0.38102794079524754,0.0
camera_motion,0,frame_centered_unit,uniform_reservoir,64,0,6,96,0.931499074619231,0.0880531907947316,0.9501602569444533,0.0991871362877644,0.18882699545330625,0.20014829058194702,0.8033854166666666,0.24655490302160502,-0.06850092538076902
camera_motion,0,frame_centered_unit,uniform_reservoir,64,1,6,90,0.9401056949535971,0.07550228012191759,0.9597025012543487,0.08407275519710947,0.17884953009045923,0.18123259574879344,0.8236111111111111,0.2359926173254129,-0.05989430504640292
camera_motion,0,frame_centered_unit,uniform_reservoir,64,2,6,84,0.9395054672904686,0.07298365130087744,0.9578606431371662,0.08467914507565853,0.18706455036269798,0.1789717245607638,0.8177083333333334,0.23488700688199876,-0.06049453270953142
camera_motion,0,frame_centered_unit,uniform_reservoir,64,4,6,72,0.937647562319495,0.06791156587408873,0.9630537518879559,0.07272861663863069,0.20447075762894984,0.16148767169564168,0.8072916666666666,0.21137108216357317,0.038849603541570854
camera_motion,0,frame_centered_unit,uniform_reservoir,64,8,6,48,0.9303118083325476,0.06298965632580734,0.9569079211505317,0.06455319448862352,0.2421835176583794,0.14800910209396526,0.7721354166666666,0.19701945069965315,0.18963995694269886
camera_motion,15,frame_centered_unit,instant_adaptive,64,0,6,96,1.0,0.0,1.0,4.5324665183683945e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,15,frame_centered_unit,instant_adaptive,64,1,6,90,1.0,0.0,1.0,4.0539612963254114e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,15,frame_centered_unit,instant_adaptive,64,2,6,84,1.0,0.0,1.0,4.1962486042515756e-17,0.0,0.0,1.0,0.0,0.0
camera_motion,15,frame_centered_unit,instant_adaptive,64,4,6,72,0.9553041812114648,0.0482662503753212,0.9700535864675176,0.0310629106136513,0.2305525158928377,0.13281615116680948,0.8880208333333334,0.16955105011102115,0.04141921956057604
