layer,frame,method,scope,relative_error,centered_relative_error,pixel_change_score,pixel_dy,pixel_dx,hidden_dy,hidden_dx
2,2,local_bttb_causal,previous_transition,0.6393812839013523,0.6445733357791084,0.36839446366782014,0,1,1,-1
2,2,global_bccb_causal,previous_transition,0.07664680766800913,0.07795535912031001,0.36839446366782014,0,1,1,-1
2,3,identity,fixed,1.3754347694792606,1.430927437941248,0.3047128027681661,1,-1,1,-1
2,3,pixel_shift_zero,pixel_pair,0.6514311044228318,0.6612350534634319,0.3047128027681661,1,-1,1,-1
2,3,pixel_shift_cyclic,pixel_pair,0.12084874392575008,0.12135508189349899,0.3047128027681661,1,-1,1,-1
2,3,hidden_shift_cyclic,hidden_pair,0.12084874392575008,0.12135508189349899,0.3047128027681661,1,-1,1,-1
2,3,local_bccb_pair,pair_oracle,0.12021193014496462,0.12074104956307159,0.3047128027681661,1,-1,1,-1
2,3,local_bttb_pair,pair_oracle,0.6379763299432317,0.6484319221219929,0.3047128027681661,1,-1,1,-1
2,3,global_bccb_pair,pair_oracle,0.11681645860634944,0.11733531829682894,0.3047128027681661,1,-1,1,-1
2,3,local_bccb_causal,previous_transition,0.12162792354111467,0.12163715813186984,0.3047128027681661,1,-1,1,-1
2,3,local_bttb_causal,previous_transition,0.6499515621101721,0.6580906798188909,0.3047128027681661,1,-1,1,-1
2,3,global_bccb_causal,previous_transition,0.12326898280235664,0.12333082475634326,0.3047128027681661,1,-1,1,-1
