case,sample_id,prompt_index,seed,layer,sampling_step,timestep,branch,head,mask,logical_density,execution_density,exact_attention_mass_mean,output_relative_l2,defect_squared_norm,reference_squared_norm,query_output_nrmse_p95,query_output_nrmse_p99,query_cosine_p05,absolute_lse_error_p95,numerator_relative_l2_p95,static_sparse_head_gate
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.7284659743309021,0.14708341658115387,91.34367370605469,4222.31689453125,0.22051672637462616,0.26359766721725464,0.9810695648193359,0.42730122804641724,0.34776338934898376,False
f81_l0_t1000_cond,,,,0,,1000,cond,1,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.6237304210662842,0.2539544403553009,272.3094482421875,4222.31689453125,0.4185168743133545,0.5539848804473877,0.9205092191696167,0.9979203939437866,0.6449285745620728,False
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3,0.012529350817203522,0.015228076837956905,0.016517026349902153,0.7238354086875916,773.3095703125,1475.9569091796875,0.9703758955001831,1.008707046508789,0.6991155743598938,4.740103244781494,0.991761326789856,False
f81_l0_t1000_cond,,,,0,,1000,cond,2,s5,0.026429980993270874,0.03253999724984169,0.03390419855713844,0.6441723704338074,612.4599609375,1475.9569091796875,0.8010692000389099,0.8478695154190063,0.75746089220047,3.873697280883789,0.9806922674179077,False
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_tfull,0.048220157623291016,0.06011082977056503,0.05560748279094696,0.4793088138103485,339.081787109375,1475.9569091796875,0.6558554768562317,0.7020253539085388,0.8212122917175293,3.4366791248321533,0.9717183113098145,False
f81_l0_t1000_cond,,,,0,,1000,cond,2,s5_tfull,0.06212078407406807,0.07742274552583694,0.0729946494102478,0.4208318591117859,261.3910827636719,1475.9569091796875,0.5687190294265747,0.5942170023918152,0.8565599322319031,3.11806321144104,0.9598149061203003,False
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.07192584127187729,0.48707398772239685,350.1575012207031,1475.9569091796875,0.6502505540847778,0.7043715715408325,0.8244946599006653,3.32555890083313,0.9669859409332275,False
f81_l0_t1000_cond,,,,0,,1000,cond,2,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.07545004785060883,0.3576169013977051,188.75987243652344,1475.9569091796875,0.5530316829681396,0.6390316486358643,0.8658365607261658,2.9682252407073975,0.9528058171272278,False
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3,0.012529350817203522,0.015228076837956905,0.012562085874378681,0.6778688430786133,438.9882507324219,955.3482666015625,1.0377233028411865,1.4594889879226685,0.640661895275116,5.070076942443848,0.9947933554649353,False
f81_l0_t1000_cond,,,,0,,1000,cond,3,s5,0.026429980993270874,0.03253999724984169,0.02618490345776081,0.4327974319458008,178.94961547851562,955.3482666015625,0.7240781784057617,0.8806695342063904,0.7660062909126282,4.1773681640625,0.9857597351074219,False
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_tfull,0.048220157623291016,0.06011082977056503,0.049474749714136124,0.8139529824256897,632.9367065429688,955.3482666015625,1.2294946908950806,1.4164490699768066,0.5409979224205017,3.5876312255859375,0.9787481427192688,False
f81_l0_t1000_cond,,,,0,,1000,cond,3,s5_tfull,0.06212078407406807,0.07742274552583694,0.06309756636619568,0.6592923998832703,415.2576599121094,955.3482666015625,1.0443475246429443,1.1587404012680054,0.6362768411636353,3.303889274597168,0.9703198671340942,False
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.05906924977898598,0.6398726105690002,391.1547546386719,955.3482666015625,0.958037257194519,1.0433344841003418,0.6744260191917419,3.549116849899292,0.9755171537399292,False
f81_l0_t1000_cond,,,,0,,1000,cond,3,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.07030075788497925,0.5005131363868713,239.3274688720703,955.3482666015625,0.8548165559768677,1.0109344720840454,0.6901962161064148,3.006430149078369,0.957169771194458,False
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3,0.012529350817203522,0.015228076837956905,0.7214235663414001,0.3508269190788269,539.69873046875,4384.95751953125,0.5580195188522339,0.7341764569282532,0.9339720010757446,0.691627025604248,0.41485071182250977,False
f81_l0_t1000_cond,,,,0,,1000,cond,4,s5,0.026429980993270874,0.03253999724984169,0.7359496355056763,0.3300606310367584,477.6974182128906,4384.95751953125,0.5082223415374756,0.5876746773719788,0.9445444345474243,0.5953420996665955,0.3758013844490051,False
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_tfull,0.048220157623291016,0.06011082977056503,0.8375766277313232,0.22457432746887207,221.14935302734375,4384.95751953125,0.43520376086235046,0.5186868906021118,0.9515329599380493,0.48241543769836426,0.32687708735466003,False
f81_l0_t1000_cond,,,,0,,1000,cond,4,s5_tfull,0.06212078407406807,0.07742274552583694,0.8521025776863098,0.20940598845481873,192.28419494628906,4384.95751953125,0.39079052209854126,0.4334278106689453,0.9592259526252747,0.40073084831237793,0.31156831979751587,False
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.9370511770248413,0.08492496609687805,31.625423431396484,4384.95751953125,0.2966393530368805,0.4070141315460205,0.9732651710510254,0.4311392903327942,0.2885954976081848,False
f81_l0_t1000_cond,,,,0,,1000,cond,4,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.8392643928527832,0.22335244715213776,218.74960327148438,4384.95751953125,0.4346539378166199,0.5168132781982422,0.9514973163604736,0.4813830852508545,0.326651930809021,False
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3,0.012529350817203522,0.015228076837956905,0.7160215377807617,0.27908527851104736,270.79205322265625,3476.657958984375,0.4384024739265442,0.5127821564674377,0.945526659488678,0.5006616115570068,0.39401912689208984,False
f81_l0_t1000_cond,,,,0,,1000,cond,5,s5,0.026429980993270874,0.03253999724984169,0.7311052083969116,0.26410743594169617,242.50653076171875,3476.657958984375,0.42396673560142517,0.4550912082195282,0.946600615978241,0.45273762941360474,0.37412476539611816,False
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_tfull,0.048220157623291016,0.06011082977056503,0.8255223035812378,0.17129650712013245,102.01387786865234,3476.657958984375,0.28633636236190796,0.3878350853919983,0.9692421555519104,0.3658023774623871,0.32180753350257874,False
f81_l0_t1000_cond,,,,0,,1000,cond,5,s5_tfull,0.06212078407406807,0.07742274552583694,0.8406059741973877,0.16022948920726776,89.25798034667969,3476.657958984375,0.26839423179626465,0.36874067783355713,0.9717044234275818,0.33486121892929077,0.30030766129493713,False
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.9396315217018127,0.059814102947711945,12.438532829284668,3476.657958984375,0.14381052553653717,0.2114642858505249,0.9936834573745728,0.21526843309402466,0.16948865354061127,False
f81_l0_t1000_cond,,,,0,,1000,cond,5,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.8275644779205322,0.16985903680324554,100.30889129638672,3476.657958984375,0.28625234961509705,0.38626301288604736,0.9694307446479797,0.36297351121902466,0.32177796959877014,False
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3,0.012529350817203522,0.015228076837956905,0.4396730661392212,0.267668217420578,222.70437622070312,3108.385498046875,0.39994940161705017,0.4590609073638916,0.9384796023368835,1.0997213125228882,0.672461211681366,False
f81_l0_t1000_cond,,,,0,,1000,cond,6,s5,0.026429980993270874,0.03253999724984169,0.5568329095840454,0.1851433962583542,106.54945373535156,3108.385498046875,0.2778953015804291,0.3894535303115845,0.9665672183036804,0.8184595704078674,0.5572787523269653,False
f81_l0_t1000_cond,,,,0,,1000,cond,6,s3_tfull,0.048220157623291016,0.06011082977056503,0.4903189539909363,0.22719059884548187,160.4411163330078,3108.385498046875,0.34766000509262085,0.4029126763343811,0.952301025390625,0.9339185357093811,0.6025444865226746,False
f81_l0_t1000_cond,,,,0,,1000,cond,6,s5_tfull,0.06212078407406807,0.07742274552583694,0.6074787974357605,0.15576450526714325,75.41748046875,3108.385498046875,0.2587522268295288,0.2815185785293579,0.9737119078636169,0.7116259932518005,0.5044355988502502,False
