layer,budget_bps,controller,predictor,innovation_codec,innovation_fraction,quality_cosine,test_samples,accuracy,balanced_accuracy,controller_static_bits,tree_nodes,tree_depth,parameter_count,normalizer_parameter_count,gate_count,depth,input_bits,val_soft_accuracy,val_hard_accuracy,val_discretization_gap,val_soft_hard_agreement
15,1.58,dlgn,ema_050,pq_1p5b_k64_d4,1.0,0.95,150,0.7133333333333334,0.5421227197346601,2256,,,,,128,2,21,0.5066666603088379,0.7066666483879089,-0.19999998807907104,0.6133333444595337
15,2.0,threshold,ema_050,pq_2b_k256_d4,1.0,0.95,150,0.6866666666666666,0.5424102522825012,56,,,,,,,,,,,
15,2.0,decision_tree,ema_050,pq_2b_k256_d4,1.0,0.95,150,0.7,0.5564933422256975,210,19,4,,,,,,,,,
15,2.0,mlp,ema_050,pq_2b_k256_d4,1.0,0.95,150,0.78,0.5967159579605823,9792,,,292,14,,,,,,,
15,2.0,dlgn,ema_050,pq_2b_k256_d4,1.0,0.95,150,0.7266666666666667,0.4335314950670377,2256,,,,,128,2,21,0.5333333611488342,0.7599999904632568,-0.2266666293144226,0.7200000286102295
15,4.0,threshold,ema_050,pq_2b_k256_d4,1.0,0.95,150,0.6866666666666666,0.5424102522825012,56,,,,,,,,,,,
15,4.0,decision_tree,ema_050,pq_2b_k256_d4,1.0,0.95,150,0.7,0.5564933422256975,210,19,4,,,,,,,,,
15,4.0,mlp,ema_050,pq_2b_k256_d4,1.0,0.95,150,0.76,0.5814312489938597,9792,,,292,14,,,,,,,
15,4.0,dlgn,ema_050,pq_2b_k256_d4,1.0,0.95,150,0.6666666666666666,0.39488995699468754,2256,,,,,128,2,21,0.5333333611488342,0.7733333110809326,-0.2399999499320984,0.6800000071525574
22,0.5,threshold,ema_075,pq_0p5b_k16_d8,1.0,0.95,150,0.7466666666666667,0.3729508196721312,56,,,,,,,,,,,
22,0.5,decision_tree,ema_075,pq_0p5b_k16_d8,1.0,0.95,150,0.7666666666666667,0.38524590163934425,72,7,2,,,,,,,,,
22,0.5,mlp,ema_075,pq_0p5b_k16_d8,1.0,0.95,150,0.8666666666666667,0.45091963214714115,9792,,,292,14,,,,,,,
22,0.5,dlgn,ema_075,pq_0p5b_k16_d8,1.0,0.95,150,0.82,0.4190823670531787,2256,,,,,128,2,21,0.8533333539962769,0.8533333539962769,0.0,1.0
22,1.0,threshold,ema_075,pq_1p5b_k64_d4,0.5,0.95,150,0.5666666666666667,0.4097826319276722,56,,,,,,,,,,,
22,1.0,decision_tree,ema_075,pq_1p5b_k64_d4,0.5,0.95,150,0.6733333333333333,0.5309434244555111,72,7,2,,,,,,,,,
22,1.0,mlp,ema_075,pq_1p5b_k64_d4,0.5,0.95,150,0.8,0.6256412037531793,9792,,,292,14,,,,,,,
22,1.0,dlgn,ema_075,pq_1p5b_k64_d4,0.5,0.95,150,0.7466666666666667,0.4672131147540983,2256,,,,,128,2,21,0.6666666865348816,0.6933333277702332,-0.026666641235351562,0.9066666960716248
22,1.58,threshold,ema_075,pq_1p5b_k64_d4,1.0,0.95,150,0.6133333333333333,0.48423301452095535,56,,,,,,,,,,,
22,1.58,decision_tree,ema_075,pq_1p5b_k64_d4,1.0,0.95,150,0.68,0.541320929634865,210,19,4,,,,,,,,,
22,1.58,mlp,ema_075,pq_1p5b_k64_d4,1.0,0.95,150,0.7333333333333333,0.5667830851981716,9792,,,292,14,,,,,,,
22,1.58,dlgn,ema_075,pq_1p5b_k64_d4,1.0,0.95,150,0.6066666666666667,0.4940314467717952,2256,,,,,128,2,21,0.23999999463558197,0.7599999904632568,-0.5199999958276749,0.09333333373069763
22,2.0,threshold,ema_075,pq_2b_k256_d4,1.0,0.95,150,0.6933333333333334,0.5464356681569796,56,,,,,,,,,,,
22,2.0,decision_tree,ema_075,pq_2b_k256_d4,1.0,0.95,150,0.7133333333333334,0.5511549925484351,187,17,4,,,,,,,,,
22,2.0,mlp,ema_075,pq_2b_k256_d4,1.0,0.95,150,0.8133333333333334,0.6197590660705414,9792,,,292,14,,,,,,,
22,2.0,dlgn,ema_075,pq_2b_k256_d4,1.0,0.95,150,0.6933333333333334,0.538859910581222,2256,,,,,128,2,21,0.8399999737739563,0.8533333539962769,-0.013333380222320557,0.9599999785423279
22,4.0,threshold,ema_075,pq_4b_k256_d2,1.0,0.95,150,0.74,0.3729508196721312,56,,,,,,,,,,,
22,4.0,decision_tree,ema_075,pq_4b_k256_d2,1.0,0.95,150,0.76,0.38524590163934425,72,7,2,,,,,,,,,
22,4.0,mlp,ema_075,pq_4b_k256_d2,1.0,0.95,150,0.84,0.43948593402145314,9792,,,292,14,,,,,,,
22,4.0,dlgn,ema_075,pq_4b_k256_d2,1.0,0.95,150,0.74,0.3729508196721312,2256,,,,,128,2,21,0.8799999952316284,0.8799999952316284,0.0,1.0
