model,weight_key,role,block_index,control,block_size,row_neighbor_cosine,column_neighbor_cosine,circulant_retained_energy,circulant_random_expectation
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,4,matched_gaussian,64,-0.008398607556562765,-0.010224407124407349,0.014665882925280762,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,4,smooth_positive_control,64,0.9789945345582557,0.9944136852512141,2.795305524378415e-06,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,5,original,64,-0.023321567331054054,0.005519344765191411,0.017816271416496884,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,5,rowcol_shuffled,64,0.03415545871379303,0.004361154594860291,0.017034586154386567,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,5,matched_gaussian,64,0.013460077119220634,0.0030607604619119393,0.013332086849545165,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,5,smooth_positive_control,64,0.9755595685726454,0.9556492982854295,0.00023635421539141467,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,6,original,64,0.012664088705019035,0.008572319948765403,0.014134164150677966,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,6,rowcol_shuffled,64,0.048795911146543164,0.03516300077194339,0.01693526732182994,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,6,matched_gaussian,64,0.02279211886944066,-0.027467473449063213,0.013458757732518577,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,6,smooth_positive_control,64,0.973825971267531,0.9884357266985824,1.67417365966208e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,7,original,64,0.014250665011996585,-0.0061003725153409285,0.018528699909787238,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,7,rowcol_shuffled,64,0.01532451015397267,-0.01567125938432287,0.013237514708863248,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,7,matched_gaussian,64,-0.027723356412501267,0.026787703212048285,0.010603153377689953,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,7,smooth_positive_control,64,0.9850973343000743,0.9712883395651551,0.00079269164122369,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,8,original,64,-0.01508220998659016,0.035736637282947195,0.018815046540865566,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,8,rowcol_shuffled,64,0.0064710431140627255,-0.01772744425917051,0.016636054828935164,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,8,matched_gaussian,64,-0.006799906074628835,0.008733602649488274,0.015071923513670373,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,8,smooth_positive_control,64,0.9873131381416994,0.9926863760170453,0.0014603052752933479,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,9,original,64,0.04532247406729693,-0.005166196693086903,0.010844202447895985,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,9,rowcol_shuffled,64,0.05391047493585819,0.00995303378952883,0.013453397450944754,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,9,matched_gaussian,64,-0.010099966119339348,-0.005645199800084304,0.011136663380759533,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,9,smooth_positive_control,64,0.978015484488196,0.9959384644483514,9.391251388849856e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,10,original,64,0.024831568462137944,-0.011838113602313962,0.020205112450871667,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,10,rowcol_shuffled,64,0.022902124048783997,0.04312888208951302,0.011134937205882408,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,10,matched_gaussian,64,0.010201197579776219,0.006575750623873144,0.01421644067169132,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,10,smooth_positive_control,64,0.9759883496935214,0.9886209322382129,0.0006928219020917611,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,11,original,64,0.0352483820105213,0.010814968114649777,0.016031671662848298,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,11,rowcol_shuffled,64,0.014619182824218844,-0.0029302114361636736,0.010935468780391738,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,11,matched_gaussian,64,0.002700600850422311,0.004229527269894906,0.018609165045011346,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,11,smooth_positive_control,64,0.965982236971987,0.9898471489339157,0.0004849627593487671,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,12,original,64,0.04523715908111692,0.003958506092733643,0.012645157816025238,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,12,rowcol_shuffled,64,0.02155969851827493,0.02386532993418228,0.011837691235323185,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,12,matched_gaussian,64,0.0035207160171764574,0.0013502346598085026,0.01365177241432939,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,12,smooth_positive_control,64,0.986438251379812,0.9827940516833511,5.4839803209654205e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,13,original,64,0.022874259034014088,0.009962424274860035,0.023937232439301376,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,13,rowcol_shuffled,64,0.0478398611393546,-0.005797963406324899,0.016811778318118215,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,13,matched_gaussian,64,0.01200754589527644,-0.016499096878248343,0.02258003067943044,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,13,smooth_positive_control,64,0.9790970954675666,0.989159971240506,0.005901834461431087,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,14,original,64,0.022892030955041553,-0.014298591930220856,0.015526957874550383,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,14,rowcol_shuffled,64,0.0021483812915415166,0.0004259653664970366,0.012095760105556224,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,14,matched_gaussian,64,0.0007693509410501631,0.007407795766766422,0.019572969228245987,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,14,smooth_positive_control,64,0.9860625080765715,0.9755483292489403,0.000501222620933895,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,15,original,64,0.025316070651769468,-0.020506515365168607,0.014387270997042576,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,15,rowcol_shuffled,64,0.009199518288676593,0.019807985770510142,0.013344063292725104,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,15,matched_gaussian,64,0.002186401626637086,0.0011801155476136368,0.01935319533503644,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,15,smooth_positive_control,64,0.9890403193519429,0.9658607780030644,3.352784047846022e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,16,original,64,0.02938698543379614,-0.0037314247663696237,0.011498695820773201,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,16,rowcol_shuffled,64,0.01551339571101836,0.01246759012278857,0.014604976259494432,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,16,matched_gaussian,64,-0.013356577409622216,-0.005013266589481362,0.022860348544171936,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,16,smooth_positive_control,64,0.993710155439328,0.9842527468190526,0.0016963069320902438,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,17,original,64,0.017512296947791623,0.048794549996215644,0.013931883150285363,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,17,rowcol_shuffled,64,0.034486299119166924,-0.026015079988795937,0.012415528884899186,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,17,matched_gaussian,64,0.025336822689605337,0.01513519083249169,0.01568521382920805,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,17,smooth_positive_control,64,0.9921480209292208,0.9599703416752599,0.00019255317625588718,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,18,original,64,0.006822119609855818,0.03102879153536781,0.013925914720148392,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,18,rowcol_shuffled,64,0.045773505989282245,0.01819657469874701,0.015514829853037223,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,18,matched_gaussian,64,-0.004668395463234499,-0.004541649127385242,0.01538092494543985,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,18,smooth_positive_control,64,0.9712667958145638,0.9828467654134851,0.0016311316497974572,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,19,original,64,0.04467523162226253,0.019211774486197302,0.012659082909126157,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,19,rowcol_shuffled,64,0.02646790825259774,0.022121808367997035,0.011613928693859394,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,19,matched_gaussian,64,0.00794823459377527,-0.021914783417026757,0.021586084736493635,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,19,smooth_positive_control,64,0.9908864711045421,0.9583026998173886,5.073746609525873e-06,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,20,original,64,0.035134037133445914,0.022877812305764227,0.013065631379355366,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,20,rowcol_shuffled,64,0.04459073362883996,-0.004341663966904012,0.013133687044125956,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,20,matched_gaussian,64,-0.0014729873140523222,0.0280430572752062,0.01741864340421945,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,20,smooth_positive_control,64,0.9807599490615035,0.9694682322809873,5.008920133709689e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,21,original,64,0.047058870660163905,0.04872950814843346,0.01777439336023586,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,21,rowcol_shuffled,64,0.030310312804732543,0.024291567297095185,0.015285421901756253,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,21,matched_gaussian,64,-0.006071513717129532,0.025385955635035058,0.017757501648602948,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,21,smooth_positive_control,64,0.9810840481748587,0.9824278892575373,0.000155873426424627,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,22,original,64,0.024643028516728057,0.014255257580190524,0.01877297145840845,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,22,rowcol_shuffled,64,0.02514126155873718,0.008835692319674762,0.013578829800957645,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,22,matched_gaussian,64,-0.004353879284368668,0.025334858809631707,0.014267548892105306,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,22,smooth_positive_control,64,0.9722524479950594,0.9769526149375557,3.982276378384202e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,23,original,64,0.057927265948247285,-0.006727099424758361,0.01505597593563079,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,23,rowcol_shuffled,64,-0.011650040134084523,0.031115601329683766,0.021945623427776333,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,23,matched_gaussian,64,-0.012917531726898124,-0.028473526307555095,0.015251847133136749,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,23,smooth_positive_control,64,0.9924263750421809,0.9831075309274072,0.0002640180567087296,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,24,original,64,0.031209659718008684,-0.01047971920824609,0.011235029240379496,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,24,rowcol_shuffled,64,0.03144851014984042,-0.024186059574128907,0.016689927519257745,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,24,matched_gaussian,64,0.0056551497507400985,0.0049952844781032705,0.011447894714318192,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,24,smooth_positive_control,64,0.9792363378327847,0.9851547519784523,1.8002686557762964e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,25,original,64,0.0627301326133385,0.0160115870803948,0.015482102853855893,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,25,rowcol_shuffled,64,0.028393224049568695,-0.0037680443964579215,0.014226311579342007,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,25,matched_gaussian,64,-0.019060453013221828,-0.02874159628131318,0.015842244512397588,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,25,smooth_positive_control,64,0.9875195145579878,0.9751449812938824,6.768286354326083e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,26,original,64,0.03503732485028406,0.047039841061353733,0.0087846571134602,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,26,rowcol_shuffled,64,0.06588032722167102,0.04567491884147581,0.01693206102425632,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,26,matched_gaussian,64,0.008657785606342646,0.0071994086347767616,0.012398915731815337,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,26,smooth_positive_control,64,0.9518411982186091,0.9957678800540913,0.00047162118566862823,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,27,original,64,0.019127406946468178,0.008304142152825218,0.01969763140177798,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,27,rowcol_shuffled,64,0.03531684572590339,0.005212028763236332,0.019433132585169294,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,27,matched_gaussian,64,0.003690888425127943,-0.007184734999676327,0.018218511180954258,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,27,smooth_positive_control,64,0.983357127404753,0.9922078775926332,0.004310701487354571,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,28,original,64,0.04068104267508681,0.03224908208311442,0.019019112872267017,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,28,rowcol_shuffled,64,0.02082597134958623,0.012955163522327595,0.012496176809445113,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,28,matched_gaussian,64,-0.016948104414258383,0.013719820320967555,0.0177558854658347,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,28,smooth_positive_control,64,0.9848850070148687,0.9771609745122033,0.00026077672445714786,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,29,original,64,0.02862202198672855,0.008228434125339001,0.013213570587635596,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,29,rowcol_shuffled,64,0.03805147451245066,0.023564513494368965,0.011806480877835673,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,29,matched_gaussian,64,0.008123801884118638,-0.049715308256673876,0.024877563760624735,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,29,smooth_positive_control,64,0.9892322640656576,0.9712534267346128,0.0002631383768128784,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,30,original,64,0.07400405642735605,0.020810591820653843,0.018661025388732398,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,30,rowcol_shuffled,64,0.04646819945078418,0.0036280584573936928,0.01245406796124492,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,30,matched_gaussian,64,-0.0040968847034446336,-0.018126067183347586,0.015829474289127503,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,30,smooth_positive_control,64,0.9918561087559686,0.9802428772989955,0.0001786628678269874,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,31,original,64,0.005974909538308297,-0.002179687818006681,0.019908426216560277,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,31,rowcol_shuffled,64,0.042972003425481096,0.006358356272037298,0.01948488074383347,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,31,matched_gaussian,64,-0.006071730719378244,-0.022765124326757296,0.01265674067580572,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,31,smooth_positive_control,64,0.9777471118161452,0.979237407869905,0.00013496468617582393,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,32,original,64,-0.003725121190810771,-0.007147038773363468,0.015267171385386948,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,32,rowcol_shuffled,64,0.035955252941130354,0.03630967253896325,0.018117638941525425,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,32,matched_gaussian,64,-0.006272552234731271,0.0021424159639413095,0.014149529466754948,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,32,smooth_positive_control,64,0.9771729590824544,0.9631683374952854,0.0013759485365242045,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,33,original,64,0.052745017583458495,0.020670904450698826,0.015346217745430251,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,33,rowcol_shuffled,64,0.049467278325139204,-0.008606371131803205,0.013095703491057714,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,33,matched_gaussian,64,-0.007945371255806114,0.0013267331741897033,0.0182781384504377,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,33,smooth_positive_control,64,0.9889117925095677,0.9618332494002609,0.0009449489337056383,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,34,original,64,-0.002623787603644876,-0.020148217677588846,0.01785952067452298,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,34,rowcol_shuffled,64,0.051167737740695156,-0.0039873331338595875,0.017157770298529926,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,34,matched_gaussian,64,0.01775727922310819,-0.00043774846155265337,0.01721985019032962,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,34,smooth_positive_control,64,0.9828468101872284,0.9836303026119786,0.003924575571224419,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,35,original,64,0.015368591275435847,-0.027608489643991756,0.00992411164636072,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,35,rowcol_shuffled,64,-0.016075671267717938,0.024344439268847315,0.016218540813588356,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,35,matched_gaussian,64,0.013058177587692503,0.022558710591297708,0.015591750566211203,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,35,smooth_positive_control,64,0.986300792618042,0.9873205641650908,0.0001270261795685927,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,36,original,64,0.05542768480279576,0.02932732953145799,0.012798063582784685,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,36,rowcol_shuffled,64,0.031191165763927095,-0.0024662280004075295,0.016624660912734852,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,36,matched_gaussian,64,-0.03531198347546071,-0.028494026042108305,0.011967239533280492,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,36,smooth_positive_control,64,0.9875921667217713,0.9864347386160617,4.6920479480855774e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,37,original,64,0.047081471136229916,0.03192460790084276,0.015825985540085963,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,37,rowcol_shuffled,64,0.06672823913056654,0.01769270211502226,0.021017101906595805,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,37,matched_gaussian,64,-0.009853625605109967,-0.012671543585077938,0.0236354865018742,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,37,smooth_positive_control,64,0.9859235649003932,0.9755597824935022,0.0025966191261947986,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,38,original,64,0.1006164507259021,0.05063386845234594,0.014923304666555061,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,38,rowcol_shuffled,64,0.04954816086552306,-0.022230913143983025,0.015073059289726307,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,38,matched_gaussian,64,0.012184118529003692,-0.021779773644803848,0.013909525830988225,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,38,smooth_positive_control,64,0.9662432528424834,0.9885898460500557,3.223414070189935e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,39,original,64,0.023711793663235513,0.006917899311235282,0.017569960332006637,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,39,rowcol_shuffled,64,0.0335808897145537,0.016035549687579635,0.014673336369533057,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,39,matched_gaussian,64,-0.012665405045891535,0.006759520913311536,0.01355532124327782,0.015625
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,39,smooth_positive_control,64,0.9815512085356135,0.9846709705778978,6.577921093023149e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,0,original,64,0.0005349062847838867,-0.02517139385315615,0.01719736345849398,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,0,rowcol_shuffled,64,0.02306233719171503,-0.005671930496620566,0.01723344926918984,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,0,matched_gaussian,64,-0.013858646242690013,0.018097453786294505,0.016474688165607092,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,0,smooth_positive_control,64,0.9915267691185177,0.9681879102383872,1.531819062555733e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,1,original,64,-0.006425637601494467,-0.003141783117413738,0.02045705589229794,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,1,rowcol_shuffled,64,0.026577648127805203,-0.014354845194973615,0.015015316911031147,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,1,matched_gaussian,64,0.02323289425745853,0.003535935481405917,0.017537059048688748,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,1,smooth_positive_control,64,0.9722500131005691,0.9737507443656299,3.417051259590878e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,2,original,64,0.013230509839993956,0.025658357075162747,0.015107996444916382,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,2,rowcol_shuffled,64,0.008633780975850018,-0.027453730992348515,0.01652949809292801,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,2,matched_gaussian,64,-0.019612444221734585,-0.023355589183758393,0.018698982315210846,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,2,smooth_positive_control,64,0.9929622654007142,0.9666084296583273,0.0006009395680493131,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,3,original,64,-0.030728002407453714,0.007853180536687963,0.018677578295295844,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,3,rowcol_shuffled,64,0.016946519022185823,-0.017665303663522543,0.016966765448935932,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,3,matched_gaussian,64,0.0036141163622463385,-0.026939834178556242,0.010324295137293098,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,3,smooth_positive_control,64,0.9859061684409871,0.9798589522283652,0.00014889930740886976,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,4,original,64,-0.010293639051608544,-0.01097650095926721,0.011050950257243855,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,4,rowcol_shuffled,64,0.007095756320284846,0.009219353904787531,0.020107819770688363,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,4,matched_gaussian,64,0.01565417147743722,-0.013303550194751488,0.012853238265859702,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,4,smooth_positive_control,64,0.9764316413891304,0.9780995876506458,6.3316119697634e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,5,original,64,-0.0040555530540192656,0.01812538665762384,0.020254959474742634,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,5,rowcol_shuffled,64,-5.228516341231477e-05,0.015086422358433958,0.015279708294090488,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,5,matched_gaussian,64,-0.01625686101743801,0.0017749980823247742,0.019816890810239247,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,5,smooth_positive_control,64,0.9835192942269141,0.9677156199276202,0.0009318598976172071,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,6,original,64,-0.010569954201880328,0.01202435535995171,0.015595102762331704,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,6,rowcol_shuffled,64,0.02699801264537555,0.006834447236475196,0.01936686229113531,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,6,matched_gaussian,64,-0.01797385005650228,-0.02042560466034608,0.019392337068192527,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,6,smooth_positive_control,64,0.9561345064869092,0.9948771045691726,2.385600356416709e-05,0.015625
wan2.1-1.3b,blocks.0.ffn.2.weight,contract,7,original,64,0.021908784443463464,0.0034632006189224064,0.013521030512433533,0.015625
