model,weight_key,role,block_index,control,block_size,method,target_scalar_density,actual_scalar_density,retained_energy,relative_fro_error
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,row_fft_lowfreq_static,0.015625,0.015625,0.01527381975784851,0.9923337040744669
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,column_fft_topk_oracle,0.015625,0.015625,0.07971266672825411,0.959316075791366
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,column_fft_lowfreq_static,0.015625,0.015625,0.01627841762539646,0.9918273954547754
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,fft2_topk_oracle,0.015625,0.015625,0.08635026662896854,0.9558502672338547
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,fft2_lowfreq_static,0.015625,0.015625,0.016622193525808574,0.9916540760135015
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,identity_topk_oracle,0.0625,0.0625,0.3142215381254803,0.828117420342381
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,row_fft_topk_oracle,0.0625,0.0625,0.23733761275330192,0.8733054375455921
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,row_fft_lowfreq_static,0.0625,0.0625,0.05895646710533508,0.9700739832067784
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,column_fft_topk_oracle,0.0625,0.0625,0.23722464084070036,0.8733701157924397
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,column_fft_lowfreq_static,0.0625,0.0625,0.058351104198722054,0.9703859519805911
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,fft2_topk_oracle,0.0625,0.0625,0.24275352243327453,0.870199102255757
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,fft2_lowfreq_static,0.0625,0.0625,0.05752738765756794,0.9708102864836322
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,identity_topk_oracle,0.125,0.125,0.49213148953404884,0.7126489391460225
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,row_fft_topk_oracle,0.125,0.125,0.38850955941565746,0.781978542278714
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,row_fft_lowfreq_static,0.125,0.125,0.11413623299525148,0.9412033611312427
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,column_fft_topk_oracle,0.125,0.125,0.3882218912786007,0.7821624567322312
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,column_fft_lowfreq_static,0.125,0.125,0.11988975871928942,0.9381419089246097
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,fft2_topk_oracle,0.125,0.125,0.39315640086130665,0.779001668251547
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,fft2_lowfreq_static,0.125,0.125,0.11381912596470475,0.9413718043553754
wan2.1-1.3b,blocks.0.ffn.0.weight,expand,0,matched_gaussian,64,identity_topk_oracle,0.25,0.25,0.715481400940888,0.5334028487542151
