method,deployable_candidate,landmark_mode,landmarks,pinv_rtol,density,records,aggregate_output_relative_l2,record_error_p95,record_error_max,projected_attention_work_ratio_mean,arithmetic_speedup_upper_bound,selected_attention_mass_mean,mass_absolute_error_mean,negative_absolute_mass_ratio_mean
landmark_linear,True,segment,32,0.0001,0.0,48,1.1971242669760898,2.0325160701107943,2.705817655647287,0.0019536019536019514,511.87500000000057,0.0,0.0,0.10749275500984368
landmark_linear,True,segment,64,0.0001,0.0,48,1.1269608947261354,1.8754104100255429,2.4366617015929757,0.003907203907203903,255.93750000000028,0.0,0.0,0.13391763468825957
nystrom_nonnegative_clamped,False,segment,128,0.0001,0.0,48,0.9215365382295088,1.5311861745538895,1.6276033129891319,1.0078144078144078,0.9922461836685244,0.0,0.0,0.17800064864422893
nystrom_nonnegative_clamped,False,segment,32,0.0001,0.0,48,1.0946982392141242,1.8137301845781988,1.919348522727703,0.626953601953602,1.5950143629193243,0.0,0.0,0.10749275500984368
nystrom_nonnegative_clamped,False,segment,64,0.0001,0.0,48,1.0102687318125814,1.6934658796543727,1.8520726015150104,0.7539072039072039,1.3264231921613086,0.0,0.0,0.13391763468825957
nystrom_signed,True,segment,128,0.0001,0.0,48,1.078206584518276,1.9541750492232548,2.941331240460754,0.007814407814407806,127.96875000000014,0.0,0.0,0.17800064864422893
nystrom_signed,True,segment,32,0.0001,0.0,48,1.3330174086114792,2.0221663787015136,4.882356481994298,0.0019536019536019514,511.87500000000057,0.0,0.0,0.10749275500984368
nystrom_signed,True,segment,64,0.0001,0.0,48,1.0935220382074067,1.8298037005522632,2.339762205706762,0.003907203907203903,255.93750000000028,0.0,0.0,0.13391763468825957
proxy_mass_landmark_partition,True,segment,128,0.0001,0.125,48,0.3366839114382145,0.54003921600366,0.7999199098861148,0.26759069967873944,3.737050656844827,0.6853937457005183,0.08296677144244313,0.17800064864422893
proxy_mass_landmark_partition,True,segment,128,0.0001,0.25,48,0.23813446111284134,0.40636653932660927,0.45175175821379837,0.5175907145799007,1.9320284770016476,0.8041954065362612,0.06001981305113683,0.17800064864422893
proxy_mass_landmark_partition,True,segment,32,0.0001,0.125,48,0.35940670215875714,0.6741633589691561,1.0280013159977501,0.16651087113620852,6.005613886807332,0.6853937457005183,0.08296677144244313,0.10749275500984368
proxy_mass_landmark_partition,True,segment,32,0.0001,0.25,48,0.2465788730910394,0.43817639740233,0.5735839021574483,0.32276088044943424,3.0982689060939848,0.8041954065362612,0.06001981305113683,0.10749275500984368
proxy_mass_landmark_partition,True,segment,64,0.0001,0.125,48,0.34552946726572403,0.5947255134432797,0.8839156655571713,0.20020414731705216,4.994901521277457,0.6853937457005183,0.08296677144244313,0.13391763468825957
proxy_mass_landmark_partition,True,segment,64,0.0001,0.25,48,0.24132002179518727,0.41059697284928254,0.4958240447186482,0.38770415849292306,2.5792862369265857,0.8041954065362612,0.06001981305113683,0.13391763468825957
proxy_mass_nystrom_mixture,True,segment,128,0.0001,0.125,48,0.3313088486119257,0.584628888828795,0.953714959332094,0.14063200276977267,7.110757013374052,0.6853937457005183,0.08296677144244313,0.17800064864422893
proxy_mass_nystrom_mixture,True,segment,128,0.0001,0.25,48,0.23472533093293368,0.3832391420937669,0.7337387315545492,0.26563201022035327,3.7646065290491784,0.8041954065362612,0.06001981305113683,0.17800064864422893
proxy_mass_nystrom_mixture,True,segment,32,0.0001,0.125,48,0.4464268629073672,0.7755926303558467,2.2591007400450045,0.1347711969089668,7.419983074539768,0.6853937457005183,0.08296677144244313,0.10749275500984368
proxy_mass_nystrom_mixture,True,segment,32,0.0001,0.25,48,0.3075852058203802,0.4595856069552313,1.580421340316352,0.2597712043595474,3.849541378019356,0.8041954065362612,0.06001981305113683,0.10749275500984368
proxy_mass_nystrom_mixture,True,segment,64,0.0001,0.125,48,0.32177146683409885,0.6307992875271408,0.8202833769347461,0.13672479886256875,7.313962121861792,0.6853937457005183,0.08296677144244313,0.13391763468825957
proxy_mass_nystrom_mixture,True,segment,64,0.0001,0.25,48,0.22683915919366082,0.4164083334916639,0.5706188547978598,0.26172480631314937,3.820807106849156,0.8041954065362612,0.06001981305113683,0.13391763468825957
