sample_id,sampling_step,branch,layer,method,landmark_mode,landmarks,pinv_rtol,density,records,aggregate_output_relative_l2,record_error_p95,record_error_max,projected_attention_work_ratio_mean,arithmetic_speedup_upper_bound,selected_attention_mass_mean,mass_absolute_error_mean,negative_absolute_mass_ratio_mean
s02_p00_seed20260741,9,cond,14,nystrom_signed,segment,32,0.0001,0.0,12,1.1290402954710796,1.8328579442215558,1.9285029520058181,0.0019536019536019536,511.875,0.0,0.0,0.10076777896028943
s02_p00_seed20260741,9,cond,14,nystrom_signed,segment,64,0.0001,0.0,12,1.120483886223239,2.0741158439301026,2.339762205706762,0.003907203907203907,255.9375,0.0,0.0,0.1432117431734999
s02_p00_seed20260741,9,cond,14,proxy_mass_landmark_partition,segment,128,0.0001,0.125,12,0.34296277875970443,0.5772479690215526,0.6659147456050479,0.26743807453521146,3.7391833669829158,0.6670798460642496,0.07858156505972147,0.18660090491175652
s02_p00_seed20260741,9,cond,14,proxy_mass_landmark_partition,segment,128,0.0001,0.25,12,0.23861523496833598,0.4048739349844986,0.42977664892786377,0.5173770393789615,1.9328263991002763,0.782372718056043,0.06360962459196647,0.18660090491175652
s02_p00_seed20260741,9,cond,14,proxy_mass_landmark_partition,segment,32,0.0001,0.125,12,0.3707253514063225,0.6555299931228958,0.8116034780466399,0.16641548042150353,6.00905635381493,0.6670798460642496,0.07858156505972147,0.10076777896028943
s02_p00_seed20260741,9,cond,14,proxy_mass_landmark_partition,segment,32,0.0001,0.25,12,0.2486787626612887,0.44489576253364693,0.5048951596661935,0.32262733344884725,3.0995513904854888,0.782372718056043,0.06360962459196647,0.10076777896028943
s02_p00_seed20260741,9,cond,14,proxy_mass_landmark_partition,segment,64,0.0001,0.125,12,0.35657957866473955,0.6154965642127662,0.7341779302989055,0.20008967845940617,4.9977590433425485,0.6670798460642496,0.07858156505972147,0.1432117431734999
s02_p00_seed20260741,9,cond,14,proxy_mass_landmark_partition,segment,64,0.0001,0.25,12,0.243723276464024,0.423542844826966,0.46297384183732987,0.3875439020922187,2.580352818355127,0.782372718056043,0.06360962459196647,0.1432117431734999
s02_p00_seed20260741,9,cond,14,proxy_mass_nystrom_mixture,segment,128,0.0001,0.125,12,0.31410449815632874,0.5633448935683869,0.6218758805345097,0.14055569019800868,7.114617690619597,0.6670798460642496,0.07858156505972147,0.18660090491175652
s02_p00_seed20260741,9,cond,14,proxy_mass_nystrom_mixture,segment,128,0.0001,0.25,12,0.20932324710927697,0.3477037223026358,0.4053412732081341,0.2655251726198837,3.766121268779153,0.782372718056043,0.06360962459196647,0.18660090491175652
s02_p00_seed20260741,9,cond,14,proxy_mass_nystrom_mixture,segment,32,0.0001,0.125,12,0.3459630431861057,0.6226968075655919,0.8021500105466641,0.1346948843372028,7.424186931231503,0.6670798460642496,0.07858156505972147,0.10076777896028943
s02_p00_seed20260741,9,cond,14,proxy_mass_nystrom_mixture,segment,32,0.0001,0.25,12,0.22858327314394425,0.4204530702642024,0.5003637033855542,0.25966436675907784,3.8511252524988207,0.782372718056043,0.06360962459196647,0.10076777896028943
s02_p00_seed20260741,9,cond,14,proxy_mass_nystrom_mixture,segment,64,0.0001,0.125,12,0.3324471408440887,0.6102049147935562,0.8202833769347461,0.13664848629080475,7.31804666955386,0.6670798460642496,0.07858156505972147,0.1432117431734999
s02_p00_seed20260741,9,cond,14,proxy_mass_nystrom_mixture,segment,64,0.0001,0.25,12,0.22897532135109852,0.429963245682764,0.5706188547978598,0.2616179687126798,3.8223674196409783,0.782372718056043,0.06360962459196647,0.1432117431734999
s03_p01_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.125,12,0.3311432109788709,0.6122360057538412,0.8412646043404335,0.2676415747265821,3.7363402939979795,0.6627516647179922,0.08254908428837855,0.16768663035084805
s03_p01_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,128,0.0001,0.25,12,0.19303232854712285,0.37353712492617974,0.45181404114037693,0.5176619396468803,1.9317626493501596,0.7896945228179296,0.060101437382400036,0.16768663035084805
s03_p01_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.125,12,0.37015969278040894,0.7138480264658622,1.0568179551677834,0.16654266804111018,6.00446727413515,0.6627516647179922,0.08254908428837855,0.10185949151248981
s03_p01_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,32,0.0001,0.25,12,0.21090844969587824,0.42262416981697754,0.5568703783937774,0.3228053961162966,3.097841647107199,0.7896945228179296,0.060101437382400036,0.10185949151248981
s03_p01_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.125,12,0.3443857169241854,0.6481899641081411,0.9167713563401978,0.20024230360293416,4.9939497399257196,0.6627516647179922,0.08254908428837855,0.13502079551108181
s03_p01_seed20260741,9,cond,14,dense_mass_landmark_partition_diagnostic,segment,64,0.0001,0.25,12,0.19883503266417762,0.39026037071385344,0.487200905981229,0.38775757729315785,2.578930905698243,0.7896945228179296,0.060101437382400036,0.13502079551108181
s03_p01_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.125,12,0.31822274351249213,0.5368249858699841,0.8044563683651443,0.140657440293694,7.109471051883149,0.6627516647179922,0.08254908428837855,0.16768663035084805
s03_p01_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,128,0.0001,0.25,12,0.1891991074506314,0.3333324692001224,0.46249926428809146,0.2656676227538431,3.7641018865387283,0.7896945228179296,0.060101437382400036,0.16768663035084805
s03_p01_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.125,12,0.3404753321014753,0.5699722662782141,0.804032294770621,0.13479663443288814,7.418582846724373,0.6627516647179922,0.08254908428837855,0.10185949151248981
s03_p01_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,32,0.0001,0.25,12,0.19567357967415716,0.34584465296880373,0.4298814447238337,0.25980681689303725,3.8490137093350443,0.7896945228179296,0.060101437382400036,0.10185949151248981
s03_p01_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.125,12,0.312241174719274,0.5116411018181215,0.7359857586424038,0.1367502363864901,7.312601619011114,0.6627516647179922,0.08254908428837855,0.13502079551108181
s03_p01_seed20260741,9,cond,14,dense_mass_nystrom_mixture_diagnostic,segment,64,0.0001,0.25,12,0.18677055576801052,0.32570308676447407,0.4235497277088879,0.2617604188466392,3.820287285626183,0.7896945228179296,0.060101437382400036,0.13502079551108181
