category,layer,metric,value,threshold,eligible,gate_pass
scene_cut,15,bccb_gain_vs_identity,0.05853628059716335,0.1,True,False
scene_cut,15,bccb_increment_vs_bttb,0.0006051719197289223,0.0,True,True
scene_cut,22,state_rank32_energy,0.8506980337140755,0.7,True,True
scene_cut,22,causal_rank32_projection_error,0.3025199349873481,,True,
scene_cut,22,residual_top10_energy,0.4858364941234906,0.7,True,False
scene_cut,22,residual_top10_change_recall,0.13842103839790704,0.8,True,False
scene_cut,22,residual_joint_gate,0.13842103839790704,,True,False
scene_cut,22,flow_gain_vs_identity,-0.006883567204615247,0.1,True,False
scene_cut,22,bttb_gain_vs_identity,0.09463175603515628,0.1,True,False
scene_cut,22,bccb_gain_vs_identity,0.09411928873871087,0.1,True,False
scene_cut,22,bccb_increment_vs_bttb,-0.0005660318879765259,0.0,True,False
scene_cut,23,state_rank32_energy,0.8384271715968586,0.7,True,True
scene_cut,23,causal_rank32_projection_error,0.3147938093429841,,True,
scene_cut,23,residual_top10_energy,0.48633423348667904,0.7,True,False
scene_cut,23,residual_top10_change_recall,0.13793324580989264,0.8,True,False
scene_cut,23,residual_joint_gate,0.13793324580989264,,True,False
scene_cut,23,flow_gain_vs_identity,-0.014655957338011815,0.1,True,False
scene_cut,23,bttb_gain_vs_identity,0.09540818234180856,0.1,True,False
scene_cut,23,bccb_gain_vs_identity,0.09503895554108369,0.1,True,False
scene_cut,23,bccb_increment_vs_bttb,-0.0004081695119470952,0.0,True,False
static,0,state_rank32_energy,0.87291439825715,0.7,True,True
static,0,causal_rank32_projection_error,0.39911677129090806,,True,
static,0,residual_top10_energy,0.5449357172008785,0.7,True,False
static,0,residual_top10_change_recall,0.3670947244022691,0.8,True,False
static,0,residual_joint_gate,0.3670947244022691,,True,False
static,0,flow_gain_vs_identity,-24.259092714739108,0.1,False,False
static,0,bttb_gain_vs_identity,0.01378693971631852,0.1,False,False
static,0,bccb_gain_vs_identity,0.01374783958337072,0.1,False,False
static,0,bccb_increment_vs_bttb,-3.9646740164396454e-05,0.0,False,False
static,7,state_rank32_energy,0.7755522188150031,0.7,True,True
static,7,causal_rank32_projection_error,0.47219218243541516,,True,
static,7,residual_top10_energy,0.4808329032698688,0.7,True,False
static,7,residual_top10_change_recall,0.32562983785895044,0.8,True,False
static,7,residual_joint_gate,0.32562983785895044,,True,False
static,7,flow_gain_vs_identity,-15.173232266214866,0.1,False,False
static,7,bttb_gain_vs_identity,0.031929141522646955,0.1,False,False
static,7,bccb_gain_vs_identity,0.031966862162320094,0.1,False,False
static,7,bccb_increment_vs_bttb,3.896475071304701e-05,0.0,False,False
static,15,state_rank32_energy,0.8067041327563977,0.7,True,True
static,15,causal_rank32_projection_error,0.2255882739799407,,True,
static,15,residual_top10_energy,0.5450742780639525,0.7,True,False
static,15,residual_top10_change_recall,0.22284027799153855,0.8,True,False
static,15,residual_joint_gate,0.22284027799153855,,True,False
static,15,flow_gain_vs_identity,-3.4765551056139055,0.1,False,False
static,15,bttb_gain_vs_identity,-0.012943526475057317,0.1,False,False
static,15,bccb_gain_vs_identity,-0.012933847252715035,0.1,False,False
