layer,flow_point,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,feature_coefficient_r2,noise_coefficient_r2,noisy_delta_coefficient_r2,state_coefficient_r2,state_noise_coefficient_r2,state_noisy_condition_coefficient_r2
1,0,98,shift_rank8_state_noise,0.006297874472032243,0.005797764286398888,0.011201488738879559,0.20032799972514523,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
1,0,98,shift_rank8_state_noisy_condition,0.006298139525088525,0.005798327270895243,0.011188530642539262,0.2003303072651947,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
1,0,98,shift_rank8_oracle,0.006294743674393084,0.005787152796983719,0.011147170281037686,0.2003088129569559,0.7874877478677187,0.5162324927209698,0.6275416397821728,0.6268168901927138,0.9999333935246869,0.9999366470843811,0.9999290521477224
2,0,98,raw_reuse,0.016818994696981046,0.013652708381414413,0.02836444117128849,0.35451401878111444,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
2,0,98,shift_reuse,0.016739203306150793,0.012631830759346485,0.036281518638134,0.3650276645369985,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
2,0,98,shift_local_r2,0.01421008879105171,0.012403950095176697,0.028365327045321465,0.3044192518682563,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
2,0,98,shift_rank8_feature,0.018907716083212275,0.016849977895617485,0.030482240486890078,0.3017414080359739,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
2,0,98,shift_rank8_noise,0.013345132317385015,0.012090840376913548,0.02223598463460803,0.30599965563122605,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
2,0,98,shift_rank8_noisy_delta,0.01338608460036809,0.012138884514570236,0.022453094646334645,0.3062344543822302,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
2,0,98,shift_rank8_state,0.01179014532555475,0.00983794778585434,0.021603499352931967,0.1812594980812853,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
2,0,98,shift_rank8_state_noise,0.011787105144345089,0.009830092079937458,0.02161827450618147,0.18126013261718288,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
2,0,98,shift_rank8_state_noisy_condition,0.011788423613394286,0.009832615964114666,0.021628451719880096,0.18126498374646435,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
2,0,98,shift_rank8_oracle,0.011742430338438232,0.009778316132724285,0.021454191952943794,0.18121935856853844,0.75353365872774,0.34985506224258134,0.32094932886880667,0.3193437024660982,0.9998375800816824,0.9998349736537201,0.9998153390563957
3,0,98,raw_reuse,0.00632101020572955,0.005389202386140823,0.011113013280555603,0.24712619461527685,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
3,0,98,shift_reuse,0.006989275110609826,0.0056330240331590176,0.012484246073290704,0.3045314487538086,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
3,0,98,shift_local_r2,0.006682881933026571,0.005633579101413488,0.012469865987077352,0.22630477328263804,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
3,0,98,shift_rank8_feature,0.008392747807662096,0.007410502526909113,0.013899572892114518,0.22976249690157297,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
3,0,98,shift_rank8_noise,0.008000479252172087,0.006967304274439812,0.015038022352382538,0.2609693137516657,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
3,0,98,shift_rank8_noisy_delta,0.008015129210329043,0.006982756778597832,0.015039514331147072,0.26119432584439073,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
3,0,98,shift_rank8_state,0.006492186000297894,0.00572315463796258,0.01086961608380079,0.12028698102089416,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
3,0,98,shift_rank8_state_noise,0.006487703205530623,0.005717910826206207,0.010838180733844635,0.12028236327386985,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
3,0,98,shift_rank8_state_noisy_condition,0.006490204672066918,0.005721404682844877,0.010847247531637547,0.1202949177735922,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
3,0,98,shift_rank8_oracle,0.006473128459010149,0.005702073220163584,0.01080477852374315,0.12018176235655441,0.8442554567716565,0.34962427600908996,0.08989269568414371,0.08790000407221654,0.9995708747956066,0.9995896984751719,0.9995385115929444
4,0,98,raw_reuse,0.005975890737753841,0.004633788485080004,0.012962682824581859,0.1978675345893673,0.856416671320619,0.10574780684589535,0.2215213673411074,0.21973880041697103,0.9988726581092946,0.9989342817407528,0.9988707267656318
4,0,98,shift_reuse,0.008764943917853983,0.007828832603991032,0.01682745907455683,0.2844728233708393,0.856416671320619,0.10574780684589535,0.2215213673411074,0.21973880041697103,0.9988726581092946,0.9989342817407528,0.9988707267656318
4,0,98,shift_local_r2,0.005008511873071892,0.0044514453038573265,0.008697561174631118,0.19595201273555,0.856416671320619,0.10574780684589535,0.2215213673411074,0.21973880041697103,0.9988726581092946,0.9989342817407528,0.9988707267656318
4,0,98,shift_rank8_feature,0.00657481504461788,0.0055957152508199215,0.012667353358119726,0.21150789691472777,0.856416671320619,0.10574780684589535,0.2215213673411074,0.21973880041697103,0.9988726581092946,0.9989342817407528,0.9988707267656318
4,0,98,shift_rank8_noise,0.006268594491332819,0.005380630027502775,0.010944913793355226,0.20111750095988665,0.856416671320619,0.10574780684589535,0.2215213673411074,0.21973880041697103,0.9988726581092946,0.9989342817407528,0.9988707267656318
4,0,98,shift_rank8_noisy_delta,0.006274047788060014,0.00538431853055954,0.010963956313207745,0.2012815281948663,0.856416671320619,0.10574780684589535,0.2215213673411074,0.21973880041697103,0.9988726581092946,0.9989342817407528,0.9988707267656318
4,0,98,shift_rank8_state,0.0028949853719709307,0.002776721492409706,0.004578404198400676,0.10798703505572632,0.856416671320619,0.10574780684589535,0.2215213673411074,0.21973880041697103,0.9988726581092946,0.9989342817407528,0.9988707267656318
