sample_id,cell,head,tile_index,mode,tile_density,output_relative_l2,dynamic_tile_scalars,ideal_tile_arithmetic_speedup_upper_bound,claim_warning
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 3x,0.75,0.0013490143938242423,1536,1.3333333333333333,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 3.25x,0.8125,0.0020204543453908345,1664,1.2307692307692308,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 3.25x,0.8125,0.0010809798098829354,1664,1.2307692307692308,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 3.5x,0.875,0.0020149264004576477,1792,1.1428571428571428,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 3.5x,0.875,0.0008440045418695512,1792,1.1428571428571428,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 3.75x,0.9375,0.0020127863094327966,1920,1.0666666666666667,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 3.75x,0.9375,0.0007224933409761388,1920,1.0666666666666667,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,raw weighted top-k 4x,1.0,0.0020116726273139763,2048,1.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,refit weighted top-k 4x,1.0,0.0005058062098625144,2048,1.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
s00_p00_seed20260740,layer14_step19_late,2,1,continuous fractional,1.0,0.002011674915980057,2048,1.0,"post-hoc dense-AV oracle; speed ignores rank tail, routing, normalization, and kernel overhead"
