dataset,scope,method,retention_rate,samples,accuracy,prediction_agreement,feature_nmse,feature_cosine,boundary_mse,prediction_loss_events,retained_crop_tokens,compact_visual_tokens,effective_total_retention
gqa,main,none,,200,0.705,1.0,0.0,0.9999999994039536,0.0,0,1024,1280,1.0
gqa,main,tile_energy_exception,0.125,200,0.7,0.915,0.4557185782492161,0.7375266253948212,2.019755230545998,7,128,384,0.3
gqa,main,tile_energy_exception,0.25,200,0.715,0.95,0.3346368123590946,0.8156507551670075,1.334788748919964,3,256,512,0.4
gqa,main,tile_lowpass,0.125,200,0.695,0.92,0.4694605754315853,0.7280039191246033,2.0282625526189806,7,128,384,0.3
gqa,main,tile_lowpass,0.25,200,0.715,0.925,0.3511028015613556,0.8053350669145584,1.3037147480249405,4,256,512,0.4
gqa,main,tile_risk_exception,0.125,200,0.7,0.915,0.4557490000128746,0.73750517308712,2.0191351515054703,7,128,384,0.3
gqa,main,tile_risk_exception,0.25,200,0.715,0.955,0.3346843795478344,0.8156201735138893,1.3358850076794624,3,256,512,0.4
gqa,structure_ablation,risk_block_fixed_slots,0.125,200,0.695,0.915,0.45830694809556005,0.7357588708400726,2.018637989759445,8,128,384,0.3
gqa,structure_ablation,risk_block_fixed_slots,0.25,200,0.71,0.95,0.3373746393620968,0.8139667531847954,1.3340173482894897,3,256,512,0.4
gqa,structure_ablation,risk_token_unstructured,0.125,200,0.695,0.92,0.4179559248685837,0.7632494738698006,1.7911203801631927,7,128,384,0.3
gqa,structure_ablation,risk_token_unstructured,0.25,200,0.705,0.94,0.3023436489701271,0.8363681048154831,1.238817181289196,4,256,512,0.4
textvqa,main,average_pool,0.125,200,0.6466666666666666,0.71,0.5534832161664963,0.6691269409656525,1.9290032371878625,30,128,384,0.3
textvqa,main,average_pool,0.25,200,0.65,0.73,0.47119813323020937,0.7297135064005852,1.5731378683447839,27,256,512,0.4
textvqa,main,global_lowpass,0.125,200,0.65,0.71,0.5159404253959656,0.6950396174192428,1.834440398812294,29,128,384,0.3
textvqa,main,global_lowpass,0.25,200,0.6933333333333334,0.775,0.3954451410472393,0.7771217587590218,1.3775390511751175,19,256,512,0.4
textvqa,main,none,,200,0.7433333333333333,1.0,0.0,1.0000000017881394,0.0,0,1024,1280,1.0
textvqa,main,tile_energy_exception,0.125,200,0.635,0.705,0.49274778679013254,0.711804883480072,1.6102009145915508,30,128,384,0.3
textvqa,main,tile_energy_exception,0.25,200,0.6716666666666666,0.755,0.3684449952840805,0.7945896390080452,1.1074448543787003,23,256,512,0.4
textvqa,main,tile_lowpass,0.125,200,0.6433333333333333,0.735,0.5133716675639153,0.6969216921925545,1.6133600294589996,28,128,384,0.3
textvqa,main,tile_lowpass,0.25,200,0.685,0.76,0.3935348306596279,0.7783788761496544,1.0785394576191902,20,256,512,0.4
textvqa,main,tile_risk_exception,0.125,200,0.64,0.71,0.49279345393180846,0.71177176207304,1.6066231256723404,29,128,384,0.3
textvqa,main,tile_risk_exception,0.25,200,0.6766666666666666,0.75,0.3685038408637047,0.7945493960380554,1.1106479102373124,23,256,512,0.4
textvqa,structure_ablation,risk_block_fixed_slots,0.125,200,0.6433333333333333,0.715,0.49692438006401063,0.7088577538728714,1.6089622142910958,28,128,384,0.3
textvqa,structure_ablation,risk_block_fixed_slots,0.25,200,0.6866666666666666,0.755,0.3731176844239235,0.7916460844874382,1.1105646409094334,21,256,512,0.4
textvqa,structure_ablation,risk_token_unstructured,0.125,200,0.6433333333333333,0.715,0.45542488753795624,0.7382697173953057,1.5303546699881554,29,128,384,0.3
textvqa,structure_ablation,risk_token_unstructured,0.25,200,0.6666666666666666,0.75,0.332692409157753,0.8180678406357765,1.0723033632338046,24,256,512,0.4
