split,sampling_step,branch,layer,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
calibration,19,cond,29,oracle_nonnegative,32,12,0.6172383402784666,0.9891538719336191,0.0057322271306661675,0.005926202365752291,0.03038051731167956,0.031362765115917846
calibration,19,cond,29,oracle_nonnegative,64,12,0.6172383402784666,1.0,1.0015575449782289e-05,1.0354496702919818e-05,3.297576358087645e-05,4.341975451522539e-05
calibration,19,cond,29,oracle_nonnegative,8,12,0.6172383402784666,0.9123148570458094,0.022287725118911014,0.02304192878546622,0.09411751555847914,0.11636620342944314
calibration,19,cond,29,ridge_linear,16,12,0.6172383402784666,0.9600207656621933,0.01351455163725626,0.013971876211311591,0.06527503858671302,0.07127652747372595
calibration,19,cond,29,ridge_linear,32,12,0.6172383402784666,0.9891538719336191,0.006355102305292521,0.006570155274333233,0.031326296182562274,0.03238372810762693
calibration,19,cond,29,ridge_linear,64,12,0.6172383402784666,1.0,0.0026666111876090083,0.0027568477606213604,0.009187294235641304,0.010165273430269734
calibration,19,cond,29,ridge_linear,8,12,0.6172383402784666,0.9123148570458094,0.022701763843060822,0.023469978339442022,0.09581528617989798,0.11957776844561663
calibration,19,cond,29,ridge_nonnegative,16,12,0.6172383402784666,0.9600207656621933,0.013471795272502585,0.013927672996020515,0.06503813828986776,0.07099587215486323
calibration,19,cond,29,ridge_nonnegative,32,12,0.6172383402784666,0.9891538719336191,0.006498641919832055,0.006718552186017452,0.032144296135158686,0.03229938467259821
calibration,19,cond,29,ridge_nonnegative,64,12,0.6172383402784666,1.0,0.0026739634847055276,0.0027644488551791823,0.009250892585142724,0.010168709677241214
calibration,19,cond,29,ridge_nonnegative,8,12,0.6172383402784666,0.9123148570458094,0.022550000839549802,0.023313079764082156,0.09479536005403635,0.11740842149628965
calibration,9,cond,0,oracle_linear,16,12,0.4001809872376422,0.8287933766841888,0.010932794238529048,0.013811562978841448,0.018240622571989135,0.019427904730218087
calibration,9,cond,0,oracle_linear,32,12,0.4001809872376422,0.9942818631728491,0.0035233413691472593,0.0044510900099481035,0.006210282274204589,0.006696039025247254
calibration,9,cond,0,oracle_linear,64,12,0.4001809872376422,0.999999925494194,7.555796468497095e-06,9.545351033149616e-06,1.2872340784949454e-05,1.408204481050057e-05
calibration,9,cond,0,oracle_linear,8,12,0.4001809872376422,0.6687088956435522,0.018962751171309793,0.02395592804002892,0.028834026052629906,0.031618969452123134
calibration,9,cond,0,oracle_nonnegative,16,12,0.4001809872376422,0.8287933766841888,0.01093277576380755,0.013811539639448617,0.018240622571989135,0.019427904730218087
calibration,9,cond,0,oracle_nonnegative,32,12,0.4001809872376422,0.9942818631728491,0.003523320627090193,0.004451063806196232,0.006210282274204589,0.006696039025247254
calibration,9,cond,0,oracle_nonnegative,64,12,0.4001809872376422,0.999999925494194,7.553989594451442e-06,9.543068382060434e-06,1.2868537319974572e-05,1.4079545519219046e-05
calibration,9,cond,0,oracle_nonnegative,8,12,0.4001809872376422,0.6687088956435522,0.018962755686621185,0.02395593374428954,0.028834026052629906,0.031618969452123134
calibration,9,cond,0,ridge_linear,16,12,0.4001809872376422,0.8287933766841888,0.013506200563146721,0.0170625857958032,0.019345325591057554,0.020496407996244612
calibration,9,cond,0,ridge_linear,32,12,0.4001809872376422,0.9942818631728491,0.008998136443808083,0.011367480762409808,0.011038472392244921,0.012491025813078725
calibration,9,cond,0,ridge_linear,64,12,0.4001809872376422,0.999999925494194,0.008609079976530131,0.010875979890546885,0.010695726814680366,0.012473285666935221
calibration,9,cond,0,ridge_linear,8,12,0.4001809872376422,0.6687088956435522,0.020372577387004626,0.025736982648984108,0.029318338823906415,0.032213506692267156
calibration,9,cond,0,ridge_nonnegative,16,12,0.4001809872376422,0.8287933766841888,0.013505917036877093,0.017062227612813223,0.019345325591057554,0.020496407996244612
calibration,9,cond,0,ridge_nonnegative,32,12,0.4001809872376422,0.9942818631728491,0.008998112066263896,0.011367449965892519,0.011038524188301809,0.012491140915427364
calibration,9,cond,0,ridge_nonnegative,64,12,0.4001809872376422,0.999999925494194,0.008609052956863617,0.010875945756196818,0.010695733643135145,0.01247330658566814
calibration,9,cond,0,ridge_nonnegative,8,12,0.4001809872376422,0.6687088956435522,0.02037228439509709,0.025736612507911764,0.029318338823906415,0.032213506692267156
calibration,9,cond,14,oracle_linear,16,12,0.32332594133913517,0.8194930305083593,0.09173067104932667,0.169242530878582,0.12696303953260085,0.1436169419394353
calibration,9,cond,14,oracle_linear,32,12,0.32332594133913517,0.9508749544620514,0.038105374367165816,0.07030418424070088,0.05655049953780188,0.06776148252426684
calibration,9,cond,14,oracle_linear,64,12,0.32332594133913517,0.9999999850988388,1.8444558035698652e-05,3.403009753651464e-05,2.7045775612287733e-05,2.7945020724873773e-05
calibration,9,cond,14,oracle_linear,8,12,0.32332594133913517,0.6431682805220286,0.15222731833020203,0.2808584776318614,0.217121335045607,0.24684246441397864
calibration,9,cond,14,oracle_nonnegative,16,12,0.32332594133913517,0.8194930305083593,0.09659841760799323,0.1782234937107544,0.1357973632424519,0.1582245255552324
calibration,9,cond,14,oracle_nonnegative,32,12,0.32332594133913517,0.9508749544620514,0.04180555534878476,0.07713099567546343,0.06183748082877398,0.0755775094259483
calibration,9,cond,14,oracle_nonnegative,64,12,0.32332594133913517,0.9999999850988388,1.8398234619700118e-05,3.394463111538362e-05,2.6971784945731928e-05,2.789849833429693e-05
calibration,9,cond,14,oracle_nonnegative,8,12,0.32332594133913517,0.6431682805220286,0.15530985464594957,0.2865457384099028,0.22526795823719398,0.25381175915575144
