split,head_role,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
calibration,transitional,ridge_linear,16,19,0.47870709394153793,0.8941958044704638,0.04741227139998565,0.0767377963336694,0.1082797931969494,0.15684168921545635
calibration,transitional,ridge_linear,32,19,0.47870709394153793,0.9784952527598331,0.023308679417673915,0.03772560649690354,0.04622239314782899,0.08146043140536909
calibration,transitional,ridge_linear,64,19,0.47870709394153793,0.9999999905887403,0.008019304158190042,0.012979418852080598,0.010778266632192165,0.01629520544949417
calibration,transitional,ridge_linear,8,19,0.47870709394153793,0.7787255582056547,0.07541452227531406,0.12206005070167922,0.1786354323144333,0.20620599370228457
calibration,transitional,ridge_nonnegative,16,19,0.47870709394153793,0.8941958044704638,0.048733883970213186,0.07887685513113862,0.11022435620247277,0.1603131229822771
calibration,transitional,ridge_nonnegative,32,19,0.47870709394153793,0.9784952527598331,0.024839061138802795,0.04020256272281416,0.05031470520042368,0.08882961589584207
calibration,transitional,ridge_nonnegative,64,19,0.47870709394153793,0.9999999905887403,0.00813720533451478,0.013170244479901302,0.01150492366634265,0.016657555069543625
calibration,transitional,ridge_nonnegative,8,19,0.47870709394153793,0.7787255582056547,0.07702749495555772,0.12467068219798733,0.17988492983388968,0.20824018505578812
test,diffuse,oracle_linear,16,123,0.10739635304373697,0.8148904941915497,0.09191870915052447,0.41554759391959006,0.17462651218206915,0.2508218408641607
test,diffuse,oracle_linear,32,123,0.10739635304373697,0.9591787694915523,0.07997701041075836,0.36156136821556983,0.1538983814913443,0.20991892831302886
test,diffuse,oracle_linear,64,123,0.10739635304373697,0.9999999670478387,0.06560317261866232,0.296579888763822,0.12701185856863748,0.17648060174311506
test,diffuse,oracle_linear,8,123,0.10739635304373697,0.661569967502501,0.10314903979051242,0.4663178551590759,0.19617539563391884,0.2864836573211019
test,diffuse,oracle_nonnegative,16,123,0.10739635304373697,0.8148904941915497,0.0922705525159426,0.41713821312309357,0.1742985371612838,0.24902090933914797
test,diffuse,oracle_nonnegative,32,123,0.10739635304373697,0.9591787694915523,0.0805593973999526,0.3641942327795557,0.15268026807622312,0.20534714851305091
test,diffuse,oracle_nonnegative,64,123,0.10739635304373697,0.9999999670478387,0.06840278641246018,0.309236428293894,0.1269734548535795,0.17348437895526753
test,diffuse,oracle_nonnegative,8,123,0.10739635304373697,0.661569967502501,0.1031903978107357,0.46650482716893,0.19484272331994132,0.2842032426734429
test,diffuse,ridge_linear,16,123,0.10739635304373697,0.8148904941915497,0.13870123586045166,0.6270428008415454,0.274110462229147,0.36054854651382173
test,diffuse,ridge_linear,32,123,0.10739635304373697,0.9591787694915523,0.13936044171349826,0.6300229493734688,0.27905554443832925,0.3616416986068664
test,diffuse,ridge_linear,64,123,0.10739635304373697,0.9999999670478387,0.1395906775117712,0.6310638031114146,0.2799270858115637,0.36302443306689913
test,diffuse,ridge_linear,8,123,0.10739635304373697,0.661569967502501,0.1382958050105254,0.6252099224673318,0.27301570454688595,0.36549774952900693
test,diffuse,ridge_nonnegative,16,123,0.10739635304373697,0.8148904941915497,0.14078596428037343,0.6364674749571886,0.2743797452640004,0.34312078556724024
test,diffuse,ridge_nonnegative,32,123,0.10739635304373697,0.9591787694915523,0.14828988277453609,0.670391311617162,0.28775357211262487,0.3547083482870618
test,diffuse,ridge_nonnegative,64,123,0.10739635304373697,0.9999999670478387,0.15203950597449079,0.6873426691073402,0.29110834370287914,0.3630790238160265
