head,source,ascending_index,eigenvalue,mp_lower,mp_upper
0,q,44,0.09280512481927872,0.8788919423236052,1.1289224654908026
0,q,45,0.10430128872394562,0.8788919423236052,1.1289224654908026
0,q,46,0.11836443841457367,0.8788919423236052,1.1289224654908026
0,q,47,0.12088848650455475,0.8788919423236052,1.1289224654908026
0,q,48,0.1260446459054947,0.8788919423236052,1.1289224654908026
0,q,49,0.14021293818950653,0.8788919423236052,1.1289224654908026
0,q,50,0.14495126903057098,0.8788919423236052,1.1289224654908026
0,q,51,0.1524180918931961,0.8788919423236052,1.1289224654908026
0,q,52,0.16770635545253754,0.8788919423236052,1.1289224654908026
0,q,53,0.1859043836593628,0.8788919423236052,1.1289224654908026
0,q,54,0.20298893749713898,0.8788919423236052,1.1289224654908026
0,q,55,0.21222305297851562,0.8788919423236052,1.1289224654908026
0,q,56,0.21854063868522644,0.8788919423236052,1.1289224654908026
0,q,57,0.22807909548282623,0.8788919423236052,1.1289224654908026
0,q,58,0.24935132265090942,0.8788919423236052,1.1289224654908026
0,q,59,0.2557484805583954,0.8788919423236052,1.1289224654908026
0,q,60,0.26224419474601746,0.8788919423236052,1.1289224654908026
0,q,61,0.28814464807510376,0.8788919423236052,1.1289224654908026
0,q,62,0.29951396584510803,0.8788919423236052,1.1289224654908026
0,q,63,0.32233116030693054,0.8788919423236052,1.1289224654908026
0,q,64,0.34874609112739563,0.8788919423236052,1.1289224654908026
0,q,65,0.36948689818382263,0.8788919423236052,1.1289224654908026
0,q,66,0.37774765491485596,0.8788919423236052,1.1289224654908026
0,q,67,0.42120885848999023,0.8788919423236052,1.1289224654908026
0,q,68,0.4451132118701935,0.8788919423236052,1.1289224654908026
0,q,69,0.45931288599967957,0.8788919423236052,1.1289224654908026
0,q,70,0.48321452736854553,0.8788919423236052,1.1289224654908026
0,q,71,0.5005664229393005,0.8788919423236052,1.1289224654908026
0,q,72,0.5437121987342834,0.8788919423236052,1.1289224654908026
0,q,73,0.5643383264541626,0.8788919423236052,1.1289224654908026
0,q,74,0.5829116702079773,0.8788919423236052,1.1289224654908026
0,q,75,0.6080816984176636,0.8788919423236052,1.1289224654908026
0,q,76,0.641190767288208,0.8788919423236052,1.1289224654908026
0,q,77,0.6696551442146301,0.8788919423236052,1.1289224654908026
0,q,78,0.680197536945343,0.8788919423236052,1.1289224654908026
0,q,79,0.7105010151863098,0.8788919423236052,1.1289224654908026
0,q,80,0.7974207401275635,0.8788919423236052,1.1289224654908026
0,q,81,0.830815851688385,0.8788919423236052,1.1289224654908026
0,q,82,0.8465593457221985,0.8788919423236052,1.1289224654908026
0,q,83,0.853443443775177,0.8788919423236052,1.1289224654908026
0,q,84,0.8631963729858398,0.8788919423236052,1.1289224654908026
0,q,85,0.8736583590507507,0.8788919423236052,1.1289224654908026
0,q,86,0.8885509967803955,0.8788919423236052,1.1289224654908026
0,q,87,0.9240714311599731,0.8788919423236052,1.1289224654908026
0,q,88,0.9504517912864685,0.8788919423236052,1.1289224654908026
0,q,89,0.9570863246917725,0.8788919423236052,1.1289224654908026
0,q,90,0.9722504019737244,0.8788919423236052,1.1289224654908026
0,q,91,0.9767943620681763,0.8788919423236052,1.1289224654908026
0,q,92,1.005300760269165,0.8788919423236052,1.1289224654908026
0,q,93,1.0268760919570923,0.8788919423236052,1.1289224654908026
0,q,94,1.040566086769104,0.8788919423236052,1.1289224654908026
0,q,95,1.0523420572280884,0.8788919423236052,1.1289224654908026
0,q,96,1.063207983970642,0.8788919423236052,1.1289224654908026
0,q,97,1.0971341133117676,0.8788919423236052,1.1289224654908026
0,q,98,1.1498767137527466,0.8788919423236052,1.1289224654908026
0,q,99,1.2044780254364014,0.8788919423236052,1.1289224654908026
0,q,100,1.2863324880599976,0.8788919423236052,1.1289224654908026
0,q,101,1.296942114830017,0.8788919423236052,1.1289224654908026
0,q,102,1.3271360397338867,0.8788919423236052,1.1289224654908026
0,q,103,1.3568012714385986,0.8788919423236052,1.1289224654908026
0,q,104,1.3655529022216797,0.8788919423236052,1.1289224654908026
0,q,105,1.4175673723220825,0.8788919423236052,1.1289224654908026
0,q,106,1.493526816368103,0.8788919423236052,1.1289224654908026
0,q,107,1.515945315361023,0.8788919423236052,1.1289224654908026
0,q,108,1.5300720930099487,0.8788919423236052,1.1289224654908026
0,q,109,1.618998646736145,0.8788919423236052,1.1289224654908026
0,q,110,1.6495964527130127,0.8788919423236052,1.1289224654908026
0,q,111,1.8238059282302856,0.8788919423236052,1.1289224654908026
0,q,112,1.9736876487731934,0.8788919423236052,1.1289224654908026
0,q,113,2.0855448246002197,0.8788919423236052,1.1289224654908026
0,q,114,2.3544375896453857,0.8788919423236052,1.1289224654908026
0,q,115,2.4772069454193115,0.8788919423236052,1.1289224654908026
0,q,116,2.538121461868286,0.8788919423236052,1.1289224654908026
0,q,117,2.6281282901763916,0.8788919423236052,1.1289224654908026
0,q,118,3.006850004196167,0.8788919423236052,1.1289224654908026
0,q,119,3.076310634613037,0.8788919423236052,1.1289224654908026
0,q,120,3.340618848800659,0.8788919423236052,1.1289224654908026
0,q,121,3.5833091735839844,0.8788919423236052,1.1289224654908026
0,q,122,4.257073879241943,0.8788919423236052,1.1289224654908026
0,q,123,4.505655765533447,0.8788919423236052,1.1289224654908026
0,q,124,4.947650909423828,0.8788919423236052,1.1289224654908026
0,q,125,5.6789703369140625,0.8788919423236052,1.1289224654908026
0,q,126,11.311899185180664,0.8788919423236052,1.1289224654908026
0,q,127,19.724903106689453,0.8788919423236052,1.1289224654908026
0,k,0,0.00113651342689991,0.8788919423236052,1.1289224654908026
0,k,1,0.0013697841204702854,0.8788919423236052,1.1289224654908026
0,k,2,0.0016341829905286431,0.8788919423236052,1.1289224654908026
0,k,3,0.0019583452958613634,0.8788919423236052,1.1289224654908026
0,k,4,0.0028942381031811237,0.8788919423236052,1.1289224654908026
0,k,5,0.003225924214348197,0.8788919423236052,1.1289224654908026
0,k,6,0.004278994165360928,0.8788919423236052,1.1289224654908026
0,k,7,0.004430054221302271,0.8788919423236052,1.1289224654908026
0,k,8,0.004980882629752159,0.8788919423236052,1.1289224654908026
0,k,9,0.005927341524511576,0.8788919423236052,1.1289224654908026
0,k,10,0.008112108334898949,0.8788919423236052,1.1289224654908026
0,k,11,0.010389373637735844,0.8788919423236052,1.1289224654908026
0,k,12,0.011872019618749619,0.8788919423236052,1.1289224654908026
0,k,13,0.013338962569832802,0.8788919423236052,1.1289224654908026
0,k,14,0.015310019254684448,0.8788919423236052,1.1289224654908026
0,k,15,0.017414098605513573,0.8788919423236052,1.1289224654908026
0,k,16,0.019598020240664482,0.8788919423236052,1.1289224654908026
0,k,17,0.023149844259023666,0.8788919423236052,1.1289224654908026
0,k,18,0.02476331777870655,0.8788919423236052,1.1289224654908026
0,k,19,0.026673544198274612,0.8788919423236052,1.1289224654908026
0,k,20,0.02925771288573742,0.8788919423236052,1.1289224654908026
0,k,21,0.030627330765128136,0.8788919423236052,1.1289224654908026
0,k,22,0.034620486199855804,0.8788919423236052,1.1289224654908026
0,k,23,0.04245763644576073,0.8788919423236052,1.1289224654908026
0,k,24,0.04651987552642822,0.8788919423236052,1.1289224654908026
0,k,25,0.05399196222424507,0.8788919423236052,1.1289224654908026
0,k,26,0.05595938861370087,0.8788919423236052,1.1289224654908026
0,k,27,0.06051602587103844,0.8788919423236052,1.1289224654908026
0,k,28,0.06307849287986755,0.8788919423236052,1.1289224654908026
0,k,29,0.07064449042081833,0.8788919423236052,1.1289224654908026
0,k,30,0.07812514156103134,0.8788919423236052,1.1289224654908026
0,k,31,0.08316725492477417,0.8788919423236052,1.1289224654908026
0,k,32,0.08736173808574677,0.8788919423236052,1.1289224654908026
0,k,33,0.09395045042037964,0.8788919423236052,1.1289224654908026
0,k,34,0.09943049401044846,0.8788919423236052,1.1289224654908026
0,k,35,0.10108944028615952,0.8788919423236052,1.1289224654908026
0,k,36,0.10509220510721207,0.8788919423236052,1.1289224654908026
0,k,37,0.10916991531848907,0.8788919423236052,1.1289224654908026
0,k,38,0.11652691662311554,0.8788919423236052,1.1289224654908026
0,k,39,0.12184546887874603,0.8788919423236052,1.1289224654908026
0,k,40,0.1382671296596527,0.8788919423236052,1.1289224654908026
0,k,41,0.1416950225830078,0.8788919423236052,1.1289224654908026
0,k,42,0.14790353178977966,0.8788919423236052,1.1289224654908026
0,k,43,0.1609545201063156,0.8788919423236052,1.1289224654908026
0,k,44,0.173284113407135,0.8788919423236052,1.1289224654908026
0,k,45,0.18329556286334991,0.8788919423236052,1.1289224654908026
0,k,46,0.20208033919334412,0.8788919423236052,1.1289224654908026
0,k,47,0.20520736277103424,0.8788919423236052,1.1289224654908026
0,k,48,0.22634278237819672,0.8788919423236052,1.1289224654908026
0,k,49,0.24222522974014282,0.8788919423236052,1.1289224654908026
0,k,50,0.25433939695358276,0.8788919423236052,1.1289224654908026
0,k,51,0.2688738703727722,0.8788919423236052,1.1289224654908026
0,k,52,0.2867928743362427,0.8788919423236052,1.1289224654908026
0,k,53,0.297357976436615,0.8788919423236052,1.1289224654908026
0,k,54,0.31623151898384094,0.8788919423236052,1.1289224654908026
0,k,55,0.3540392816066742,0.8788919423236052,1.1289224654908026
0,k,56,0.3723023235797882,0.8788919423236052,1.1289224654908026
0,k,57,0.4107736647129059,0.8788919423236052,1.1289224654908026
0,k,58,0.4371792674064636,0.8788919423236052,1.1289224654908026
0,k,59,0.45115965604782104,0.8788919423236052,1.1289224654908026
0,k,60,0.4939579367637634,0.8788919423236052,1.1289224654908026
0,k,61,0.507172703742981,0.8788919423236052,1.1289224654908026
0,k,62,0.5247242450714111,0.8788919423236052,1.1289224654908026
0,k,63,0.5538250207901001,0.8788919423236052,1.1289224654908026
0,k,64,0.5610765814781189,0.8788919423236052,1.1289224654908026
0,k,65,0.6192278861999512,0.8788919423236052,1.1289224654908026
0,k,66,0.6365227103233337,0.8788919423236052,1.1289224654908026
0,k,67,0.6622607111930847,0.8788919423236052,1.1289224654908026
