prompt_id,layer,head_index,variant,relative_av_l2,av_numerator_sq,av_denominator_sq,dense_capture_parity
calib_fluid_s1,0,6,qvg_v_only,0.11709898710250854,288.23834228515625,21020.615234375,0.0010447273962199688
calib_fluid_s1,0,7,qvg_v_only,0.18750828504562378,362.5008544921875,10310.224609375,0.0012594006257131696
calib_fluid_s1,0,8,qvg_v_only,0.02590120956301689,3.294034481048584,4910.07421875,0.0006108018569648266
calib_fluid_s1,0,9,qvg_v_only,0.05696066841483116,11.649674415588379,3590.572265625,0.0007717185653746128
calib_fluid_s1,0,10,qvg_v_only,0.04992116615176201,29.744400024414062,11935.3671875,0.0005638267030008137
calib_fluid_s1,0,11,qvg_v_only,0.4561869502067566,9712.16796875,46669.2109375,0.001627221005037427
calib_fluid_s1,0,0,qvg_both,0.03979136794805527,18.727264404296875,11827.59765625,0.0007484668749384582
calib_fluid_s1,0,1,qvg_both,0.21160469949245453,1593.2646484375,35582.56640625,0.0013855071738362312
calib_fluid_s1,0,2,qvg_both,0.027795489877462387,9.798927307128906,12683.23046875,0.0006151401321403682
calib_fluid_s1,0,3,qvg_both,0.019940325990319252,3.581678867340088,9007.8701171875,0.0005429477896541357
calib_fluid_s1,0,4,qvg_both,0.48335355520248413,8323.3720703125,35626.1953125,0.0018873019143939018
calib_fluid_s1,0,5,qvg_both,0.35448896884918213,3121.726806640625,24842.1640625,0.0016997777856886387
calib_fluid_s1,0,6,qvg_both,0.129895880818367,354.67962646484375,21020.615234375,0.0010447273962199688
calib_fluid_s1,0,7,qvg_both,0.19739876687526703,401.75103759765625,10310.224609375,0.0012594006257131696
calib_fluid_s1,0,8,qvg_both,0.027868477627635002,3.8134193420410156,4910.07421875,0.0006108018569648266
calib_fluid_s1,0,9,qvg_both,0.0638558566570282,14.640810012817383,3590.572265625,0.0007717185653746128
calib_fluid_s1,0,10,qvg_both,0.05230468511581421,32.65253829956055,11935.3671875,0.0005638267030008137
calib_fluid_s1,0,11,qvg_both,0.46377846598625183,10038.1025390625,46669.2109375,0.001627221005037427
