method,mode,correction,rank,reduction,aggregate_error_percent,worst_error_percent,is_primary,scope
postrope_recency_g2_event_0p05,post_rope,none,0,1.440886699507386,4.725805073226587,23.704272508621216,False,held_out
postrope_recency_g2_event_0p1,post_rope,adaptive_rank_oracle,16,1.392857142857138,2.4433293545246544,14.169901609420776,False,held_out
postrope_recency_g2_event_0p1,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.392857142857138,3.311868750600556,17.052605748176575,False,held_out
postrope_recency_g2_event_0p1,post_rope,none,0,1.392857142857138,4.441038566816371,21.63967490196228,False,held_out
postrope_recency_g3_event_0,post_rope,adaptive_rank_oracle,16,1.3333333333333408,2.281580975689562,13.493643701076508,False,held_out
postrope_recency_g3_event_0,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.3333333333333408,3.072170631016809,16.51817411184311,False,held_out
postrope_recency_g3_event_0,post_rope,none,0,1.3333333333333408,4.046929644539094,19.995100796222687,False,held_out
postrope_recency_g3_event_0p05,post_rope,adaptive_rank_oracle,16,1.2865688527263204,2.0800895499187972,11.771854758262634,False,held_out
postrope_recency_g3_event_0p05,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.2865688527263204,2.803320291826903,14.586025476455688,False,held_out
postrope_recency_g3_event_0p05,post_rope,none,0,1.2865688527263204,3.6924358463287046,18.071359395980835,False,held_out
postrope_recency_g3_event_0p1,post_rope,adaptive_rank_oracle,16,1.248584672141251,1.9696520712430072,11.575771123170853,False,held_out
postrope_recency_g3_event_0p1,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.2485846721412541,2.667407194477581,14.430667459964752,False,held_out
postrope_recency_g3_event_0p1,post_rope,none,0,1.248584672141251,3.4996175944580807,17.77959167957306,False,held_out
postrope_recency_g4_event_0,post_rope,adaptive_rank_oracle,16,1.2000000000000057,1.8003260762583937,11.31555438041687,False,held_out
postrope_recency_g4_event_0,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.2000000000000057,2.4616363255220532,13.587935268878937,False,held_out
postrope_recency_g4_event_0,post_rope,none,0,1.2000000000000057,3.16336089607819,16.496309638023376,False,held_out
postrope_recency_g4_event_0p05,post_rope,adaptive_rank_oracle,16,1.1806256306760956,1.670354199666667,9.7881481051445,False,held_out
postrope_recency_g4_event_0p05,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.1806256306760956,2.2908267280807006,12.24295124411583,False,held_out
postrope_recency_g4_event_0p05,post_rope,none,0,1.1806256306760956,2.9434216544195735,14.846929907798767,False,held_out
postrope_recency_g4_event_0p1,post_rope,adaptive_rank_oracle,16,1.1619874170997142,1.5852528156657935,9.722166508436203,False,held_out
postrope_recency_g4_event_0p1,post_rope,frozen_calibration_basis_oracle_coefficients,16,1.1619874170997135,2.1768375668913573,11.968445032835007,False,held_out
postrope_recency_g4_event_0p1,post_rope,none,0,1.1619874170997142,2.7872326372454657,14.588239789009094,False,held_out
sink_recent_drop_middle,drop_middle,adaptive_rank_oracle,16,2.0,14.396227467163767,37.77238428592682,False,held_out
sink_recent_drop_middle,drop_middle,frozen_calibration_basis_oracle_coefficients,16,2.0,20.923818019672886,48.964208364486694,False,held_out
sink_recent_drop_middle,drop_middle,none,0,2.0,29.97997012519913,83.06249380111694,False,held_out
