candidate_role,selection_scope,evaluation_scope,method,correction,rank,layer,head,aggregate_error_percent,worst_error_percent,passes_0p5_1p0_gate,minimum_arithmetic_reduction,records
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,7,4.7586455461350825,5.703393369913101,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,8,6.316598345807872,8.1610769033432,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,9,35.57370995892264,47.025322914123535,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,10,3.095327750107931,3.806513547897339,False,1.6375087473757872,16
Preregistered primary,preregistered,validation+test,phasealigned_recency_g1_event_0p05,frozen_calibration_basis_oracle_coefficients,16,29,11,0.4948180118005691,0.6870470941066742,True,1.6375087473757872,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,0,0.2235983661014005,0.24422593414783478,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,1,0.7299991711735141,0.7934699766337872,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,2,0.18512788952903786,0.20489194430410862,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,3,0.18049177263558575,0.1872965833172202,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,4,0.23433192583031842,0.24197320453822613,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,adaptive_rank_oracle,16,0,5,0.13703245887067764,0.1431149197742343,True,1.5,16
