sample_id,task,full_correct,fixed_correct,grid_correct,routed_correct,full_prediction,fixed_prediction,grid_prediction,routed_prediction,fixed_selected_error,grid_selected_error,routed_selected_error,routed_grid_frames,routed_sparse_frames
moving_direction_0123,moving_direction,1,1,1,1,2,2,2,2,0.029434092342853546,0.029358362779021263,0.029077986255288124,6,10
moving_direction_0124,moving_direction,1,1,1,1,3,3,3,3,0.027254313230514526,0.027316918596625328,0.027166271582245827,7,9
moving_direction_0125,moving_direction,1,1,1,1,0,0,0,0,0.031041238456964493,0.029594535008072853,0.029594535008072853,16,0
moving_direction_0129,moving_direction,0,0,0,0,1,1,1,1,0.026076722890138626,0.02563081867992878,0.025502145290374756,10,6
moving_direction_0133,moving_direction,0,0,0,0,3,3,3,3,0.027894845232367516,0.025873463600873947,0.025873463600873947,16,0
moving_direction_0144,moving_direction,0,0,0,0,0,0,0,0,0.025591477751731873,0.02532975934445858,0.02516595646739006,7,9
moving_direction_0154,moving_direction,1,1,1,1,3,3,3,3,0.026481762528419495,0.0254667941480875,0.0254667941480875,16,0
moving_direction_0166,moving_direction,1,1,1,1,3,3,3,3,0.026992980390787125,0.027232466265559196,0.026808729395270348,6,10
moving_direction_0168,moving_direction,0,0,0,0,2,2,2,2,0.027230311185121536,0.02714691124856472,0.027069400995969772,8,8
moving_direction_0169,moving_direction,1,1,1,1,2,2,2,2,0.027056798338890076,0.02659577503800392,0.026505449786782265,11,5
moving_direction_0181,moving_direction,1,1,1,1,1,1,1,1,0.02878139726817608,0.028257522732019424,0.028257522732019424,15,1
moving_direction_0182,moving_direction,1,1,1,1,1,1,1,1,0.030202552676200867,0.030052082613110542,0.02998330630362034,13,3
moving_direction_0183,moving_direction,1,1,1,1,1,1,1,1,0.02567531354725361,0.025110770016908646,0.025110770016908646,16,0
object_existence_0003,object_existence,0,0,0,0,0,0,0,0,0.02902720496058464,0.027165992185473442,0.027165992185473442,16,0
object_existence_0010,object_existence,1,1,1,1,1,1,1,1,0.027454545721411705,0.026882903650403023,0.026859400793910027,15,1
object_existence_0013,object_existence,0,0,0,0,2,2,2,2,0.02701399475336075,0.026892634108662605,0.026715097948908806,13,3
object_existence_0018,object_existence,0,0,0,0,1,1,1,1,0.0339961051940918,0.032774023711681366,0.032774023711681366,16,0
object_existence_0019,object_existence,0,0,0,0,2,2,2,2,0.028406618162989616,0.027347298339009285,0.027347298339009285,16,0
object_existence_0020,object_existence,1,1,0,1,1,1,0,1,0.028619879856705666,0.029103601351380348,0.028619879856705666,0,16
object_existence_0025,object_existence,0,0,0,0,0,0,0,0,0.029380062595009804,0.028243467211723328,0.028243467211723328,13,3
object_existence_0026,object_existence,0,0,0,0,2,2,2,2,0.027364937588572502,0.02735999971628189,0.027207523584365845,5,11
object_existence_0031,object_existence,0,0,0,0,2,2,2,2,0.027246754616498947,0.027574433013796806,0.027241308242082596,3,13
object_existence_0032,object_existence,1,1,1,1,2,2,2,2,0.029080567881464958,0.02974429540336132,0.029034774750471115,3,13
object_existence_0036,object_existence,1,1,1,1,2,2,2,2,0.030460653826594353,0.030316565185785294,0.030258096754550934,6,10
object_existence_0038,object_existence,0,0,0,0,0,0,0,0,0.027311943471431732,0.027175074443221092,0.027057135477662086,13,3
object_existence_0040,object_existence,0,0,0,0,0,0,0,0,0.02784424088895321,0.028302570804953575,0.02783471904695034,5,11
object_existence_0046,object_existence,1,1,1,1,1,1,1,1,0.026983855292201042,0.026279719546437263,0.026279719546437263,14,2
object_existence_0061,object_existence,1,1,1,1,1,1,1,1,0.02677191235125065,0.027189666405320168,0.026668930426239967,4,12
object_existence_0064,object_existence,1,1,1,1,0,0,0,0,0.027031507343053818,0.02635008841753006,0.02612568438053131,13,3
object_existence_0066,object_existence,1,1,1,1,0,0,0,0,0.029484117403626442,0.030323289334774017,0.029484117403626442,2,14
object_existence_0068,object_existence,1,1,1,1,1,1,1,1,0.029125839471817017,0.02801225148141384,0.02801225148141384,16,0
object_existence_0077,object_existence,0,0,0,0,1,1,1,1,0.03114130347967148,0.03340531885623932,0.03114130347967148,0,16
object_existence_0082,object_existence,1,1,1,1,1,1,1,1,0.026495708152651787,0.02608383446931839,0.026058144867420197,15,1
object_existence_0083,object_existence,1,1,1,1,1,1,1,1,0.026551054790616035,0.026545502245426178,0.026379011571407318,10,6
object_existence_0085,object_existence,1,1,1,1,1,1,1,1,0.02623441442847252,0.025735344737768173,0.02569829300045967,14,2
object_existence_0089,object_existence,1,1,1,1,0,0,0,0,0.02740568295121193,0.027072882279753685,0.026991017162799835,11,5
object_existence_0093,object_existence,1,1,1,1,0,0,0,0,0.02991928718984127,0.029168926179409027,0.029168926179409027,15,1
object_existence_0097,object_existence,0,0,0,0,1,1,1,1,0.0264864731580019,0.027545301243662834,0.026472456753253937,4,12
object_existence_0102,object_existence,0,0,0,0,0,0,0,0,0.027696482837200165,0.028206143528223038,0.027690855786204338,3,13
object_existence_0104,object_existence,1,1,1,1,1,1,1,1,0.027666274458169937,0.027906004339456558,0.02766544185578823,1,15
object_existence_0130,object_existence,0,0,0,0,0,0,0,0,0.026335999369621277,0.026826901361346245,0.026245512068271637,7,9
object_existence_0135,object_existence,0,0,0,0,1,1,1,1,0.025980180129408836,0.025411762297153473,0.025302179157733917,6,10
object_existence_0137,object_existence,1,1,1,1,1,1,1,1,0.029838256537914276,0.02985992096364498,0.02968771755695343,8,8
object_existence_0141,object_existence,0,0,0,0,2,2,2,2,0.025171102955937386,0.026554182171821594,0.025171102955937386,0,16
object_existence_0147,object_existence,1,1,1,1,1,1,1,1,0.026472799479961395,0.02707776054739952,0.026472799479961395,7,9
object_existence_0152,object_existence,1,1,1,1,2,2,2,2,0.028190093114972115,0.027391862124204636,0.027391862124204636,15,1
object_existence_0153,object_existence,1,1,1,1,1,1,1,1,0.028349602594971657,0.027538267895579338,0.02752723917365074,8,8
object_existence_0155,object_existence,1,1,1,1,2,2,2,2,0.025908388197422028,0.026367178186774254,0.025859417393803596,3,13
object_existence_0157,object_existence,1,1,1,1,1,1,1,1,0.02646312117576599,0.0266929529607296,0.02644585818052292,8,8
object_existence_0159,object_existence,1,1,1,1,1,1,1,1,0.030059462413191795,0.0292095635086298,0.029205074533820152,13,3
object_existence_0177,object_existence,0,0,0,0,1,1,1,1,0.025154661387205124,0.025110909715294838,0.024781418964266777,8,8
object_existence_0186,object_existence,1,1,1,1,0,0,0,0,0.026405662298202515,0.027186699211597443,0.026391761377453804,8,8
object_existence_0198,object_existence,0,0,0,0,1,1,1,1,0.027178961783647537,0.02733783610165119,0.02713671699166298,3,13
scene_transition_0001,scene_transition,1,1,1,1,3,3,3,3,0.07681301236152649,0.06915051490068436,0.06915051490068436,16,0
scene_transition_0011,scene_transition,0,0,0,0,1,1,1,1,0.06416100263595581,0.05859452858567238,0.05859452858567238,16,0
scene_transition_0024,scene_transition,1,1,1,1,3,3,3,3,0.05917367711663246,0.05610237270593643,0.05610237270593643,16,0
scene_transition_0025,scene_transition,1,1,1,1,0,0,0,0,0.0712246522307396,0.06681795418262482,0.06681795418262482,16,0
scene_transition_0038,scene_transition,1,1,1,1,0,0,0,0,0.06880553066730499,0.068682961165905,0.06808467209339142,5,11
scene_transition_0042,scene_transition,1,1,1,1,0,0,0,0,0.06990624219179153,0.06826459616422653,0.06760738044977188,11,5
scene_transition_0047,scene_transition,0,0,0,0,1,1,1,1,0.09722191095352173,0.08433230221271515,0.08433230221271515,16,0
scene_transition_0048,scene_transition,1,1,1,1,0,0,0,0,0.07187522947788239,0.06941769272089005,0.06941769272089005,15,1
scene_transition_0055,scene_transition,1,1,1,1,3,3,3,3,0.057809978723526,0.056599486619234085,0.056599486619234085,15,1
scene_transition_0065,scene_transition,1,1,1,1,1,1,1,1,0.06955626606941223,0.06456057727336884,0.06456057727336884,16,0
scene_transition_0074,scene_transition,1,1,1,1,1,1,1,1,0.08223386108875275,0.0763746127486229,0.0763746127486229,16,0
scene_transition_0079,scene_transition,1,1,1,1,1,1,1,1,0.08545286953449249,0.0745701715350151,0.0745701715350151,16,0
scene_transition_0084,scene_transition,0,0,0,0,1,0,2,2,0.08314917981624603,0.07921190559864044,0.07921190559864044,16,0
scene_transition_0087,scene_transition,1,1,1,1,3,3,3,3,0.053915731608867645,0.05210084468126297,0.05210084468126297,16,0
scene_transition_0096,scene_transition,0,0,0,0,0,0,0,0,0.059806566685438156,0.057280875742435455,0.057280875742435455,16,0
scene_transition_0098,scene_transition,0,0,0,0,3,3,3,3,0.07794240862131119,0.07355104386806488,0.07355104386806488,16,0
scene_transition_0099,scene_transition,0,0,0,0,0,0,0,0,0.05990302935242653,0.05821606144309044,0.05806032940745354,15,1
scene_transition_0102,scene_transition,1,1,1,1,0,0,0,0,0.0737023651599884,0.0678292065858841,0.0678292065858841,16,0
scene_transition_0106,scene_transition,1,1,1,1,3,3,3,3,0.06500910222530365,0.0631890594959259,0.0631532147526741,12,4
scene_transition_0107,scene_transition,1,1,1,1,1,1,1,1,0.0665627270936966,0.06272871047258377,0.06272871047258377,16,0
scene_transition_0109,scene_transition,1,1,1,1,2,2,2,2,0.07158300280570984,0.06686726212501526,0.06686726212501526,16,0
scene_transition_0111,scene_transition,1,1,1,1,2,2,2,2,0.08155000954866409,0.07753104716539383,0.07753104716539383,14,2
scene_transition_0115,scene_transition,1,1,1,1,2,2,2,2,0.06326530873775482,0.06313467025756836,0.06234988942742348,11,5
scene_transition_0117,scene_transition,1,1,1,1,0,0,0,0,0.06615011394023895,0.06311313807964325,0.06311313807964325,14,2
scene_transition_0119,scene_transition,0,0,0,0,0,0,0,0,0.07294878363609314,0.06822589784860611,0.06815155595541,15,1
scene_transition_0124,scene_transition,1,1,1,1,2,2,2,2,0.068051777780056,0.06585722416639328,0.06551054865121841,13,3
scene_transition_0132,scene_transition,1,1,1,1,2,2,2,2,0.09305495023727417,0.08368319272994995,0.08368319272994995,16,0
scene_transition_0133,scene_transition,1,1,1,1,0,0,0,0,0.06136579439043999,0.0585380382835865,0.05852663144469261,15,1
scene_transition_0139,scene_transition,1,1,1,1,0,0,0,0,0.06411535292863846,0.06132286787033081,0.06132286787033081,14,2
scene_transition_0149,scene_transition,0,0,0,0,3,3,3,3,0.07608004659414291,0.0716383084654808,0.0716383084654808,15,1
scene_transition_0151,scene_transition,1,1,1,1,0,0,0,0,0.0696728527545929,0.06558354943990707,0.06558354943990707,16,0
scene_transition_0157,scene_transition,1,1,1,1,0,0,0,0,0.07592064887285233,0.07171580195426941,0.07171580195426941,16,0
scene_transition_0164,scene_transition,1,1,1,1,0,0,0,0,0.08664040267467499,0.08296681195497513,0.08296681195497513,15,1
scene_transition_0166,scene_transition,1,1,1,1,0,0,0,0,0.08172963559627533,0.07288965582847595,0.07288965582847595,16,0
scene_transition_0174,scene_transition,1,1,1,1,2,2,2,2,0.07599890977144241,0.07197922468185425,0.07197922468185425,15,1
scene_transition_0176,scene_transition,0,0,0,0,0,0,0,0,0.07405870407819748,0.06785925477743149,0.06785925477743149,16,0
scene_transition_0178,scene_transition,0,0,0,0,0,0,0,0,0.061651188880205154,0.05871202424168587,0.05871202424168587,16,0
scene_transition_0180,scene_transition,0,0,0,0,0,0,0,0,0.06433950364589691,0.060083962976932526,0.060083962976932526,16,0
scene_transition_0190,scene_transition,0,0,0,0,1,1,1,1,0.0816941186785698,0.07774613052606583,0.07774613052606583,16,0
scene_transition_0198,scene_transition,0,0,0,0,0,0,0,0,0.06876871734857559,0.06630069762468338,0.06630069762468338,16,0
state_change_0004,state_change,1,1,1,1,0,0,0,0,0.07412631064653397,0.07037611305713654,0.07037611305713654,16,0
state_change_0009,state_change,0,0,0,0,2,2,2,2,0.07178819924592972,0.06918515264987946,0.06918515264987946,16,0
state_change_0018,state_change,1,1,1,1,0,0,0,0,0.0686618760228157,0.06490135192871094,0.06490135192871094,16,0
state_change_0020,state_change,0,0,0,0,0,0,0,0,0.06601887196302414,0.06428743898868561,0.06428743898868561,16,0
state_change_0022,state_change,0,0,0,0,2,2,2,2,0.06676827371120453,0.0691206157207489,0.06676827371120453,0,16
state_change_0023,state_change,0,0,0,0,1,1,1,1,0.07147575169801712,0.07069924473762512,0.07061847299337387,13,3
state_change_0028,state_change,1,1,1,1,1,1,1,1,0.060511570423841476,0.05964154005050659,0.059611976146698,14,2
state_change_0030,state_change,1,1,1,1,0,0,0,0,0.0754924863576889,0.07282683998346329,0.07282683998346329,16,0
state_change_0031,state_change,0,0,0,0,0,0,0,0,0.07529404759407043,0.06866706162691116,0.06866706162691116,16,0
state_change_0034,state_change,0,0,0,0,0,0,0,0,0.06466715037822723,0.06451770663261414,0.06414587795734406,9,7
state_change_0035,state_change,0,0,0,0,2,2,2,2,0.07229965925216675,0.06944257020950317,0.06944257020950317,16,0
state_change_0044,state_change,1,1,1,1,0,0,0,0,0.060814984142780304,0.05877315625548363,0.05877315625548363,15,1
state_change_0047,state_change,0,0,0,0,1,1,1,1,0.07475694268941879,0.0696542039513588,0.0696542039513588,16,0
state_change_0050,state_change,1,1,1,1,2,2,2,2,0.07373253256082535,0.06986313313245773,0.06986313313245773,16,0
state_change_0055,state_change,0,0,0,0,1,1,1,1,0.0700024664402008,0.06881885230541229,0.06872599571943283,13,3
state_change_0057,state_change,1,1,1,1,0,0,0,0,0.06815259158611298,0.06715310364961624,0.06699468195438385,14,2
state_change_0058,state_change,1,1,1,1,1,1,1,1,0.06626726686954498,0.06397586315870285,0.06397586315870285,16,0
state_change_0061,state_change,0,0,0,0,1,1,1,1,0.06493867933750153,0.06610503792762756,0.06481967121362686,3,13
state_change_0062,state_change,0,0,0,0,1,1,1,1,0.07075069844722748,0.06963838636875153,0.06963838636875153,16,0
state_change_0076,state_change,0,0,0,0,1,1,1,1,0.08356687426567078,0.08047671616077423,0.08047671616077423,16,0
state_change_0077,state_change,0,0,0,0,2,2,2,2,0.0692729502916336,0.06670697033405304,0.06670697033405304,16,0
state_change_0085,state_change,1,1,1,1,1,1,1,1,0.06784897297620773,0.06804779171943665,0.06756982207298279,9,7
state_change_0093,state_change,1,1,1,1,0,0,0,0,0.08112341910600662,0.07875426858663559,0.07875426858663559,16,0
state_change_0095,state_change,0,0,0,0,0,0,0,0,0.07973199337720871,0.07537499815225601,0.07519590854644775,15,1
state_change_0110,state_change,1,1,1,1,2,2,2,2,0.07513456046581268,0.07849989831447601,0.07513456046581268,0,16
state_change_0115,state_change,1,1,1,1,2,2,2,2,0.07012024521827698,0.06934525072574615,0.06904082745313644,15,1
state_change_0133,state_change,0,0,0,0,0,0,0,0,0.06785412132740021,0.06408586353063583,0.06408586353063583,16,0
state_change_0136,state_change,0,0,0,0,0,0,0,0,0.068107970058918,0.06496007740497589,0.06496007740497589,16,0
state_change_0143,state_change,0,0,0,0,2,2,2,2,0.06388556212186813,0.06033369526267052,0.06033369526267052,16,0
state_change_0144,state_change,0,0,0,0,2,2,2,2,0.06875304132699966,0.0657096728682518,0.0657096728682518,16,0
state_change_0149,state_change,0,0,0,0,0,0,0,0,0.07127564400434494,0.06885877996683121,0.06885877996683121,15,1
state_change_0154,state_change,0,0,0,0,1,1,1,1,0.06448901444673538,0.06281136721372604,0.06275220960378647,10,6
state_change_0157,state_change,1,0,1,1,1,0,1,1,0.06918653845787048,0.06571125239133835,0.06571125239133835,16,0
state_change_0160,state_change,0,0,0,0,2,2,2,2,0.07098468393087387,0.06697072833776474,0.06697072833776474,16,0
state_change_0166,state_change,1,1,1,1,1,1,1,1,0.06648370623588562,0.06692030280828476,0.06637894362211227,7,9
state_change_0175,state_change,1,1,1,1,0,0,0,0,0.0721212700009346,0.06974737346172333,0.06974737346172333,16,0
state_change_0176,state_change,1,1,1,1,2,2,2,2,0.07861389219760895,0.07647423446178436,0.07647423446178436,16,0
state_change_0188,state_change,0,0,0,0,2,2,2,2,0.07939958572387695,0.07170595973730087,0.07170595973730087,16,0
state_change_0190,state_change,0,0,0,0,1,1,1,1,0.067250095307827,0.06357546150684357,0.06357546150684357,16,0
state_change_0196,state_change,1,1,1,1,2,2,2,2,0.06842353194952011,0.06570187211036682,0.06570187211036682,16,0
