comparison_type,left,right,layer,left_step,right_step,left_branch,right_branch,left_prompt_index,right_prompt_index,left_seed,right_seed,entropy_correlation,geometry_correlation,top64_mass_correlation,participation_correlation,class_agreement,localized_jaccard,router_class_pilot_go
mixed_sample,s02_p00_seed20260741_step00_cond_l29,s01_p01_seed20260740_step00_cond_l29,29,0,0,cond,cond,0,1,20260741,20260740,0.9982424222722974,0.9997681327277146,0.9961610567277812,0.9930971061626819,1.0,1.0,True
prompt,s02_p00_seed20260741_step00_cond_l29,s03_p01_seed20260741_step00_cond_l29,29,0,0,cond,cond,0,1,20260741,20260741,0.9995884457319049,0.999719945990928,0.9996387265251158,0.9884103440956469,1.0,1.0,True
seed,s01_p01_seed20260740_step00_cond_l29,s03_p01_seed20260741_step00_cond_l29,29,0,0,cond,cond,1,1,20260740,20260741,0.9970555701942977,0.9994198013033466,0.9936624607726076,0.9897117475809123,1.0,1.0,True
seed,s00_p00_seed20260740_step00_uncond_l00,s02_p00_seed20260741_step00_uncond_l00,0,0,0,uncond,uncond,0,0,20260740,20260741,0.9999954598665478,0.9999877765728022,0.9999958049447928,0.9999957713262809,1.0,1.0,True
prompt,s00_p00_seed20260740_step00_uncond_l00,s01_p01_seed20260740_step00_uncond_l00,0,0,0,uncond,uncond,0,1,20260740,20260740,1.0,1.0,1.0,1.0,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step00_uncond_l00,s03_p01_seed20260741_step00_uncond_l00,0,0,0,uncond,uncond,0,1,20260740,20260741,0.9999954598665478,0.9999877765728022,0.9999958049447928,0.9999957713262809,1.0,1.0,True
mixed_sample,s02_p00_seed20260741_step00_uncond_l00,s01_p01_seed20260740_step00_uncond_l00,0,0,0,uncond,uncond,0,1,20260741,20260740,0.9999954598665478,0.9999877765728022,0.9999958049447928,0.9999957713262809,1.0,1.0,True
prompt,s02_p00_seed20260741_step00_uncond_l00,s03_p01_seed20260741_step00_uncond_l00,0,0,0,uncond,uncond,0,1,20260741,20260741,1.0,1.0,1.0,1.0,1.0,1.0,True
seed,s01_p01_seed20260740_step00_uncond_l00,s03_p01_seed20260741_step00_uncond_l00,0,0,0,uncond,uncond,1,1,20260740,20260741,0.9999954598665478,0.9999877765728022,0.9999958049447928,0.9999957713262809,1.0,1.0,True
seed,s00_p00_seed20260740_step00_uncond_l14,s02_p00_seed20260741_step00_uncond_l14,14,0,0,uncond,uncond,0,0,20260740,20260741,0.998183191127783,0.9996215843530565,0.9981617353603252,0.9973665861555587,1.0,1.0,True
prompt,s00_p00_seed20260740_step00_uncond_l14,s01_p01_seed20260740_step00_uncond_l14,14,0,0,uncond,uncond,0,1,20260740,20260740,1.0,1.0,1.0,1.0,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step00_uncond_l14,s03_p01_seed20260741_step00_uncond_l14,14,0,0,uncond,uncond,0,1,20260740,20260741,0.998183191127783,0.9996215843530565,0.9981617353603252,0.9973665861555587,1.0,1.0,True
mixed_sample,s02_p00_seed20260741_step00_uncond_l14,s01_p01_seed20260740_step00_uncond_l14,14,0,0,uncond,uncond,0,1,20260741,20260740,0.998183191127783,0.9996215843530565,0.9981617353603252,0.9973665861555587,1.0,1.0,True
prompt,s02_p00_seed20260741_step00_uncond_l14,s03_p01_seed20260741_step00_uncond_l14,14,0,0,uncond,uncond,0,1,20260741,20260741,1.0,1.0,1.0,1.0,1.0,1.0,True
seed,s01_p01_seed20260740_step00_uncond_l14,s03_p01_seed20260741_step00_uncond_l14,14,0,0,uncond,uncond,1,1,20260740,20260741,0.998183191127783,0.9996215843530565,0.9981617353603252,0.9973665861555587,1.0,1.0,True
seed,s00_p00_seed20260740_step00_uncond_l29,s02_p00_seed20260741_step00_uncond_l29,29,0,0,uncond,uncond,0,0,20260740,20260741,0.998561676552656,0.9994948884455603,0.9965371265408558,0.9953291333054889,1.0,1.0,True
prompt,s00_p00_seed20260740_step00_uncond_l29,s01_p01_seed20260740_step00_uncond_l29,29,0,0,uncond,uncond,0,1,20260740,20260740,1.0,1.0,1.0,1.0,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step00_uncond_l29,s03_p01_seed20260741_step00_uncond_l29,29,0,0,uncond,uncond,0,1,20260740,20260741,0.998561676552656,0.9994948884455603,0.9965371265408558,0.9953291333054889,1.0,1.0,True
mixed_sample,s02_p00_seed20260741_step00_uncond_l29,s01_p01_seed20260740_step00_uncond_l29,29,0,0,uncond,uncond,0,1,20260741,20260740,0.998561676552656,0.9994948884455603,0.9965371265408558,0.9953291333054889,1.0,1.0,True
prompt,s02_p00_seed20260741_step00_uncond_l29,s03_p01_seed20260741_step00_uncond_l29,29,0,0,uncond,uncond,0,1,20260741,20260741,1.0,1.0,1.0,1.0,1.0,1.0,True
seed,s01_p01_seed20260740_step00_uncond_l29,s03_p01_seed20260741_step00_uncond_l29,29,0,0,uncond,uncond,1,1,20260740,20260741,0.998561676552656,0.9994948884455603,0.9965371265408558,0.9953291333054889,1.0,1.0,True
seed,s00_p00_seed20260740_step09_cond_l00,s02_p00_seed20260741_step09_cond_l00,0,9,9,cond,cond,0,0,20260740,20260741,0.9999911397337259,0.9999455571960424,0.9999847534791028,0.9999755508338533,1.0,1.0,True
prompt,s00_p00_seed20260740_step09_cond_l00,s01_p01_seed20260740_step09_cond_l00,0,9,9,cond,cond,0,1,20260740,20260740,0.9999962332849515,0.9999741675989264,0.9999944959336319,0.9999718622593513,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step09_cond_l00,s03_p01_seed20260741_step09_cond_l00,0,9,9,cond,cond,0,1,20260740,20260741,0.9999874142599041,0.9999211777337106,0.9999767952900073,0.9999302678579446,1.0,1.0,True
mixed_sample,s02_p00_seed20260741_step09_cond_l00,s01_p01_seed20260740_step09_cond_l00,0,9,9,cond,cond,0,1,20260741,20260740,0.9999960686951423,0.999992730422801,0.9999944075231538,0.9999946260318425,1.0,1.0,True
prompt,s02_p00_seed20260741_step09_cond_l00,s03_p01_seed20260741_step09_cond_l00,0,9,9,cond,cond,0,1,20260741,20260741,0.9999984182664002,0.9999950712228622,0.9999989552547796,0.9999794690932773,1.0,1.0,True
seed,s01_p01_seed20260740_step09_cond_l00,s03_p01_seed20260741_step09_cond_l00,0,9,9,cond,cond,1,1,20260740,20260741,0.9999955058508353,0.9999839906707482,0.9999898222670156,0.9999902625770961,1.0,1.0,True
seed,s00_p00_seed20260740_step09_cond_l14,s02_p00_seed20260741_step09_cond_l14,14,9,9,cond,cond,0,0,20260740,20260741,0.9932735506516341,0.9799311340278049,0.994741852345898,0.9954484212648097,0.75,0.0,False
prompt,s00_p00_seed20260740_step09_cond_l14,s01_p01_seed20260740_step09_cond_l14,14,9,9,cond,cond,0,1,20260740,20260740,0.9735120418740577,0.9875714219875579,0.9809951152934905,0.9737563708263121,0.75,0.3333333333333333,False
mixed_sample,s00_p00_seed20260740_step09_cond_l14,s03_p01_seed20260741_step09_cond_l14,14,9,9,cond,cond,0,1,20260740,20260741,0.9558049453092041,0.9694227538803544,0.9700471748589831,0.9305903783949008,0.6666666666666666,0.0,False
mixed_sample,s02_p00_seed20260741_step09_cond_l14,s01_p01_seed20260740_step09_cond_l14,14,9,9,cond,cond,0,1,20260741,20260740,0.9854718695411439,0.9856258547226531,0.9880360675772712,0.9797663536664056,0.8333333333333334,0.0,False
prompt,s02_p00_seed20260741_step09_cond_l14,s03_p01_seed20260741_step09_cond_l14,14,9,9,cond,cond,0,1,20260741,20260741,0.9718355977201536,0.9924379761468012,0.9782003977669554,0.944529543502871,0.9166666666666666,1.0,True
seed,s01_p01_seed20260740_step09_cond_l14,s03_p01_seed20260741_step09_cond_l14,14,9,9,cond,cond,1,1,20260740,20260741,0.9961655098944446,0.9907616175135636,0.9970444658176846,0.9869650294924036,0.9166666666666666,0.0,False
seed,s00_p00_seed20260740_step09_cond_l29,s02_p00_seed20260741_step09_cond_l29,29,9,9,cond,cond,0,0,20260740,20260741,0.9928304116675277,0.9741806896823327,0.9963205626682492,0.8324666099858299,0.9166666666666666,0.8,True
prompt,s00_p00_seed20260740_step09_cond_l29,s01_p01_seed20260740_step09_cond_l29,29,9,9,cond,cond,0,1,20260740,20260740,0.9949050719865655,0.9841900930576651,0.9968754401381034,0.8863652449293883,0.9166666666666666,0.8,True
mixed_sample,s00_p00_seed20260740_step09_cond_l29,s03_p01_seed20260741_step09_cond_l29,29,9,9,cond,cond,0,1,20260740,20260741,0.9920926079998692,0.9704846801416698,0.9949446282613094,0.8068312622608914,0.9166666666666666,0.8,True
mixed_sample,s02_p00_seed20260741_step09_cond_l29,s01_p01_seed20260740_step09_cond_l29,29,9,9,cond,cond,0,1,20260741,20260740,0.9974913874093115,0.997918336336652,0.998030700304106,0.9844064720122002,1.0,1.0,True
prompt,s02_p00_seed20260741_step09_cond_l29,s03_p01_seed20260741_step09_cond_l29,29,9,9,cond,cond,0,1,20260741,20260741,0.99923247011645,0.9993405228924601,0.9989614115719636,0.9910530516779175,1.0,1.0,True
seed,s01_p01_seed20260740_step09_cond_l29,s03_p01_seed20260741_step09_cond_l29,29,9,9,cond,cond,1,1,20260740,20260741,0.9988195636942282,0.9964697846438264,0.9988860528288739,0.9804354332242191,1.0,1.0,True
seed,s00_p00_seed20260740_step09_uncond_l00,s02_p00_seed20260741_step09_uncond_l00,0,9,9,uncond,uncond,0,0,20260740,20260741,0.9999911397337259,0.9999455571960424,0.9999847534791028,0.9999755508338533,1.0,1.0,True
prompt,s00_p00_seed20260740_step09_uncond_l00,s01_p01_seed20260740_step09_uncond_l00,0,9,9,uncond,uncond,0,1,20260740,20260740,0.9999962332849515,0.9999741675989264,0.9999944959336319,0.9999718622593513,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step09_uncond_l00,s03_p01_seed20260741_step09_uncond_l00,0,9,9,uncond,uncond,0,1,20260740,20260741,0.9999874142599041,0.9999211777337106,0.9999767952900073,0.9999302678579446,1.0,1.0,True
mixed_sample,s02_p00_seed20260741_step09_uncond_l00,s01_p01_seed20260740_step09_uncond_l00,0,9,9,uncond,uncond,0,1,20260741,20260740,0.9999960686951423,0.999992730422801,0.9999944075231538,0.9999946260318425,1.0,1.0,True
prompt,s02_p00_seed20260741_step09_uncond_l00,s03_p01_seed20260741_step09_uncond_l00,0,9,9,uncond,uncond,0,1,20260741,20260741,0.9999984182664002,0.9999950712228622,0.9999989552547796,0.9999794690932773,1.0,1.0,True
seed,s01_p01_seed20260740_step09_uncond_l00,s03_p01_seed20260741_step09_uncond_l00,0,9,9,uncond,uncond,1,1,20260740,20260741,0.9999955058508353,0.9999839906707482,0.9999898222670156,0.9999902625770961,1.0,1.0,True
seed,s00_p00_seed20260740_step09_uncond_l14,s02_p00_seed20260741_step09_uncond_l14,14,9,9,uncond,uncond,0,0,20260740,20260741,0.9929147402666175,0.9812513614176718,0.993988706327561,0.9942468968320682,0.75,0.0,False
prompt,s00_p00_seed20260740_step09_uncond_l14,s01_p01_seed20260740_step09_uncond_l14,14,9,9,uncond,uncond,0,1,20260740,20260740,0.972964816454784,0.9894035766557525,0.9811971926220475,0.9772590010575812,0.75,0.3333333333333333,False
mixed_sample,s00_p00_seed20260740_step09_uncond_l14,s03_p01_seed20260741_step09_uncond_l14,14,9,9,uncond,uncond,0,1,20260740,20260741,0.9589623765032058,0.9717338137834456,0.9743928628897052,0.9436215377155109,0.6666666666666666,0.0,False
mixed_sample,s02_p00_seed20260741_step09_uncond_l14,s01_p01_seed20260740_step09_uncond_l14,14,9,9,uncond,uncond,0,1,20260741,20260740,0.9844576617648139,0.9860878083175214,0.9871070751722091,0.9795826693018733,0.8333333333333334,0.0,False
prompt,s02_p00_seed20260741_step09_uncond_l14,s03_p01_seed20260741_step09_uncond_l14,14,9,9,uncond,uncond,0,1,20260741,20260741,0.9734358190613056,0.9935864931663004,0.9806939746463263,0.9472045102927471,0.9166666666666666,1.0,True
seed,s01_p01_seed20260740_step09_uncond_l14,s03_p01_seed20260741_step09_uncond_l14,14,9,9,uncond,uncond,1,1,20260740,20260741,0.9962617676535505,0.9907351581338879,0.9972871740644008,0.9871617213150301,0.9166666666666666,0.0,False
seed,s00_p00_seed20260740_step09_uncond_l29,s02_p00_seed20260741_step09_uncond_l29,29,9,9,uncond,uncond,0,0,20260740,20260741,0.9932740368040117,0.9742138754898149,0.996641174300651,0.8340018594447441,0.9166666666666666,0.8,True
prompt,s00_p00_seed20260740_step09_uncond_l29,s01_p01_seed20260740_step09_uncond_l29,29,9,9,uncond,uncond,0,1,20260740,20260740,0.9950574660964073,0.9838628252364034,0.9969948801935686,0.8865499701889377,0.9166666666666666,0.8,True
mixed_sample,s00_p00_seed20260740_step09_uncond_l29,s03_p01_seed20260741_step09_uncond_l29,29,9,9,uncond,uncond,0,1,20260740,20260741,0.9922414827956878,0.9703059901460429,0.9952113666831088,0.804806114959566,0.9166666666666666,0.8,True
mixed_sample,s02_p00_seed20260741_step09_uncond_l29,s01_p01_seed20260740_step09_uncond_l29,29,9,9,uncond,uncond,0,1,20260741,20260740,0.9976943786688073,0.9977790958561775,0.9981624107862643,0.9861064488087856,1.0,1.0,True
prompt,s02_p00_seed20260741_step09_uncond_l29,s03_p01_seed20260741_step09_uncond_l29,29,9,9,uncond,uncond,0,1,20260741,20260741,0.999177258659993,0.99931506115982,0.998945815920836,0.991326314710399,1.0,1.0,True
seed,s01_p01_seed20260740_step09_uncond_l29,s03_p01_seed20260741_step09_uncond_l29,29,9,9,uncond,uncond,1,1,20260740,20260741,0.998917772959438,0.9963439872648368,0.9989346584328299,0.9799564259613909,1.0,1.0,True
seed,s00_p00_seed20260740_step19_cond_l00,s02_p00_seed20260741_step19_cond_l00,0,19,19,cond,cond,0,0,20260740,20260741,0.9994556521105432,0.9998844885646903,0.9997668119189338,0.9981758894482792,1.0,1.0,True
prompt,s00_p00_seed20260740_step19_cond_l00,s01_p01_seed20260740_step19_cond_l00,0,19,19,cond,cond,0,1,20260740,20260740,0.9987251330306759,0.9993877963344453,0.9984170315941792,0.9995148513225699,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step19_cond_l00,s03_p01_seed20260741_step19_cond_l00,0,19,19,cond,cond,0,1,20260740,20260741,0.9982905519031013,0.9995527267054409,0.9986004929862339,0.9989176655721929,1.0,1.0,True
mixed_sample,s02_p00_seed20260741_step19_cond_l00,s01_p01_seed20260740_step19_cond_l00,0,19,19,cond,cond,0,1,20260741,20260740,0.9994940449317236,0.9992116919759151,0.9992557541716244,0.9991192908766234,1.0,1.0,True
prompt,s02_p00_seed20260741_step19_cond_l00,s03_p01_seed20260741_step19_cond_l00,0,19,19,cond,cond,0,1,20260741,20260741,0.9995169871860689,0.9994756498767041,0.9994635538572081,0.9996799338894595,1.0,1.0,True
seed,s01_p01_seed20260740_step19_cond_l00,s03_p01_seed20260741_step19_cond_l00,0,19,19,cond,cond,1,1,20260740,20260741,0.9998596833872399,0.99994014213313,0.9999049422106618,0.9997586718948294,1.0,1.0,True
seed,s00_p00_seed20260740_step19_cond_l14,s02_p00_seed20260741_step19_cond_l14,14,19,19,cond,cond,0,0,20260740,20260741,0.9864498082552103,0.9753717122798359,0.9865317152349945,0.9681492102243469,0.8333333333333334,0.6666666666666666,True
prompt,s00_p00_seed20260740_step19_cond_l14,s01_p01_seed20260740_step19_cond_l14,14,19,19,cond,cond,0,1,20260740,20260740,0.9678508694898251,0.9897484149207765,0.9703918873308865,0.9212081409647189,0.9166666666666666,1.0,True
mixed_sample,s00_p00_seed20260740_step19_cond_l14,s03_p01_seed20260741_step19_cond_l14,14,19,19,cond,cond,0,1,20260740,20260741,0.9359217412346216,0.9759675312575592,0.9413532014204279,0.9113662855265701,0.75,0.3333333333333333,False
mixed_sample,s02_p00_seed20260741_step19_cond_l14,s01_p01_seed20260740_step19_cond_l14,14,19,19,cond,cond,0,1,20260741,20260740,0.9815460436580271,0.9581368267240964,0.9832370505057089,0.9307545552748677,0.9166666666666666,0.6666666666666666,True
prompt,s02_p00_seed20260741_step19_cond_l14,s03_p01_seed20260741_step19_cond_l14,14,19,19,cond,cond,0,1,20260741,20260741,0.976371637745108,0.9841847372915863,0.9796627853902568,0.9801751612626994,0.9166666666666666,0.5,True
seed,s01_p01_seed20260740_step19_cond_l14,s03_p01_seed20260741_step19_cond_l14,14,19,19,cond,cond,1,1,20260740,20260741,0.9829387676698346,0.9804973114964676,0.9823883553554467,0.9381031259503189,0.8333333333333334,0.3333333333333333,False
seed,s00_p00_seed20260740_step19_cond_l29,s02_p00_seed20260741_step19_cond_l29,29,19,19,cond,cond,0,0,20260740,20260741,0.9768278278743187,0.8994738494410608,0.9775511912630656,0.6767814004418665,0.75,0.6666666666666666,False
prompt,s00_p00_seed20260740_step19_cond_l29,s01_p01_seed20260740_step19_cond_l29,29,19,19,cond,cond,0,1,20260740,20260740,0.9897262833909733,0.9563267543910182,0.9889703752049602,0.7476588428721475,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step19_cond_l29,s03_p01_seed20260741_step19_cond_l29,29,19,19,cond,cond,0,1,20260740,20260741,0.9752585778102253,0.8982712791799786,0.9770078425066624,0.6641559311394495,0.8333333333333334,0.8333333333333334,False
mixed_sample,s02_p00_seed20260741_step19_cond_l29,s01_p01_seed20260740_step19_cond_l29,29,19,19,cond,cond,0,1,20260741,20260740,0.9922883641996807,0.9730388845454025,0.9938025441307271,0.9939313934700542,0.75,0.6666666666666666,True
prompt,s02_p00_seed20260741_step19_cond_l29,s03_p01_seed20260741_step19_cond_l29,29,19,19,cond,cond,0,1,20260741,20260741,0.9965746371023033,0.9934248064033707,0.9956037246604273,0.9995209824952839,0.9166666666666666,0.8333333333333334,True
seed,s01_p01_seed20260740_step19_cond_l29,s03_p01_seed20260741_step19_cond_l29,29,19,19,cond,cond,1,1,20260740,20260741,0.9951638137562313,0.9823634099241967,0.9966374973116126,0.9927117017722855,0.8333333333333334,0.8333333333333334,True
seed,s00_p00_seed20260740_step19_uncond_l00,s02_p00_seed20260741_step19_uncond_l00,0,19,19,uncond,uncond,0,0,20260740,20260741,0.9994556521105432,0.9998844885646903,0.9997668119189338,0.9981758894482792,1.0,1.0,True
prompt,s00_p00_seed20260740_step19_uncond_l00,s01_p01_seed20260740_step19_uncond_l00,0,19,19,uncond,uncond,0,1,20260740,20260740,0.9987251330306759,0.9993877963344453,0.9984170315941792,0.9995148513225699,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step19_uncond_l00,s03_p01_seed20260741_step19_uncond_l00,0,19,19,uncond,uncond,0,1,20260740,20260741,0.9982905519031013,0.9995527267054409,0.9986004929862339,0.9989176655721929,1.0,1.0,True
mixed_sample,s02_p00_seed20260741_step19_uncond_l00,s01_p01_seed20260740_step19_uncond_l00,0,19,19,uncond,uncond,0,1,20260741,20260740,0.9994940449317236,0.9992116919759151,0.9992557541716244,0.9991192908766234,1.0,1.0,True
prompt,s02_p00_seed20260741_step19_uncond_l00,s03_p01_seed20260741_step19_uncond_l00,0,19,19,uncond,uncond,0,1,20260741,20260741,0.9995169871860689,0.9994756498767041,0.9994635538572081,0.9996799338894595,1.0,1.0,True
seed,s01_p01_seed20260740_step19_uncond_l00,s03_p01_seed20260741_step19_uncond_l00,0,19,19,uncond,uncond,1,1,20260740,20260741,0.9998596833872399,0.99994014213313,0.9999049422106618,0.9997586718948294,1.0,1.0,True
seed,s00_p00_seed20260740_step19_uncond_l14,s02_p00_seed20260741_step19_uncond_l14,14,19,19,uncond,uncond,0,0,20260740,20260741,0.9864780299498648,0.976767363464801,0.9867127212915042,0.9669791402219073,0.8333333333333334,0.6666666666666666,True
prompt,s00_p00_seed20260740_step19_uncond_l14,s01_p01_seed20260740_step19_uncond_l14,14,19,19,uncond,uncond,0,1,20260740,20260740,0.9686807958126761,0.9903191701941149,0.9715025010279676,0.9309385629628365,0.9166666666666666,1.0,True
mixed_sample,s00_p00_seed20260740_step19_uncond_l14,s03_p01_seed20260741_step19_uncond_l14,14,19,19,uncond,uncond,0,1,20260740,20260741,0.936959752495264,0.97785398517686,0.9429938210270952,0.92212792733252,0.75,0.3333333333333333,False
mixed_sample,s02_p00_seed20260741_step19_uncond_l14,s01_p01_seed20260740_step19_uncond_l14,14,19,19,uncond,uncond,0,1,20260741,20260740,0.982599693331844,0.9579391879225762,0.9840880142028497,0.9326647668700014,0.9166666666666666,0.6666666666666666,True
prompt,s02_p00_seed20260741_step19_uncond_l14,s03_p01_seed20260741_step19_uncond_l14,14,19,19,uncond,uncond,0,1,20260741,20260741,0.9769838997487497,0.9843019197125572,0.9802645253371208,0.9849768607978204,0.9166666666666666,0.5,True
seed,s01_p01_seed20260740_step19_uncond_l14,s03_p01_seed20260741_step19_uncond_l14,14,19,19,uncond,uncond,1,1,20260740,20260741,0.9831372897940355,0.980356792427939,0.9824125678263949,0.9413441038705961,0.8333333333333334,0.3333333333333333,False
seed,s00_p00_seed20260740_step19_uncond_l29,s02_p00_seed20260741_step19_uncond_l29,29,19,19,uncond,uncond,0,0,20260740,20260741,0.9778820841267827,0.9052010801894895,0.9782197980164836,0.6736775547071893,0.75,0.6666666666666666,True
prompt,s00_p00_seed20260740_step19_uncond_l29,s01_p01_seed20260740_step19_uncond_l29,29,19,19,uncond,uncond,0,1,20260740,20260740,0.9897493304202419,0.9574913504090071,0.9888982714991947,0.748520745573622,1.0,1.0,True
mixed_sample,s00_p00_seed20260740_step19_uncond_l29,s03_p01_seed20260741_step19_uncond_l29,29,19,19,uncond,uncond,0,1,20260740,20260741,0.9758991652146098,0.9016652441600146,0.977278102791344,0.6663960991063893,0.8333333333333334,0.8333333333333334,True
mixed_sample,s02_p00_seed20260741_step19_uncond_l29,s01_p01_seed20260740_step19_uncond_l29,29,19,19,uncond,uncond,0,1,20260741,20260740,0.9926582402841263,0.9738412410424507,0.9940898779621321,0.9933967033522358,0.75,0.6666666666666666,True
prompt,s02_p00_seed20260741_step19_uncond_l29,s03_p01_seed20260741_step19_uncond_l29,29,19,19,uncond,uncond,0,1,20260741,20260741,0.9966013751116363,0.9936654173607039,0.9956234511681955,0.9996669887156285,0.9166666666666666,0.8333333333333334,True
seed,s01_p01_seed20260740_step19_uncond_l29,s03_p01_seed20260741_step19_uncond_l29,29,19,19,uncond,uncond,1,1,20260740,20260741,0.9953000956061636,0.9823751946705498,0.9966878294682712,0.9928905338059335,0.8333333333333334,0.8333333333333334,True
step,s00_p00_seed20260740_step00_cond_l00,s00_p00_seed20260740_step09_cond_l00,0,0,9,cond,cond,0,0,20260740,20260740,0.9953989428077176,0.9923624290236082,0.971230193496381,0.9992258881792934,0.9166666666666666,0.75,True
step,s00_p00_seed20260740_step00_cond_l00,s00_p00_seed20260740_step19_cond_l00,0,0,19,cond,cond,0,0,20260740,20260740,0.9741790901001613,0.976843835628745,0.91541892494021,0.996836784798894,0.8333333333333334,0.6,True
step,s00_p00_seed20260740_step09_cond_l00,s00_p00_seed20260740_step19_cond_l00,0,9,19,cond,cond,0,0,20260740,20260740,0.9890717359364687,0.9913433010844676,0.9763317956058425,0.9969773153431183,0.9166666666666666,0.8,True
step,s00_p00_seed20260740_step00_cond_l14,s00_p00_seed20260740_step09_cond_l14,14,0,9,cond,cond,0,0,20260740,20260740,0.9420717586114363,0.8885057612443529,0.9185201095460465,0.8523995675300472,0.5833333333333334,0.0,False
step,s00_p00_seed20260740_step00_cond_l14,s00_p00_seed20260740_step19_cond_l14,14,0,19,cond,cond,0,0,20260740,20260740,0.9231998894879385,0.785097364607997,0.8927819412087883,0.8102889896090466,0.4166666666666667,0.0,False
step,s00_p00_seed20260740_step09_cond_l14,s00_p00_seed20260740_step19_cond_l14,14,9,19,cond,cond,0,0,20260740,20260740,0.9885255326950342,0.9443355864459451,0.9841111025025753,0.9498229293065145,0.8333333333333334,1.0,True
step,s00_p00_seed20260740_step00_cond_l29,s00_p00_seed20260740_step09_cond_l29,29,0,9,cond,cond,0,0,20260740,20260740,0.9067429522506381,0.9039592258830028,0.8517145116602732,0.5426843493181193,0.8333333333333334,0.75,True
