panel,shape,rows,in_features,out_features,method,milliseconds,speedup_vs_bf16,fp8_hardware_eligible,nvfp4_hardware_eligible,output_rel_l2,output_cosine,output_max_abs,output_finite_fraction,case,source,batch,heads,q_len,k_len,head_dim,dtype,preprocessing_in_timing,status,effective_tflops,peak_allocated_mib,row_rel_l2_mean,row_rel_l2_p95,prompt_index,prompt,seed,seconds_including_text_and_vae,self_attention_calls,cross_attention_calls,video_file,video_sha256,scope,threshold,speedup,ssim,cached_fraction
generation,,,,,fa3_hybrid_fp8_every2,,,,,,,,,,,,,,,,,,ok,,21075.544921875,,,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,53.481785625976045,1200,1200,0000_fa3_hybrid_fp8_every2_seed20260723.mp4,1f566f56dea424202799664e1f639c42eac16d56d9f1f525e31579da4fb37ec4,,,,,
generation,,,,,fa3_fp8,,,,,,,,,,,,,,,,,,ok,,21075.544921875,,,0,A red panda runs through a bamboo forest while the camera tracks smoothly.,20260723,47.62495935498737,1200,1200,0000_fa3_fp8_seed20260723.mp4,114a2f6abad393d6421e3a973240ef2d67ce2ec4e47a4cb50828c72a8a9f224b,,,,,
teacache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_prompt_screen,0.1,1.3071911641249208,0.5862933640197983,0.3
teacache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_prompt_screen,0.15,1.4081596139592116,0.590763138467,0.4
teacache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_prompt_screen,0.2,1.4865793482936225,0.542925916512039,0.45
teacache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_prompt_screen,0.3,1.6654073896603756,0.5092117563696928,0.55
teacache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_prompt_screen,0.5,1.9217844016128944,0.42620702599130367,0.65
teacache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_prompt_screen,1.0,1.971008079824876,0.3883433261696255,0.7
teacache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_prompt_screen,0.08,1.1699010308244522,0.8697265872835631,0.2
teacache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single_prompt_screen,0.09,1.2954029369306574,0.5862933640197983,0.3
teacache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eight_prompt_f81,0.08,1.038579143938712,0.9621135010263551,0.05
