scope,method,correction,records,captures,aggregate_relative_av_l2,mean_head_relative_av_l2,worst_head_relative_av_l2,minimum_cache_compression_ratio,maximum_dense_reference_parity
held_out,canonical_window_staggered_d0p10,adaptive_rank16,48,4,0.08650341378089663,0.047181607650903366,0.16315802931785583,1.5929130296648608,0.00133819121401757
held_out,canonical_window_staggered_d0p10,none,48,4,0.15711067100014786,0.10605362274024326,0.2979115843772888,1.5929130296648608,0.00133819121401757
held_out,canonical_window_staggered_d0p19,adaptive_rank16,48,4,0.08280382323995787,0.045560225829831325,0.1595250368118286,1.5028827895555785,0.00133819121401757
held_out,canonical_window_staggered_d0p19,none,48,4,0.1459073056456549,0.10163379820975631,0.26657840609550476,1.5028827895555785,0.00133819121401757
all,canonical_global_shared_d0p19,adaptive_rank16,96,8,0.07772064915555846,0.04184167668912172,0.16459016501903534,1.5028880917844127,0.00133819121401757
all,canonical_global_shared_d0p19,none,96,8,0.13933164334809683,0.09579666636758095,0.2932429015636444,1.5028880917844127,0.00133819121401757
all,canonical_identity_d0p19,adaptive_rank16,96,8,0.07777897191197554,0.04349319444251402,0.15619800984859467,1.5028880917844127,0.00133819121401757
all,canonical_identity_d0p19,none,96,8,0.14089556604795508,0.09893752309047461,0.2904021739959717,1.5028880917844127,0.00133819121401757
all,canonical_window_fixed_d0p10,adaptive_rank16,96,8,0.08145687978253897,0.0439710564193471,0.16605837643146515,1.5929130296648608,0.00133819121401757
all,canonical_window_fixed_d0p10,none,96,8,0.14721409769511706,0.09951350562187145,0.291908860206604,1.5929130296648608,0.00133819121401757
all,canonical_window_fixed_d0p19,adaptive_rank16,96,8,0.07942568125710114,0.04260771944730853,0.16605837643146515,1.5028827895555785,0.00133819121401757
all,canonical_window_fixed_d0p19,none,96,8,0.14109959810313394,0.09615504945395514,0.2917013168334961,1.5028827895555785,0.00133819121401757
all,canonical_window_staggered_d0p10,adaptive_rank16,96,8,0.08253929264462523,0.04456487957698604,0.17126940190792084,1.5929130296648608,0.00133819121401757
all,canonical_window_staggered_d0p10,none,96,8,0.14872889355582805,0.10066283044094841,0.2979115843772888,1.5929130296648608,0.00133819121401757
all,canonical_window_staggered_d0p19,adaptive_rank16,96,8,0.0801444631101812,0.042890019768189326,0.17126940190792084,1.5028827895555785,0.00133819121401757
all,canonical_window_staggered_d0p19,none,96,8,0.14158780758097284,0.09617891949164914,0.29435449838638306,1.5028827895555785,0.00133819121401757
