noise_mode,layer,flow_point,timestep,method,activation_relative_l2,activation_mean_relative_l2,activation_p95_relative_l2,rank8_energy,feature_coefficient_r2,previous_flow_coefficient_r2,flow_rank8_energy
aligned,6,0,98,shift_rank8_feature,0.02396088862470577,0.023032398894429207,0.033172316104173656,0.9875431948741075,0.7910329329478522,0.9896168257451106,0.8444830286974917
aligned,6,0,98,shift_rank8_prev_flow,0.016734661799941708,0.01640859991312027,0.022702428791671992,0.9875431948741075,0.7910329329478522,0.9896168257451106,0.8444830286974917
aligned,6,0,98,shift_rank8_oracle,0.01626877005755807,0.015914609655737877,0.022469535004347563,0.9875431948741075,0.7910329329478522,0.9896168257451106,0.8444830286974917
aligned,6,0,98,flow_reuse,0.020887003685197046,0.02068597637116909,0.024624333437532186,0.9875431948741075,0.7910329329478522,0.9896168257451106,0.8444830286974917
aligned,6,0,98,flow_toeplitz_r2,0.012724659498992374,0.012562807649374008,0.016006925562396645,0.9875431948741075,0.7910329329478522,0.9896168257451106,0.8444830286974917
aligned,6,0,98,flow_rank8_oracle,0.008236923608723065,0.008160886354744434,0.009955876599997282,0.9875431948741075,0.7910329329478522,0.9896168257451106,0.8444830286974917
aligned,7,0,98,raw_reuse,0.16863524030649577,0.1610451191663742,0.23644967079162596,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,7,0,98,shift_reuse,0.06418060827098802,0.06425412744283676,0.0747955497354269,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,7,0,98,shift_toeplitz_r2,0.029969759701934568,0.02880958281457424,0.042043802700936786,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,7,0,98,shift_circular_r2,0.029969759701934568,0.02880958281457424,0.042043802700936786,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,7,0,98,shift_rank8_feature,0.019955652995969516,0.019183585420250893,0.02804559301584959,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,7,0,98,shift_rank8_prev_flow,0.014262913196721884,0.013801954686641693,0.01862908750772476,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,7,0,98,shift_rank8_oracle,0.013984597492028726,0.01352062076330185,0.0185169355943799,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,7,0,98,flow_reuse,0.008737561874475523,0.008720644749701023,0.01159307388588786,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,7,0,98,flow_toeplitz_r2,0.007216052748499739,0.007119996007531881,0.0108224518597126,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,7,0,98,flow_rank8_oracle,0.00486536013656645,0.004824785515666008,0.0062691390747204425,0.9525220144160897,0.718108434670361,0.9890646042495288,0.6899373484696836
aligned,0,1,88,raw_reuse,0.6177910762031126,0.6106705069541931,0.9289762645959854,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,0,1,88,shift_reuse,0.14853853765708894,0.15402579307556152,0.20659317597746849,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,0,1,88,shift_toeplitz_r2,0.06849909295370064,0.07076559960842133,0.09317516945302486,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,0,1,88,shift_circular_r2,0.06849909295370064,0.07076559960842133,0.09317516945302486,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,0,1,88,shift_rank8_feature,0.028963195164079497,0.027621397748589516,0.042094559967517854,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,0,1,88,shift_rank8_prev_flow,0.015318261572990405,0.015092961490154266,0.02213647747412324,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,0,1,88,shift_rank8_oracle,0.015302410965694364,0.015072216279804707,0.02213020734488964,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,0,1,88,flow_reuse,0.007400463925688623,0.007436554878950119,0.012715240521356462,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,0,1,88,flow_toeplitz_r2,0.006621510286804984,0.0066667883656919,0.010477287555113434,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,0,1,88,flow_rank8_oracle,0.004419798436522367,0.004497441928833723,0.007093045278452337,0.9893869222926402,0.8779218229584513,0.9999020148706066,0.6433132013254211
aligned,1,1,88,raw_reuse,0.46741176699497755,0.46400487422943115,0.6483590245246887,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,1,1,88,shift_reuse,0.24116443871326657,0.24542339146137238,0.3217901214957237,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,1,1,88,shift_toeplitz_r2,0.13150959935042641,0.1336238831281662,0.17862735465168952,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,1,1,88,shift_circular_r2,0.13150959935042641,0.1336238831281662,0.17862735465168952,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,1,1,88,shift_rank8_feature,0.06401075301919566,0.06381943076848984,0.09442552216351031,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,1,1,88,shift_rank8_prev_flow,0.052619795419032896,0.05292176082730293,0.07904516160488129,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,1,1,88,shift_rank8_oracle,0.052584301335616736,0.0528859905898571,0.07897814884781837,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,1,1,88,flow_reuse,0.008433639518668195,0.008446535095572472,0.01278454647399485,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,1,1,88,flow_toeplitz_r2,0.0073491549209680936,0.007351591717451811,0.011254574405029416,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,1,1,88,flow_rank8_oracle,0.006595548395582987,0.006565408781170845,0.010314681939780712,0.9524570989353635,0.9518170154413351,0.9998649391789256,0.3883939751689447
aligned,2,1,88,raw_reuse,0.38257230719186436,0.37721070647239685,0.5608664155006408,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,2,1,88,shift_reuse,0.15160979969169663,0.15374216437339783,0.18334857672452926,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,2,1,88,shift_toeplitz_r2,0.09541842965974585,0.09620222449302673,0.12148822136223317,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,2,1,88,shift_circular_r2,0.09541842965974585,0.09620222449302673,0.12148822136223317,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,2,1,88,shift_rank8_feature,0.05765406148772232,0.05796253681182861,0.08460192941129208,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,2,1,88,shift_rank8_prev_flow,0.047735405084390246,0.04804372787475586,0.06898245997726916,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,2,1,88,shift_rank8_oracle,0.04769387496974954,0.04799996316432953,0.0688881728798151,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,2,1,88,flow_reuse,0.011383292186374249,0.011396924965083599,0.017749605420976877,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,2,1,88,flow_toeplitz_r2,0.011885677718701753,0.011918316595256329,0.01844899272546172,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,2,1,88,flow_rank8_oracle,0.009142175693676608,0.009063675068318844,0.014708975609391927,0.9010374972955546,0.8976259876821482,0.9996133489558479,0.35499458656920646
aligned,3,1,88,raw_reuse,0.2791389746265761,0.273886114358902,0.4258910283446312,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,3,1,88,shift_reuse,0.163990893259927,0.16664491593837738,0.2220586948096752,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,3,1,88,shift_toeplitz_r2,0.08949031733711844,0.08974438905715942,0.11768344789743422,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,3,1,88,shift_circular_r2,0.08949031733711844,0.08974438905715942,0.11768344789743422,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,3,1,88,shift_rank8_feature,0.05658783634911828,0.056836605072021484,0.08165487274527548,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,3,1,88,shift_rank8_prev_flow,0.04699619092720315,0.04712057486176491,0.06309986244887113,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,3,1,88,shift_rank8_oracle,0.04690836825955623,0.04702715203166008,0.06268545873463154,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,3,1,88,flow_reuse,0.020365060746573457,0.019987231120467186,0.03669742941856384,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,3,1,88,flow_toeplitz_r2,0.025591811781895714,0.0254389438778162,0.04461026005446911,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,3,1,88,flow_rank8_oracle,0.016720410858790922,0.016338089480996132,0.03177366806194186,0.9181796771203126,0.859560235514635,0.9988438474820562,0.32590288268361534
aligned,4,1,88,raw_reuse,0.21694734108182565,0.2095165252685547,0.3040531918406486,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,4,1,88,shift_reuse,0.2140667078205333,0.2152089625597,0.2606393665075302,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,4,1,88,shift_toeplitz_r2,0.1001696989205831,0.09935838729143143,0.12970374897122383,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,4,1,88,shift_circular_r2,0.1001696989205831,0.09935838729143143,0.12970374897122383,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,4,1,88,shift_rank8_feature,0.07374443400305147,0.07246919721364975,0.10291187092661858,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,4,1,88,shift_rank8_prev_flow,0.06053529392814271,0.059114158153533936,0.09190642312169074,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,4,1,88,shift_rank8_oracle,0.06026048375100944,0.05885418877005577,0.09137792475521564,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,4,1,88,flow_reuse,0.03716974802561707,0.034061282873153687,0.05857839751988649,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,4,1,88,flow_toeplitz_r2,0.045243368844970336,0.0435311384499073,0.06351884305477143,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,4,1,88,flow_rank8_oracle,0.02507504744866122,0.02370789647102356,0.03676365055143833,0.9207558945103531,0.7539469413179388,0.9954796903488068,0.5449026643467034
aligned,5,1,88,raw_reuse,0.19087130199899122,0.18477411568164825,0.26460552960634226,0.9448461283554902,0.6492733982990349,0.9895658743671949,0.6486131959448485
aligned,5,1,88,shift_reuse,0.26581937849218845,0.2658626139163971,0.3097363293170929,0.9448461283554902,0.6492733982990349,0.9895658743671949,0.6486131959448485
aligned,5,1,88,shift_toeplitz_r2,0.10506043392826976,0.1025678738951683,0.15190309360623358,0.9448461283554902,0.6492733982990349,0.9895658743671949,0.6486131959448485
aligned,5,1,88,shift_circular_r2,0.10506043392826976,0.1025678738951683,0.15190309360623358,0.9448461283554902,0.6492733982990349,0.9895658743671949,0.6486131959448485
aligned,5,1,88,shift_rank8_feature,0.08152154876757937,0.0794120728969574,0.11492087095975875,0.9448461283554902,0.6492733982990349,0.9895658743671949,0.6486131959448485
aligned,5,1,88,shift_rank8_prev_flow,0.06307883566083451,0.061715345829725266,0.08418218083679675,0.9448461283554902,0.6492733982990349,0.9895658743671949,0.6486131959448485
aligned,5,1,88,shift_rank8_oracle,0.06242731269630518,0.06107388436794281,0.083192153647542,0.9448461283554902,0.6492733982990349,0.9895658743671949,0.6486131959448485
aligned,5,1,88,flow_reuse,0.0355664640797427,0.03305254504084587,0.05892369132488966,0.9448461283554902,0.6492733982990349,0.9895658743671949,0.6486131959448485
