layer,split,method,codec,predictor,selected_fraction,index_bits,group_dim,nominal_bps,codebook_static_bits,codebook_sha256,mse,nmse,mean_cosine,p05_cosine,payload_bits,metadata_bits,payload_bps,effective_bps,index_entropy,index_entropy_bps,residual_top10_energy
15,test,raw_pq,pq_2b_k256_d4,,1.0,8,4,2.0,16384,08e90a2d8fcabbe2f7b5541dbf57932b91836eb615941baa6fd85cddea5e408d,0.00010672730029317524,0.10928875556277579,0.9463611596225527,0.926927074479438,5242880.0,0.0,2.0,2.00625,7.867804312725179,1.9669510781812947,0.15830971171295768
15,test,residual_pq,pq_2b_k256_d4,ema_050,0.25,8,4,0.75,16384,dc07c5eec323089ccd532e7a149ad6cf9754cdf764e72918c8208dae16d43cf4,0.00025262861775129014,0.2586917047254139,0.86325146587875,0.5963797147157204,1884160.0,616960.0,0.9541015625,0.9603515625,7.4435281636607336,0.7152205102287958,0.29550046024815146
15,test,residual_pq,pq_2b_k256_d4,ema_050,0.5,8,4,1.25,16384,dc07c5eec323089ccd532e7a149ad6cf9754cdf764e72918c8208dae16d43cf4,0.00013553180321625353,0.13878456657289337,0.9282280452774472,0.7595395892327182,3112960.0,616960.0,1.4228515625,1.4291015625,7.395205403494097,1.174400675436762,0.3420952500036964
15,test,residual_pq,pq_2b_k256_d4,ema_050,1.0,8,4,2.0,16384,dc07c5eec323089ccd532e7a149ad6cf9754cdf764e72918c8208dae16d43cf4,6.838475828646324e-05,0.07002599252542602,0.9648146449832519,0.8596088759020855,5570560.0,2560.0,2.1259765625,2.1322265625,7.244297244694044,1.811074311173511,0.41570572293568364
15,val,raw_pq,pq_4b_k256_d2,,1.0,8,2,4.0,8192,ca30a888b7e55415644d8a5b69e3fff8a8d1d9fcb0a4db521ad1d855d1eb2d5f,2.8569753114643413e-05,0.02925542726458317,0.9864212152693931,0.9772658734061763,5242880.0,0.0,4.0,4.00625,7.917195295184476,3.958597647592238,0.2238833976709477
15,val,residual_pq,pq_4b_k256_d2,ema_050,0.25,8,2,1.5,8192,95c52741312fa9ecaab2b3d57d08d4d5df3c438078fca5cb903338e1e95f9a81,0.00024447921696110444,0.250346718811578,0.8678848354635991,0.5232050147798694,1556480.0,615680.0,1.6572265625,1.6634765625,7.529711390631268,1.4412139238289083,0.3693698159146524
15,val,residual_pq,pq_4b_k256_d2,ema_050,0.5,8,2,2.5,8192,95c52741312fa9ecaab2b3d57d08d4d5df3c438078fca5cb903338e1e95f9a81,0.00015166098037288893,0.15530084430097135,0.9214455002237116,0.6273749076610494,2785280.0,615680.0,2.5947265625,2.6009765625,7.695814664139512,2.423953666034878,0.4907474384597452
15,val,residual_pq,pq_4b_k256_d2,ema_050,1.0,8,2,4.0,8192,95c52741312fa9ecaab2b3d57d08d4d5df3c438078fca5cb903338e1e95f9a81,0.00010791214548848669,0.11050203726420765,0.9462929113004008,0.687120656524096,5242880.0,1280.0,4.0009765625,4.0072265625,7.8817027348922135,3.9408513674461068,0.6248213671317109
15,test,raw_pq,pq_4b_k256_d2,,1.0,8,2,4.0,8192,ca30a888b7e55415644d8a5b69e3fff8a8d1d9fcb0a4db521ad1d855d1eb2d5f,3.717486101166624e-05,0.03806705769773842,0.9834935266559534,0.96268941484698,10485760.0,0.0,4.0,4.003125,7.9125088043249505,3.9562544021624753,0.304627478350952
15,test,residual_pq,pq_4b_k256_d2,ema_050,0.25,8,2,1.5,8192,95c52741312fa9ecaab2b3d57d08d4d5df3c438078fca5cb903338e1e95f9a81,0.00022259668930362588,0.22793900997740074,0.8800671655101475,0.6021838593646428,3112960.0,1231360.0,1.6572265625,1.6603515625,7.452330221401968,1.431541277675246,0.37753804785841194
