layer,budget_bps,controller,predictor,innovation_codec,innovation_fraction,mean_cosine,p05_cosine,effective_bps,int4_effective_bps,reuse_rate,predict_rate,innovation_rate,refresh_rate,encoder_required_rate,encoder_skip_rate,state_update_cost_proxy,standalone_rate_quality_dominated,best_dominator,memory_representation_candidate,conditional_compute_candidate
15,2.0,dlgn,ema_050,pq_2b_k256_d4,1.0,0.9179807264111434,0.7869795502531487,1.333209228515625,4.0219970703125,0.4,0.0,0.5375,0.0625,0.6,0.4,0.196875,False,,False,False
15,4.0,threshold,ema_050,pq_2b_k256_d4,1.0,0.9457108259336373,0.8191159351733974,2.0093231201171875,4.0219970703125,0.1875,0.0,0.625,0.1875,0.8125,0.1875,0.34375,True,raw_pq:pq_2b_k256_d4@1.00,False,False
15,4.0,decision_tree,ema_050,pq_2b_k256_d4,1.0,0.9441106419365497,0.8114968708242206,2.0096675872802736,4.0219970703125,0.20625,0.0,0.5875,0.20625,0.79375,0.20625,0.353125,True,raw_pq:pq_2b_k256_d4@1.00,False,False
15,4.0,mlp,ema_050,pq_2b_k256_d4,1.0,0.9300049127753134,0.804279180630944,1.7879638671875,4.0219970703125,0.30625,0.0,0.5,0.19375,0.69375,0.30625,0.31875,True,residual_pq:pq_1p5b_k64_d4@1.00,False,False
15,4.0,dlgn,ema_050,pq_2b_k256_d4,1.0,0.9011054103471053,0.7694302554698303,1.195709228515625,4.0219970703125,0.46875,0.0,0.46875,0.0625,0.53125,0.46875,0.1796875,False,,False,False
22,0.5,threshold,ema_075,pq_0p5b_k16_d8,1.0,0.9366533999952289,0.8065538672093828,3.2636199951171876,4.0165283203125,0.1875,0.0,0.0,0.8125,0.8125,0.1875,0.8125,True,raw_pq:pq_2b_k256_d4@1.00,False,False
22,0.5,decision_tree,ema_075,pq_0p5b_k16_d8,1.0,0.9363761579580074,0.8065538672093828,3.1883304595947264,4.0165283203125,0.20625,0.0,0.0,0.79375,0.79375,0.20625,0.79375,True,raw_pq:pq_2b_k256_d4@1.00,False,False
22,0.5,mlp,ema_075,pq_0p5b_k16_d8,1.0,0.9238277227397076,0.7685860348320679,2.4891357421875,4.0165283203125,0.38125,0.0,0.0,0.61875,0.61875,0.38125,0.61875,True,residual_pq:pq_1p5b_k64_d4@1.00,False,False
22,0.5,dlgn,ema_075,pq_0p5b_k16_d8,1.0,0.9306205828634404,0.7838667854202681,2.887994384765625,4.0165283203125,0.28125,0.0,0.0,0.71875,0.71875,0.28125,0.71875,True,raw_pq:pq_2b_k256_d4@1.00,False,False
22,1.0,threshold,ema_075,pq_1p5b_k64_d4,0.5,0.9300923014609793,0.7851652647872804,2.8120574951171875,4.0173095703125,0.1875,0.0,0.15,0.6625,0.8125,0.1875,0.7,True,raw_pq:pq_2b_k256_d4@1.00,False,False
22,1.0,decision_tree,ema_075,pq_1p5b_k64_d4,0.5,0.9383030550150451,0.8134458444650235,2.1336429595947264,4.0173095703125,0.20625,0.0,0.35,0.44375,0.79375,0.20625,0.53125,True,raw_pq:pq_2b_k256_d4@1.00,False,False
22,1.0,mlp,ema_075,pq_1p5b_k64_d4,0.5,0.9297011552761305,0.7822627343566034,1.9304443359375,4.0173095703125,0.31875,0.0,0.26875,0.4125,0.6812499999999999,0.31875,0.4796875,False,,False,False
22,1.0,dlgn,ema_075,pq_1p5b_k64_d4,0.5,0.9244009921967313,0.7685860348320679,2.462115478515625,4.0173095703125,0.3875,0.0,0.0,0.6125,0.6125,0.3875,0.6125,True,raw_pq:pq_2b_k256_d4@1.00,False,False
22,1.58,threshold,ema_075,pq_1p5b_k64_d4,1.0,0.9446452815985704,0.8134458444650235,2.1638153076171873,4.0173095703125,0.1875,0.0,0.4375,0.375,0.8125,0.1875,0.484375,True,raw_pq:pq_2b_k256_d4@1.00,False,False
22,1.58,decision_tree,ema_075,pq_1p5b_k64_d4,1.0,0.9451693105734964,0.8134458444650235,2.0571285247802735,4.0173095703125,0.20625,0.0,0.45,0.34375,0.79375,0.20625,0.45625,True,raw_pq:pq_2b_k256_d4@1.00,False,False
22,1.58,mlp,ema_075,pq_1p5b_k64_d4,1.0,0.9331836279162825,0.7788489415782771,1.8099365234375,4.0173095703125,0.3,0.0,0.4,0.3,0.7,0.3,0.4,False,,False,False
22,1.58,dlgn,ema_075,pq_1p5b_k64_d4,1.0,0.9366241230662797,0.7745536761519751,1.850201416015625,4.0173095703125,0.1875,0.0,0.5625,0.25,0.8125,0.1875,0.390625,False,,False,False
22,2.0,threshold,ema_075,pq_2b_k256_d4,1.0,0.955278470655848,0.8261820472324115,2.0975067138671877,4.0219970703125,0.1875,0.0,0.58125,0.23125,0.8125,0.1875,0.3765625,False,,True,False
22,2.0,decision_tree,ema_075,pq_2b_k256_d4,1.0,0.9541821218224584,0.8225326338644805,2.0096595764160154,4.0219970703125,0.20625,0.0,0.5875,0.20625,0.79375,0.20625,0.353125,False,,True,False
22,2.0,mlp,ema_075,pq_2b_k256_d4,1.0,0.940217088040253,0.797775580404612,1.8009521484375,4.0219970703125,0.33125,0.0,0.44375,0.225,0.66875,0.33125,0.3359375,False,,False,False
22,2.0,dlgn,ema_075,pq_2b_k256_d4,1.0,0.9550995012889125,0.8261820472324115,2.047955322265625,4.0219970703125,0.1875,0.0,0.60625,0.20625,0.8125,0.1875,0.3578125,False,,True,False
22,4.0,threshold,ema_075,pq_4b_k256_d2,1.0,0.9702822423785469,0.8558314447290353,3.2542449951171877,4.0188720703125,0.1875,0.0,0.75,0.0625,0.8125,0.1875,0.25,False,,True,False
22,4.0,decision_tree,ema_075,pq_4b_k256_d2,1.0,0.9700137383703387,0.8558314447290353,3.1792484283447267,4.0188720703125,0.20625,0.0,0.73125,0.0625,0.79375,0.20625,0.2453125,False,,True,False
22,4.0,mlp,ema_075,pq_4b_k256_d2,1.0,0.9510843784349037,0.8134458444650235,2.5577880859375,4.0188720703125,0.3625,0.0,0.575,0.0625,0.6375,0.3625,0.20625,True,residual_pq:pq_2b_k256_d4@1.00,False,False
22,4.0,dlgn,ema_075,pq_4b_k256_d2,1.0,0.9702822423785469,0.8558314447290353,3.255084228515625,4.0188720703125,0.1875,0.0,0.75,0.0625,0.8125,0.1875,0.25,False,,True,False
