weight_key,method,rank,weight_relative_fro,gaussian_output_relative_l2,stored_bits_ratio_vs_bf16,group_size,scale_count
blocks.29.ffn.0.weight,spectral_fp16_plus_int4,32,0.11204057186841965,0.11222182214260101,0.28221726190476193,128,107520
blocks.29.ffn.0.weight,random_fp16_plus_int4,32,0.12437845766544342,0.12469810247421265,0.28221726190476193,128,107520
blocks.29.ffn.0.weight,spectral_fp16_plus_int4,64,0.10428472608327866,0.10439138114452362,0.3066220238095238,128,107520
blocks.29.ffn.0.weight,random_fp16_plus_int4,64,0.12295948714017868,0.12314870208501816,0.3066220238095238,128,107520
blocks.29.ffn.2.weight,fp8_tensor,0,0.026459768414497375,0.026362231001257896,0.5,,
blocks.29.ffn.2.weight,int4_groupwise,0,0.12415452301502228,0.12372934073209763,0.2578125,128,107520
blocks.29.ffn.2.weight,spectral_fp16_plus_int4,8,0.11616131663322449,0.11573842912912369,0.26391369047619045,128,107520
blocks.29.ffn.2.weight,random_fp16_plus_int4,8,0.12377583235502243,0.12341373413801193,0.26391369047619045,128,107520
blocks.29.ffn.2.weight,spectral_fp16_plus_int4,16,0.11082914471626282,0.11052235215902328,0.27001488095238096,128,107520
blocks.29.ffn.2.weight,random_fp16_plus_int4,16,0.12339989840984344,0.1228792667388916,0.27001488095238096,128,107520
blocks.29.ffn.2.weight,spectral_fp16_plus_int4,32,0.10173191875219345,0.10151683539152145,0.28221726190476193,128,107520
blocks.29.ffn.2.weight,random_fp16_plus_int4,32,0.12270257622003555,0.12217335402965546,0.28221726190476193,128,107520
blocks.29.ffn.2.weight,spectral_fp16_plus_int4,64,0.08594237267971039,0.08559858798980713,0.3066220238095238,128,107520
blocks.29.ffn.2.weight,random_fp16_plus_int4,64,0.12129924446344376,0.12100251019001007,0.3066220238095238,128,107520
