family,variant,density,landmarks,order,rank,components,restart,records,residual_sq,reference_sq,aggregate_output_relative_l2,record_error_max,projected_query_work_ratio_mean,arithmetic_speedup_upper_bound,selected_attention_mass_mean,negative_tail_weight_fraction_mean,tail_score_range_mean
residual_tail_polynomial,midrange,0.125,0,4,0,0,0,48,8017.864995621145,280958.95431518555,0.16893044681192584,0.30047712515826697,nan,nan,0.7300062978433238,0.0,19.596570127540165
residual_tail_polynomial,midrange,0.25,0,1,0,0,0,48,14803142.214270255,280958.95431518555,7.2586443314153595,47.71607827084819,nan,nan,0.8540340533687009,0.4562427726470762,18.52321257856157
residual_tail_polynomial,midrange,0.25,0,2,0,0,0,48,2774.2110186760547,280958.95431518555,0.099368402344182,0.2685108128253156,nan,nan,0.8540340533687009,0.0,18.52321257856157
residual_tail_polynomial,midrange,0.25,0,3,0,0,0,48,331552.836739594,280958.95431518555,1.0863128956767671,8.563326664425793,nan,nan,0.8540340533687009,0.3682940264956819,18.52321257856157
residual_tail_polynomial,midrange,0.25,0,4,0,0,0,48,2511.760704043263,280958.95431518555,0.09455134082696363,0.1911171148385353,nan,nan,0.8540340533687009,0.0,18.52321257856157
value_aware_coreset,joint_kv,0.125,128,0,0,0,0,48,2805.9487381130457,280958.95431518555,0.09993518652401885,0.21054473841159982,0.12885463302129968,7.760683310740561,0.7300062978433238,nan,nan
value_aware_coreset,joint_kv,0.125,64,0,0,0,0,48,3273.127018213272,280958.95431518555,0.10793442707345273,0.21574562997396007,0.1269010310676977,7.880156619582795,0.7300062978433238,nan,nan
value_aware_coreset,joint_kv,0.25,128,0,0,0,0,48,982.6671653619269,280958.95431518555,0.05914006309219698,0.1504191163215559,0.2538715913715914,3.938999218452536,0.8540340533687009,nan,nan
value_aware_coreset,joint_kv,0.25,64,0,0,0,0,48,1109.4575044699013,280958.95431518555,0.06283967020775982,0.16495751633354938,0.25191798941798943,3.9695458125492253,0.8540340533687009,nan,nan
value_aware_coreset,k_only,0.125,128,0,0,0,0,48,2751.6871157586575,280958.95431518555,0.09896419269694771,0.21588458420713325,0.12885463302129968,7.760683310740561,0.7300062978433238,nan,nan
value_aware_coreset,k_only,0.125,64,0,0,0,0,48,3198.4561401978135,280958.95431518555,0.10669615299739348,0.227149412562511,0.1269010310676977,7.880156619582795,0.7300062978433238,nan,nan
value_aware_coreset,k_only,0.25,128,0,0,0,0,48,950.561852277955,280958.95431518555,0.05816594010104016,0.15364533050999185,0.2538715913715914,3.938999218452536,0.8540340533687009,nan,nan
value_aware_coreset,k_only,0.25,64,0,0,0,0,48,1083.9476671426091,280958.95431518555,0.06211303043692722,0.16369288949247865,0.25191798941798943,3.9695458125492253,0.8540340533687009,nan,nan
value_aware_coreset,value_aware_kv_thw,0.125,128,0,0,0,0,48,2413.8750446997583,280958.95431518555,0.09269065551311793,0.1998933306191602,0.12885463302129968,7.760683310740561,0.7300062978433238,nan,nan
value_aware_coreset,value_aware_kv_thw,0.125,64,0,0,0,0,48,2859.6192391961813,280958.95431518555,0.10088640955689783,0.2202140980228883,0.1269010310676977,7.880156619582795,0.7300062978433238,nan,nan
value_aware_coreset,value_aware_kv_thw,0.25,128,0,0,0,0,48,827.0510708052898,280958.95431518555,0.05425561931464891,0.14616951476758797,0.2538715913715914,3.938999218452536,0.8540340533687009,nan,nan
value_aware_coreset,value_aware_kv_thw,0.25,64,0,0,0,0,48,980.9795012555551,280958.95431518555,0.05908925674814997,0.15636045807237967,0.25191777743861077,3.9695491527734186,0.8540340533687009,nan,nan
