sample_id,prompt_index,seed,sampling_step,timestep,branch,layer,head,head_role_diagnostic_only,query_tile_start,density,selected_key_fraction,selected_attention_mass,reference_sq,diagnostic_oracle,claim_boundary,family,variant,landmarks,order,rank,components,restart,residual_sq,output_relative_l2,projected_query_work_ratio,arithmetic_speedup_upper_bound,omitted_online_cost,shared_denominator_min,shared_denominator_nonpositive_fraction,negative_tail_weight_fraction,tail_score_range_mean,tail_score_std_mean,tail_max_abs_centered_score,active_tail_groups,empty_cluster_fraction
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,lowrank_gaussian,0,0,8,2,0,15881.294921875,2.507110063915299,0.3711843711843712,2.694078947368421,online group moment formation and batched K SVD,1.000009536743164,0.0,,,,,896.0,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.125,0.1250305324792862,0.9734448194503784,2526.615234375,True,posthoc_function_class_capacity_only,lowrank_covariance,lowrank_gaussian,0,0,16,2,0,15959.42578125,2.5132695847760838,0.58998778998779,1.6949503311258278,online group moment formation and batched K SVD,1.0000088214874268,0.0,,,,,896.0,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.25,0.2498168647289276,0.9887909889221191,2526.615234375,True,posthoc_function_class_capacity_only,residual_tail_polynomial,mean,0,1,0,0,0,1.942011833190918,0.027724031314715014,nan,nan,TensorSketch/random-Maclaurin feature realization is not implemented,2.6605143547058105,0.0,0.37996673583984375,24.48287582397461,3.7612974643707275,16.58713150024414,,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.25,0.2498168647289276,0.9887909889221191,2526.615234375,True,posthoc_function_class_capacity_only,residual_tail_polynomial,mean,0,2,0,0,0,0.42281574010849,0.012936179048564965,nan,nan,TensorSketch/random-Maclaurin feature realization is not implemented,2.6605334281921387,0.0,0.0,24.48287582397461,3.7612974643707275,16.58713150024414,,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.25,0.2498168647289276,0.9887909889221191,2526.615234375,True,posthoc_function_class_capacity_only,residual_tail_polynomial,mean,0,3,0,0,0,0.3468608260154724,0.011716774504788726,nan,nan,TensorSketch/random-Maclaurin feature realization is not implemented,2.6605303287506104,0.0,0.3215923309326172,24.48287582397461,3.7612974643707275,16.58713150024414,,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.25,0.2498168647289276,0.9887909889221191,2526.615234375,True,posthoc_function_class_capacity_only,residual_tail_polynomial,mean,0,4,0,0,0,0.10583576560020447,0.00647212166486281,nan,nan,TensorSketch/random-Maclaurin feature realization is not implemented,2.6606175899505615,0.0,0.0,24.48287582397461,3.7612974643707275,16.58713150024414,,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.25,0.2498168647289276,0.9887909889221191,2526.615234375,True,posthoc_function_class_capacity_only,residual_tail_polynomial,midrange,0,1,0,0,0,2.2726645469665527,0.029991494901159797,nan,nan,TensorSketch/random-Maclaurin feature realization is not implemented,2.6605143547058105,0.0,0.42864990234375,24.48287582397461,3.7612974643707275,15.781682968139648,,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.25,0.2498168647289276,0.9887909889221191,2526.615234375,True,posthoc_function_class_capacity_only,residual_tail_polynomial,midrange,0,2,0,0,0,0.22346490621566772,0.009404486980924123,nan,nan,TensorSketch/random-Maclaurin feature realization is not implemented,2.660531997680664,0.0,0.0,24.48287582397461,3.7612974643707275,15.781682968139648,,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.25,0.2498168647289276,0.9887909889221191,2526.615234375,True,posthoc_function_class_capacity_only,residual_tail_polynomial,midrange,0,3,0,0,0,0.4580593407154083,0.013464533668565636,nan,nan,TensorSketch/random-Maclaurin feature realization is not implemented,2.6605303287506104,0.0,0.36658161878585815,24.48287582397461,3.7612974643707275,15.781682968139648,,
s00_p00_seed20260740,0,20260740,9,859.0,cond,14,0,unknown,0,0.25,0.2498168647289276,0.9887909889221191,2526.615234375,True,posthoc_function_class_capacity_only,residual_tail_polynomial,midrange,0,4,0,0,0,0.052716754376888275,0.004567775774233702,nan,nan,TensorSketch/random-Maclaurin feature realization is not implemented,2.6606109142303467,0.0,0.0,24.48287582397461,3.7612974643707275,15.781682968139648,,
