key,label,map_id,family,source_input_id,grid_shape,n,category,method,block_size,kernel_rank,stored_value_count,identifiable_value_count,index_bits_total,scale_count,parameter_bits,parameter_equivalent_fp16,parameter_fraction_of_dense_fp16,compression_ratio_vs_dense_fp16,raw_relative_fro_error,relative_fro_error,normalized_mse,mean_row_kl,mean_row_js,mean_row_tv,raw_row_sum_mae,target_fitted_oracle,pareto_nrmse,scale_rank,blocks_per_axis,block_count,kernel_energy_capture,scale_mean,scale_std,scale_cv,scale_min,scale_max,rank1_kernel_energy_capture,fixed_kernel_coefficient_sse_second_derivative,fixed_kernel_matrix_sse_second_derivative,gamma_quadratic_note,coefficient_manifold_dof_pre_row_normalization,generic_row_normalized_manifold_dof_upper_bound,identifiable_note,signed_factor_then_clamp,redundancy_note,scale_gamma,reoptimized_kernel,quant_bits,scale_scheme,quant_code_slots,continuous_scale_dof_after_row_normalization,minimal_functional_scale_count,minimal_functional_parameter_bits,minimal_functional_parameter_fraction_of_dense_fp16,quantization_payload_note,excess_normalized_mse_vs_fp16_independent,compensation_mask,compensation,sink_k,residual_rank,sparse_k,local_radius,oracle_support,fit_order,comparison_design,interpretation_note,budget_cap_bits,budget_utilization,compensation_amount,component_fit_order
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_reoptimized,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.7261738560290169,0.7267991476639276,0.5282370010450117,0.9895047919313056,0.22982858200457928,0.5251490797570743,0.03749601816390727,True,False,,32,1024,,0.9999999999999999,4.903581736980007,4.903581736980008,4.484593380035851e-36,31.80735955012326,0.937415779464029,24.138622546900752,48.277245093801504,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,1.25,True,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_fixed_kernel,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.7980206494083542,0.7278198809049204,0.5297217790404526,1.2458575936314595,0.23224135116773367,0.5258503842970705,0.40372101207198685,True,False,,32,1024,,1.0000000000000002,4.903478113990942,4.903478113990941,4.466539089657978e-36,31.81654299511366,0.937415779464029,24.138108992054388,48.276217984108776,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,1.5,False,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,scale_landscape,block_scale_gamma_reoptimized,2,1,1026,993,0,1024,16416,1026.0,0.25048828125,3.992202729044834,0.726275061954567,0.7278096336794014,0.5297068628765446,1.2459309038161135,0.23222624572485837,0.5257319533657356,0.052498160421703986,True,False,,32,1024,,0.9999999999999999,4.903581736980007,4.903581736980008,4.484593380035851e-36,31.80735955012326,0.937415779464029,24.138622546900752,48.277245093801504,The fixed-kernel SSE path is quadratic only while interpolated scales remain unclipped; the reoptimized-kernel path is not described by this curvature.,,,,,,1.5,True,,,,,,,,,,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_global,2,2,2048,,0,1,4112,257.0,0.062744140625,15.937743190661479,0.7095398235906569,0.7287529930613836,0.5310809248959251,3.28158215181122,0.2355531882126296,0.49680577418066796,0.11267471313476562,True,True,,32,1024,,,,,,,,,,,,,,,,,,2,global,2048,0,0,4096,0.0625,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.03543789729483604,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_block_row,2,2,2048,,0,32,4608,288.0,0.0703125,14.222222222222221,0.7074961480901037,0.726781734754426,0.5282116899726528,3.168176662986688,0.2343103298118818,0.4966307892652846,0.08922958374023438,True,True,,32,1024,,,,,,,,,,,,,,,,,,2,block_row,2048,0,0,4096,0.0625,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.03256866237156375,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_per_block,2,2,2048,,0,1024,20480,1280.0,0.3125,3.2,0.7050113368726196,0.7047144635776393,0.49662247517551994,0.7916111349443988,0.20901719947175992,0.4951048798201507,0.024511096999049187,True,False,,32,1024,,,,,,,,,,,,,,,,,,2,per_block,2048,992,992,19968,0.3046875,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.000979447574430914,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_global,2,2,2048,,0,1,6160,385.0,0.093994140625,10.638961038961039,0.7063901108363683,0.7119135216854278,0.5068208623585481,2.411428752256751,0.22676404951588192,0.49767928120355176,0.0712890625,True,True,,32,1024,,,,,,,,,,,,,,,,,,3,global,2048,0,0,6144,0.09375,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.011177834757459038,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_block_row,2,2,2048,,0,32,6656,416.0,0.1015625,9.846153846153847,0.7054006951293464,0.7110671634724834,0.5056165109688034,2.298417618721077,0.22523569197596954,0.4971894471703187,0.05224323272705078,True,False,,32,1024,,,,,,,,,,,,,,,,,,3,block_row,2048,0,0,6144,0.09375,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.00997348336771442,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_per_block,2,2,2048,,0,1024,22528,1408.0,0.34375,2.909090909090909,0.704280447131676,0.7041958706643142,0.4958918242606716,0.6795027484153361,0.20770629014533806,0.494785317838753,0.013220425695180893,True,False,,32,1024,,,,,,,,,,,,,,,,,,3,per_block,2048,992,992,22016,0.3359375,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.0002487966595825508,,,,,,,,,,,,,,
vit_ex0,ViT L0 H0,vit:s0:l0:h0,vit,vit:s0,8x8,64,quantization,quantized_independent_global,2,2,2048,,0,1,8208,513.0,0.125244140625,7.984405458089668,0.7047371083371871,0.7096171994366451,0.5035565697363074,1.8556791151337868,0.22059569777057303,0.4963517664389854,0.05672931671142578,True,False,,32,1024,,,,,,,,,,,,,,,,,,4,global,2048,0,0,8192,0.125,"parameter_bits includes every raw decoder scale. After explicit row normalization, a global scale and one common scale per query block-row cancel; the minimal functional payload is reported separately. Quantization codes are discrete slots, not continuous DOF.",0.007913542135218332,,,,,,,,,,,,,,
