head,bank_count,rank,density,method,mask_jaccard,attention_mass,basis_parameters,residual_sq,reference_sq,relative_l2,tile_error_mean,tile_error_max,basis_overlap_mean,captured_energy_mean
2,2,16,0.125,mass_topk,0.6404165029525757,0.15599122550338507,4096,34.39826858043671,11702.714477539062,0.05421568969402663,0.05340595295366394,0.06664821001957626,0.6814277470111847,0.9817722849547863
2,4,16,0.125,mass_topk,0.6404165029525757,0.15599122550338507,8192,32.311657547950745,11702.714477539062,0.052545594989771224,0.05203246693102064,0.06241203328609375,0.701895460486412,0.9832743224687874
2,8,16,0.125,mass_topk,0.6404165029525757,0.15599122550338507,16384,33.002206325531006,11702.714477539062,0.05310411590189736,0.052731757578713914,0.0652948498372685,0.7063317820429802,0.9827650487422943
2,16,16,0.125,mass_topk,0.6404165029525757,0.15599122550338507,32768,35.1894770860672,11702.714477539062,0.05483566341232787,0.05455188237632721,0.06748546895783597,0.7063310332596302,0.981080295110587
3,1,16,0.125,mass_topk,0.2812517285346985,0.13284838385879993,2048,32.43195950984955,7614.915008544922,0.0652610511079081,0.06381000718119688,0.09281999544425477,0.6235071420669556,0.9730451572686434
3,2,16,0.125,mass_topk,0.2812517285346985,0.13284838385879993,4096,29.376299142837524,7614.915008544922,0.06211064092379389,0.061552560124487565,0.07501205420273702,0.6286832392215729,0.975247398018837
3,4,16,0.125,mass_topk,0.2812517285346985,0.13284838385879993,8192,28.374651432037354,7614.915008544922,0.061042559802554006,0.06015950187585189,0.0752182824668641,0.6475161761045456,0.9761771038174629
3,8,16,0.125,mass_topk,0.2812517285346985,0.13284838385879993,16384,28.3415287733078,7614.915008544922,0.06100692091054965,0.06042596822263641,0.07723467599933134,0.6902230009436607,0.9762209514155984
3,16,16,0.125,mass_topk,0.2812517285346985,0.13284838385879993,32768,31.201530814170837,7614.915008544922,0.06401111921233929,0.06339498594435455,0.08094011634386984,0.6710076965391636,0.9703171289875172
4,1,16,0.125,mass_topk,0.9716147780418396,0.9955977685749531,2048,0.10357554536312819,35713.303466796875,0.0017029958995921541,0.0016164455075550403,0.0027877748064177995,0.8748670816421509,0.8271478414535522
4,2,16,0.125,mass_topk,0.9716147780418396,0.9955977685749531,4096,0.10827317333314568,35713.303466796875,0.0017411870189174296,0.001657328499729761,0.0028217741108077826,0.8332885205745697,0.8194644674658775
4,4,16,0.125,mass_topk,0.9716147780418396,0.9955977685749531,8192,0.11870488931890577,35713.303466796875,0.0018231369438267188,0.0017334339073381629,0.002964477194802043,0.7834046930074692,0.8007847443223
4,8,16,0.125,mass_topk,0.9716147780418396,0.9955977685749531,16384,0.1272624609991908,35713.303466796875,0.0018877094355878082,0.0018053126736269492,0.002970466524816705,0.7327724769711494,0.7820988912135363
4,16,16,0.125,mass_topk,0.9716147780418396,0.9955977685749531,32768,0.14785016910173,35713.303466796875,0.0020346789905875727,0.001949188918532998,0.003222355798238575,0.654466450214386,0.7445637481287122
5,1,16,0.125,mass_topk,0.9733682870864868,0.9947985783219337,2048,0.05270437357830815,27657.806274414062,0.0013804302345606933,0.0012449791684992103,0.0024877422593569867,0.8182995915412903,0.865502342581749
5,2,16,0.125,mass_topk,0.9733682870864868,0.9947985783219337,4096,0.05823756055906415,27657.806274414062,0.0014510845642105176,0.0013107721986010225,0.0025851601071988817,0.7860924303531647,0.8522396981716156
5,4,16,0.125,mass_topk,0.9733682870864868,0.9947985783219337,8192,0.06694579712348059,27657.806274414062,0.0015557965115448739,0.0013978505105570072,0.002789407031437411,0.743940144777298,0.8295771479606628
5,8,16,0.125,mass_topk,0.9733682870864868,0.9947985783219337,16384,0.07690580585040152,27657.806274414062,0.0016675186444693089,0.0014957501959394048,0.003062021885147018,0.6934729143977165,0.8033053018152714
5,16,16,0.125,mass_topk,0.9733682870864868,0.9947985783219337,32768,0.09403929172549397,27657.806274414062,0.0018439358566999938,0.0016628032864707527,0.0033874800570640414,0.6264952458441257,0.7615387151017785
6,1,16,0.125,mass_topk,0.9865967035293579,0.954439714550972,2048,0.34722147742286325,24733.475219726562,0.0037468017927856927,0.0035475830057469624,0.006091682465619091,0.8892519474029541,0.9427264183759689
6,2,16,0.125,mass_topk,0.9865967035293579,0.954439714550972,4096,0.38361164182424545,24733.475219726562,0.003938250332525217,0.003719137547459752,0.006542604702093815,0.8457153141498566,0.9370549954473972
6,4,16,0.125,mass_topk,0.9865967035293579,0.954439714550972,8192,0.4178723394870758,24733.475219726562,0.004110354138612208,0.003927160126729385,0.006342032058390568,0.8159792721271515,0.9275596626102924
6,8,16,0.125,mass_topk,0.9865967035293579,0.954439714550972,16384,0.4621406737715006,24733.475219726562,0.00432259478942571,0.004105698743653735,0.0067467459287686785,0.7898801565170288,0.9203825667500496
6,16,16,0.125,mass_topk,0.9865967035293579,0.954439714550972,32768,0.5399822788313031,24733.475219726562,0.004672477112305896,0.0044331014281491,0.0075925844588418875,0.7673801071941853,0.9054805291816592
7,1,16,0.125,mass_topk,0.9694055318832397,0.8691126592457294,2048,6.404002547264099,8918.513366699219,0.026796588939810805,0.025136866662211613,0.05478237679712555,0.8428572416305542,0.8404383957386017
7,2,16,0.125,mass_topk,0.9694055318832397,0.8691126592457294,4096,7.510638266801834,8918.513366699219,0.02901965125976525,0.027233031472047337,0.05816428268951584,0.744583785533905,0.8122625797986984
7,4,16,0.125,mass_topk,0.9694055318832397,0.8691126592457294,8192,8.594438403844833,8918.513366699219,0.031042916584168842,0.0294261390372283,0.05949760384439397,0.655207633972168,0.7790284045040607
7,8,16,0.125,mass_topk,0.9694055318832397,0.8691126592457294,16384,9.890943855047226,8918.513366699219,0.033302177751467606,0.031577351272294746,0.06366497920623791,0.581776075065136,0.7475196365267038
7,16,16,0.125,mass_topk,0.9694055318832397,0.8691126592457294,32768,10.388169914484024,8918.513366699219,0.034128978399269774,0.03231431221362843,0.06615499031231771,0.575702790170908,0.7367954086512327
8,1,16,0.125,mass_topk,0.5283253788948059,0.1392113547772169,2048,31.7161226272583,2499.3959197998047,0.11264774851219672,0.11101000705335987,0.15069221669765687,0.5465149879455566,0.971400935202837
8,2,16,0.125,mass_topk,0.5283253788948059,0.1392113547772169,4096,28.181072533130646,2499.3959197998047,0.10618452548292559,0.10546203667822784,0.13432639700046,0.5897296965122223,0.9745852500200272
8,4,16,0.125,mass_topk,0.5283253788948059,0.1392113547772169,8192,29.624113082885742,2499.3959197998047,0.10886922971896838,0.10747195725926345,0.16001753221445622,0.6241472661495209,0.9731085635721684
8,8,16,0.125,mass_topk,0.5283253788948059,0.1392113547772169,16384,29.855759859085083,2499.3959197998047,0.10929405420611626,0.1083997388914151,0.13882947625397163,0.6480500996112823,0.9727343514095992
8,16,16,0.125,mass_topk,0.5283253788948059,0.1392113547772169,32768,29.85535490512848,2499.3959197998047,0.10929331298884408,0.10825829786721139,0.14542716173855583,0.6467819958925247,0.964798103668727
9,1,16,0.125,mass_topk,0.6773497462272644,0.21027272660285234,2048,39.84336531162262,2067.918327331543,0.13880698322767873,0.1422263378495804,0.1725941306507474,0.5458356142044067,0.9855378586798906
9,2,16,0.125,mass_topk,0.6773497462272644,0.21027272660285234,4096,30.407390594482422,2067.918327331543,0.12126148580230593,0.12434863111239575,0.1694555984227598,0.628055602312088,0.9851737930439413
9,4,16,0.125,mass_topk,0.6773497462272644,0.21027272660285234,8192,31.387622475624084,2067.918327331543,0.1232005138065147,0.12689260267013314,0.16458716549163088,0.6283890157938004,0.9858507292810827
9,8,16,0.125,mass_topk,0.6773497462272644,0.21027272660285234,16384,32.815290689468384,2067.918327331543,0.12597124939302967,0.12986324492320017,0.1802453672557677,0.6341828629374504,0.9841617627535015
9,16,16,0.125,mass_topk,0.6773497462272644,0.21027272660285234,32768,33.42514252662659,2067.918327331543,0.1271364096618641,0.1314716527114836,0.1682424745542925,0.6334457919001579,0.9811318369756918
10,1,16,0.125,mass_topk,0.8577409982681274,0.5893687102943659,2048,10.185517102479935,12007.467407226562,0.029124993219700263,0.029941258942986236,0.04899130574846955,0.6870889067649841,0.9888420151546597
10,2,16,0.125,mass_topk,0.8577409982681274,0.5893687102943659,4096,11.213086605072021,12007.467407226562,0.03055884108409378,0.032023555203844555,0.05492650243525795,0.7250505983829498,0.9823233992792666
10,4,16,0.125,mass_topk,0.8577409982681274,0.5893687102943659,8192,12.507256776094437,12007.467407226562,0.03227418802411249,0.03363229359791295,0.05996218461678008,0.7057642340660095,0.9741379200713709
10,8,16,0.125,mass_topk,0.8577409982681274,0.5893687102943659,16384,11.453231483697891,12007.467407226562,0.030884339011457592,0.03207198537184331,0.051723334045602726,0.7042857110500336,0.9775340764899738
10,16,16,0.125,mass_topk,0.8577409982681274,0.5893687102943659,32768,13.867449671030045,12007.467407226562,0.03398385100128061,0.035205822949855886,0.05694072120217922,0.6881167590618134,0.970360400773643
11,1,16,0.125,mass_topk,0.9618880748748779,0.9894323498010635,2048,0.8913656678050756,53230.6083984375,0.004092109405056647,0.003867786161692935,0.009931672633767192,0.8978435397148132,0.8179510682821274
11,2,16,0.125,mass_topk,0.9618880748748779,0.9894323498010635,4096,0.9368989132344723,53230.6083984375,0.004195325411270512,0.0039605451134174085,0.010315633577095758,0.8335586488246918,0.8096627965569496
11,4,16,0.125,mass_topk,0.9618880748748779,0.9894323498010635,8192,1.0234325602650642,53230.6083984375,0.004384791023021999,0.0041251106633100965,0.010932918533540621,0.7832355499267578,0.794580738991499
11,8,16,0.125,mass_topk,0.9618880748748779,0.9894323498010635,16384,1.1393802594393492,53230.6083984375,0.004626511333429433,0.0043546953476523605,0.01138669207043696,0.7192769274115562,0.7686289362609386
11,16,16,0.125,mass_topk,0.9618880748748779,0.9894323498010635,32768,1.3016621228307486,53230.6083984375,0.0049450241710516,0.00466444157764405,0.011948086743110852,0.6402304917573929,0.7335399743169546
