category,layer,mode,method,capacity,delay,run_count,observation_count,mean_cosine_mean,mean_cosine_std,median_cosine_mean,median_cosine_std,mean_relative_l2_mean,mean_relative_l2_std,coverage_mean,coverage_std,cosine_gain_vs_recent
__all__,8,raw_unit,uniform_reservoir,4,4,1,4,0.9747671511566947,0.007084731617879638,0.9847175714020309,0.014343711211122658,0.15223265483779722,0.03201735488693225,1.0,0.0,-0.024005880430022053
__all__,8,raw_unit,uniform_reservoir,8,0,1,8,0.9944154913289844,0.007128643312891403,0.9998469522760637,0.00019247402796272785,0.04008874698481069,0.04445826219543043,1.0,0.0,-0.0055845086710155645
__all__,8,raw_unit,uniform_reservoir,8,1,1,7,0.99363614481663,0.007293758878040107,0.9998967794810928,9.692669643363275e-05,0.04461591431432723,0.04539586965452905,1.0,0.0,-0.006363855183370015
__all__,8,raw_unit,uniform_reservoir,8,2,1,6,0.9925007178813755,0.007341324201524062,0.9998759252956773,9.469395416994656e-05,0.05303826512958213,0.04138253508291445,1.0,0.0,-0.0073356545187592825
__all__,8,raw_unit,uniform_reservoir,8,4,1,4,0.9887568403096422,0.006226736981711579,0.999746936622127,0.00011194332906549188,0.07681468153462029,0.03227463930267923,1.0,0.0,-0.010399571779295291
unlabeled,8,frame_centered_unit,adaptive_slots,4,0,1,8,0.9996088738368403,0.0002810373383135039,0.9996324768535512,0.00027336916430878373,0.02458926844908503,0.012879587328890548,1.0,0.0,-0.00039112616315972737
unlabeled,8,frame_centered_unit,adaptive_slots,4,1,1,7,0.9997755339094347,7.318948671981332e-05,0.9997898548951726,6.751434975904602e-05,0.020805154241122014,0.0032303109713553795,1.0,0.0,0.0005337871648726233
unlabeled,8,frame_centered_unit,adaptive_slots,4,2,1,6,0.9992876213086671,0.00026477110444181334,0.9993416221548178,0.00022534549630675945,0.036840027393980554,0.006602413121659676,1.0,0.0,0.0014508853365426955
unlabeled,8,frame_centered_unit,adaptive_slots,4,4,1,4,0.9970720390697566,0.0004024184025948618,0.9973343715878139,0.00033574701238317864,0.07568539803300872,0.005095537339476044,1.0,0.0,0.0027887912911427337
unlabeled,8,frame_centered_unit,adaptive_slots,8,0,1,8,0.9997139080351383,0.00025232779776326495,0.99972863323114,0.0002456336229271611,0.019492596279664515,0.013563464411328403,1.0,0.0,-0.0002860919648617344
unlabeled,8,frame_centered_unit,adaptive_slots,8,1,1,7,0.9998132395952118,0.0001115314803474308,0.9998253152816127,0.0001031335002657279,0.017495612495604156,0.007922677818548458,1.0,0.0,-0.00018676040478815548
unlabeled,8,frame_centered_unit,adaptive_slots,8,2,1,6,0.9994431942384011,0.0002742005742490799,0.9994781584190303,0.0002490136770632091,0.030110096922538757,0.013830674684446103,1.0,0.0,0.00021256856050821948
unlabeled,8,frame_centered_unit,adaptive_slots,8,4,1,4,0.99855941419839,0.0011072701673956486,0.9986698277869572,0.0010301456382341043,0.04469675997590235,0.02890205743561646,1.0,0.0,0.0024806557222047942
unlabeled,8,frame_centered_unit,oja_subspace,4,0,1,8,0.9967548936774405,0.0022479887958547686,0.9970452384154405,0.002081102140940657,0.07062053547304784,0.036300626686022505,1.0,0.0,-0.0032451063225594767
unlabeled,8,frame_centered_unit,oja_subspace,4,1,1,7,0.9975300216670877,0.0018208852267251486,0.997763799731958,0.0016553217234972235,0.061454032528238514,0.031678266667116414,1.0,0.0,-0.001711725077474413
