cell,family,density_target,records,critical_output_relative_l2,adaptive_rank16_output_relative_l2,adaptive_rank16_worst_record_relative_l2,adaptive_rank16_p95_record_relative_l2,initial_adaptive_rank16_output_relative_l2,rank_aware_relative_improvement_mean,rank_required_for_record_gate_mean,rank_required_for_record_gate_max,selected_attention_mass_mean,logical_density_mean,execution_density_mean,kernel_tiles_mean,quality_gate,execution_budget_gate,support_pregate_pass,kernel_tile_multiplier_vs_fixed64,kernel_tile_budget_gate
layer14_step09_middle,fixed64,0.25,144,0.10294104171608356,0.017398651147720934,0.053121968369769824,0.04185591138320386,0.01756323010474251,0.019679714703175182,19.493055555555557,51,0.8521668751620584,0.24996099579432857,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step09_middle,hierarchical32,0.125,144,0.16084318447983348,0.033068662140691485,0.11015370035764756,0.06939950190360385,0.03331147716643056,0.01877900126184549,28.993055555555557,59,0.7502987012267113,0.12494827703161003,0.1250305250305247,256.0,False,True,False,4.0,True
layer14_step09_middle,hierarchical32,0.25,144,0.09562413922332588,0.01595943010742759,0.04648058069552774,0.04060845980358267,0.016047092879924563,0.014086032025264808,18.430555555555557,48,0.8660899329309663,0.24996014787681403,0.2500610500610494,512.0,False,True,False,4.0,True
layer14_step09_middle,motion_warp8x8,0.125,144,0.34081490383931207,0.076619856951203,0.16817232592825185,0.12209328027353307,0.076619856951203,0.0,48.28472222222222,61,0.4068878451362252,0.11294939628272933,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step09_middle,motion_warp8x8,0.25,144,0.19992901446240455,0.03569280709857016,0.08490899719715506,0.06279522918455605,0.03569280709857016,0.0,36.59027777777778,57,0.6632616592364179,0.22419108669108617,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step09_middle,shifted32,0.125,144,0.1610748584038005,0.03317302771815431,0.1122272612394789,0.07099300250118383,0.03339733435421074,0.018383798243244615,29.04861111111111,60,0.7497988844083415,0.12459299959299927,0.1250305250305247,256.0,False,True,False,4.0,True
layer14_step09_middle,shifted32,0.25,144,0.096064111478623,0.016028558850689816,0.04754618394190748,0.04087991646934008,0.016112093740393622,0.013448399344716262,18.444444444444443,48,0.865661278884444,0.24951923076923027,0.2500610500610494,512.0,False,True,False,4.0,True
layer14_step09_middle,shifted64,0.125,144,0.1686437718821031,0.035700626657348244,0.12541109407558668,0.0704889994921662,0.03610578721966702,0.026538061334542243,30.3125,61,0.7274778603265682,0.12416225749559048,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step09_middle,shifted64,0.25,144,0.10293951350898828,0.01743417121660355,0.052312745687890475,0.04154010137458743,0.017603824607098428,0.022046255166211837,19.53472222222222,51,0.852064705764254,0.2490808574141902,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step09_middle,support_family_oracle,0.125,144,0.16067401863541292,0.03263970735933831,0.11015370035764756,0.06939950190360385,0.03293606910130823,0.02157416192931187,28.82638888888889,59,0.7458091188843051,0.1246922059422056,0.1250305250305247,208.0,False,True,False,3.25,True
layer14_step09_middle,support_family_oracle,0.25,144,0.09569236012014032,0.01583560057711538,0.04648058069552774,0.03994785223341532,0.015926074572537058,0.014224039390360821,18.34027777777778,48,0.8638317307664288,0.2495548433048428,0.2500610500610494,456.0,False,True,False,3.5625,True
layer14_step09_middle,thw8x8,0.125,144,0.18839593826665102,0.044831947937296834,0.1468043276884301,0.0876031048888438,0.04553460251201986,0.030759443884849493,34.19444444444444,61,0.6723674788243241,0.11178944512277818,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step09_middle,thw8x8,0.25,144,0.11554147757955859,0.02234702780060754,0.07402064093513552,0.05019575937276464,0.022631039704271102,0.025745743678584867,22.9375,54,0.8195732856790224,0.22250712250712196,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step19_late,fixed64,0.125,144,0.12400815340786717,0.03144996047855514,0.11222000177399086,0.06665791407378463,0.0316761088816345,0.01697354265691621,24.02777777777778,60,0.835901218569941,0.12494912494912461,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step19_late,fixed64,0.25,144,0.07079290773363749,0.013159931944455628,0.052004964640304574,0.030941382888616482,0.013230143849193519,0.012557049774230047,13.13888888888889,47,0.9224588312208652,0.24997964997964944,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step19_late,hierarchical32,0.125,144,0.11404284353846439,0.027442414640861508,0.0973895482337552,0.06087407849785042,0.027559704191523364,0.014201800523754764,22.36111111111111,58,0.8537540228830444,0.12495166870166836,0.1250305250305247,256.0,False,True,False,4.0,True
layer14_step19_late,hierarchical32,0.25,144,0.06529206863863612,0.01168324783511284,0.045810265998398096,0.02788627850264201,0.011727384689006387,0.009218249969715327,11.965277777777779,44,0.9307679314580228,0.24997964997964944,0.2500610500610494,512.0,False,True,False,4.0,True
layer14_step19_late,motion_warp8x8,0.125,144,0.34872195573654213,0.08716201738305525,0.20087524199191722,0.16504134463460368,0.08716201738305525,0.0,47.28472222222222,62,0.4876668281439278,0.11253561253561226,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step19_late,motion_warp8x8,0.25,144,0.13443545133034995,0.03210262067623462,0.11539117463852169,0.060870184702517,0.03210262067623462,0.0,32.27777777777778,55,0.773321584901876,0.2219898928232256,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step19_late,shifted32,0.125,144,0.11466260423063254,0.027469420302123855,0.09679975339601128,0.061125870755653997,0.027577449057772385,0.013496946005022433,22.430555555555557,58,0.8534318349427648,0.12460063085063051,0.1250305250305247,256.0,False,True,False,4.0,True
layer14_step19_late,shifted32,0.25,144,0.06541371995813604,0.01170967360479646,0.046115501458141084,0.02878366942508006,0.011747793223998866,0.009613096927470872,12.01388888888889,44,0.9306113715800974,0.24954890788224068,0.2500610500610494,512.0,False,True,False,4.0,True
layer14_step19_late,shifted64,0.125,144,0.12430113638468766,0.031637733770481104,0.11273361575712816,0.06815570568760836,0.03186804334500311,0.016203181068030117,24.180555555555557,60,0.8350788857787848,0.12419108669108635,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step19_late,shifted64,0.25,144,0.07113425196981736,0.013174059360507986,0.051322036671000534,0.03169492524711128,0.013259291153422132,0.012556025916535,13.17361111111111,47,0.9223128797279464,0.24909103242436523,0.2500610500610494,128.0,False,True,False,1.0,True
layer14_step19_late,support_family_oracle,0.125,144,0.11405288183324545,0.02725988012088379,0.09679975339601128,0.06036993900214775,0.027379113862134336,0.012648763944163397,22.305555555555557,58,0.8531910981982946,0.1247456247456244,0.1250305250305247,238.66666666666666,False,True,False,3.7291666666666665,True
layer14_step19_late,support_family_oracle,0.25,144,0.06531187703119061,0.011633418553645157,0.045810265998398096,0.02788627850264201,0.011673681616410326,0.009955951240214518,11.958333333333334,44,0.9307106102092398,0.24962946004612618,0.2500610500610494,504.0,False,True,False,3.9375,True
layer14_step19_late,thw8x8,0.125,144,0.15767500497320835,0.04916459986434294,0.16432815484901317,0.10370161232174471,0.049659341647510784,0.0202277643115791,29.791666666666668,62,0.7755682267662551,0.1108550400217064,0.1250305250305247,64.0,False,True,False,1.0,True
layer14_step19_late,thw8x8,0.25,144,0.08389014789681869,0.01954769502416523,0.06842830234673183,0.04319776668279326,0.019707832755675968,0.017613064089208638,17.82638888888889,54,0.8945119906630781,0.22034662867996146,0.2500610500610494,128.0,False,True,False,1.0,True
