action,step_start,step_end,block_start,block_end,samples,speedup_geomean,ssim_mean,ssim_min,quality_loss_worst,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_refreshes_mean
C,12,15,6,11,2,1.024557018289185,0.9333082107610775,0.9333082107610775,0.0666917892389225,0.0,48.0,48.0,0.0
C,12,15,12,17,2,1.0200675329758615,0.8989384429103202,0.8989384429103202,0.10106155708967979,0.0,48.0,48.0,0.0
C,12,15,18,23,2,1.0223865779229178,0.9260412826125853,0.9260412826125853,0.07395871738741466,0.0,48.0,48.0,0.0
C,12,15,24,29,2,1.0254927358668158,0.9278468763266082,0.9278468763266082,0.07215312367339177,0.0,48.0,48.0,0.0
C,16,19,0,5,2,1.0188220394236112,0.7289287630174308,0.7289287630174308,0.2710712369825692,0.0,48.0,48.0,0.0
C,16,19,6,11,2,1.023799698725347,0.9128212803986209,0.9128212803986209,0.08717871960137913,0.0,48.0,48.0,0.0
C,16,19,12,17,2,1.0212748994967427,0.8556844781759596,0.8556844781759596,0.1443155218240404,0.0,48.0,48.0,0.0
C,16,19,18,23,2,1.026578267903103,0.8307564032224642,0.8307564032224642,0.16924359677753575,0.0,48.0,48.0,0.0
C,16,19,24,29,2,1.0184805457567065,0.7150682282568855,0.7150682282568855,0.28493177174311446,0.0,48.0,48.0,0.0
Q,0,3,0,5,2,1.0037397108743775,0.9327852671690886,0.9327852671690886,0.0672147328309114,48.0,0.0,0.0,0.0
Q,0,3,6,11,2,1.0027611572920543,0.7727557046029025,0.7727557046029025,0.22724429539709745,48.0,0.0,0.0,0.0
Q,0,3,12,17,2,0.9868587457565307,0.8094697178189164,0.8094697178189164,0.1905302821810836,48.0,0.0,0.0,0.0
Q,0,3,18,23,2,1.0044813434699462,0.8537155717475917,0.8537155717475917,0.14628442825240828,48.0,0.0,0.0,0.0
Q,0,3,24,29,2,1.0040570554770143,0.9380312580652159,0.9380312580652159,0.06196874193478408,48.0,0.0,0.0,0.0
Q,4,7,0,5,2,1.0038672041220396,0.9534771515678633,0.9534771515678633,0.04652284843213672,48.0,0.0,0.0,0.0
Q,4,7,6,11,2,1.001632036584743,0.9240039594907479,0.9240039594907479,0.07599604050925213,48.0,0.0,0.0,0.0
Q,4,7,12,17,2,0.9969346552719563,0.9406227891579357,0.9406227891579357,0.059377210842064265,48.0,0.0,0.0,0.0
Q,4,7,18,23,2,1.0054816147379189,0.9487021731259576,0.9487021731259576,0.051297826874042385,48.0,0.0,0.0,0.0
Q,4,7,24,29,2,1.0057200830654947,0.9664738866555546,0.9664738866555546,0.03352611334444544,48.0,0.0,0.0,0.0
Q,8,11,0,5,2,1.005558617750686,0.9589105267195336,0.9589105267195336,0.041089473280466415,48.0,0.0,0.0,0.0
Q,8,11,6,11,2,0.9963541880994993,0.9509184900360983,0.9509184900360983,0.049081509963901704,48.0,0.0,0.0,0.0
Q,8,11,12,17,2,1.0051840700665655,0.9656000477942702,0.9656000477942702,0.03439995220572978,48.0,0.0,0.0,0.0
Q,8,11,18,23,2,1.0054229412099591,0.9604278639810043,0.9604278639810043,0.039572136018995674,48.0,0.0,0.0,0.0
Q,8,11,24,29,2,1.0065539898340636,0.9708676597887785,0.9708676597887785,0.029132340211221464,48.0,0.0,0.0,0.0
Q,12,15,0,5,2,1.0000534812029047,0.9696802181578981,0.9696802181578981,0.030319781842101934,48.0,0.0,0.0,0.0
Q,12,15,6,11,2,1.0067816175165378,0.9705810365577103,0.9705810365577103,0.02941896344228967,48.0,0.0,0.0,0.0
Q,12,15,12,17,2,1.0054646469771806,0.9706583248543237,0.9706583248543237,0.029341675145676316,48.0,0.0,0.0,0.0
Q,12,15,18,23,2,1.0020953117558444,0.9706673133743221,0.9706673133743221,0.029332686625677895,48.0,0.0,0.0,0.0
Q,12,15,24,29,2,1.002436645843656,0.9719512308755298,0.9719512308755298,0.028048769124470185,48.0,0.0,0.0,0.0
Q,16,19,0,5,2,0.9897452321061434,0.9671292858004823,0.9671292858004823,0.0328707141995177,48.0,0.0,0.0,0.0
Q,16,19,6,11,2,1.007344962400935,0.9708239004266398,0.9708239004266398,0.029176099573360204,48.0,0.0,0.0,0.0
Q,16,19,12,17,2,1.0063744931345255,0.9686856055719693,0.9686856055719693,0.031314394428030745,48.0,0.0,0.0,0.0
Q,16,19,18,23,2,1.0047202308523353,0.9628112712772227,0.9628112712772227,0.03718872872277734,48.0,0.0,0.0,0.0
Q,16,19,24,29,2,0.997472409635063,0.9614077681024726,0.9614077681024726,0.03859223189752736,48.0,0.0,0.0,0.0
