split,sample_id,cell,layer,sampling_step,method,density,head,tile_index,query_start,family,generators,oracle_access,residual_sq,reference_sq,output_relative_l2,critical_output_relative_l2,adaptive_output_relative_l2,subspace_overlap,selected_attention_mass_mean,dynamic_scalars,dynamic_scalar_ratio_to_rank_basis,rotation_macs,tail_macs,dense_attention_macs,extra_work_ratio,record_quality_gate
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,3,1,16320,full_procrustes,128,heldout_defect_posthoc,0.0007932668392896661,474.0145263671875,0.0012936411580470398,0.47814304755775383,0.0012936412754201165,1.0000000000000004,0.13187597692012787,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,3,2,32640,frozen,0,source_only,3.4245819846323373,478.401611328125,0.08460722810686604,0.5211773057718536,0.0014627380152185357,0.6307581633925635,0.13454462587833405,0,0.0,0,262144,536739840,0.0004884004884004884,False
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,3,2,32640,adaptive,0,heldout_defect_posthoc,0.0010235908209028984,478.401611328125,0.0014627391132431807,0.5211773057718536,0.0014627380152185357,0.9999999999999998,0.13454462587833405,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,3,2,32640,full_procrustes,128,heldout_defect_posthoc,0.0010235908209028984,478.401611328125,0.0014627391132431807,0.5211773057718536,0.0014627380152185357,0.9999999999999998,0.13454462587833405,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,4,0,0,frozen,0,source_only,0.008357532823987804,2815.7763671875,0.0017228202415688213,0.0031722317560162433,0.0007641784349996099,0.6387646423362787,0.9964136481285095,0,0.0,0,262144,536739840,0.0004884004884004884,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,4,0,0,adaptive,0,heldout_defect_posthoc,0.0016443251922903654,2815.7763671875,0.0007641784309352166,0.0031722317560162433,0.0007641784349996099,1.0,0.9964136481285095,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,4,0,0,full_procrustes,128,heldout_defect_posthoc,0.0016443251922903654,2815.7763671875,0.0007641784309352166,0.0031722317560162433,0.0007641784349996099,1.0,0.9964136481285095,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,4,1,16320,frozen,0,source_only,0.007630724166995947,1943.997802734375,0.001981230443408787,0.003954260530546789,0.000823916276798104,0.6240856010533239,0.9958703517913818,0,0.0,0,262144,536739840,0.0004884004884004884,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,4,1,16320,adaptive,0,heldout_defect_posthoc,0.0013196597144469885,1943.997802734375,0.0008239162997221318,0.003954260530546789,0.000823916276798104,1.0,0.9958703517913818,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,4,1,16320,full_procrustes,128,heldout_defect_posthoc,0.0013196597144469885,1943.997802734375,0.0008239162997221318,0.003954260530546789,0.000823916276798104,1.0,0.9958703517913818,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,4,2,32640,frozen,0,source_only,0.0029371187510351306,3189.43408203125,0.000959630267648865,0.0019134812719466166,0.0004081330421929541,0.6400415036314628,0.9980844259262085,0,0.0,0,262144,536739840,0.0004884004884004884,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,4,2,32640,adaptive,0,heldout_defect_posthoc,0.0005312722699530902,3189.43408203125,0.00040813304440374075,0.0019134812719466166,0.0004081330421929541,1.0,0.9980844259262085,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,4,2,32640,full_procrustes,128,heldout_defect_posthoc,0.0005312722699530902,3189.43408203125,0.00040813304440374075,0.0019134812719466166,0.0004081330421929541,1.0,0.9980844259262085,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.125,5,0,0,frozen,0,source_only,0.007794998426312466,1878.9102783203125,0.0020368309935988515,0.0036359813233024472,0.00046749569987242803,0.5997109318968945,0.994603157043457,0,0.0,0,262144,536739840,0.0004884004884004884,True
