sample_id,sample_position,mode,selected_group_count,teacher_index,answer_index,approximate_index,candidate_kl,prediction_match,baseline_correct,approximate_correct,compressed_top1_margin,token_count,token_retention
vsi_question_5084,74,positioned_group_mass,98,0,2,0,0.001828023698180914,1,0,0,0.5,686,0.4375
vsi_question_5084,74,positioned_group_mass,147,0,2,0,0.0,1,0,0,0.375,833,0.53125
vsi_question_5084,74,positioned_group_mass,196,0,2,0,0.0019165468402206898,1,0,0,0.5,980,0.625
vsi_question_1569,75,positioned_equal_mass,0,0,1,0,0.0634717047214508,1,0,0,0.5,392,0.25
vsi_question_1569,75,positioned_equal_mass,49,0,1,0,0.018891025334596634,1,0,0,1.5,539,0.34375
vsi_question_1569,75,positioned_equal_mass,98,0,1,0,0.010574795305728912,1,0,0,0.875,686,0.4375
vsi_question_1569,75,positioned_equal_mass,147,0,1,0,0.0007758173160254955,1,0,0,1.125,833,0.53125
vsi_question_1569,75,positioned_equal_mass,196,0,1,0,0.0036120880395174026,1,0,0,1.25,980,0.625
vsi_question_1569,75,positioned_group_mass,0,0,1,0,0.01977546513080597,1,0,0,1.625,392,0.25
vsi_question_1569,75,positioned_group_mass,49,0,1,0,0.02798357605934143,1,0,0,0.75,539,0.34375
vsi_question_1569,75,positioned_group_mass,98,0,1,0,0.01218140497803688,1,0,0,1.5,686,0.4375
vsi_question_1569,75,positioned_group_mass,147,0,1,0,0.010072670876979828,1,0,0,1.375,833,0.53125
vsi_question_1569,75,positioned_group_mass,196,0,1,0,0.006732741370797157,1,0,0,1.375,980,0.625
vsi_question_3722,76,positioned_equal_mass,0,1,0,1,0.0,1,0,0,0.25,392,0.25
vsi_question_3722,76,positioned_equal_mass,49,1,0,1,0.0019117817282676697,1,0,0,0.375,539,0.34375
vsi_question_3722,76,positioned_equal_mass,98,1,0,0,0.01747576892375946,0,0,1,0.125,686,0.4375
vsi_question_3722,76,positioned_equal_mass,147,1,0,1,0.0,1,0,0,0.25,833,0.53125
vsi_question_3722,76,positioned_equal_mass,196,1,0,1,0.0019316431134939194,1,0,0,0.125,980,0.625
vsi_question_3722,76,positioned_group_mass,0,1,0,1,0.0019117817282676697,1,0,0,0.375,392,0.25
vsi_question_3722,76,positioned_group_mass,49,1,0,0,0.01747576892375946,0,0,1,0.125,539,0.34375
vsi_question_3722,76,positioned_group_mass,98,1,0,1,0.0019117817282676697,1,0,0,0.375,686,0.4375
vsi_question_3722,76,positioned_group_mass,147,1,0,1,0.0,1,0,0,0.25,833,0.53125
vsi_question_3722,76,positioned_group_mass,196,1,0,1,0.0,1,0,0,0.25,980,0.625
vsi_question_5105,77,positioned_equal_mass,0,0,2,0,0.0062502119690179825,1,0,0,0.625,392,0.25
vsi_question_5105,77,positioned_equal_mass,49,0,2,0,0.0032881307415664196,1,0,0,0.625,539,0.34375
vsi_question_5105,77,positioned_equal_mass,98,0,2,0,0.0032881307415664196,1,0,0,0.625,686,0.4375
vsi_question_5105,77,positioned_equal_mass,147,0,2,0,0.0,1,0,0,0.5,833,0.53125
vsi_question_5105,77,positioned_equal_mass,196,0,2,0,0.00776292011141777,1,0,0,0.75,980,0.625
vsi_question_5105,77,positioned_group_mass,0,0,2,0,0.0022529475390911102,1,0,0,0.5,392,0.25
vsi_question_5105,77,positioned_group_mass,49,0,2,0,0.0018495889380574226,1,0,0,0.625,539,0.34375
vsi_question_5105,77,positioned_group_mass,98,0,2,0,0.0019350387156009674,1,0,0,0.625,686,0.4375
vsi_question_5105,77,positioned_group_mass,147,0,2,0,0.0,1,0,0,0.5,833,0.53125
vsi_question_5105,77,positioned_group_mass,196,0,2,0,0.0,1,0,0,0.5,980,0.625
vsi_question_2957,78,positioned_equal_mass,0,0,3,3,0.1220017671585083,0,0,1,0.125,392,0.25
vsi_question_2957,78,positioned_equal_mass,49,0,3,0,0.05136002600193024,1,0,0,0.75,539,0.34375
vsi_question_2957,78,positioned_equal_mass,98,0,3,0,0.006624430418014526,1,0,0,0.5,686,0.4375
vsi_question_2957,78,positioned_equal_mass,147,0,3,0,0.025893718004226685,1,0,0,0.375,833,0.53125
vsi_question_2957,78,positioned_equal_mass,196,0,3,0,0.045424506068229675,1,0,0,0.25,980,0.625
vsi_question_2957,78,positioned_group_mass,0,0,3,2,0.1598443239927292,0,0,0,0.125,392,0.25
vsi_question_2957,78,positioned_group_mass,49,0,3,0,0.0342588871717453,1,0,0,0.375,539,0.34375
vsi_question_2957,78,positioned_group_mass,98,0,3,0,0.09141615033149719,1,0,0,0.125,686,0.4375
vsi_question_2957,78,positioned_group_mass,147,0,3,0,0.05314786732196808,1,0,0,0.0,833,0.53125
vsi_question_2957,78,positioned_group_mass,196,0,3,0,0.01052655279636383,1,0,0,0.25,980,0.625
vsi_question_1880,79,positioned_equal_mass,0,1,2,2,0.019178107380867004,0,0,1,0.125,392,0.25
vsi_question_1880,79,positioned_equal_mass,49,1,2,2,0.012312792241573334,0,0,1,0.125,539,0.34375
vsi_question_1880,79,positioned_equal_mass,98,1,2,1,0.007123896852135658,1,0,0,0.25,686,0.4375
vsi_question_1880,79,positioned_equal_mass,147,1,2,1,0.030461955815553665,1,0,0,0.0,833,0.53125
vsi_question_1880,79,positioned_equal_mass,196,1,2,1,0.00940721109509468,1,0,0,0.0,980,0.625
vsi_question_1880,79,positioned_group_mass,0,1,2,1,0.00512189045548439,1,0,0,0.5,392,0.25
vsi_question_1880,79,positioned_group_mass,49,1,2,1,0.0011078594252467155,1,0,0,0.25,539,0.34375
vsi_question_1880,79,positioned_group_mass,98,1,2,1,0.0019225822761654854,1,0,0,0.375,686,0.4375
vsi_question_1880,79,positioned_group_mass,147,1,2,1,0.0011690817773342133,1,0,0,0.25,833,0.53125
vsi_question_1880,79,positioned_group_mass,196,1,2,1,0.004884084686636925,1,0,0,0.25,980,0.625
vsi_question_1053,80,positioned_equal_mass,0,1,1,1,0.03716348856687546,1,1,1,0.25,392,0.25
vsi_question_1053,80,positioned_equal_mass,49,1,1,1,0.06405260413885117,1,1,1,1.125,539,0.34375
vsi_question_1053,80,positioned_equal_mass,98,1,1,1,0.0019257217645645142,1,1,1,0.75,686,0.4375
vsi_question_1053,80,positioned_equal_mass,147,1,1,1,0.012351037934422493,1,1,1,0.5,833,0.53125
vsi_question_1053,80,positioned_equal_mass,196,1,1,1,0.0018752524629235268,1,1,1,0.75,980,0.625
vsi_question_1053,80,positioned_group_mass,0,1,1,1,0.056364670395851135,1,1,1,0.125,392,0.25
vsi_question_1053,80,positioned_group_mass,49,1,1,1,0.027957938611507416,1,1,1,0.25,539,0.34375
vsi_question_1053,80,positioned_group_mass,98,1,1,1,0.002639142796397209,1,1,1,0.625,686,0.4375
vsi_question_1053,80,positioned_group_mass,147,1,1,1,0.010371832177042961,1,1,1,0.875,833,0.53125
vsi_question_1053,80,positioned_group_mass,196,1,1,1,0.0039688460528850555,1,1,1,0.75,980,0.625
vsi_question_1039,81,positioned_equal_mass,0,0,1,2,0.060313254594802856,0,0,0,0.75,392,0.25
vsi_question_1039,81,positioned_equal_mass,49,0,1,2,0.017888739705085754,0,0,0,0.375,539,0.34375
vsi_question_1039,81,positioned_equal_mass,98,0,1,0,0.0042639970779418945,1,0,0,0.25,686,0.4375
vsi_question_1039,81,positioned_equal_mass,147,0,1,2,0.020428650081157684,0,0,0,0.25,833,0.53125
vsi_question_1039,81,positioned_equal_mass,196,0,1,0,0.0015799235552549362,1,0,0,0.125,980,0.625
vsi_question_1039,81,positioned_group_mass,0,0,1,2,0.24480962753295898,0,0,0,1.5,392,0.25
vsi_question_1039,81,positioned_group_mass,49,0,1,2,0.06961017847061157,0,0,0,0.75,539,0.34375
vsi_question_1039,81,positioned_group_mass,98,0,1,2,0.005650084465742111,0,0,0,0.25,686,0.4375
vsi_question_1039,81,positioned_group_mass,147,0,1,2,0.001521306112408638,0,0,0,0.125,833,0.53125
vsi_question_1039,81,positioned_group_mass,196,0,1,0,0.005486445501446724,1,0,0,0.25,980,0.625
vsi_question_5150,82,positioned_equal_mass,0,0,2,0,0.007930472493171692,1,0,0,0.125,392,0.25
vsi_question_5150,82,positioned_equal_mass,49,0,2,0,0.001676688902080059,1,0,0,0.125,539,0.34375
vsi_question_5150,82,positioned_equal_mass,98,0,2,0,0.006032172590494156,1,0,0,0.125,686,0.4375
vsi_question_5150,82,positioned_equal_mass,147,0,2,0,0.001847495324909687,1,0,0,0.0,833,0.53125
vsi_question_5150,82,positioned_equal_mass,196,0,2,0,0.003096889704465866,1,0,0,0.125,980,0.625
vsi_question_5150,82,positioned_group_mass,0,0,2,0,0.014767225831747055,1,0,0,0.0,392,0.25
vsi_question_5150,82,positioned_group_mass,49,0,2,0,0.007930472493171692,1,0,0,0.125,539,0.34375
vsi_question_5150,82,positioned_group_mass,98,0,2,0,0.007930472493171692,1,0,0,0.125,686,0.4375
vsi_question_5150,82,positioned_group_mass,147,0,2,0,0.001847495324909687,1,0,0,0.0,833,0.53125
vsi_question_5150,82,positioned_group_mass,196,0,2,0,0.003808220848441124,1,0,0,0.0,980,0.625
vsi_question_5067,83,positioned_equal_mass,0,2,2,2,0.0148715078830719,1,1,1,0.5,392,0.25
vsi_question_5067,83,positioned_equal_mass,49,2,2,2,0.007668610662221909,1,1,1,0.625,539,0.34375
vsi_question_5067,83,positioned_equal_mass,98,2,2,2,0.0010573212057352066,1,1,1,0.875,686,0.4375
vsi_question_5067,83,positioned_equal_mass,147,2,2,2,0.006486523896455765,1,1,1,0.625,833,0.53125
vsi_question_5067,83,positioned_equal_mass,196,2,2,2,0.0,1,1,1,0.875,980,0.625
vsi_question_5067,83,positioned_group_mass,0,2,2,2,0.006486523896455765,1,1,1,0.625,392,0.25
vsi_question_5067,83,positioned_group_mass,49,2,2,2,0.0019281599670648575,1,1,1,0.75,539,0.34375
vsi_question_5067,83,positioned_group_mass,98,2,2,2,0.0018556788563728333,1,1,1,0.75,686,0.4375
vsi_question_5067,83,positioned_group_mass,147,2,2,2,0.004543930292129517,1,1,1,0.625,833,0.53125
vsi_question_5067,83,positioned_group_mass,196,2,2,2,0.004543930292129517,1,1,1,0.625,980,0.625
vsi_question_1976,84,positioned_equal_mass,0,0,1,0,0.05227077007293701,1,0,0,0.25,392,0.25
vsi_question_1976,84,positioned_equal_mass,49,0,1,0,0.06904304772615433,1,0,0,0.25,539,0.34375
vsi_question_1976,84,positioned_equal_mass,98,0,1,0,0.06629524379968643,1,0,0,1.25,686,0.4375
vsi_question_1976,84,positioned_equal_mass,147,0,1,1,0.03460092842578888,0,0,1,0.25,833,0.53125
vsi_question_1976,84,positioned_equal_mass,196,0,1,0,0.0019127968698740005,1,0,0,0.5,980,0.625
vsi_question_1976,84,positioned_group_mass,0,0,1,2,0.16328711807727814,0,0,0,0.125,392,0.25
vsi_question_1976,84,positioned_group_mass,49,0,1,0,0.028762787580490112,1,0,0,0.25,539,0.34375
vsi_question_1976,84,positioned_group_mass,98,0,1,1,0.0343296080827713,0,0,1,0.25,686,0.4375
vsi_question_1976,84,positioned_group_mass,147,0,1,0,0.003549095243215561,1,0,0,0.25,833,0.53125
vsi_question_1976,84,positioned_group_mass,196,0,1,0,0.025560036301612854,1,0,0,0.875,980,0.625
vsi_question_1077,85,positioned_equal_mass,0,2,2,0,0.03945982828736305,0,1,0,0.25,392,0.25
vsi_question_1077,85,positioned_equal_mass,49,2,2,0,0.005272720009088516,0,1,0,0.125,539,0.34375
vsi_question_1077,85,positioned_equal_mass,98,2,2,0,0.013096710667014122,0,1,0,0.0,686,0.4375
vsi_question_1077,85,positioned_equal_mass,147,2,2,0,0.014414049685001373,0,1,0,0.25,833,0.53125
vsi_question_1077,85,positioned_equal_mass,196,2,2,2,0.005823634564876556,1,1,1,0.125,980,0.625
vsi_question_1077,85,positioned_group_mass,0,2,2,0,0.05211055278778076,0,1,0,0.125,392,0.25
vsi_question_1077,85,positioned_group_mass,49,2,2,2,0.003974497318267822,1,1,1,0.25,539,0.34375
vsi_question_1077,85,positioned_group_mass,98,2,2,0,0.004719935357570648,0,1,0,0.0,686,0.4375
vsi_question_1077,85,positioned_group_mass,147,2,2,2,0.0011817412450909615,1,1,1,0.125,833,0.53125
vsi_question_1077,85,positioned_group_mass,196,2,2,0,0.01205732673406601,0,1,0,0.125,980,0.625
vsi_question_3092,86,positioned_equal_mass,0,1,1,1,0.06044946610927582,1,1,1,0.125,392,0.25
vsi_question_3092,86,positioned_equal_mass,49,1,1,1,0.07155279070138931,1,1,1,0.75,539,0.34375
vsi_question_3092,86,positioned_equal_mass,98,1,1,0,0.01674664579331875,0,1,0,0.25,686,0.4375
vsi_question_3092,86,positioned_equal_mass,147,1,1,1,0.013973038643598557,1,1,1,0.375,833,0.53125
vsi_question_3092,86,positioned_equal_mass,196,1,1,0,0.0072780996561050415,0,1,0,0.125,980,0.625
vsi_question_3092,86,positioned_group_mass,0,1,1,0,0.04498966038227081,0,1,0,0.125,392,0.25
vsi_question_3092,86,positioned_group_mass,49,1,1,1,0.0650848001241684,1,1,1,0.875,539,0.34375
vsi_question_3092,86,positioned_group_mass,98,1,1,1,0.0003725467249751091,1,1,1,0.125,686,0.4375
vsi_question_3092,86,positioned_group_mass,147,1,1,0,0.001952614402398467,0,1,0,0.0,833,0.53125
vsi_question_3092,86,positioned_group_mass,196,1,1,1,0.028549622744321823,1,1,1,0.625,980,0.625
vsi_question_5025,87,positioned_equal_mass,0,1,0,1,0.0015083616599440575,1,0,0,0.125,392,0.25
vsi_question_5025,87,positioned_equal_mass,49,1,0,1,0.0013877926394343376,1,0,0,0.25,539,0.34375
vsi_question_5025,87,positioned_equal_mass,98,1,0,1,0.0037228576838970184,1,0,0,0.25,686,0.4375
vsi_question_5025,87,positioned_equal_mass,147,1,0,1,0.0,1,0,0,0.25,833,0.53125
vsi_question_5025,87,positioned_equal_mass,196,1,0,1,0.0014476720243692398,1,0,0,0.375,980,0.625
vsi_question_5025,87,positioned_group_mass,0,1,0,1,0.0018908586353063583,1,0,0,0.25,392,0.25
vsi_question_5025,87,positioned_group_mass,49,1,0,1,0.0017394572496414185,1,0,0,0.375,539,0.34375
vsi_question_5025,87,positioned_group_mass,98,1,0,1,0.0019515370950102806,1,0,0,0.125,686,0.4375
vsi_question_5025,87,positioned_group_mass,147,1,0,1,0.0019515370950102806,1,0,0,0.125,833,0.53125
vsi_question_5025,87,positioned_group_mass,196,1,0,1,0.0013877926394343376,1,0,0,0.25,980,0.625
vsi_question_5074,88,positioned_equal_mass,0,0,3,0,0.0047396644949913025,1,0,0,0.125,392,0.25
vsi_question_5074,88,positioned_equal_mass,49,0,3,0,0.006856057792901993,1,0,0,0.25,539,0.34375
vsi_question_5074,88,positioned_equal_mass,98,0,3,0,0.005908813327550888,1,0,0,0.25,686,0.4375
vsi_question_5074,88,positioned_equal_mass,147,0,3,0,0.0070296525955200195,1,0,0,0.25,833,0.53125
vsi_question_5074,88,positioned_equal_mass,196,0,3,0,0.0018187835812568665,1,0,0,0.125,980,0.625
vsi_question_5074,88,positioned_group_mass,0,0,3,0,0.005981585010886192,1,0,0,0.0,392,0.25
vsi_question_5074,88,positioned_group_mass,49,0,3,0,0.0014653149992227554,1,0,0,0.0,539,0.34375
vsi_question_5074,88,positioned_group_mass,98,0,3,0,0.0010686879977583885,1,0,0,0.0,686,0.4375
vsi_question_5074,88,positioned_group_mass,147,0,3,0,0.0006258566863834858,1,0,0,0.0,833,0.53125
vsi_question_5074,88,positioned_group_mass,196,0,3,0,0.0,1,0,0,0.0,980,0.625
vsi_question_5086,89,positioned_equal_mass,0,0,1,0,0.01716046780347824,1,0,0,0.25,392,0.25
vsi_question_5086,89,positioned_equal_mass,49,0,1,0,0.028470691293478012,1,0,0,0.125,539,0.34375
vsi_question_5086,89,positioned_equal_mass,98,0,1,0,0.0022486671805381775,1,0,0,0.625,686,0.4375
vsi_question_5086,89,positioned_equal_mass,147,0,1,0,0.0017341016791760921,1,0,0,0.5,833,0.53125
vsi_question_5086,89,positioned_equal_mass,196,0,1,0,0.0022486671805381775,1,0,0,0.625,980,0.625
vsi_question_5086,89,positioned_group_mass,0,0,1,0,0.024134203791618347,1,0,0,0.375,392,0.25
vsi_question_5086,89,positioned_group_mass,49,0,1,0,0.0005422625690698624,1,0,0,0.625,539,0.34375
vsi_question_5086,89,positioned_group_mass,98,0,1,0,0.0022486671805381775,1,0,0,0.625,686,0.4375
vsi_question_5086,89,positioned_group_mass,147,0,1,0,0.00315292552113533,1,0,0,0.5,833,0.53125
vsi_question_5086,89,positioned_group_mass,196,0,1,0,0.0022486671805381775,1,0,0,0.625,980,0.625
vsi_question_1058,90,positioned_equal_mass,0,2,0,2,0.03885657340288162,1,0,0,0.375,392,0.25
vsi_question_1058,90,positioned_equal_mass,49,2,0,2,0.017211198806762695,1,0,0,1.0,539,0.34375
vsi_question_1058,90,positioned_equal_mass,98,2,0,2,0.014340266585350037,1,0,0,1.125,686,0.4375
vsi_question_1058,90,positioned_equal_mass,147,2,0,2,0.0028764232993125916,1,0,0,0.625,833,0.53125
vsi_question_1058,90,positioned_equal_mass,196,2,0,2,0.005890265107154846,1,0,0,0.75,980,0.625
vsi_question_1058,90,positioned_group_mass,0,2,0,2,0.04678119719028473,1,0,0,0.375,392,0.25
vsi_question_1058,90,positioned_group_mass,49,2,0,2,0.010825227946043015,1,0,0,1.0,539,0.34375
vsi_question_1058,90,positioned_group_mass,98,2,0,2,0.017488040030002594,1,0,0,1.125,686,0.4375
vsi_question_1058,90,positioned_group_mass,147,2,0,2,0.0215485580265522,1,0,0,1.125,833,0.53125
vsi_question_1058,90,positioned_group_mass,196,2,0,2,0.0040880534797906876,1,0,0,0.625,980,0.625
vsi_question_994,91,positioned_equal_mass,0,1,1,1,0.013236910104751587,1,1,1,0.375,392,0.25
vsi_question_994,91,positioned_equal_mass,49,1,1,1,0.0015098191797733307,1,1,1,0.5,539,0.34375
vsi_question_994,91,positioned_equal_mass,98,1,1,1,0.005425252020359039,1,1,1,0.75,686,0.4375
vsi_question_994,91,positioned_equal_mass,147,1,1,1,0.007552058435976505,1,1,1,0.375,833,0.53125
vsi_question_994,91,positioned_equal_mass,196,1,1,1,0.0019508348777890205,1,1,1,0.75,980,0.625
vsi_question_994,91,positioned_group_mass,0,1,1,1,0.031790174543857574,1,1,1,0.25,392,0.25
vsi_question_994,91,positioned_group_mass,49,1,1,1,0.013236910104751587,1,1,1,0.375,539,0.34375
vsi_question_994,91,positioned_group_mass,98,1,1,1,0.005944736301898956,1,1,1,0.625,686,0.4375
vsi_question_994,91,positioned_group_mass,147,1,1,1,0.005906734149903059,1,1,1,0.375,833,0.53125
vsi_question_994,91,positioned_group_mass,196,1,1,1,0.009611871093511581,1,1,1,0.625,980,0.625
vsi_question_1950,92,positioned_equal_mass,0,0,1,0,0.05952385067939758,1,0,0,1.125,392,0.25
vsi_question_1950,92,positioned_equal_mass,49,0,1,0,0.024190347641706467,1,0,0,2.25,539,0.34375
vsi_question_1950,92,positioned_equal_mass,98,0,1,0,0.2567083537578583,1,0,0,0.375,686,0.4375
vsi_question_1950,92,positioned_equal_mass,147,0,1,0,0.012365078553557396,1,0,0,1.875,833,0.53125
vsi_question_1950,92,positioned_equal_mass,196,0,1,0,0.0014308681711554527,1,0,0,2.25,980,0.625
vsi_question_1950,92,positioned_group_mass,0,0,1,0,0.06003649905323982,1,0,0,1.25,392,0.25
vsi_question_1950,92,positioned_group_mass,49,0,1,0,0.08385263383388519,1,0,0,2.25,539,0.34375
vsi_question_1950,92,positioned_group_mass,98,0,1,0,0.015608413144946098,1,0,0,1.625,686,0.4375
vsi_question_1950,92,positioned_group_mass,147,0,1,0,0.009928000159561634,1,0,0,2.0,833,0.53125
vsi_question_1950,92,positioned_group_mass,196,0,1,0,0.01891205832362175,1,0,0,1.75,980,0.625
vsi_question_2991,93,positioned_equal_mass,0,0,0,0,0.10426238179206848,1,1,1,0.0,392,0.25
vsi_question_2991,93,positioned_equal_mass,49,0,0,0,0.06487136334180832,1,1,1,0.25,539,0.34375
vsi_question_2991,93,positioned_equal_mass,98,0,0,0,0.08962605893611908,1,1,1,1.0,686,0.4375
vsi_question_2991,93,positioned_equal_mass,147,0,0,0,0.004336666315793991,1,1,1,0.5,833,0.53125
vsi_question_2991,93,positioned_equal_mass,196,0,0,0,0.1326705515384674,1,1,1,1.5,980,0.625
vsi_question_2991,93,positioned_group_mass,0,0,0,1,0.25502467155456543,0,1,0,0.5,392,0.25
vsi_question_2991,93,positioned_group_mass,49,0,0,0,0.04176697880029678,1,1,1,1.25,539,0.34375
vsi_question_2991,93,positioned_group_mass,98,0,0,3,0.2895030379295349,0,1,0,1.125,686,0.4375
vsi_question_2991,93,positioned_group_mass,147,0,0,0,0.020535960793495178,1,1,1,0.875,833,0.53125
vsi_question_2991,93,positioned_group_mass,196,0,0,0,0.054553382098674774,1,1,1,1.0,980,0.625
vsi_question_1071,94,positioned_equal_mass,0,1,0,1,0.015352457761764526,1,0,0,0.375,392,0.25
vsi_question_1071,94,positioned_equal_mass,49,1,0,1,0.0,1,0,0,0.625,539,0.34375
vsi_question_1071,94,positioned_equal_mass,98,1,0,1,0.009347030892968178,1,0,0,0.625,686,0.4375
vsi_question_1071,94,positioned_equal_mass,147,1,0,1,0.0019059870392084122,1,0,0,0.75,833,0.53125
vsi_question_1071,94,positioned_equal_mass,196,1,0,1,0.001878843642771244,1,0,0,0.5,980,0.625
vsi_question_1071,94,positioned_group_mass,0,1,0,1,0.012966632843017578,1,0,0,0.5,392,0.25
vsi_question_1071,94,positioned_group_mass,49,1,0,1,0.0017934469506144524,1,0,0,0.625,539,0.34375
vsi_question_1071,94,positioned_group_mass,98,1,0,1,0.0,1,0,0,0.625,686,0.4375
vsi_question_1071,94,positioned_group_mass,147,1,0,1,0.004160565324127674,1,0,0,0.5,833,0.53125
vsi_question_1071,94,positioned_group_mass,196,1,0,1,0.0018336158245801926,1,0,0,0.625,980,0.625
vsi_question_1224,95,positioned_equal_mass,0,2,0,2,0.02280975505709648,1,0,0,0.125,392,0.25
vsi_question_1224,95,positioned_equal_mass,49,2,0,2,0.005637383554130793,1,0,0,0.375,539,0.34375
vsi_question_1224,95,positioned_equal_mass,98,2,0,2,0.005637383554130793,1,0,0,0.375,686,0.4375
vsi_question_1224,95,positioned_equal_mass,147,2,0,2,0.006341477856040001,1,0,0,0.375,833,0.53125
vsi_question_1224,95,positioned_equal_mass,196,2,0,2,0.0015569152310490608,1,0,0,0.5,980,0.625
vsi_question_1224,95,positioned_group_mass,0,2,0,2,0.006341477856040001,1,0,0,0.375,392,0.25
vsi_question_1224,95,positioned_group_mass,49,2,0,2,0.006341477856040001,1,0,0,0.375,539,0.34375
vsi_question_1224,95,positioned_group_mass,98,2,0,2,0.0,1,0,0,0.625,686,0.4375
vsi_question_1224,95,positioned_group_mass,147,2,0,2,0.0,1,0,0,0.625,833,0.53125
vsi_question_1224,95,positioned_group_mass,196,2,0,2,0.0013745296746492386,1,0,0,0.625,980,0.625
vsi_question_5089,96,positioned_equal_mass,0,0,2,0,0.008070548996329308,1,0,0,0.125,392,0.25
vsi_question_5089,96,positioned_equal_mass,49,0,2,0,0.010582998394966125,1,0,0,0.0,539,0.34375
vsi_question_5089,96,positioned_equal_mass,98,0,2,0,0.0008418522775173187,1,0,0,0.125,686,0.4375
vsi_question_5089,96,positioned_equal_mass,147,0,2,0,0.0019069593399763107,1,0,0,0.0,833,0.53125
vsi_question_5089,96,positioned_equal_mass,196,0,2,0,0.0019069593399763107,1,0,0,0.0,980,0.625
vsi_question_5089,96,positioned_group_mass,0,0,2,0,0.031206762418150902,1,0,0,0.0,392,0.25
vsi_question_5089,96,positioned_group_mass,49,0,2,0,0.003475712612271309,1,0,0,0.125,539,0.34375
vsi_question_5089,96,positioned_group_mass,98,0,2,0,0.003475712612271309,1,0,0,0.125,686,0.4375
vsi_question_5089,96,positioned_group_mass,147,0,2,0,0.0019389577209949493,1,0,0,0.0,833,0.53125
vsi_question_5089,96,positioned_group_mass,196,0,2,0,0.0008418522775173187,1,0,0,0.125,980,0.625
