category,layer,method,fraction,count,energy_ratio_mean,energy_ratio_std,pixel_change_recall_mean,pixel_change_recall_std,gini_mean,gini_std
unlabeled,16,local_bttb_causal,0.1,18,0.3872741603366285,0.1420516440884251,0.3024241190907857,0.14411580550182174,0.47505841079951555,0.13665732012430024
unlabeled,16,local_bttb_causal,0.2,18,0.5398406181421209,0.12290568864857662,0.5119850828184161,0.19051955300055265,0.47505841079951555,0.13665732012430024
unlabeled,16,pixel_shift_zero,0.05,21,0.29993373799986633,0.13114133895688487,0.18626267911982197,0.11226078910107398,0.4977807969485066,0.1252609918512216
unlabeled,16,pixel_shift_zero,0.1,21,0.3947290833271347,0.13772172987466946,0.3110558753415896,0.15052516635913168,0.4977807969485066,0.1252609918512216
unlabeled,16,pixel_shift_zero,0.2,21,0.5556136036632165,0.12230982754708247,0.5165074343645772,0.18917351674073637,0.4977807969485066,0.1252609918512216
unlabeled,26,identity,0.05,21,0.2901904187868851,0.1207698812944886,0.0857136249993393,0.07510495635046012,0.565183244437682,0.11666601932686825
unlabeled,26,identity,0.1,21,0.40592811513242355,0.1407583076367979,0.140586001300287,0.1061091793117443,0.565183244437682,0.11666601932686825
unlabeled,26,identity,0.2,21,0.5969788354374396,0.128158146080914,0.28506401006401005,0.16775485096112114,0.565183244437682,0.11666601932686825
unlabeled,26,local_bccb_causal,0.05,18,0.2667769173746459,0.12298141183514515,0.0859099234099234,0.09325079002476275,0.49172477528280495,0.1369478792209276
unlabeled,26,local_bccb_causal,0.1,18,0.37502255461436973,0.143882078779616,0.13910657243990576,0.10216633304752437,0.49172477528280495,0.1369478792209276
unlabeled,26,local_bccb_causal,0.2,18,0.5472335020828889,0.1367140891803154,0.2643743602076935,0.17702845008882256,0.49172477528280495,0.1369478792209276
unlabeled,26,local_bttb_causal,0.05,18,0.2697968411789527,0.12110127136156892,0.09146547896547896,0.09091670085145181,0.49656073560326114,0.13448110406381847
unlabeled,26,local_bttb_causal,0.1,18,0.3792604087904262,0.14005522049242264,0.13355101688435023,0.11225360636371809,0.49656073560326114,0.13448110406381847
unlabeled,26,local_bttb_causal,0.2,18,0.5515338725955764,0.1340652168252438,0.2505261713595047,0.15932742916553458,0.49656073560326114,0.13448110406381847
unlabeled,26,pixel_shift_zero,0.05,21,0.2901904187868851,0.1207698812944886,0.0857136249993393,0.07510495635046012,0.565183244437682,0.11666601932686825
unlabeled,26,pixel_shift_zero,0.1,21,0.40592811513242355,0.1407583076367979,0.140586001300287,0.1061091793117443,0.565183244437682,0.11666601932686825
unlabeled,26,pixel_shift_zero,0.2,21,0.5969788354374396,0.128158146080914,0.28506401006401005,0.16775485096112114,0.565183244437682,0.11666601932686825
unlabeled,8,identity,0.05,21,0.22004747975984246,0.07214263107173378,0.21104173604173604,0.130759654628261,0.45211422062681356,0.11945363993828721
unlabeled,8,identity,0.1,21,0.331764334008258,0.09906348534498204,0.3552907410050267,0.1988405458658679,0.45211422062681356,0.11945363993828721
unlabeled,8,identity,0.2,21,0.5216817583928414,0.11303185356631772,0.5756036291750577,0.2740659360476816,0.45211422062681356,0.11945363993828721
unlabeled,8,local_bccb_causal,0.05,18,0.20918971012406917,0.07149734511032725,0.20827182077182074,0.1337853949364842,0.42423187444407845,0.11917808539418068
unlabeled,8,local_bccb_causal,0.1,18,0.317408368022497,0.09729122808351415,0.35916614249947587,0.1989352598841423,0.42423187444407845,0.11917808539418068
unlabeled,8,local_bccb_causal,0.2,18,0.5010936572492605,0.10831405076810653,0.600524013024013,0.2814239751841313,0.42423187444407845,0.11917808539418068
unlabeled,8,local_bttb_causal,0.05,18,0.2094840523912251,0.07144793095506079,0.20827182077182074,0.1337853949364842,0.4247685261863981,0.11887472519268942
unlabeled,8,local_bttb_causal,0.1,18,0.31781348377249696,0.0971785804131297,0.35916614249947587,0.1989352598841423,0.4247685261863981,0.11887472519268942
unlabeled,8,local_bttb_causal,0.2,18,0.5014999719889155,0.108159559384547,0.600524013024013,0.2814239751841313,0.4247685261863981,0.11887472519268942
unlabeled,8,pixel_shift_zero,0.05,21,0.22004747975984246,0.07214263107173378,0.21104173604173604,0.130759654628261,0.45211422062681356,0.11945363993828721
unlabeled,8,pixel_shift_zero,0.1,21,0.331764334008258,0.09906348534498204,0.3552907410050267,0.1988405458658679,0.45211422062681356,0.11945363993828721
unlabeled,8,pixel_shift_zero,0.2,21,0.5216817583928414,0.11303185356631772,0.5756036291750577,0.2740659360476816,0.45211422062681356,0.11945363993828721
