operator,group,normalization,index,eigenvalue,above_spike_threshold,series,spike_threshold,eigenvalue_over_threshold
C_FORECAST_1,all_blocks,centered,54,0.0088786855340003,0,F1.00 raw,9.502275562286377,0.0009343746638162077
C_FORECAST_1,all_blocks,centered,55,0.0087969144806265,0,F1.00 raw,9.502275562286377,0.0009257692457941983
C_FORECAST_1,all_blocks,centered,56,0.008732246235013,0,F1.00 raw,9.502275562286377,0.0009189636921992086
C_FORECAST_1,all_blocks,centered,57,0.0087004117667675,0,F1.00 raw,9.502275562286377,0.0009156134980234211
C_FORECAST_1,all_blocks,centered,58,0.0085993539541959,0,F1.00 raw,9.502275562286377,0.0009049783810023269
C_FORECAST_1,all_blocks,centered,59,0.0085425246506929,0,F1.00 raw,9.502275562286377,0.000898997781604794
C_FORECAST_1,all_blocks,centered,60,0.0084005882963538,0,F1.00 raw,9.502275562286377,0.0008840606906512932
C_FORECAST_1,all_blocks,centered,61,0.0083620175719261,0,F1.00 raw,9.502275562286377,0.0008800015866845777
C_FORECAST_1,all_blocks,centered,62,0.0083236340433359,0,F1.00 raw,9.502275562286377,0.0008759621828240394
C_FORECAST_1,all_blocks,centered,63,0.0082427375018596,0,F1.00 raw,9.502275562286377,0.0008674487966413264
C_FORECAST_1,all_blocks,centered,64,0.0081565519794821,0,F1.00 raw,9.502275562286377,0.0008583788089512658
C_FORECAST_1,all_blocks,centered,65,0.0081388726830482,0,F1.00 raw,9.502275562286377,0.0008565182760380689
C_FORECAST_1,all_blocks,centered,66,0.0080202855169773,0,F1.00 raw,9.502275562286377,0.0008440384057908241
C_FORECAST_1,all_blocks,centered,67,0.0079603102058172,0,F1.00 raw,9.502275562286377,0.0008377267269969428
C_FORECAST_1,all_blocks,centered,68,0.007876475341618,0,F1.00 raw,9.502275562286377,0.0008289041177545911
C_FORECAST_1,all_blocks,centered,69,0.0078289434313774,0,F1.00 raw,9.502275562286377,0.0008239019569638381
C_FORECAST_1,all_blocks,centered,70,0.0077480291947722,0,F1.00 raw,9.502275562286377,0.0008153867085820356
C_FORECAST_1,all_blocks,centered,71,0.0077184573747217,0,F1.00 raw,9.502275562286377,0.0008122746308637395
C_FORECAST_1,all_blocks,centered,72,0.0075951674953103,0,F1.00 raw,9.502275562286377,0.0007992998567053553
C_FORECAST_1,all_blocks,centered,73,0.0075656501576304,0,F1.00 raw,9.502275562286377,0.0007961935126000495
C_FORECAST_1,all_blocks,centered,74,0.007550389971584,0,F1.00 raw,9.502275562286377,0.0007945875619047269
C_FORECAST_1,all_blocks,centered,75,0.0074830916710197,0,F1.00 raw,9.502275562286377,0.000787505226718469
C_FORECAST_1,all_blocks,centered,76,0.0074544358067214,0,F1.00 raw,9.502275562286377,0.000784489542305776
C_FORECAST_1,all_blocks,centered,77,0.0074152634479105,0,F1.00 raw,9.502275562286377,0.0007803671235699554
C_FORECAST_1,all_blocks,centered,78,0.0073362537659704,0,F1.00 raw,9.502275562286377,0.0007720523066166688
C_FORECAST_1,all_blocks,centered,79,0.0072931698523461,0,F1.00 raw,9.502275562286377,0.0007675182438711832
C_FORECAST_1,all_blocks,centered,80,0.0072576445527374,0,F1.00 raw,9.502275562286377,0.000763779634169135
C_FORECAST_1,all_blocks,centered,81,0.0071733156219124,0,F1.00 raw,9.502275562286377,0.0007549050303679471
C_FORECAST_1,all_blocks,centered,82,0.0071472008712589,0,F1.00 raw,9.502275562286377,0.0007521567675458137
C_FORECAST_1,all_blocks,centered,83,0.0070569617673754,0,F1.00 raw,9.502275562286377,0.0007426601892481214
C_FORECAST_1,all_blocks,centered,84,0.0070324288681149,0,F1.00 raw,9.502275562286377,0.0007400783972237069
C_FORECAST_1,all_blocks,centered,85,0.0069880471564829,0,F1.00 raw,9.502275562286377,0.0007354077568764467
C_FORECAST_1,all_blocks,centered,86,0.0069650583900511,0,F1.00 raw,9.502275562286377,0.0007329884662253692
C_FORECAST_1,all_blocks,centered,87,0.0068632760085165,0,F1.00 raw,9.502275562286377,0.0007222770970520142
C_FORECAST_1,all_blocks,centered,88,0.0068357181735336,0,F1.00 raw,9.502275562286377,0.0007193769669934549
C_FORECAST_1,all_blocks,centered,89,0.0067854500375688,0,F1.00 raw,9.502275562286377,0.0007140868514168967
C_FORECAST_1,all_blocks,centered,90,0.0067349155433475,0,F1.00 raw,9.502275562286377,0.0007087687048434731
C_FORECAST_1,all_blocks,centered,91,0.0067255208268761,0,F1.00 raw,9.502275562286377,0.0007077800241416961
C_FORECAST_1,all_blocks,centered,92,0.0067184995859861,0,F1.00 raw,9.502275562286377,0.0007070411231443532
C_FORECAST_1,all_blocks,centered,93,0.0066402656957507,0,F1.00 raw,9.502275562286377,0.0006988079489196546
C_FORECAST_1,all_blocks,centered,94,0.0065893069840967,0,F1.00 raw,9.502275562286377,0.0006934451585732821
C_FORECAST_1,all_blocks,centered,95,0.0065469350665807,0,F1.00 raw,9.502275562286377,0.0006889860248386039
C_FORECAST_1,all_blocks,centered,96,0.0064741624519228,0,F1.00 raw,9.502275562286377,0.0006813275840597732
C_FORECAST_1,all_blocks,centered,97,0.0064520947635173,0,F1.00 raw,9.502275562286377,0.0006790052257719243
C_FORECAST_1,all_blocks,centered,98,0.0063670007511973,0,F1.00 raw,9.502275562286377,0.0006700501063626609
C_FORECAST_1,all_blocks,centered,99,0.0063657728023827,0,F1.00 raw,9.502275562286377,0.0006699208795467734
C_FORECAST_1,all_blocks,centered,100,0.0063174092210829,0,F1.00 raw,9.502275562286377,0.0006648311953987204
C_FORECAST_1,all_blocks,centered,101,0.0062835058197379,0,F1.00 raw,9.502275562286377,0.0006612632709449654
C_FORECAST_1,all_blocks,centered,102,0.0062622781842947,0,F1.00 raw,9.502275562286377,0.0006590293181087153
C_FORECAST_1,all_blocks,centered,103,0.0062133423052728,0,F1.00 raw,9.502275562286377,0.0006538794065216296
C_FORECAST_1,all_blocks,centered,104,0.0062115183100104,0,F1.00 raw,9.502275562286377,0.0006536874529995028
C_FORECAST_1,all_blocks,centered,105,0.0062001356855034,0,F1.00 raw,9.502275562286377,0.0006524895689313775
C_FORECAST_1,all_blocks,centered,106,0.0061683459207415,0,F1.00 raw,9.502275562286377,0.0006491440792585594
C_FORECAST_1,all_blocks,centered,107,0.0061326781287789,0,F1.00 raw,9.502275562286377,0.0006453904739533037
C_FORECAST_1,all_blocks,centered,108,0.0060840398073196,0,F1.00 raw,9.502275562286377,0.000640271876714097
C_FORECAST_1,all_blocks,centered,109,0.0060621760785579,0,F1.00 raw,9.502275562286377,0.0006379709827210334
C_FORECAST_1,all_blocks,centered,110,0.0060422709211707,0,F1.00 raw,9.502275562286377,0.0006358762047642458
C_FORECAST_1,all_blocks,centered,111,0.0059970878064632,0,F1.00 raw,9.502275562286377,0.0006311212264002392
C_FORECAST_1,all_blocks,centered,112,0.0059184464626014,0,F1.00 raw,9.502275562286377,0.0006228451725911999
C_FORECAST_1,all_blocks,centered,113,0.0058652404695749,0,F1.00 raw,9.502275562286377,0.000617245882960233
C_FORECAST_1,all_blocks,centered,114,0.0058631338179111,0,F1.00 raw,9.502275562286377,0.0006170241832578838
C_FORECAST_1,all_blocks,centered,115,0.0058326534926891,0,F1.00 raw,9.502275562286377,0.0006138164963178235
C_FORECAST_1,all_blocks,centered,116,0.0058120694011449,0,F1.00 raw,9.502275562286377,0.0006116502687222046
C_FORECAST_1,all_blocks,centered,117,0.0057938285171985,0,F1.00 raw,9.502275562286377,0.0006097306354904768
C_FORECAST_1,all_blocks,centered,118,0.0057493154890835,0,F1.00 raw,9.502275562286377,0.0006050461756657514
C_FORECAST_1,all_blocks,centered,119,0.0057154833339154,0,F1.00 raw,9.502275562286377,0.0006014857490135949
C_FORECAST_1,all_blocks,centered,120,0.0057002953253686,0,F1.00 raw,9.502275562286377,0.0005998873941303626
C_FORECAST_1,all_blocks,centered,121,0.0056882207281887,0,F1.00 raw,9.502275562286377,0.0005986166882767223
C_FORECAST_1,all_blocks,centered,122,0.00563361402601,0,F1.00 raw,9.502275562286377,0.0005928699908861069
C_FORECAST_1,all_blocks,centered,123,0.0056149046868085,0,F1.00 raw,9.502275562286377,0.0005909010583836908
C_FORECAST_1,all_blocks,centered,124,0.0055674985051155,0,F1.00 raw,9.502275562286377,0.0005859121290075368
C_FORECAST_1,all_blocks,centered,125,0.0055153123103082,0,F1.00 raw,9.502275562286377,0.0005804201608505175
C_FORECAST_1,all_blocks,centered,126,0.0055025457404553,0,F1.00 raw,9.502275562286377,0.0005790766332113518
C_FORECAST_1,all_blocks,centered,127,0.0054823034442961,0,F1.00 raw,9.502275562286377,0.0005769463754613514
C_FORECAST_1,all_blocks,centered,128,0.0054609132930636,0,F1.00 raw,9.502275562286377,0.0005746953197966014
C_FORECAST_1,all_blocks,channel_standardized,1,32.547122955322266,1,F1.00 std,2.0537760185117304,15.847454961961992
C_FORECAST_1,all_blocks,channel_standardized,2,29.54336929321289,1,F1.00 std,2.0537760185117304,14.384903235271734
C_FORECAST_1,all_blocks,channel_standardized,3,22.193103790283203,1,F1.00 std,2.0537760185117304,10.806000065365183
C_FORECAST_1,all_blocks,channel_standardized,4,16.985687255859375,1,F1.00 std,2.0537760185117304,8.270467228538417
C_FORECAST_1,all_blocks,channel_standardized,5,16.433773040771484,1,F1.00 std,2.0537760185117304,8.001735774809672
C_FORECAST_1,all_blocks,channel_standardized,6,13.482519149780272,1,F1.00 std,2.0537760185117304,6.564746607349318
C_FORECAST_1,all_blocks,channel_standardized,7,11.947468757629396,1,F1.00 std,2.0537760185117304,5.817318271291888
C_FORECAST_1,all_blocks,channel_standardized,8,10.627361297607422,1,F1.00 std,2.0537760185117304,5.174547371192182
C_FORECAST_1,all_blocks,channel_standardized,9,10.31300163269043,1,F1.00 std,2.0537760185117304,5.021483131429176
C_FORECAST_1,all_blocks,channel_standardized,10,9.1278657913208,1,F1.00 std,2.0537760185117304,4.444430993957809
C_FORECAST_1,all_blocks,channel_standardized,11,8.813583374023438,1,F1.00 std,2.0537760185117304,4.291404366679773
C_FORECAST_1,all_blocks,channel_standardized,12,8.151914596557617,1,F1.00 std,2.0537760185117304,3.9692325370830384
C_FORECAST_1,all_blocks,channel_standardized,13,7.672083377838135,1,F1.00 std,2.0537760185117304,3.7355988718758693
C_FORECAST_1,all_blocks,channel_standardized,14,7.345076084136963,1,F1.00 std,2.0537760185117304,3.5763764003143708
C_FORECAST_1,all_blocks,channel_standardized,15,7.172475814819336,1,F1.00 std,2.0537760185117304,3.4923359461646033
C_FORECAST_1,all_blocks,channel_standardized,16,6.998934268951416,1,F1.00 std,2.0537760185117304,3.407837176920196
C_FORECAST_1,all_blocks,channel_standardized,17,6.775381565093994,1,F1.00 std,2.0537760185117304,3.2989875741190984
C_FORECAST_1,all_blocks,channel_standardized,18,6.393694877624512,1,F1.00 std,2.0537760185117304,3.113141267594363
C_FORECAST_1,all_blocks,channel_standardized,19,6.211791515350342,1,F1.00 std,2.0537760185117304,3.024571062939823
C_FORECAST_1,all_blocks,channel_standardized,20,6.02650260925293,1,F1.00 std,2.0537760185117304,2.9343524098699123
C_FORECAST_1,all_blocks,channel_standardized,21,5.885587692260742,1,F1.00 std,2.0537760185117304,2.8657398076571834
C_FORECAST_1,all_blocks,channel_standardized,22,5.833456993103027,1,F1.00 std,2.0537760185117304,2.8403569525221375
C_FORECAST_1,all_blocks,channel_standardized,23,5.747408390045166,1,F1.00 std,2.0537760185117304,2.798459198199241
C_FORECAST_1,all_blocks,channel_standardized,24,5.580536842346191,1,F1.00 std,2.0537760185117304,2.717208104508947
C_FORECAST_1,all_blocks,channel_standardized,25,5.358954906463623,1,F1.00 std,2.0537760185117304,2.6093180844262616
