run,checkpoint,offset,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_mean_relative_l2,activation_p95_relative_l2
train1_m8_v1,1,8,shift_rank8_prev_flow,0.018353798430319954,0.014067812822759151,0.06328176967799641,0.11827438324689865,0.3031345084309578
train1_m8_v1,1,8,shift_rank8_oracle,0.017820117489342556,0.01374068297445774,0.06081071682274337,0.11769698560237885,0.30191512405872334
train1_m8_v1,1,8,flow_reuse,0.029840723925702965,0.01440190989524126,0.0681713175028562,0.03933028131723404,0.15358168035745615
train1_m8_v1,1,8,flow_toeplitz_r2,0.018792991849833827,0.009668605402112007,0.04323678407818075,0.03200019150972366,0.12117289043962949
train1_m8_v1,1,8,flow_rank8_oracle,0.024097037594598386,0.011040865443646908,0.055700494907796376,0.024097049608826637,0.0946758162230253
train2_m1_v1,2,1,raw_reuse,0.46798596204913884,0.2207678109407425,1.3534803867340086,0.6176192760467529,1.2329648435115812
train2_m1_v1,2,1,shift_reuse,0.027822072436706594,0.018661320209503174,0.07406222186982625,0.1078856885433197,0.20747304558753965
train2_m1_v1,2,1,shift_toeplitz_r2,0.019519904242363318,0.014729289337992668,0.060110269859433164,0.08880631625652313,0.19410358071327205
train2_m1_v1,2,1,shift_circular_r2,0.019424958860381474,0.014708418399095535,0.060354729928076264,0.0885443165898323,0.19361345544457415
train2_m1_v1,2,1,shift_rank8_feature,0.01711106766112997,0.013147511519491673,0.054462711885571384,0.0721898153424263,0.17759459540247913
train2_m1_v1,2,1,shift_rank8_prev_flow,0.01128274390601723,0.009361342526972294,0.04076231494545933,0.0586656779050827,0.13764521181583403
train2_m1_v1,2,1,shift_rank8_oracle,0.011269090766285352,0.00933612696826458,0.0406741352751851,0.058533892035484314,0.1367721214890478
train2_m1_v1,2,1,flow_reuse,0.02790588820946848,0.014397915452718735,0.06888630725443362,0.03751814737915993,0.1461909718811512
train2_m1_v1,2,1,flow_toeplitz_r2,0.01697539967841754,0.00939024519175291,0.04303560927510259,0.029555728659033775,0.10855468958616257
train2_m1_v1,2,1,flow_rank8_oracle,0.021963651734899548,0.011060399003326893,0.05513806100934742,0.022685902193188667,0.08796641975641249
train2_m8_v1,2,8,raw_reuse,0.23485556142595615,0.11715671420097351,0.6925894588232039,0.33044227957725525,0.6764783143997191
train2_m8_v1,2,8,shift_reuse,0.07665886384969146,0.046213481575250626,0.19674487709999072,0.30374255776405334,0.5446622699499128
train2_m8_v1,2,8,shift_toeplitz_r2,0.04455985047748123,0.03318365663290024,0.14263138249516472,0.2031565010547638,0.48119821846485133
train2_m8_v1,2,8,shift_circular_r2,0.04455985047748123,0.03318365663290024,0.14263138249516472,0.2031565010547638,0.48119821846485133
train2_m8_v1,2,8,shift_rank8_feature,0.033674552725183486,0.024861181154847145,0.11267259642481792,0.15840288996696472,0.4201097205281257
train2_m8_v1,2,8,shift_rank8_prev_flow,0.017941935792984264,0.01416026707738638,0.0652533035725355,0.11215868592262268,0.2885333076119423
train2_m8_v1,2,8,shift_rank8_oracle,0.01755239230743644,0.013963913545012474,0.06348237469792363,0.11167966574430466,0.2872277870774268
train2_m8_v1,2,8,flow_reuse,0.029674444261441935,0.015061789192259312,0.07160190977156157,0.03866923972964287,0.1550553508102893
train2_m8_v1,2,8,flow_toeplitz_r2,0.017657548791918144,0.009593185037374496,0.04254614431411022,0.03031766414642334,0.113330203294754
train2_m8_v1,2,8,flow_rank8_oracle,0.024262298451458546,0.011638568714261055,0.0574780587106943,0.0232610572129488,0.09174775406718245
