weight_key,shape,activation_source,rows,method,measurement_scope,latency_ms_median,latency_ms_min,latency_ms_max,output_relative_l2,output_cosine,main_weight_bits,high_precision_params,metadata_bits,speedup_vs_bf16,status
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,2048,fp8_static_input_cached_bcm_b128_svd_r10,lower_bound,0.298311456044515,0.2965375900268555,0.3251146634419759,0.0394854098558425,0.9992201924324036,8,49152,0,0.0627460553617104,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,2048,fp8_dynamic_svd_r8_rowsparse_b16,measured,0.2749173482259114,0.2741738637288411,0.2757738749186197,0.0394192487001419,0.9992228150367736,8,49152,7,0.06808543461077,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,2048,fp8_static_input_svd_r8_rowsparse_b16,lower_bound,0.1655861377716064,0.1648512045542399,0.1669322649637858,0.0394192487001419,0.9992228150367736,8,49152,7,0.1130400611301123,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,bf16_dense,measured,0.0566954652468363,0.056550399462382,0.0567541321118672,0.0,1.0,16,0,0,1.0,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_dynamic_main,measured,0.2573994636535645,0.2572426637013753,0.2576576073964436,0.039258986711502,0.9992290735244752,8,0,0,0.2202625617089207,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_static_input_main,lower_bound,0.03771520058314,0.0376320004463195,0.0378559986750284,0.039258986711502,0.9992290735244752,8,0,0,1.5032523855164408,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_dynamic_svd_r16,measured,0.3150378545125326,0.3144277254740397,0.3152213414510091,0.0384559966623783,0.9992603063583374,8,49152,0,0.1799639771371695,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_static_input_svd_r16,lower_bound,0.1223551988601684,0.1220000028610229,0.1228885332743326,0.0384559966623783,0.9992603063583374,8,49152,0,0.463367848485374,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_dynamic_cached_bcm_b128_svd_r10,measured,0.6755552291870117,0.6730560302734375,0.675709851582845,0.0386517718434333,0.9992527961730956,8,49152,0,0.0839242489693489,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_static_input_cached_bcm_b128_svd_r10,lower_bound,0.4570645332336426,0.4565919876098633,0.4572874704996745,0.0386517718434333,0.9992527961730956,8,49152,0,0.1240425828837056,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_dynamic_svd_r8_rowsparse_b16,measured,0.371993605295817,0.3714847882588704,0.3727487881978353,0.0386098064482212,0.9992544054985046,8,49152,7,0.1524097845761378,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,7800,fp8_static_input_svd_r8_rowsparse_b16,lower_bound,0.1742090702056885,0.1735125382741292,0.1748618602752685,0.0386098064482212,0.9992544054985046,8,49152,7,0.3254449678188171,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,32760,bf16_dense,measured,0.2193941275278727,0.2193706671396891,0.2194784005482991,0.0,0.9999999403953552,16,0,0,1.0,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,32760,fp8_dynamic_main,measured,0.9311232248942056,0.9305920282999676,0.9457759857177734,0.0393072143197059,0.9992271661758424,8,0,0,0.2356230858196027,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,32760,fp8_static_input_main,lower_bound,0.1365599950154622,0.1365386644999186,0.136569595336914,0.0393072143197059,0.9992271661758424,8,0,0,1.6065768565898926,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,32760,fp8_dynamic_svd_r16,measured,1.10152956644694,1.0974581400553385,1.1090719858805338,0.0385098606348037,0.999258279800415,8,49152,0,0.1991722548451819,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,32760,fp8_static_input_svd_r16,lower_bound,0.2970698674519856,0.2967882792154948,0.2970805486043294,0.0385098606348037,0.999258279800415,8,49152,0,0.738527032073802,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,32760,fp8_dynamic_cached_bcm_b128_svd_r10,measured,2.675614929199219,2.6755882263183595,2.675867716471354,0.0387024916708469,0.9992508888244628,8,49152,0,0.081997646646984,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,32760,fp8_static_input_cached_bcm_b128_svd_r10,lower_bound,1.8841835021972655,1.8820597330729167,1.8860907236735025,0.0387024916708469,0.9992508888244628,8,49152,0,0.1164398941355888,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,32760,fp8_dynamic_svd_r8_rowsparse_b16,measured,1.259416580200195,1.2589280446370443,1.2594197591145833,0.0386589840054512,0.9992524981498718,8,49152,7,0.1742029849194125,ok
blocks.0.self_attn.q.weight,1536x1536,real:q:repeated,32760,fp8_static_input_svd_r8_rowsparse_b16,lower_bound,0.464685853322347,0.4645365397135416,0.4648288091023763,0.0386589840054512,0.9992524981498718,8,49152,7,0.472134294511612,ok
