instant_frames,capacity,long_term_capacity,layer,delay,method,mean_cosine,cosine_std,coverage,cosine_gain_vs_recent,run_count
1,64,48,22,1,instant_adaptive,0.9835145258534541,0.020477350699849375,0.97,-0.016485474146545886,30
1,64,48,22,2,instant_adaptive,0.9731637524287564,0.03256124482795073,0.9370535714285714,-0.026836247571243588,30
1,64,48,22,4,instant_adaptive,0.9605291062747774,0.03921147250653714,0.8786458333333333,0.06341830962510342,30
1,64,48,22,8,instant_adaptive,0.9440183827218717,0.04969657663108337,0.7911458333333333,0.13140179747033243,30
1,64,48,22,0,instant_oja,1.0,0.0,1.0,0.0,30
1,64,48,22,1,instant_oja,0.93075917211786,0.06799945311049196,0.7673611111111112,-0.06924082788214003,30
1,64,48,22,2,instant_oja,0.9213655692947438,0.075630939886421,0.7328869047619048,-0.07863443070525622,30
1,64,48,22,4,instant_oja,0.9145875143735168,0.08271040555136062,0.7133680555555556,0.01747671772384285,30
1,64,48,22,8,instant_oja,0.9166231609143518,0.08660898782571727,0.7252604166666666,0.10400657566281257,30
1,64,48,23,0,instant_adaptive,1.0,0.0,1.0,0.0,30
1,64,48,23,1,instant_adaptive,0.9829344234057154,0.02141596381535438,0.9681944444444445,-0.017065576594284648,30
1,64,48,23,2,instant_adaptive,0.9724681227200606,0.03286192806124097,0.9327380952380953,-0.027531877279939443,30
1,64,48,23,4,instant_adaptive,0.9587960741857138,0.04081848285961172,0.8699652777777778,0.0642619290518448,30
1,64,48,23,8,instant_adaptive,0.942186064105789,0.05152737245069771,0.7861979166666667,0.131977982822312,30
1,64,48,23,0,instant_oja,1.0,0.0,1.0,0.0,30
1,64,48,23,1,instant_oja,0.9284095824140343,0.0695891307793255,0.7577777777777778,-0.07159041758596574,30
1,64,48,23,2,instant_oja,0.9189047238250798,0.0771643786204899,0.7236607142857143,-0.08109527617492018,30
1,64,48,23,4,instant_oja,0.9120271525394122,0.08420687365351041,0.7055555555555556,0.01749300740554327,30
1,64,48,23,8,instant_oja,0.9142536504171067,0.08791654365000241,0.7174479166666666,0.10404556913362972,30
1,64,48,7,0,instant_adaptive,1.0,0.0,1.0,0.0,30
1,64,48,7,1,instant_adaptive,0.9896829515720378,0.017060114886364428,0.9884722222222222,-0.010317048427962217,30
1,64,48,7,2,instant_adaptive,0.9817422653489056,0.029190522695292754,0.965625,-0.01825773465109437,30
1,64,48,7,4,instant_adaptive,0.9665031737695207,0.04221519372339342,0.9098958333333333,0.047706954262216605,30
1,64,48,7,8,instant_adaptive,0.9467453609635326,0.05686166792225153,0.80234375,0.15060079032099194,30
1,64,48,7,0,instant_oja,1.0,0.0,1.0,0.0,30
1,64,48,7,1,instant_oja,0.9513605183393654,0.06425059580638028,0.8247222222222222,-0.04863948166063459,30
1,64,48,7,2,instant_oja,0.9377804677760982,0.0727100711408549,0.7538690476190476,-0.06221953222390175,30
1,64,48,7,4,instant_oja,0.9271748318758796,0.07689405405951466,0.6902777777777778,0.008378612368575511,30
1,64,48,7,8,instant_oja,0.9259972257242701,0.07834198306053748,0.6809895833333334,0.1298526550817295,30
2,64,32,0,0,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,0,1,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,0,2,instant_adaptive,0.978602422378835,0.03365702612007182,0.946577380952381,-0.02139757762116501,30
2,64,32,0,4,instant_adaptive,0.9493119755986135,0.05710731053820144,0.8286458333333333,0.050625053932084274,30
2,64,32,0,8,instant_adaptive,0.9166983069869752,0.07273647240455673,0.6875,0.1256634200393213,30
2,64,32,0,0,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,0,1,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,0,2,instant_oja,0.9491123051556681,0.05945302761427481,0.8075892857142857,-0.050887694844331866,30
2,64,32,0,4,instant_oja,0.9414986606455604,0.06004452446521374,0.7644097222222223,0.04281173897903123,30
2,64,32,0,8,instant_oja,0.9450645719262467,0.05513798180190183,0.78046875,0.15402968497859282,30
2,64,32,15,0,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,15,1,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,15,2,instant_adaptive,0.9762223631935695,0.03437520214938885,0.9430059523809524,-0.023777636806430524,30
2,64,32,15,4,instant_adaptive,0.9432640375409035,0.06277780297728552,0.8291666666666667,0.060343193880868284,30
2,64,32,15,8,instant_adaptive,0.9055597708841824,0.08254169245365697,0.68046875,0.15604636444578268,30
2,64,32,15,0,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,15,1,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,15,2,instant_oja,0.9225689811598778,0.08832507211669084,0.7360119047619048,-0.07743101884012216,30
2,64,32,15,4,instant_oja,0.8947226490308294,0.11078248822677032,0.6489583333333333,0.011801805370794227,30
2,64,32,15,8,instant_oja,0.8880850424131722,0.1181522901654685,0.6375,0.1385716359747725,30
2,64,32,22,0,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,22,1,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,22,2,instant_adaptive,0.9777001731870097,0.027786023306359254,0.9507440476190476,-0.022299826812990253,30
2,64,32,22,4,instant_adaptive,0.9519758524351396,0.04733178483068253,0.8536458333333333,0.05486505578546563,30
2,64,32,22,8,instant_adaptive,0.9207364017136013,0.0658892192726286,0.7075520833333333,0.10811981646206204,30
2,64,32,22,0,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,22,1,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,22,2,instant_oja,0.9328060551214697,0.06795954295182406,0.7760416666666666,-0.06719394487853025,30
2,64,32,22,4,instant_oja,0.9188206657155882,0.08102690203003775,0.7300347222222222,0.02170986906591421,30
2,64,32,22,8,instant_oja,0.9162984193324735,0.08793292529255564,0.7278645833333334,0.10368183408093423,30
2,64,32,23,0,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,23,1,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,23,2,instant_adaptive,0.9772359802200621,0.02856646687567635,0.9498511904761905,-0.022764019779937916,30
2,64,32,23,4,instant_adaptive,0.9509044903860748,0.04748127969402451,0.8461805555555556,0.056370345252205856,30
2,64,32,23,8,instant_adaptive,0.919112726297256,0.06689938020984361,0.70078125,0.10890464501377906,30
2,64,32,23,0,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,23,1,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,23,2,instant_oja,0.9304678798341678,0.06947531794970375,0.7657738095238096,-0.06953212016583221,30
2,64,32,23,4,instant_oja,0.9161681267653168,0.08257905892174572,0.7206597222222222,0.021633981631447807,30
2,64,32,23,8,instant_oja,0.9138460371235548,0.08934467997837545,0.7166666666666667,0.10363795584007784,30
2,64,32,7,0,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,7,1,instant_adaptive,1.0,0.0,1.0,0.0,30
2,64,32,7,2,instant_adaptive,0.9845923437205143,0.026782769472203233,0.9711309523809524,-0.015407656279485704,30
2,64,32,7,4,instant_adaptive,0.9607907978935537,0.05541496476812111,0.8989583333333333,0.04199457838624965,30
2,64,32,7,8,instant_adaptive,0.9311297739920975,0.06934530059631952,0.7552083333333334,0.13498520334955688,30
2,64,32,7,0,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,7,1,instant_oja,1.0,0.0,1.0,0.0,30
2,64,32,7,2,instant_oja,0.9514397622843654,0.06503779491886576,0.8264880952380952,-0.04856023771563456,30
2,64,32,7,4,instant_oja,0.9319918981088241,0.07569862894222754,0.7210069444444445,0.013195678601520044,30
2,64,32,7,8,instant_oja,0.9260364440661841,0.07938210767478744,0.6854166666666667,0.1298918734236435,30
3,64,16,0,0,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,0,1,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,0,2,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,0,4,instant_adaptive,0.9311140047378523,0.07545291155111167,0.7739583333333333,0.03242708307132314,30
3,64,16,0,8,instant_adaptive,0.874196108091585,0.09491491939667333,0.56328125,0.0831612211439311,30
3,64,16,0,0,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,0,1,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,0,2,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,0,4,instant_oja,0.9444817873318341,0.05911339252557478,0.7779513888888889,0.045794865665304885,30
3,64,16,0,8,instant_oja,0.9445934840720127,0.05618331391195882,0.778125,0.15355859712435882,30
3,64,16,15,0,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,15,1,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,15,2,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,15,4,instant_adaptive,0.9195470089095829,0.08949434094175646,0.7732638888888889,0.03662616524954765,30
3,64,16,15,8,instant_adaptive,0.8551187379442418,0.1089467515435769,0.56953125,0.10560533150584206,30
3,64,16,15,0,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,15,1,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,15,2,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,15,4,instant_oja,0.9057557888958564,0.10402821885273827,0.6829861111111111,0.02283494523582119,30
3,64,16,15,8,instant_oja,0.8894748621170075,0.11817935565751261,0.6424479166666667,0.13996145567860785,30
3,64,16,22,0,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,22,1,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,22,2,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,22,4,instant_adaptive,0.9363746019652592,0.06163344344639785,0.8039930555555556,0.039263805315585265,30
3,64,16,22,8,instant_adaptive,0.885282309347992,0.08531961879349238,0.6052083333333333,0.07266572409645278,30
3,64,16,22,0,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,22,1,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,22,2,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,22,4,instant_oja,0.9241785354346702,0.07724344891954635,0.7472222222222222,0.027067738784996243,30
3,64,16,22,8,instant_oja,0.9164060760272926,0.08871469018629122,0.73203125,0.10378949077575339,30
3,64,16,23,0,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,23,1,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,23,2,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,23,4,instant_adaptive,0.932812948285258,0.06591266873108112,0.7899305555555556,0.038278803151388985,30
3,64,16,23,8,instant_adaptive,0.8825931849954163,0.08714813502566747,0.6015625,0.07238510371193929,30
3,64,16,23,0,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,23,1,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,23,2,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,23,4,instant_oja,0.921510313973068,0.07895787293321618,0.7380208333333333,0.026976168839199066,30
3,64,16,23,8,instant_oja,0.9138005845801324,0.09031794099699185,0.71953125,0.10359250329665537,30
3,64,16,7,0,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,7,1,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,7,2,instant_adaptive,1.0,0.0,1.0,0.0,30
3,64,16,7,4,instant_adaptive,0.9429171155908519,0.07794135040509341,0.8444444444444444,0.024120896083547838,30
3,64,16,7,8,instant_adaptive,0.8715886897231989,0.10310467596670948,0.5854166666666667,0.07544411908065829,30
3,64,16,7,0,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,7,1,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,7,2,instant_oja,1.0,0.0,1.0,0.0,30
3,64,16,7,4,instant_oja,0.9391076557771391,0.07275763188338703,0.7631944444444444,0.020311436269835004,30
3,64,16,7,8,instant_oja,0.9263307857441816,0.08031862232574247,0.6895833333333333,0.13018621510164097,30
