split,sample_id,cell,layer,sampling_step,method,density,head,tile_index,query_start,family,generators,oracle_access,residual_sq,reference_sq,output_relative_l2,critical_output_relative_l2,adaptive_output_relative_l2,subspace_overlap,selected_attention_mass_mean,dynamic_scalars,dynamic_scalar_ratio_to_rank_basis,rotation_macs,tail_macs,dense_attention_macs,extra_work_ratio,record_quality_gate
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,4,0,0,adaptive,0,heldout_defect_posthoc,1.6607909254544055e-05,2815.7763671875,7.679950163113155e-05,0.00034964563492244523,7.679950302235244e-05,0.9999999999999999,0.9996098875999451,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,4,0,0,full_procrustes,128,heldout_defect_posthoc,1.6607909254544055e-05,2815.7763671875,7.679950163113155e-05,0.00034964563492244523,7.679950302235244e-05,0.9999999999999999,0.9996098875999451,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,4,1,16320,frozen,0,source_only,0.00014032406847346355,1943.997802734375,0.00026866939606571763,0.0005976582867834418,9.078044198604376e-05,0.6395813198499636,0.9994662404060364,0,0.0,0,262144,536739840,0.0004884004884004884,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,4,1,16320,adaptive,0,heldout_defect_posthoc,1.6020657703472575e-05,1943.997802734375,9.07804405161994e-05,0.0005976582867834418,9.078044198604376e-05,1.0000000000000004,0.9994662404060364,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,4,1,16320,full_procrustes,128,heldout_defect_posthoc,1.6020657703472575e-05,1943.997802734375,9.07804405161994e-05,0.0005976582867834418,9.078044198604376e-05,1.0000000000000004,0.9994662404060364,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,4,2,32640,frozen,0,source_only,5.2176650033275955e-05,3189.43408203125,0.00012790316185164345,0.00026490208069764715,5.6044433821736036e-05,0.6619200930422438,0.9997332096099854,0,0.0,0,262144,536739840,0.0004884004884004884,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,4,2,32640,adaptive,0,heldout_defect_posthoc,1.00179443598101e-05,3189.43408203125,5.604443461045023e-05,0.00026490208069764715,5.6044433821736036e-05,1.0,0.9997332096099854,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,4,2,32640,full_procrustes,128,heldout_defect_posthoc,1.00179443598101e-05,3189.43408203125,5.604443461045023e-05,0.00026490208069764715,5.6044433821736036e-05,1.0,0.9997332096099854,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,5,0,0,frozen,0,source_only,8.3350334147876e-05,1878.9102783203125,0.00021062050587234926,0.0004381234936638085,4.809573699382492e-05,0.623040656110742,0.9993915557861328,0,0.0,0,262144,536739840,0.0004884004884004884,True
seed_holdout,s02_p00_seed20260741,layer00_step00_capacity_control,0,0,contribution_norm,0.25,5,0,0,adaptive,0,heldout_defect_posthoc,4.346294537565267e-06,1878.9102783203125,4.80957338828826e-05,0.0004381234936638085,4.809573699382492e-05,1.0,0.9993915557861328,2048,1.0,524288,262144,536739840,0.0014652014652014652,True
