case,signal,control,centering,requested_density,actual_lowpass_density,lowpass_retained_energy,lowpass_relative_l2,shared_frequency_topk_oracle_energy,dc_energy_ratio,tokens,channels_sampled
f17_l0_t1000,q,spatial_shuffled,centered,0.25,0.25038461538461537,0.6488747000694275,0.5925582671185784,0.92951500415802,1.1868691725497142e-14,7800,64
f17_l0_t1000,q,matched_gaussian,raw,0.015625,0.016025641025641024,0.031582146883010864,0.9840822390008821,0.03642970323562622,0.015913676470518112,7800,64
f17_l0_t1000,q,matched_gaussian,raw,0.0625,0.0632051282051282,0.07765096426010132,0.9603900435447562,0.09342436492443085,0.015913676470518112,7800,64
f17_l0_t1000,q,matched_gaussian,raw,0.125,0.125,0.13939239084720612,0.9276893926055174,0.1653459221124649,0.015913676470518112,7800,64
f17_l0_t1000,q,matched_gaussian,raw,0.25,0.25038461538461537,0.26277390122413635,0.8586187155984102,0.3019409477710724,0.015913676470518112,7800,64
f17_l0_t1000,q,matched_gaussian,centered,0.015625,0.016025641025641024,0.01592184789478779,0.9920071330919008,0.021013032644987106,8.326620406873961e-17,7800,64
f17_l0_t1000,q,matched_gaussian,centered,0.0625,0.0632051282051282,0.06273563951253891,0.9681241451835922,0.07891790568828583,8.326620406873961e-17,7800,64
f17_l0_t1000,q,matched_gaussian,centered,0.125,0.125,0.12547548115253448,0.935160156789983,0.15199552476406097,8.326620406873961e-17,7800,64
f17_l0_t1000,q,matched_gaussian,centered,0.25,0.25038461538461537,0.25085222721099854,0.8655332303204779,0.29079118371009827,8.326620406873961e-17,7800,64
f17_l0_t1000,k,original,raw,0.015625,0.016025641025641024,0.6482852101325989,0.5930554694692572,0.9743257164955139,0.25829148292541504,7800,64
f17_l0_t1000,k,original,raw,0.0625,0.0632051282051282,0.9413625597953796,0.24215168841992485,0.9761903285980225,0.25829148292541504,7800,64
f17_l0_t1000,k,original,raw,0.125,0.125,0.9445104002952576,0.23556230535623146,0.9783592224121094,0.25829148292541504,7800,64
f17_l0_t1000,k,original,raw,0.25,0.25038461538461537,0.9492510557174683,0.2252752633613636,0.982262909412384,0.25829148292541504,7800,64
f17_l0_t1000,k,original,centered,0.015625,0.016025641025641024,0.5258046984672546,0.6886184005185639,0.96539306640625,2.872413237982579e-15,7800,64
f17_l0_t1000,k,original,centered,0.0625,0.0632051282051282,0.9209427833557129,0.28117115187068376,0.9679050445556641,2.872413237982579e-15,7800,64
f17_l0_t1000,k,original,centered,0.125,0.125,0.9251869916915894,0.2735196671327505,0.9708290100097656,2.872413237982579e-15,7800,64
f17_l0_t1000,k,original,centered,0.25,0.25038461538461537,0.931578516960144,0.2615750046159915,0.9760913848876953,2.872413237982579e-15,7800,64
f17_l0_t1000,k,token_shuffled,raw,0.015625,0.016025641025641024,0.26973864436149597,0.8545533076634272,0.28518974781036377,0.2582915723323822,7800,64
f17_l0_t1000,k,token_shuffled,raw,0.0625,0.0632051282051282,0.30367109179496765,0.8344632455686903,0.3484417796134949,0.2582915723323822,7800,64
f17_l0_t1000,k,token_shuffled,raw,0.125,0.125,0.34835827350616455,0.8072432882928389,0.42014387249946594,0.2582915723323822,7800,64
f17_l0_t1000,k,token_shuffled,raw,0.25,0.25038461538461537,0.44433659315109253,0.7454283378359771,0.5431559681892395,0.2582915723323822,7800,64
f17_l0_t1000,k,token_shuffled,centered,0.015625,0.016025641025641024,0.015433373861014843,0.9922533074467351,0.03652968630194664,3.4282157174218798e-15,7800,64
f17_l0_t1000,k,token_shuffled,centered,0.0625,0.0632051282051282,0.061182405799627304,0.9689260003738018,0.12175741791725159,3.4282157174218798e-15,7800,64
f17_l0_t1000,k,token_shuffled,centered,0.125,0.125,0.12143141031265259,0.9373198972001754,0.21840094029903412,3.4282157174218798e-15,7800,64
f17_l0_t1000,k,token_shuffled,centered,0.25,0.25038461538461537,0.25083309412002563,0.8655442830265673,0.38422146439552307,3.4282157174218798e-15,7800,64
f17_l0_t1000,k,frame_shuffled,raw,0.015625,0.016025641025641024,0.6482852101325989,0.5930554694692572,0.9743257164955139,0.25829148292541504,7800,64
f17_l0_t1000,k,frame_shuffled,raw,0.0625,0.0632051282051282,0.9413625597953796,0.24215168841992485,0.9761903285980225,0.25829148292541504,7800,64
f17_l0_t1000,k,frame_shuffled,raw,0.125,0.125,0.9445104002952576,0.23556230535623146,0.9783592224121094,0.25829148292541504,7800,64
f17_l0_t1000,k,frame_shuffled,raw,0.25,0.25038461538461537,0.9492510557174683,0.2252752633613636,0.982262909412384,0.25829148292541504,7800,64
f17_l0_t1000,k,frame_shuffled,centered,0.015625,0.016025641025641024,0.5258046984672546,0.6886184005185639,0.96539306640625,2.872413237982579e-15,7800,64
f17_l0_t1000,k,frame_shuffled,centered,0.0625,0.0632051282051282,0.9209427833557129,0.28117115187068376,0.9679050445556641,2.872413237982579e-15,7800,64
f17_l0_t1000,k,frame_shuffled,centered,0.125,0.125,0.9251869916915894,0.2735196671327505,0.9708290100097656,2.872413237982579e-15,7800,64
f17_l0_t1000,k,frame_shuffled,centered,0.25,0.25038461538461537,0.931578516960144,0.2615750046159915,0.9760913848876953,2.872413237982579e-15,7800,64
f17_l0_t1000,k,spatial_shuffled,raw,0.015625,0.016025641025641024,0.29301196336746216,0.8408258063550011,0.6386476159095764,0.2582915723323822,7800,64
f17_l0_t1000,k,spatial_shuffled,raw,0.0625,0.0632051282051282,0.626663863658905,0.6110123864056235,0.7705324292182922,0.2582915723323822,7800,64
f17_l0_t1000,k,spatial_shuffled,raw,0.125,0.125,0.6699278354644775,0.5745190723862198,0.8932767510414124,0.2582915723323822,7800,64
f17_l0_t1000,k,spatial_shuffled,raw,0.25,0.25038461538461537,0.7549981474876404,0.4949766181471198,0.980930507183075,0.2582915723323822,7800,64
f17_l0_t1000,k,spatial_shuffled,centered,0.015625,0.016025641025641024,0.046811413019895554,0.9763137748593453,0.5134128332138062,2.6781491961451204e-15,7800,64
f17_l0_t1000,k,spatial_shuffled,centered,0.0625,0.0632051282051282,0.49665367603302,0.7094690436988635,0.6910260319709778,2.6781491961451204e-15,7800,64
f17_l0_t1000,k,spatial_shuffled,centered,0.125,0.125,0.5549838542938232,0.6670953048149693,0.8563888072967529,2.6781491961451204e-15,7800,64
f17_l0_t1000,k,spatial_shuffled,centered,0.25,0.25038461538461537,0.6696789860725403,0.5747356034973471,0.9742957949638367,2.6781491961451204e-15,7800,64
f17_l0_t1000,k,matched_gaussian,raw,0.015625,0.016025641025641024,0.01927785947918892,0.990314162536723,0.024267734959721565,0.0034615325275808573,7800,64
f17_l0_t1000,k,matched_gaussian,raw,0.0625,0.0632051282051282,0.06673616170883179,0.9660558153083952,0.08204673230648041,0.0034615325275808573,7800,64
f17_l0_t1000,k,matched_gaussian,raw,0.125,0.125,0.128435418009758,0.9335762325542795,0.1550496369600296,0.0034615325275808573,7800,64
f17_l0_t1000,k,matched_gaussian,raw,0.25,0.25038461538461537,0.2531706988811493,0.8641928610668169,0.29371240735054016,0.0034615325275808573,7800,64
f17_l0_t1000,k,matched_gaussian,centered,0.015625,0.016025641025641024,0.015871265903115273,0.9920326275364559,0.021043207496404648,6.631251537464466e-17,7800,64
f17_l0_t1000,k,matched_gaussian,centered,0.0625,0.0632051282051282,0.06349440664052963,0.9677321909286011,0.07901212573051453,6.631251537464466e-17,7800,64
f17_l0_t1000,k,matched_gaussian,centered,0.125,0.125,0.12540799379348755,0.93519623940995,0.15226192772388458,6.631251537464466e-17,7800,64
f17_l0_t1000,k,matched_gaussian,centered,0.25,0.25038461538461537,0.25057652592658997,0.8656924823939561,0.29139813780784607,6.631251537464466e-17,7800,64
f17_l0_t1000,v,original,raw,0.015625,0.016025641025641024,0.033225756138563156,0.9832467868553839,0.045074712485075,0.01837484911084175,7800,64
f17_l0_t1000,v,original,raw,0.0625,0.0632051282051282,0.07942606508731842,0.9594654422712063,0.11327296495437622,0.01837484911084175,7800,64
f17_l0_t1000,v,original,raw,0.125,0.125,0.13967731595039368,0.9275358128124253,0.1950189620256424,0.01837484911084175,7800,64
f17_l0_t1000,v,original,raw,0.25,0.25038461538461537,0.26336780190467834,0.8582727993448945,0.34315750002861023,0.01837484911084175,7800,64
f17_l0_t1000,v,original,centered,0.015625,0.016025641025641024,0.01512889750301838,0.9924067223154938,0.027406157925724983,2.626614758722103e-16,7800,64
f17_l0_t1000,v,original,centered,0.0625,0.0632051282051282,0.062194012105464935,0.9684038351300222,0.09685423225164413,2.626614758722103e-16,7800,64
f17_l0_t1000,v,original,centered,0.125,0.125,0.12357307970523834,0.9361767569720804,0.1801147609949112,2.626614758722103e-16,7800,64
f17_l0_t1000,v,original,centered,0.25,0.25038461538461537,0.24957892298698425,0.8662684785983014,0.33100879192352295,2.626614758722103e-16,7800,64
f17_l0_t1000,v,token_shuffled,raw,0.015625,0.016025641025641024,0.03387204185128212,0.9829180831324236,0.04504620283842087,0.01837484911084175,7800,64
f17_l0_t1000,v,token_shuffled,raw,0.0625,0.0632051282051282,0.0803457498550415,0.9589860531545589,0.1134372130036354,0.01837484911084175,7800,64
f17_l0_t1000,v,token_shuffled,raw,0.125,0.125,0.14160922169685364,0.9264938091013595,0.19540619850158691,0.01837484911084175,7800,64
f17_l0_t1000,v,token_shuffled,raw,0.25,0.25038461538461537,0.2645502984523773,0.8575836411380657,0.3437005579471588,0.01837484911084175,7800,64
f17_l0_t1000,v,token_shuffled,centered,0.015625,0.016025641025641024,0.015787281095981598,0.9920749562931314,0.027376864105463028,3.0254592801781037e-16,7800,64
f17_l0_t1000,v,token_shuffled,centered,0.0625,0.0632051282051282,0.06313090771436691,0.9679199823774861,0.09702209383249283,3.0254592801781037e-16,7800,64
f17_l0_t1000,v,token_shuffled,centered,0.125,0.125,0.12554118037223816,0.9351250288746216,0.1805092990398407,3.0254592801781037e-16,7800,64
f17_l0_t1000,v,token_shuffled,centered,0.25,0.25038461538461537,0.2507835626602173,0.8655728954512051,0.33156177401542664,3.0254592801781037e-16,7800,64
f17_l0_t1000,v,frame_shuffled,raw,0.015625,0.016025641025641024,0.033225756138563156,0.9832467868553839,0.045149292796850204,0.01837484911084175,7800,64
f17_l0_t1000,v,frame_shuffled,raw,0.0625,0.0632051282051282,0.07892955094575882,0.9597241525846065,0.11425124853849411,0.01837484911084175,7800,64
f17_l0_t1000,v,frame_shuffled,raw,0.125,0.125,0.13937123119831085,0.9277007970254683,0.19642087817192078,0.01837484911084175,7800,64
f17_l0_t1000,v,frame_shuffled,raw,0.25,0.25038461538461537,0.2630002200603485,0.8584869130858381,0.34445518255233765,0.01837484911084175,7800,64
f17_l0_t1000,v,frame_shuffled,centered,0.015625,0.016025641025641024,0.01512889750301838,0.9924067223154938,0.02748478390276432,3.6696344540098995e-16,7800,64
f17_l0_t1000,v,frame_shuffled,centered,0.0625,0.0632051282051282,0.06168821081519127,0.9686649519750411,0.09785213321447372,3.6696344540098995e-16,7800,64
f17_l0_t1000,v,frame_shuffled,centered,0.125,0.125,0.12326129525899887,0.9363432622393356,0.18154315650463104,3.6696344540098995e-16,7800,64
f17_l0_t1000,v,frame_shuffled,centered,0.25,0.25038461538461537,0.24920442700386047,0.8664846063238166,0.3323307931423187,3.6696344540098995e-16,7800,64
f17_l0_t1000,v,spatial_shuffled,raw,0.015625,0.016025641025641024,0.034352246671915054,0.9826737776739974,0.045217715203762054,0.018374847248196602,7800,64
f17_l0_t1000,v,spatial_shuffled,raw,0.0625,0.0632051282051282,0.08108286559581757,0.9586016557487174,0.11342250555753708,0.018374847248196602,7800,64
f17_l0_t1000,v,spatial_shuffled,raw,0.125,0.125,0.13922128081321716,0.9277816117959996,0.1947927623987198,0.018374847248196602,7800,64
f17_l0_t1000,v,spatial_shuffled,raw,0.25,0.25038461538461537,0.2618159055709839,0.8591764047208327,0.3421591818332672,0.018374847248196602,7800,64
f17_l0_t1000,v,spatial_shuffled,centered,0.015625,0.016025641025641024,0.01627647690474987,0.9918283738103333,0.02755333110690117,3.39983884313944e-16,7800,64
f17_l0_t1000,v,spatial_shuffled,centered,0.0625,0.0632051282051282,0.06388183683156967,0.9675319959404083,0.09700566530227661,3.39983884313944e-16,7800,64
f17_l0_t1000,v,spatial_shuffled,centered,0.125,0.125,0.12310852110385895,0.9364248388931923,0.17988321185112,3.39983884313944e-16,7800,64
f17_l0_t1000,v,spatial_shuffled,centered,0.25,0.25038461538461537,0.24799801409244537,0.8671804805849557,0.32999172806739807,3.39983884313944e-16,7800,64
f17_l0_t1000,v,matched_gaussian,raw,0.015625,0.016025641025641024,0.016196709126234055,0.9918685854858827,0.02109272964298725,0.0001891961437650025,7800,64
f17_l0_t1000,v,matched_gaussian,raw,0.0625,0.0632051282051282,0.06352633237838745,0.9677156956573623,0.0788886770606041,0.0001891961437650025,7800,64
f17_l0_t1000,v,matched_gaussian,raw,0.125,0.125,0.12498202919960022,0.9354239524410307,0.15191486477851868,0.0001891961437650025,7800,64
f17_l0_t1000,v,matched_gaussian,raw,0.25,0.25038461538461537,0.2500363886356354,0.8660043945410235,0.2908826172351837,0.0001891961437650025,7800,64
f17_l0_t1000,v,matched_gaussian,centered,0.015625,0.016025641025641024,0.016010543331503868,0.9919624270447425,0.02107245847582817,7.86581396948843e-17,7800,64
f17_l0_t1000,v,matched_gaussian,centered,0.0625,0.0632051282051282,0.06334912031888962,0.9678072533728554,0.07886776328086853,7.86581396948843e-17,7800,64
f17_l0_t1000,v,matched_gaussian,centered,0.125,0.125,0.1248164176940918,0.9355124704171015,0.1519014686346054,7.86581396948843e-17,7800,64
f17_l0_t1000,v,matched_gaussian,centered,0.25,0.25038461538461537,0.24989448487758636,0.8660863208262867,0.2908872365951538,7.86581396948843e-17,7800,64
f81_l0_t1000,q,original,raw,0.015625,0.01572039072039072,0.8576943278312683,0.3772342404511177,0.9545843601226807,0.23478983342647552,32760,64
f81_l0_t1000,q,original,raw,0.0625,0.06266788766788767,0.9264874458312988,0.2711319866203565,0.9577851295471191,0.23478983342647552,32760,64
f81_l0_t1000,q,original,raw,0.125,0.12512210012210012,0.938330888748169,0.24833266247481633,0.9616106152534485,0.23478983342647552,32760,64
f81_l0_t1000,q,original,raw,0.25,0.25003052503052503,0.95579594373703,0.21024760703268414,0.9685556888580322,0.23478983342647552,32760,64
f81_l0_t1000,q,original,centered,0.015625,0.01572039072039072,0.8140304684638977,0.4312418480807519,0.9406523704528809,4.3670452250601545e-15,32760,64
f81_l0_t1000,q,original,centered,0.0625,0.06266788766788767,0.9039314985275269,0.30994919175967073,0.9448347687721252,4.3670452250601545e-15,32760,64
f81_l0_t1000,q,original,centered,0.125,0.12512210012210012,0.919408917427063,0.28388568574857204,0.9498338103294373,4.3670452250601545e-15,32760,64
f81_l0_t1000,q,original,centered,0.25,0.25003052503052503,0.9422327876091003,0.2403481066929791,0.9589096307754517,4.3670452250601545e-15,32760,64
f81_l0_t1000,q,token_shuffled,raw,0.015625,0.01572039072039072,0.2474801391363144,0.8674790261808556,0.2646121680736542,0.2347898781299591,32760,64
f81_l0_t1000,q,token_shuffled,raw,0.0625,0.06266788766788767,0.2838507890701294,0.8462559960968493,0.33295467495918274,0.2347898781299591,32760,64
f81_l0_t1000,q,token_shuffled,raw,0.125,0.12512210012210012,0.33207687735557556,0.8172656377484767,0.40889960527420044,0.2347898781299591,32760,64
f81_l0_t1000,q,token_shuffled,raw,0.25,0.25003052503052503,0.4278843104839325,0.7563832953708507,0.5367787480354309,0.2347898781299591,32760,64
f81_l0_t1000,q,token_shuffled,centered,0.015625,0.01572039072039072,0.016584021970629692,0.9916733222333705,0.039039164781570435,1.6299038899079163e-15,32760,64
f81_l0_t1000,q,token_shuffled,centered,0.0625,0.06266788766788767,0.06411431729793549,0.9674118475096656,0.12833747267723083,1.6299038899079163e-15,32760,64
f81_l0_t1000,q,token_shuffled,centered,0.125,0.12512210012210012,0.12713761627674103,0.9342710440355405,0.2275771200656891,1.6299038899079163e-15,32760,64
f81_l0_t1000,q,token_shuffled,centered,0.25,0.25003052503052503,0.2523416578769684,0.8646723900547719,0.3946855366230011,1.6299038899079163e-15,32760,64
f81_l0_t1000,q,frame_shuffled,raw,0.015625,0.01572039072039072,0.6450214982032776,0.595800723226082,0.9545853734016418,0.23478981852531433,32760,64
f81_l0_t1000,q,frame_shuffled,raw,0.0625,0.06266788766788767,0.7264323234558105,0.5230369743566792,0.9577966928482056,0.23478981852531433,32760,64
f81_l0_t1000,q,frame_shuffled,raw,0.125,0.12512210012210012,0.7632996439933777,0.4865186080784807,0.9616227746009827,0.23478981852531433,32760,64
f81_l0_t1000,q,frame_shuffled,raw,0.25,0.25003052503052503,0.8410109281539917,0.39873433743033504,0.9685651659965515,0.23478981852531433,32760,64
f81_l0_t1000,q,frame_shuffled,centered,0.015625,0.01572039072039072,0.5361033082008362,0.6810996195852438,0.9406536817550659,1.8364830496446233e-15,32760,64
f81_l0_t1000,q,frame_shuffled,centered,0.0625,0.06266788766788767,0.6424935460090637,0.5979184342290647,0.9448499083518982,1.8364830496446233e-15,32760,64
f81_l0_t1000,q,frame_shuffled,centered,0.125,0.12512210012210012,0.6906728148460388,0.556171902521119,0.9498498439788818,1.8364830496446233e-15,32760,64
f81_l0_t1000,q,frame_shuffled,centered,0.25,0.25003052503052503,0.7922282814979553,0.45581983118557345,0.9589220881462097,1.8364830496446233e-15,32760,64
f81_l0_t1000,q,spatial_shuffled,raw,0.015625,0.01572039072039072,0.6526904106140137,0.589329779822797,0.8369765877723694,0.23478983342647552,32760,64
f81_l0_t1000,q,spatial_shuffled,raw,0.0625,0.06266788766788767,0.7472605109214783,0.5027320251172803,0.9568278789520264,0.23478983342647552,32760,64
f81_l0_t1000,q,spatial_shuffled,raw,0.125,0.12512210012210012,0.7840774655342102,0.4646746544258572,0.9609810709953308,0.23478983342647552,32760,64
f81_l0_t1000,q,spatial_shuffled,raw,0.25,0.25003052503052503,0.8424312472343445,0.3969493075515506,0.9681940674781799,0.23478983342647552,32760,64
f81_l0_t1000,q,spatial_shuffled,centered,0.015625,0.01572039072039072,0.5461253523826599,0.673702195051597,0.7871745228767395,4.480074995607663e-15,32760,64
f81_l0_t1000,q,spatial_shuffled,centered,0.0625,0.06266788766788767,0.6697123646736145,0.5747065645408842,0.9435843229293823,4.480074995607663e-15,32760,64
f81_l0_t1000,q,spatial_shuffled,centered,0.125,0.12512210012210012,0.7178259491920471,0.5312005749318734,0.949011504650116,4.480074995607663e-15,32760,64
f81_l0_t1000,q,spatial_shuffled,centered,0.25,0.25003052503052503,0.7940843105316162,0.45377934006340986,0.9584373235702515,4.480074995607663e-15,32760,64
f81_l0_t1000,q,matched_gaussian,raw,0.015625,0.01572039072039072,0.01970767229795456,0.9900971304382441,0.025038721039891243,0.004201783798635006,32760,64
f81_l0_t1000,q,matched_gaussian,raw,0.0625,0.06266788766788767,0.06642795354127884,0.9662153209604581,0.08256770670413971,0.004201783798635006,32760,64
f81_l0_t1000,q,matched_gaussian,raw,0.125,0.12512210012210012,0.12905505299568176,0.9332443126021814,0.15523330867290497,0.004201783798635006,32760,64
f81_l0_t1000,q,matched_gaussian,raw,0.25,0.25003052503052503,0.2535395622253418,0.863979419763375,0.2933899462223053,0.004201783798635006,32760,64
f81_l0_t1000,q,matched_gaussian,centered,0.015625,0.01572039072039072,0.01557131577283144,0.9921837955878783,0.020964108407497406,7.023386102140335e-17,32760,64
f81_l0_t1000,q,matched_gaussian,centered,0.0625,0.06266788766788767,0.06248873472213745,0.9682516538988521,0.07873312383890152,7.023386102140335e-17,32760,64
f81_l0_t1000,q,matched_gaussian,centered,0.125,0.12512210012210012,0.12538006901741028,0.9352111691926,0.15170370042324066,7.023386102140335e-17,32760,64
f81_l0_t1000,q,matched_gaussian,centered,0.25,0.25003052503052503,0.25038987398147583,0.8658002806759328,0.2904414236545563,7.023386102140335e-17,32760,64
f81_l0_t1000,k,original,raw,0.015625,0.01572039072039072,0.8746798038482666,0.35400592671837205,0.9763325452804565,0.26693806052207947,32760,64
f81_l0_t1000,k,original,raw,0.0625,0.06266788766788767,0.9501253962516785,0.2233262271841835,0.9781205654144287,0.26693806052207947,32760,64
f81_l0_t1000,k,original,raw,0.125,0.12512210012210012,0.96036297082901,0.1990905049744713,0.9801872372627258,0.26693806052207947,32760,64
f81_l0_t1000,k,original,raw,0.25,0.25003052503052503,0.9736202359199524,0.162418484416176,0.9838609099388123,0.26693806052207947,32760,64
f81_l0_t1000,k,original,centered,0.015625,0.01572039072039072,0.8290457129478455,0.4134661861049275,0.9677159786224365,3.291239478422545e-15,32760,64
f81_l0_t1000,k,original,centered,0.0625,0.06266788766788767,0.9319641590118408,0.26083680911282286,0.9701549410820007,3.291239478422545e-15,32760,64
f81_l0_t1000,k,original,centered,0.125,0.12512210012210012,0.9459295868873596,0.23253045631194288,0.9729740619659424,3.291239478422545e-15,32760,64
f81_l0_t1000,k,original,centered,0.25,0.25003052503052503,0.96401447057724,0.1896985224580308,0.9779852628707886,3.291239478422545e-15,32760,64
f81_l0_t1000,k,token_shuffled,raw,0.015625,0.01572039072039072,0.2782615125179291,0.8495519333637415,0.2955065667629242,0.26693806052207947,32760,64
f81_l0_t1000,k,token_shuffled,raw,0.0625,0.06266788766788767,0.31222695112228394,0.8293208359119624,0.3600868582725525,0.26693806052207947,32760,64
f81_l0_t1000,k,token_shuffled,raw,0.125,0.12512210012210012,0.35787907242774963,0.8013244833226115,0.4318180978298187,0.26693806052207947,32760,64
f81_l0_t1000,k,token_shuffled,raw,0.25,0.25003052503052503,0.44974029064178467,0.741794924058001,0.5531242489814758,0.26693806052207947,32760,64
f81_l0_t1000,k,token_shuffled,centered,0.015625,0.01572039072039072,0.01544677559286356,0.992246554243015,0.039037540555000305,5.95366880185781e-15,32760,64
f81_l0_t1000,k,token_shuffled,centered,0.0625,0.06266788766788767,0.061780523508787155,0.9686173013585979,0.12711991369724274,5.95366880185781e-15,32760,64
f81_l0_t1000,k,token_shuffled,centered,0.125,0.12512210012210012,0.12405642867088318,0.9359185708859061,0.22496429085731506,5.95366880185781e-15,32760,64
f81_l0_t1000,k,token_shuffled,centered,0.25,0.25003052503052503,0.24936813116073608,0.8663901366239484,0.3904353380203247,5.95366880185781e-15,32760,64
f81_l0_t1000,k,frame_shuffled,raw,0.015625,0.01572039072039072,0.7098783850669861,0.5386293855082676,0.9763281345367432,0.26693806052207947,32760,64
f81_l0_t1000,k,frame_shuffled,raw,0.0625,0.06266788766788767,0.804050624370575,0.44266169433261904,0.978094756603241,0.26693806052207947,32760,64
f81_l0_t1000,k,frame_shuffled,raw,0.125,0.12512210012210012,0.872568666934967,0.3569752555360567,0.9801634550094604,0.26693806052207947,32760,64
f81_l0_t1000,k,frame_shuffled,raw,0.25,0.25003052503052503,0.919914186000824,0.28299437096729685,0.9838483333587646,0.26693806052207947,32760,64
f81_l0_t1000,k,frame_shuffled,centered,0.015625,0.01572039072039072,0.6042332053184509,0.6290999878251065,0.9677101969718933,3.8869499151717325e-15,32760,64
