endpoint,scheduler_index,timestep,method,activation_relative_l2,velocity_relative_l2,velocity_p95_relative_l2,coefficient_r2
5,66,33,shift_local_r2,0.33176924764912097,0.06411885417481185,0.11601607187185436,nan
5,66,33,shift_rank8_oracle,0.21838593835268053,0.017129819680500206,0.03135839954484254,nan
5,66,33,state_skip1,0.21845235552207282,0.017256230733468422,0.031074145180173214,0.9995986036140592
5,66,33,state_skip2,0.21864994653970352,0.01744616884170517,0.03112516977125778,0.9984115178317383
5,66,33,state_skip4,0.21940461255844967,0.017993855023374496,0.032256089255679396,0.9938750989077294
5,66,33,state_noise_skip1,0.2184469852085905,0.017180403848666252,0.031241100095212457,0.9996178725340266
5,66,33,state_noise_skip2,0.21862833516319796,0.017268232146100217,0.03095712913200259,0.998487137988581
5,66,33,state_noise_skip4,0.21931673221551257,0.01752297853457154,0.03105916300555691,0.9941643338200227
6,77,22,raw_reuse,0.3414631176818642,0.10433265820211196,0.1624944737413898,nan
6,77,22,shift_reuse,0.4250739126586823,0.10685466328455066,0.1753932202234864,nan
6,77,22,shift_local_r2,0.35202347762745606,0.07032840180455927,0.1333962972392328,nan
6,77,22,shift_rank8_oracle,0.2333715230608101,0.0211188707432646,0.036505636246874924,nan
6,77,22,state_skip1,0.23348586307284885,0.02107282643016613,0.036053333012387154,0.999292864334284
6,77,22,state_skip2,0.2338064903910114,0.021142518174115846,0.03592036353657022,0.9972473926021234
6,77,22,state_skip4,0.23493559200567782,0.021526210125873156,0.036216217721812424,0.9901754711058249
6,77,22,state_noise_skip1,0.23347723597558417,0.021091190819979875,0.0361715376144275,0.9993222576908235
6,77,22,state_noise_skip2,0.23377680207584559,0.021137987569498716,0.036112687026616186,0.9973523014847248
6,77,22,state_noise_skip4,0.23484591972250624,0.021421932828970893,0.03640396748669445,0.9905293135548985
7,88,11,raw_reuse,0.3493956583585417,0.12913404418170216,0.20996388716157527,nan
7,88,11,shift_reuse,0.42327765468775036,0.12659379653399008,0.22473809868097305,nan
7,88,11,shift_local_r2,0.37488846328028974,0.09877150274937888,0.18444857201538978,nan
7,88,11,shift_rank8_oracle,0.24116262335426714,0.03321852619972247,0.060639848699793206,nan
7,88,11,state_skip1,0.2417310208719966,0.03369816797801913,0.06078141785692423,0.996995044995006
7,88,11,state_skip2,0.24338474088428544,0.0347068779508874,0.06163208605721592,0.9881255861321478
7,88,11,state_skip4,0.24992483442298968,0.038147448016007446,0.06602663039229809,0.9514933768166984
7,88,11,state_noise_skip1,0.24181010403244196,0.033676410504072586,0.061004279879853116,0.9964871967703769
7,88,11,state_noise_skip2,0.24370041464045994,0.03450985725437896,0.06172696237917989,0.9860268256083982
7,88,11,state_noise_skip4,0.25110670576069694,0.03713970691974569,0.0645722098648548,0.9427547787240093
8,99,0,raw_reuse,0.3336746874602712,0.2772255433220991,0.5136345913633704,nan
8,99,0,shift_reuse,0.39897210049012133,0.2253668643667474,0.392025295458734,nan
8,99,0,shift_local_r2,0.32775764496109105,0.17604513313846346,0.33171661570668215,nan
8,99,0,shift_rank8_oracle,0.1880049963367651,0.0819403540947983,0.15471697440370918,nan
8,99,0,state_skip1,0.1919083934226209,0.09031575997829422,0.170122674992308,0.9792097191820672
8,99,0,state_skip2,0.20055333702276015,0.10945403440074056,0.1964308522175997,0.9299295304821016
8,99,0,state_skip4,0.22133761378663708,0.1442146903780092,0.2630491669755428,0.7964674895466645
8,99,0,state_noise_skip1,0.19136021414686227,0.0844207669363157,0.1587222845293581,0.9835906191665174
8,99,0,state_noise_skip2,0.1990091854395317,0.09326039451983281,0.17069698767736552,0.9431563900747273
8,99,0,state_noise_skip4,0.21824995012519394,0.11729460689563409,0.20703387218527494,0.8277479494450111
