layer,endpoint,scheduler_index,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,coefficient_r2
2,0,11,88,shift_rank8_oracle,0.011191239695772294,0.00972337368875742,0.020847603399306528,0.17637342853702104,0.7576326454566922,nan
2,0,11,88,state_skip1,0.01114241641345285,0.00967202614992857,0.02086485428735613,0.1764141527777221,0.7576326454566922,0.999833359554656
2,0,11,88,state_skip2,0.011087458842539063,0.009607245214283466,0.020878992415964595,0.17654577754581516,0.7576326454566922,0.9992944884683708
2,0,11,88,state_skip4,0.011058977763806153,0.00957151036709547,0.021006447263061993,0.17705122067743967,0.7576326454566922,0.9972213873046893
2,0,11,88,state_noise_skip1,0.01113898360429413,0.009663769975304604,0.020826740935444822,0.1764158420795586,0.7576326454566922,0.99982649581062
2,0,11,88,state_noise_skip2,0.011080798032793394,0.009590616449713707,0.02080470472574233,0.17655251464242497,0.7576326454566922,0.9992668659652536
2,0,11,88,state_noise_skip4,0.011047345361915623,0.009539048187434673,0.020862179156392806,0.177071150416963,0.7576326454566922,0.9971395215767443
3,0,11,88,raw_reuse,0.0065436388523816115,0.0052289701998233795,0.010544431768357752,0.25373834102368875,0.84691652984936,nan
3,0,11,88,shift_reuse,0.007435658571568371,0.00610374053940177,0.015012539410963652,0.3128800372278644,0.84691652984936,nan
3,0,11,88,shift_local_r2,0.006822632079416509,0.00594079727306962,0.011613873392343519,0.23214028002751702,0.84691652984936,nan
3,0,11,88,shift_rank8_oracle,0.006162066889681868,0.0056588719598948956,0.010642126761376856,0.12241707653550797,0.84691652984936,nan
3,0,11,88,state_skip1,0.00615676950691067,0.005655837710946798,0.010507520381361244,0.12251728963306262,0.84691652984936,0.9996047701146415
3,0,11,88,state_skip2,0.006149466178238514,0.005649332422763109,0.01033950252458453,0.12285934177858598,0.84691652984936,0.9982532538934015
3,0,11,88,state_skip4,0.006159683951011632,0.005669747944921255,0.010025913035497068,0.1240058740595268,0.84691652984936,0.9936956889643875
3,0,11,88,state_noise_skip1,0.0061536112862353425,0.005652555730193853,0.01050946395844221,0.12251775564416006,0.84691652984936,0.9996029043611743
3,0,11,88,state_noise_skip2,0.006142758697512994,0.005642405245453119,0.010347560187801717,0.1228506843279757,0.84691652984936,0.9982875042386136
3,0,11,88,state_noise_skip4,0.006144973076916197,0.005654874723404646,0.010046579083427785,0.12394884465700191,0.84691652984936,0.9939233808296464
4,0,11,88,raw_reuse,0.007026816710030287,0.005495931953191757,0.014118323661386966,0.1980690648404246,0.8095558728968193,nan
4,0,11,88,shift_reuse,0.010292378373432484,0.00914094876497984,0.019184932392090553,0.2888072204509677,0.8095558728968193,nan
4,0,11,88,shift_local_r2,0.005884334685335556,0.005172570701688528,0.011069992650300262,0.20030340139120484,0.8095558728968193,nan
4,0,11,88,shift_rank8_oracle,0.0034184168253901847,0.003203257219865918,0.005787931918166577,0.1260351954011379,0.8095558728968193,nan
4,0,11,88,state_skip1,0.0034340006280553495,0.0032335396390408278,0.005776885198429226,0.12623501298498244,0.8095558728968193,0.9984269162690604
4,0,11,88,state_skip2,0.0034724244379616743,0.003298893803730607,0.005555364629253745,0.1268795277882574,0.8095558728968193,0.9933357703429034
4,0,11,88,state_skip4,0.0035511321002237094,0.003427032381296158,0.005502834124490618,0.12897002352781015,0.8095558728968193,0.9766443380594833
4,0,11,88,state_noise_skip1,0.0034406224697984245,0.0032389776315540075,0.0057688510511070485,0.1262401329423707,0.8095558728968193,0.998386545096271
4,0,11,88,state_noise_skip2,0.0034859467879780003,0.0033102508168667555,0.005555306724272668,0.12689421285432284,0.8095558728968193,0.9932194691321197
4,0,11,88,state_noise_skip4,0.003578344226732622,0.0034495647996664047,0.005569669371470808,0.1290283674773787,0.8095558728968193,0.9761745732884014
5,0,11,88,raw_reuse,0.0073865607007655345,0.005991222802549601,0.012220148229971528,0.17391923277524288,0.8843002331485379,nan
5,0,11,88,shift_reuse,0.013194499523248741,0.011971916072070599,0.0199152247980237,0.314158438344324,0.8843002331485379,nan
5,0,11,88,shift_local_r2,0.007053963361232517,0.006389729678630829,0.011259729415178298,0.1855699617657559,0.8843002331485379,nan
5,0,11,88,shift_rank8_oracle,0.004120717199018997,0.003970036748796701,0.006605711975134909,0.1068599511528499,0.8843002331485379,nan
5,0,11,88,state_skip1,0.004103929692878366,0.003947947174310684,0.0065117546822875735,0.10729021803852128,0.8843002331485379,0.9966442564767641
5,0,11,88,state_skip2,0.004131303808467828,0.003972113132476807,0.006485415040515363,0.10888486332124235,0.8843002331485379,0.9840899731985522
5,0,11,88,state_skip4,0.004266291688150291,0.004075185861438513,0.006663435837253928,0.1161365517624547,0.8843002331485379,0.924662691412711
5,0,11,88,state_noise_skip1,0.004108596790863426,0.003951667342334986,0.006523590045981109,0.10725057990917082,0.8843002331485379,0.996954064949413
5,0,11,88,state_noise_skip2,0.004137836839414294,0.003977255895733833,0.0065140993334352965,0.10869556382648875,0.8843002331485379,0.9855900478704223
5,0,11,88,state_noise_skip4,0.004268519661042771,0.004081340041011572,0.006673415144905447,0.11528181822760895,0.8843002331485379,0.9318661946952309
6,0,11,88,raw_reuse,0.007905730493088901,0.007532203104346991,0.011402120580896735,0.0855443820957237,0.9527321202415359,nan
6,0,11,88,shift_reuse,0.017820189021274028,0.017223885282874107,0.027414396032691003,0.18572911610712892,0.9527321202415359,nan
6,0,11,88,shift_local_r2,0.00743717560497167,0.006944265216588974,0.012178147910162805,0.09071552582348887,0.9527321202415359,nan
6,0,11,88,shift_rank8_oracle,0.0034177598067418025,0.003219192149117589,0.005712046287953854,0.04037969673788182,0.9527321202415359,nan
6,0,11,88,state_skip1,0.0034067581427537183,0.003186459420248866,0.005867276852950454,0.04078791077995883,0.9527321202415359,0.9958505276950678
6,0,11,88,state_skip2,0.0035481447043969614,0.003308662446215749,0.0061747471801936625,0.0420821911840707,0.9527321202415359,0.9824180873605731
6,0,11,88,state_skip4,0.0042651874437047,0.004028443247079849,0.007117219478823244,0.04702685393604283,0.9527321202415359,0.9272374365568407
6,0,11,88,state_noise_skip1,0.003435479826246828,0.0032115180511027575,0.005848513171076775,0.040784963088299916,0.9527321202415359,0.9958806313510358
6,0,11,88,state_noise_skip2,0.003607097175251069,0.00336554110981524,0.006243998161517083,0.04209586457311446,0.9527321202415359,0.9822739211281686
6,0,11,88,state_noise_skip4,0.004396559455239515,0.004156049340963364,0.007290956517681479,0.04721597123244944,0.9527321202415359,0.9250053420911363
7,0,11,88,raw_reuse,0.029947332297665618,0.02906261384487152,0.040818998217582704,0.13129361329611697,0.9799337898332136,nan
7,0,11,88,shift_reuse,0.02975607371600522,0.02914721705019474,0.041779974848031996,0.15100158845337602,0.9799337898332136,nan
7,0,11,88,shift_local_r2,0.01245909809699812,0.011936350725591183,0.019366576056927442,0.12335909572888987,0.9799337898332136,nan
7,0,11,88,shift_rank8_oracle,0.003898618162003534,0.0036629687529057264,0.0071754124714061614,0.021390167930238246,0.9799337898332136,nan
7,0,11,88,state_skip1,0.003977623974797042,0.0037275999784469604,0.007407550769858062,0.02169353375122763,0.9799337898332136,0.9993289878223076
7,0,11,88,state_skip2,0.004100442962878847,0.0038393421564251184,0.0076684614177793264,0.022371816527133898,0.9799337898332136,0.9977945163293458
7,0,11,88,state_skip4,0.004603465955522833,0.004269841592758894,0.007827206770889461,0.024868543807132947,0.9799337898332136,0.9917392301796132
7,0,11,88,state_noise_skip1,0.00398042332735546,0.0037348635960370302,0.00736289748456329,0.021709497208374548,0.9799337898332136,0.9992934175838002
7,0,11,88,state_noise_skip2,0.0041071096631365355,0.0038519699592143297,0.00760837784036994,0.022418913764071728,0.9799337898332136,0.9976862137135559
7,0,11,88,state_noise_skip4,0.004610806892848655,0.004291799385100603,0.00761988265439868,0.024928061400364476,0.9799337898332136,0.9915870669726241
0,1,22,77,raw_reuse,0.5802706145106147,0.5559038519859314,0.8546928495168686,0.5451782098289379,0.9346624333343209,nan
0,1,22,77,shift_reuse,0.5555884072783795,0.5350558757781982,0.8594383835792541,0.5414794533802526,0.9346624333343209,nan
0,1,22,77,shift_local_r2,0.3048344862304918,0.2816570997238159,0.5877175122499465,0.40538748896604937,0.9346624333343209,nan
0,1,22,77,shift_rank8_oracle,0.030160274933686608,0.024905508384108543,0.06129624769091605,0.13840872242742386,0.9346624333343209,nan
0,1,22,77,state_skip1,0.030262193328620866,0.024978389963507652,0.06218141466379165,0.13842285439121488,0.9346624333343209,0.9999847319497969
0,1,22,77,state_skip2,0.03042313724955555,0.025111831724643707,0.06318933330476283,0.13846521184569638,0.9346624333343209,0.9999390026675228
