case,block,accept_probability,verification_ratio_vs_batch1,draft_ratio,speedup_upper_bound,ratio_source,verification_scope
F17,4,0.63,3.8196734085805546,0.0,0.5961103886225042,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.64,3.8196734085805546,0.0,0.6052203297818275,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.65,3.8196734085805546,0.0,0.6144831635938804,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.66,3.8196734085805546,0.0,0.6239004608735889,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.67,3.8196734085805546,0.0,0.6334737924358778,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.68,3.8196734085805546,0.0,0.6432047290956727,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.6900000000000001,3.8196734085805546,0.0,0.6530948416678987,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.7000000000000001,3.8196734085805546,0.0,0.6631457009674813,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.71,3.8196734085805546,0.0,0.6733588778093456,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.72,3.8196734085805546,0.0,0.6837359430084169,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.73,3.8196734085805546,0.0,0.694278467379621,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.74,3.8196734085805546,0.0,0.7049880217378826,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.75,3.8196734085805546,0.0,0.7158661768981273,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.76,3.8196734085805546,0.0,0.7269145036752804,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.77,3.8196734085805546,0.0,0.7381345728842669,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.78,3.8196734085805546,0.0,0.7495279553400127,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.79,3.8196734085805546,0.0,0.7610962218574427,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.8,3.8196734085805546,0.0,0.7728409432514823,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.81,3.8196734085805546,0.0,0.7847636903370566,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.8200000000000001,3.8196734085805546,0.0,0.7968660339290913,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.8300000000000001,3.8196734085805546,0.0,0.8091495448425116,measured_F17_full_wan_model_H200,full Wan target forward only
F17,4,0.84,3.8196734085805546,0.0,0.8216157938922424,measured_F17_full_wan_model_H200,full Wan target forward only
