sample_id,split,block,target_step,branch,horizon,target_visible,base_renderer,residual_target_sq,output_target_sq,defect_total_energy,tokens,channels,estimated_exact_block_macs,base_renderer_macs,base_fit_and_rollout_ms,rank,error_sq,residual_relative_l2,output_relative_l2,defect_remaining_energy,state_factor_values,state_factor_bytes_fp16,render_macs,render_to_exact_macs,base_plus_render_macs,base_plus_render_to_exact_macs,svd_ms
p05_seed2026082206,selection,20,6,0,1,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,97725.17006836062,7800,1536,475206451200,47923200,2.9320279136300087,16,54083.71455445637,0.2843061850042458,0.10436625905144956,0.5534266626111514,149376,298752,383385600,0.0008067769261799112,431308800,0.0009076240419524002,9.292835835367441
p05_seed2026082206,selection,20,6,0,1,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,97725.17006836062,7800,1536,475206451200,47923200,2.9320279136300087,32,46648.54429849221,0.26404144430274523,0.09692725389005402,0.4773442134931129,298752,597504,766771200,0.0016135538523598225,814694400,0.0017144009681323113,9.292835835367441
p05_seed2026082206,selection,20,6,0,1,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,97725.17006836062,7800,1536,475206451200,47923200,2.9320279136300087,64,37794.34085398228,0.23766566212907747,0.08724494003191369,0.3867411123055756,597504,1195008,1533542400,0.003227107704719645,1581465600,0.003327954820492134,9.292835835367441
p05_seed2026082206,selection,20,6,0,1,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,97725.17006836062,7800,1536,475206451200,47923200,2.9320279136300087,96,32411.59189026457,0.2200914809435953,0.08079361521745793,0.33166063532272266,896256,1792512,2300313600,0.004840661557079467,2348236800,0.004941508672851956,9.292835835367441
p05_seed2026082206,selection,20,6,0,2,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,178840.68393094811,7800,1536,475206451200,95846400,2.5988356210291386,0,178840.68393094811,0.5169948450668191,0.18978418611505724,1.0,0,0,0,0.0,95846400,0.0002016942315449778,0.0
p05_seed2026082206,selection,20,6,0,2,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,178840.68393094811,7800,1536,475206451200,95846400,2.5988356210291386,8,88420.03315542464,0.3635200659374467,0.13344496663504174,0.4944067039497921,74688,149376,191692800,0.0004033884630899556,287539200,0.0006050826946349334,9.075005073100328
p05_seed2026082206,selection,20,6,0,2,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,178840.68393094811,7800,1536,475206451200,95846400,2.5988356210291386,16,78515.79114090285,0.34255598307746415,0.12574923921881154,0.4390264527242207,149376,298752,383385600,0.0008067769261799112,479232000,0.001008471157724889,9.075005073100328
p05_seed2026082206,selection,20,6,0,2,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,178840.68393094811,7800,1536,475206451200,95846400,2.5988356210291386,32,66987.83222924006,0.3164105923278251,0.11615149999292221,0.37456707665991573,298752,597504,766771200,0.0016135538523598225,862617600,0.0018152480839048004,9.075005073100328
p05_seed2026082206,selection,20,6,0,2,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,178840.68393094811,7800,1536,475206451200,95846400,2.5988356210291386,64,53758.063872565515,0.28344895567765893,0.10405157782858511,0.3005919158980423,597504,1195008,1533542400,0.003227107704719645,1629388800,0.0034288019362646227,9.075005073100328
p05_seed2026082206,selection,20,6,0,2,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,178840.68393094811,7800,1536,475206451200,95846400,2.5988356210291386,96,45711.355934960506,0.26137563669031444,0.09594865974565957,0.25559819437246006,896256,1792512,2300313600,0.004840661557079467,2396160000,0.005042355788624445,9.075005073100328
p05_seed2026082206,selection,20,6,0,3,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,236292.66849462956,7800,1536,475206451200,143769600,2.5298376567661762,0,236292.66849462956,0.5942622941355682,0.21814837596071013,1.0,0,0,0,0.0,143769600,0.0003025413473174667,0.0
p05_seed2026082206,selection,20,6,0,3,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,236292.66849462956,7800,1536,475206451200,143769600,2.5298376567661762,8,102644.91656932462,0.3916713228329398,0.1437790413922795,0.4343973818468415,74688,149376,191692800,0.0004033884630899556,335462400,0.0007059298104074224,9.210688062012196
p05_seed2026082206,selection,20,6,0,3,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,236292.66849462956,7800,1536,475206451200,143769600,2.5298376567661762,16,90541.16096213603,0.36785450681460774,0.13503610113470882,0.38317380524891326,149376,298752,383385600,0.0008067769261799112,527155200,0.001109318273497378,9.210688062012196
p05_seed2026082206,selection,20,6,0,3,True,causal_current_input_channel_diagonal,669104.4164710732,4965308.9768484505,236292.66849462956,7800,1536,475206451200,143769600,2.5298376567661762,32,76644.59123747135,0.33844944631066626,0.12424176628078337,0.3243629677831399,298752,597504,766771200,0.0016135538523598225,910540800,0.0019160951996772893,9.210688062012196
