case,method,topk,rank,heads,attention_rel_fro_mean,attention_rel_fro_median,attention_rel_fro_min,attention_rel_fro_max,output_rel_l2_mean,output_rel_l2_median,output_rel_l2_min,output_rel_l2_max,output_cosine_mean,output_cosine_median,output_cosine_min,output_cosine_max,mass_retained_mean,mass_retained_median,mass_retained_min,mass_retained_max,representation_ratio_mean,representation_ratio_median,representation_ratio_min,representation_ratio_max
f17,topk_sparse,256,0,12,0.508765062559784,0.4150542616844177,0.0019398891599848866,0.9498420357704163,0.5429249216880029,0.5138023495674133,0.007000953424721956,1.0088008642196655,0.715762622654438,0.6136206984519958,0.20192712545394897,0.9999819993972778,0.45044720607499283,0.19626784324645996,0.058125488460063934,0.989100456237793,0.03282051282051282,0.03282051282051282,0.03282051282051282,0.03282051282051282
f17,topk_sparse,512,0,12,0.4519251753590652,0.2530355453491211,0.0004602585395332426,0.9137539267539978,0.4895821722069134,0.33854642510414124,0.002167490776628256,1.0446603298187256,0.757161649564902,0.6708003282546997,0.2584735155105591,0.9999983310699463,0.523372499893109,0.3237162232398987,0.10669896006584167,0.9967007040977478,0.06564102564102564,0.06564102564102564,0.06564102564102564,0.06564102564102564
f81,lowrank,0,8,12,0.5607015533993641,0.29238682985305786,0.0689837634563446,0.984748363494873,0.41208038044472534,0.3351808190345764,0.05106114596128464,0.9839768409729004,0.7760070823132992,0.9399027824401855,0.1782963126897812,0.9986954927444458,1.0,1.0,1.0,1.0,0.015869200244200243,0.015869200244200243,0.015869200244200243,0.015869200244200243
f81,lowrank,0,16,12,0.5132816064481934,0.18217402696609497,0.044184036552906036,0.971714198589325,0.36061507401367027,0.1307111233472824,0.029405569657683372,0.9730965495109558,0.801270547012488,0.9468457102775574,0.23039768636226654,0.9995675683021545,1.0,1.0,1.0,1.0,0.03173840048840049,0.03173840048840049,0.03173840048840049,0.03173840048840049
f81,lowrank,0,32,12,0.4717376053643723,0.11761278659105301,0.025559844449162483,0.9480966925621033,0.32662189782907564,0.09119374305009842,0.014034083113074303,0.9521914720535278,0.8361318980654081,0.9569575786590576,0.30550214648246765,0.999901533126831,1.0,1.0,1.0,1.0,0.06347680097680097,0.06347680097680097,0.06347680097680097,0.06347680097680097
f81,lowrank,0,64,12,0.42000655457377434,0.071889229118824,0.01258601900190115,0.9059038162231445,0.2864150304036836,0.044858865439891815,0.0038139810785651207,0.9076495170593262,0.8728794604539871,0.9663745164871216,0.41972899436950684,0.9999927282333374,1.0,1.0,1.0,1.0,0.12695360195360195,0.12695360195360195,0.12695360195360195,0.12695360195360195
f81,topk_plus_lowrank,32,8,12,0.2837328836321831,0.2288500964641571,0.03665070980787277,0.7192999124526978,0.15381664813806614,0.11549430340528488,0.047844018787145615,0.2739281952381134,0.9851915637652079,0.9835182428359985,0.9617606401443481,0.9988547563552856,0.2351977420427526,0.02335590310394764,0.0025917207822203636,0.8725701570510864,0.01684600122100122,0.01684600122100122,0.01684600122100122,0.01684600122100122
f81,topk_plus_lowrank,32,16,12,0.24825934010247389,0.1563781052827835,0.03533431142568588,0.6600061058998108,0.11291682704662283,0.06902160495519638,0.02839326299726963,0.24539406597614288,0.9909688035647074,0.9938434362411499,0.9694408178329468,0.9995968341827393,0.2351977420427526,0.02335590310394764,0.0025917207822203636,0.8725701570510864,0.03271520146520147,0.03271520146520147,0.03271520146520147,0.03271520146520147
f81,topk_plus_lowrank,32,32,12,0.22051207348704338,0.1285020262002945,0.033921319991350174,0.5820075869560242,0.09178634515653054,0.05459942668676376,0.01942257583141327,0.21504662930965424,0.9932555357615153,0.9977713823318481,0.9766058921813965,0.9998112916946411,0.2351977420427526,0.02335590310394764,0.0025917207822203636,0.8725701570510864,0.06445360195360196,0.06445360195360196,0.06445360195360196,0.06445360195360196
f81,topk_plus_lowrank,32,64,12,0.1887967580308517,0.10649067908525467,0.0317421518266201,0.4853859841823578,0.07466479398620625,0.03762592375278473,0.010013426654040813,0.1923270970582962,0.9949335803588232,0.998958945274353,0.9814324975013733,0.9999499320983887,0.2351977420427526,0.02335590310394764,0.0025917207822203636,0.8725701570510864,0.12793040293040292,0.12793040293040292,0.12793040293040292,0.12793040293040292
f81,topk_plus_lowrank,64,8,12,0.23855870822444558,0.1514020562171936,0.01815233938395977,0.627065896987915,0.12488995275149743,0.09550722688436508,0.04198569431900978,0.25195613503456116,0.9897455970446268,0.9953010082244873,0.9677616357803345,0.9993069767951965,0.28780911754195887,0.040527213364839554,0.004837492480874062,0.9214781522750854,0.017822802197802197,0.017822802197802197,0.017822802197802197,0.017822802197802197
f81,topk_plus_lowrank,64,16,12,0.20702644189198813,0.14387789368629456,0.017498664557933807,0.5729668140411377,0.0869484154197077,0.05950209125876427,0.019923213869333267,0.19505047798156738,0.9945077002048492,0.9956852197647095,0.9808043241500854,0.9998072385787964,0.28780911754195887,0.040527213364839554,0.004837492480874062,0.9214781522750854,0.03369200244200244,0.03369200244200244,0.03369200244200244,0.03369200244200244
f81,topk_plus_lowrank,64,32,12,0.18305923944960037,0.1369646042585373,0.0167192704975605,0.5055400729179382,0.07102788938209414,0.04130953177809715,0.014879683032631874,0.172719806432724,0.9960446953773499,0.9979897737503052,0.9849711060523987,0.9998896718025208,0.28780911754195887,0.040527213364839554,0.004837492480874062,0.9214781522750854,0.06543040293040293,0.06543040293040293,0.06543040293040293,0.06543040293040293
f81,topk_plus_lowrank,64,64,12,0.15717763492527106,0.12167441099882126,0.015531268902122974,0.42758727073669434,0.05647427883620063,0.03161630406975746,0.011748363263905048,0.1564575582742691,0.9971744418144226,0.9992672204971313,0.9877845644950867,0.9999310374259949,0.28780911754195887,0.040527213364839554,0.004837492480874062,0.9214781522750854,0.12890720390720392,0.12890720390720392,0.12890720390720392,0.12890720390720392
f81,topk_plus_lowrank,128,8,12,0.1990221585923185,0.1631746143102646,0.008168824948370457,0.5062786936759949,0.09746004703144233,0.07861709594726562,0.008292699232697487,0.22779521346092224,0.9930797070264816,0.996847927570343,0.9737507104873657,0.9999662637710571,0.34281974759263295,0.06958499550819397,0.008990004658699036,0.9568679332733154,0.01977640415140415,0.01977640415140415,0.01977640415140415,0.01977640415140415
f81,topk_plus_lowrank,128,16,12,0.17212041296685734,0.1265290528535843,0.007911987602710724,0.4612562656402588,0.0655123832790802,0.056328095495700836,0.007862628437578678,0.1425303816795349,0.9968768159548441,0.9983402490615845,0.9898905754089355,0.9999695420265198,0.34281974759263295,0.06958499550819397,0.008990004658699036,0.9568679332733154,0.035645604395604394,0.035645604395604394,0.035645604395604394,0.035645604395604394
f81,topk_plus_lowrank,128,32,12,0.1525869380372266,0.11077311635017395,0.0075330184772610664,0.4108235538005829,0.0537377402652055,0.04128090292215347,0.006704320199787617,0.12933415174484253,0.9977983484665552,0.9991111755371094,0.9916985034942627,0.999977707862854,0.34281974759263295,0.06958499550819397,0.008990004658699036,0.9568679332733154,0.06738400488400488,0.06738400488400488,0.06738400488400488,0.06738400488400488
f81,topk_plus_lowrank,128,64,12,0.13290257491947463,0.09439046680927277,0.006970025133341551,0.3583945631980896,0.042690067823665835,0.031114857643842697,0.005792773794382811,0.1189124807715416,0.9984554102023443,0.9995152950286865,0.9929714798927307,0.9999833106994629,0.34281974759263295,0.06958499550819397,0.008990004658699036,0.9568679332733154,0.13086080586080587,0.13086080586080587,0.13086080586080587,0.13086080586080587
f81,topk_plus_lowrank,256,8,12,0.16879701416473836,0.13742174208164215,0.0030931057408452034,0.3651973009109497,0.07689797622151673,0.0721060112118721,0.0029828385449945927,0.20286330580711365,0.9953631609678268,0.9970762133598328,0.9792692065238953,0.9999955892562866,0.39891337184235454,0.11769378185272217,0.016648145392537117,0.9797629117965698,0.023683608058608058,0.023683608058608058,0.023683608058608058,0.023683608058608058
f81,topk_plus_lowrank,256,16,12,0.14717130628802502,0.11817580461502075,0.0029977017547935247,0.33316072821617126,0.04957197932526469,0.04085640609264374,0.002781912684440613,0.09985252469778061,0.9982219040393829,0.9986571073532104,0.9950029253959656,0.9999962449073792,0.39891337184235454,0.11769378185272217,0.016648145392537117,0.9797629117965698,0.0395528083028083,0.0395528083028083,0.0395528083028083,0.0395528083028083
f81,topk_plus_lowrank,256,32,12,0.1322036749140049,0.10198202729225159,0.002845351118594408,0.30444902181625366,0.0402384956056873,0.03372102975845337,0.0025632469914853573,0.08683951199054718,0.9987922310829163,0.999222457408905,0.996262788772583,0.9999968409538269,0.39891337184235454,0.11769378185272217,0.016648145392537117,0.9797629117965698,0.07129120879120879,0.07129120879120879,0.07129120879120879,0.07129120879120879
f81,topk_plus_lowrank,256,64,12,0.11693713608353089,0.09350089728832245,0.0026130666956305504,0.27608442306518555,0.03300011505295212,0.028511587530374527,0.0021644122898578644,0.08118119835853577,0.9991362790266672,0.9995629787445068,0.9967288374900818,0.9999977350234985,0.39891337184235454,0.11769378185272217,0.016648145392537117,0.9797629117965698,0.13476800976800976,0.13476800976800976,0.13476800976800976,0.13476800976800976
f81,topk_plus_lowrank,512,8,12,0.14930051852328083,0.1542549431324005,0.000913107069209218,0.327832967042923,0.05902014659174407,0.05617539957165718,0.0008497179951518774,0.19001029431819916,0.9968565503756205,0.9982395172119141,0.9818597435951233,0.9999997019767761,0.4559738193638623,0.19469471275806427,0.030741238966584206,0.9921834468841553,0.03149801587301587,0.03149801587301587,0.03149801587301587,0.03149801587301587
f81,topk_plus_lowrank,512,16,12,0.132618312491104,0.13426269590854645,0.0008776322938501835,0.29401108622550964,0.038783287474264704,0.034491077065467834,0.0007940750801935792,0.09682997316122055,0.9988309144973755,0.9990462064743042,0.9953023195266724,0.9999997615814209,0.4559738193638623,0.19469471275806427,0.030741238966584206,0.9921834468841553,0.047367216117216115,0.047367216117216115,0.047367216117216115,0.047367216117216115
f81,topk_plus_lowrank,512,32,12,0.1204322706956494,0.12283258885145187,0.000824606220703572,0.27030518651008606,0.03207614604616538,0.022522183135151863,0.0007232277421280742,0.08068130910396576,0.9991974532604218,0.999361515045166,0.996740460395813,0.9999998211860657,0.4559738193638623,0.19469471275806427,0.030741238966584206,0.9921834468841553,0.0791056166056166,0.0791056166056166,0.0791056166056166,0.0791056166056166
f81,topk_plus_lowrank,512,64,12,0.10636682951978098,0.10733292251825333,0.0007488069823011756,0.2374332696199417,0.02619088739932825,0.017342986539006233,0.0006191461579874158,0.06165245920419693,0.999468261996905,0.9996026754379272,0.9980978965759277,0.9999998807907104,0.4559738193638623,0.19469471275806427,0.030741238966584206,0.9921834468841553,0.14258241758241758,0.14258241758241758,0.14258241758241758,0.14258241758241758
f81,topk_sparse,32,0,12,0.7020063909391562,0.8213712573051453,0.0383111909031868,0.9967584013938904,0.7477979970475038,0.8779918551445007,0.08565039932727814,0.9968013763427734,0.552815972516934,0.41248512268066406,0.10359159111976624,0.9972084760665894,0.2351977420427526,0.02335590310394764,0.0025917207822203636,0.8725701570510864,0.0009768009768009768,0.0009768009768009768,0.0009768009768009768,0.0009768009768009768
f81,topk_sparse,64,0,12,0.646694524679333,0.7248531579971313,0.01902536116540432,0.9943408966064453,0.6976420261586705,0.8040714263916016,0.05167807266116142,0.9944815039634705,0.5936257758488258,0.4292365610599518,0.1177845373749733,0.9990333914756775,0.28780911754195887,0.040527213364839554,0.004837492480874062,0.9214781522750854,0.0019536019536019536,0.0019536019536019536,0.0019536019536019536,0.0019536019536019536
f81,topk_sparse,128,0,12,0.592370631871745,0.5953378677368164,0.008516546338796616,0.9901971220970154,0.6456139565755924,0.6959362626075745,0.028048835694789886,0.9911577701568604,0.6268733019630114,0.45058077573776245,0.13562579452991486,0.9997247457504272,0.34281974759263295,0.06958499550819397,0.008990004658699036,0.9568679332733154,0.003907203907203907,0.003907203907203907,0.003907203907203907,0.003907203907203907
f81,topk_sparse,256,0,12,0.5412846386316232,0.4391951560974121,0.0032378926407545805,0.9831110239028931,0.594174292559425,0.5510089993476868,0.01316855102777481,0.9868229627609253,0.6560895505050818,0.4839364290237427,0.16234372556209564,0.9999405741691589,0.39891337184235454,0.11769378185272217,0.016648145392537117,0.9797629117965698,0.007814407814407814,0.007814407814407814,0.007814407814407814,0.007814407814407814
f81,topk_sparse,512,0,12,0.4933588653996897,0.2760389447212219,0.0009754300117492676,0.9709978103637695,0.5453940964459131,0.3802669942378998,0.0051791490986943245,0.9837852120399475,0.6866677689055601,0.5377621650695801,0.19731424748897552,0.9999907612800598,0.4559738193638623,0.19469471275806427,0.030741238966584206,0.9921834468841553,0.01562881562881563,0.01562881562881563,0.01562881562881563,0.01562881562881563
