operator,group,records,sampled_rows,features,sample_energy_accumulated,covariance_trace,effective_rank_entropy,rank_at_90pct,rank_at_95pct,rank_at_99pct,energy_rank_1,relative_fro_after_rank_1,energy_rank_2,relative_fro_after_rank_2,energy_rank_4,relative_fro_after_rank_4,energy_rank_8,relative_fro_after_rank_8,energy_rank_16,relative_fro_after_rank_16,energy_rank_32,relative_fro_after_rank_32,energy_rank_64,relative_fro_after_rank_64,energy_rank_128,relative_fro_after_rank_128
C_FORECAST_0.75,block_12,24,6144,1536,30980.385620117188,30980.383939957246,343.3737440681748,492,672,997,0.09851007297802752,0.9494682338140505,0.13044559177942647,0.9324990124501867,0.1682826257986398,0.91198540240585,0.21321648292739284,0.8870081832049844,0.27153609069027107,0.8535009720613849,0.352362140782549,0.8047595039621781,0.4620200254827617,0.7334711817905583,0.6027655103576897,0.630265412062498
C_FORECAST_0.75,block_24,24,6144,1536,107426.65422058105,107426.0263328366,3.0712028485618883,25,200,673,0.8824856053157593,0.34280372618196664,0.8845995964896036,0.33970634894036994,0.8868009493441622,0.3364506660059359,0.8899560882088501,0.3317286719461402,0.8950763521253338,0.3239191996079674,0.9034791208651123,0.31067809567925403,0.9165815980408434,0.2888224401932035,0.935308288922765,0.25434565275867216
C_FORECAST_1,all_blocks,72,18432,1536,205116.63429260254,205116.36215010285,11.111116705682845,292,546,993,0.7213657668456549,0.5278581562828646,0.7302339371703916,0.5193900873424602,0.7391375627891931,0.5107469404811026,0.748538212701292,0.5014596567010232,0.7606955097927531,0.4891875818203554,0.7786543337366402,0.4704738741560044,0.8047929450458629,0.4418224246845526,0.8415425824134993,0.39806710186412125
C_FORECAST_1,block_06,24,6144,1536,6710.123458862305,6710.123418290168,364.4574788346967,488,676,1066,0.08899952768582317,0.9544634473431535,0.12192043268276558,0.9370589988454486,0.15595328158261984,0.9187201523953745,0.1933433030685271,0.8981406888296916,0.24998633536839504,0.8660332930272397,0.3340143544908695,0.8160794357837541,0.4500682658992558,0.7415738224214391,0.5979419675936275,0.6340804620916596
C_FORECAST_1,block_12,24,6144,1536,38869.67449951172,38869.66960070282,325.89210668022514,485,666,991,0.10584179610461268,0.9455993886923718,0.14015729940301241,0.9272770355168878,0.18026466586695644,0.9053923647419629,0.22587123909157875,0.8798458733826177,0.2837633103357862,0.846307680258317,0.3636899135012646,0.7976904703572278,0.4728974934069959,0.7260182549998341,0.6115698293420749,0.6232416631274943
C_FORECAST_1,block_24,24,6144,1536,159536.83633422852,159535.9719233662,2.5628712972777667,1,144,615,0.9035640489860404,0.31054138373807705,0.9047278073138936,0.3086619391601537,0.9066154181090288,0.3055889099607039,0.9093191034443725,0.3011326892843543,0.9136235586124686,0.293898692388264,0.9206588459847145,0.2816756184253183,0.9315513275301275,0.26162697198468,0.9470351945861029,0.23014083821411865
Q,all_blocks,72,18432,1536,1846.6344537734985,1846.634392382577,283.0084720539088,758,945,1200,0.22700108940242392,0.879203566074192,0.2585885907762017,0.8610525008521828,0.2928336839413358,0.8409318141553833,0.31497714629797846,0.8276610741734938,0.3422047505258692,0.8110457752026891,0.3807915142786884,0.7868980148159681,0.43781157935320963,0.749792251658278,0.5227911991697047,0.6908030115961389
Q,block_06,24,6144,1536,389.03497219085693,389.0349622881913,286.052998467088,616,821,1179,0.18100215928852012,0.9049849947438244,0.24081277640179335,0.8713135047720807,0.2642495808626089,0.8577589516509817,0.29201908749058314,0.841416016313819,0.3277302850629335,0.8199205540398816,0.380745774676673,0.7869270775131119,0.4568605818834375,0.736979930606365,0.5648255187892125,0.6596775585168768
Q,block_12,24,6144,1536,750.5723819732666,750.572372603001,213.4088039004646,607,798,1088,0.2226419367651554,0.8816791157982844,0.2985323842057086,0.8375366354938102,0.3239738891481429,0.8222080702911259,0.3517352789126623,0.8051488813178205,0.3871693664178909,0.7828349976732702,0.4338945094466601,0.752399820941858,0.4989659313025319,0.7078376005112106,0.5918647517394273,0.6388546378172211
Q,block_24,24,6144,1536,707.027099609375,707.0270642968244,186.74506321282126,607,814,1135,0.2613599942759207,0.8594416825614635,0.3153696426188035,0.8274239284557805,0.34139304938872617,0.8115460249494626,0.3704614665375058,0.7934346434726015,0.40681001374538356,0.7701882797437367,0.45569970882350236,0.7377670981932561,0.5236482605409694,0.6901823957904393,0.6156690474888877,0.6199443140404727
