category,layer,mode,method,capacity,delay,run_count,observation_count,mean_cosine_mean,mean_cosine_std,median_cosine_mean,median_cosine_std,mean_relative_l2_mean,mean_relative_l2_std,coverage_mean,coverage_std,cosine_gain_vs_recent
scene_cut,7,frame_centered_unit,instant_adaptive,64,2,6,84,0.9856862558454191,0.018422192592563905,0.9887230109124606,0.013615774714904593,0.1274712077106752,0.0866271733051088,0.9866071428571429,0.05711262220951038,-0.014313744154580865
scene_cut,7,frame_centered_unit,instant_adaptive,64,4,6,72,0.9728682333522636,0.0266453421869827,0.9792466701212084,0.020590575855617188,0.18214994834454198,0.10668080195688057,0.9548611111111112,0.10583160176477896,0.06022289303027428
scene_cut,7,frame_centered_unit,instant_adaptive,64,8,6,48,0.9485043032154201,0.04268276840749232,0.9576523162117295,0.03773332635546453,0.2555100109028529,0.13975010215056097,0.8567708333333334,0.20330854421126907,0.18995855395128636
scene_cut,7,frame_centered_unit,instant_oja,16,0,6,96,1.0,0.0,1.0,3.925231146709438e-17,0.0,0.0,1.0,0.0,0.0
scene_cut,7,frame_centered_unit,instant_oja,16,1,6,90,0.9110227064690889,0.13573866507193577,0.9196421782269832,0.12802709051287492,0.3225044394298175,0.25677873336977497,0.7916666666666666,0.3649105674301886,0.0
scene_cut,7,frame_centered_unit,instant_oja,16,2,6,84,0.8567305371426334,0.16626853195996183,0.8686897963385922,0.16243628195662047,0.43918037579183083,0.2868059175110687,0.6316964285714286,0.41759767903433553,0.0
scene_cut,7,frame_centered_unit,instant_oja,16,4,6,72,0.7746103908919082,0.18213809561074798,0.7909590721156068,0.1849371561175144,0.5960828487235568,0.28167424308845684,0.3984375,0.3963042018441207,0.0
scene_cut,7,frame_centered_unit,instant_oja,16,8,6,48,0.6618087873186634,0.16650222597564251,0.6744483806420005,0.17725841545890125,0.7812307727348907,0.22063522829856858,0.14192708333333334,0.20521345567845461,0.0
scene_cut,7,frame_centered_unit,instant_oja,32,0,6,96,1.0,0.0,1.0,3.925231146709438e-17,5.797628002385864e-18,5.650828782696063e-17,1.0,0.0,0.0
scene_cut,7,frame_centered_unit,instant_oja,32,1,6,90,0.9561716018866003,0.058221841567370924,0.9589955868210743,0.058255047360538506,0.23354583638680748,0.15690435460264857,0.8916666666666667,0.2666015545507732,-0.04382839811339967
scene_cut,7,frame_centered_unit,instant_oja,32,2,6,84,0.9389525010585027,0.06362463169170461,0.9439735400723382,0.06332090050655248,0.28723488852225787,0.16465171469614706,0.8072916666666666,0.3150503569757628,0.025260464531027926
scene_cut,7,frame_centered_unit,instant_oja,32,4,6,72,0.9181371178115436,0.0672061256692324,0.9226885495080166,0.06852792267207346,0.34609548229616516,0.16514866672419531,0.6987847222222222,0.35175749050688404,0.10029066492245897
scene_cut,7,frame_centered_unit,instant_oja,32,8,6,48,0.9095546882821394,0.07353356285796592,0.9135339257060835,0.0728810405445187,0.3635658774949933,0.17707797947932327,0.6471354166666666,0.3858013810507419,0.21790359911472612
scene_cut,7,frame_centered_unit,instant_oja,64,0,6,96,1.0,0.0,1.0,3.925231146709438e-17,4.709924525655977e-18,4.590666573114072e-17,1.0,0.0,0.0
scene_cut,7,frame_centered_unit,instant_oja,64,1,6,90,0.9569618873701128,0.05634628104331068,0.959698156495014,0.056398569498824914,0.23200304327239035,0.1543516599836689,0.8951388888888889,0.2623391997202792,-0.043038112629887215
scene_cut,7,frame_centered_unit,instant_oja,64,2,6,84,0.940213078935381,0.06136956562822579,0.9450157323490108,0.06129282926729833,0.28493999581362167,0.16214823564440062,0.8117559523809523,0.31227581953229927,-0.059786921064619025
scene_cut,7,frame_centered_unit,instant_oja,64,4,6,72,0.9203051738675911,0.06463343687168255,0.9243096842135105,0.0664669409042598,0.3421950673322264,0.1624781955083839,0.7022569444444444,0.3497725351434323,0.007659833545601846
scene_cut,7,frame_centered_unit,instant_oja,64,8,6,48,0.9125718823745838,0.07046929628715647,0.9158523897113757,0.07034828053044195,0.35827465616149773,0.17430925170116363,0.6536458333333334,0.38590024561533026,0.15402613311045
scene_cut,7,frame_centered_unit,recent_window,16,0,6,96,1.0,0.0,1.0,3.925231146709438e-17,0.0,0.0,1.0,0.0,0.0
scene_cut,7,frame_centered_unit,recent_window,16,1,6,90,0.9110227064690889,0.13573866507193577,0.9196421782269832,0.12802709051287492,0.3225044394298175,0.25677873336977497,0.7916666666666666,0.3649105674301886,0.0
scene_cut,7,frame_centered_unit,recent_window,16,2,6,84,0.8567305371426334,0.16626853195996183,0.8686897963385922,0.16243628195662047,0.43918037579183083,0.2868059175110687,0.6316964285714286,0.41759767903433553,0.0
scene_cut,7,frame_centered_unit,recent_window,16,4,6,72,0.7746103908919082,0.18213809561074798,0.7909590721156068,0.1849371561175144,0.5960828487235568,0.28167424308845684,0.3984375,0.3963042018441207,0.0
scene_cut,7,frame_centered_unit,recent_window,16,8,6,48,0.6618087873186634,0.16650222597564251,0.6744483806420005,0.17725841545890125,0.7812307727348907,0.22063522829856858,0.14192708333333334,0.20521345567845461,0.0
scene_cut,7,frame_centered_unit,recent_window,32,0,6,96,1.0,0.0,1.0,3.925231146709438e-17,0.0,0.0,1.0,0.0,0.0
scene_cut,7,frame_centered_unit,recent_window,32,1,6,90,1.0,0.0,1.0,4.0539612963254114e-17,0.0,0.0,1.0,0.0,0.0
scene_cut,7,frame_centered_unit,recent_window,32,2,6,84,0.9136920365274748,0.13123063614763747,0.9212452932832627,0.12460167986137476,0.31881177094487173,0.2525989850872293,0.7924107142857143,0.3626642580292009,0.0
scene_cut,7,frame_centered_unit,recent_window,32,4,6,72,0.8178464528890846,0.17345403662295777,0.8317236421764755,0.17366018097882718,0.519900898904192,0.28392065247584675,0.5138888888888888,0.4208413548923802,0.0
scene_cut,7,frame_centered_unit,recent_window,32,8,6,48,0.6916510891674132,0.1734068632535926,0.7040664046641932,0.18078500098144104,0.7377034464756672,0.23664732091421087,0.19921875,0.2547262400240125,0.0
scene_cut,7,frame_centered_unit,recent_window,64,0,6,96,1.0,0.0,1.0,3.925231146709438e-17,0.0,0.0,1.0,0.0,0.0
scene_cut,7,frame_centered_unit,recent_window,64,1,6,90,1.0,0.0,1.0,4.0539612963254114e-17,0.0,0.0,1.0,0.0,0.0
scene_cut,7,frame_centered_unit,recent_window,64,2,6,84,1.0,0.0,1.0,4.1962486042515756e-17,0.0,0.0,1.0,0.0,0.0
scene_cut,7,frame_centered_unit,recent_window,64,4,6,72,0.9126453403219893,0.1275165388533572,0.91907788670084,0.12436998008889198,0.32597231929798093,0.24777577676904994,0.7760416666666666,0.37220456918130984,0.0
scene_cut,7,frame_centered_unit,recent_window,64,8,6,48,0.7585457492641338,0.17722131764664523,0.7725106636244901,0.17940479089490236,0.6318864359044946,0.2632995864973163,0.359375,0.36920434580098505,0.0
scene_cut,7,frame_centered_unit,uniform_reservoir,16,0,6,96,0.7796448382505018,0.11549967894974968,0.831482274287115,0.15384962789325024,0.5199317634499017,0.22187145098031508,0.4720052083333333,0.2520859899459705,-0.2203551617494982
scene_cut,7,frame_centered_unit,uniform_reservoir,16,1,6,90,0.7793302899092508,0.09549116656914584,0.8433715386486982,0.14712706792412897,0.5276669187725749,0.1688311483347498,0.4791666666666667,0.20812489572903625,-0.1316924165598381
scene_cut,7,frame_centered_unit,uniform_reservoir,16,2,6,84,0.7816896088696236,0.09118245254283547,0.8482961245100744,0.14070181250820815,0.5286556399378073,0.1553317006796151,0.4880952380952381,0.19751906894366397,-0.07504092827300979
scene_cut,7,frame_centered_unit,uniform_reservoir,16,4,6,72,0.7819281236422722,0.093287509494639,0.8457321184497079,0.13464084574250185,0.5380771784567923,0.15198494223611586,0.4852430555555556,0.2005020433716802,0.007317732750363959
scene_cut,7,frame_centered_unit,uniform_reservoir,16,8,6,48,0.7404876792511139,0.11643675723039477,0.7807422729331003,0.17598181649798683,0.6136756787508394,0.17461044855796745,0.3958333333333333,0.20063916962768982,0.07867889193245048
scene_cut,7,frame_centered_unit,uniform_reservoir,32,0,6,96,0.8730257473246711,0.09342725996858546,0.9133531844395785,0.11548883750317714,0.3477056170857146,0.2068861436493281,0.6529947916666666,0.25256976650430657,-0.1269742526753289
scene_cut,7,frame_centered_unit,uniform_reservoir,32,1,6,90,0.8798832738278253,0.07893707187931506,0.9302037269400562,0.09777460412843897,0.33930989829773517,0.17894958898607297,0.68125,0.2238105132323621,-0.12011672617217473
scene_cut,7,frame_centered_unit,uniform_reservoir,32,2,6,84,0.8796175584859511,0.07280361435591584,0.9363391330991474,0.09090202276149911,0.34673820211287915,0.1591177217441199,0.6860119047619048,0.2130368285871415,-0.03407447804152364
scene_cut,7,frame_centered_unit,uniform_reservoir,32,4,6,72,0.8752817827417111,0.06747082878736084,0.9363941651549688,0.09271246866287088,0.36391563644542785,0.14020456585730978,0.6822916666666666,0.20643667898548346,0.05743532985262645
scene_cut,7,frame_centered_unit,uniform_reservoir,32,8,6,48,0.8460871131277727,0.07890616620128581,0.9101021563324158,0.10944767333126228,0.42759278740045065,0.1474251796582038,0.5989583333333334,0.22274379979524062,0.1544360239603595
scene_cut,7,frame_centered_unit,uniform_reservoir,64,0,6,96,0.9427920232738319,0.07043686531091886,0.9619355825681252,0.07499762711200116,0.18713647891466442,0.17672590781144043,0.8229166666666666,0.21998658418690495,-0.057207976726168064
scene_cut,7,frame_centered_unit,uniform_reservoir,64,1,6,90,0.9535405186797848,0.0566925118379447,0.9769016382362922,0.04334317726126686,0.1679657417925284,0.15071088098983212,0.8611111111111112,0.17843303720284565,-0.04645948132021516
scene_cut,7,frame_centered_unit,uniform_reservoir,64,2,6,84,0.9583027586519457,0.048044413823111025,0.9816224373934064,0.032252971175151406,0.16362966570706683,0.13153675076621757,0.8735119047619048,0.16394055572266922,-0.041697241348054304
scene_cut,7,frame_centered_unit,uniform_reservoir,64,4,6,72,0.9548518789342076,0.049422055401072605,0.9731513568735539,0.051668733397476574,0.18661569655708923,0.12276546886228065,0.8637152777777778,0.18290859561519474,0.04220653861221835
scene_cut,7,frame_centered_unit,uniform_reservoir,64,8,6,48,0.9390924580945036,0.060682025689685816,0.9613672514434933,0.06392436800029064,0.22964234491914448,0.12910146082381968,0.8255208333333334,0.20687969426530375,0.18054670883036983
static,0,frame_centered_unit,instant_adaptive,16,0,6,96,1.0,0.0,1.0,3.204937810639273e-17,0.0,0.0,1.0,0.0,0.0
