split,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
validation,oracle_nonnegative,0,108,0.39460713108052947,0.0,0.12598033346009252,0.15376821376061137,0.3447209823114069,0.47165096653975036
validation,oracle_nonnegative,2,108,0.39460713108052947,0.5119652602545641,0.09100452803680943,0.11107768439730711,0.26298539315022085,0.3530910516017292
validation,oracle_nonnegative,4,108,0.39460713108052947,0.6359538475948351,0.07582360661063844,0.09254825915426337,0.23023301809039948,0.3124253173495732
validation,oracle_nonnegative,8,108,0.39460713108052947,0.7563294718662897,0.05832883766570038,0.0711946137325364,0.19010444784658714,0.2725881787516287
validation,ridge_linear,0,108,0.39460713108052947,0.0,0.12598033346009252,0.15376821376061137,0.3447209823114069,0.47165096653975036
validation,ridge_linear,2,108,0.39460713108052947,0.5119652602545641,0.09166656122492071,0.11188574433801492,0.26269350240123135,0.355743992058939
validation,ridge_linear,4,108,0.39460713108052947,0.6359538475948351,0.07654712406480763,0.09343136513990884,0.23168626633721656,0.3130489467095602
validation,ridge_linear,8,108,0.39460713108052947,0.7563294718662897,0.05903333463099344,0.07205450381996184,0.1911937224676903,0.2749001772357127
validation,ridge_nonnegative,0,108,0.39460713108052947,0.0,0.12598033346009252,0.15376821376061137,0.3447209823114069,0.47165096653975036
validation,ridge_nonnegative,2,108,0.39460713108052947,0.5119652602545641,0.09122697491164826,0.11134919708235197,0.26264374514439315,0.3531848793866425
validation,ridge_nonnegative,4,108,0.39460713108052947,0.6359538475948351,0.07612339830480803,0.09291417684987995,0.2308672202746685,0.3134571619813842
validation,ridge_nonnegative,8,108,0.39460713108052947,0.7563294718662897,0.05873176784170522,0.07168641949088628,0.19105328962682194,0.2742075698820267
