sample_id,frame_index,source_frame_index,candidate_kl,residual_energy
vsi_question_2008,2,2257,0.08204978704452515,152.20579528808594
vsi_question_2008,3,3077,0.1180034726858139,142.05206298828125
vsi_question_2008,4,3898,0.09416302293539047,145.51626586914062
vsi_question_2008,5,4719,0.07006566971540451,130.19993591308594
vsi_question_2008,6,5540,0.20822864770889282,149.49742126464844
vsi_question_2008,7,6360,0.35663726925849915,150.6148223876953
vsi_question_3182,0,73,0.5522516965866089,130.35806274414062
vsi_question_3182,1,170,0.05156000331044197,136.27682495117188
vsi_question_3182,2,268,0.2104654312133789,141.94119262695312
vsi_question_3182,3,366,0.10437238961458206,142.85621643066406
vsi_question_3182,4,463,0.04037800803780556,151.27757263183594
vsi_question_3182,5,561,0.035648591816425323,138.995361328125
vsi_question_3182,6,658,0.025860261172056198,152.85743713378906
vsi_question_3182,7,756,0.09203587472438812,160.3670196533203
