run_id,step,block,branch,signal,rows,features,mean,rms,abs_mean,abs_p99,abs_p999,abs_max,max_over_rms,channel_max_p50,channel_max_p99,channel_max_ratio_p99_p50,near_zero_1e3,exact_zero
p00_seed20260723,0,12,1,ffn_input,16,1536,-0.0036420042160898447,0.4761471152305603,0.34483203291893005,1.453125,2.667236328125,4.0625,8.532027244567871,0.8359375,2.4367198944091797,2.914954662322998,0.0027669270057231188,0.00032552084303461015
p00_seed20260723,0,12,1,ffn_hidden_post_gelu,16,8960,-0.038854073733091354,0.21798880398273468,0.15210270881652832,0.859375,1.7265625,4.75,21.790109634399414,0.169921875,1.8359375,10.804597854614258,0.00479910708963871,0.00023018973297439516
p00_seed20260723,0,12,1,ffn_output,16,1536,-0.014353458769619465,0.6037648320198059,0.45418915152549744,1.830078125,2.890625,7.09375,11.749194145202637,1.10546875,2.921875,2.6431095600128174,0.001220703125,0.0
p00_seed20260723,0,24,1,ffn_input,16,1536,-0.012952175922691822,0.34010013937950134,0.256681352853775,1.0234375,1.745513916015625,2.53125,7.442660808563232,0.578125,1.5097665786743164,2.611488103866577,0.0025227863807231188,0.00040690103196538985
p00_seed20260723,0,24,1,ffn_hidden_post_gelu,16,8960,-0.03202774003148079,0.1673145294189453,0.12902005016803741,0.57421875,1.0675048828125,2.359375,14.101435661315918,0.169921875,1.089141845703125,6.409662246704102,0.0036830357275903225,0.0
p00_seed20260723,0,24,1,ffn_output,16,1536,0.010453633964061737,0.38693755865097046,0.28243473172187805,1.1953125,2.45745849609375,4.4375,11.46825885772705,0.6484375,1.7859382629394531,2.754218101501465,0.0030517578125,0.0
p00_seed20260723,0,29,1,ffn_input,16,1536,0.014694689773023129,0.3775178790092468,0.26209989190101624,1.171875,3.104736328125,4.25,11.257744789123535,0.515625,1.6218757629394531,3.145456075668335,0.0030517578125,0.0005289713735692203
p00_seed20260723,0,29,1,ffn_hidden_post_gelu,16,8960,0.0067853680811822414,0.2714177370071411,0.17291386425495148,1.09375,2.390625,3.5,12.895251274108887,0.169921875,1.698516845703125,9.995869636535645,0.0025390624068677425,0.0
p00_seed20260723,0,29,1,ffn_output,16,1536,0.08126305788755417,1.976045846939087,0.978768527507782,6.8125,21.0,43.0,21.760629653930664,1.14453125,7.840629577636719,6.850515842437744,0.000732421875,0.0
p00_seed20260723,1,0,0,ffn_input,16,1536,-0.020133739337325096,0.2940596640110016,0.21605370938777924,0.8828125,1.6148681640625,2.375,8.076592445373535,0.53125,1.4238290786743164,2.6801488399505615,0.0045979819260537624,0.0006510416860692203
p00_seed20260723,1,0,0,ffn_hidden_post_gelu,16,8960,0.02312866970896721,0.19379910826683044,0.13836266100406647,0.6875,1.2265625,2.703125,13.948077201843262,0.380859375,1.2421875,3.261538505554199,0.00422712042927742,0.0
