block,projection,bits,method,rank,clip,sparse_ratio,validation_relative_l2,test_relative_l2,defect_energy_captured_test,subspace_overlap,correction_vs_quant_error_cosine,residual_vs_correction_cosine,estimated_stored_bits,estimated_extra_ops,lowrank_values,sparse_values,sparse_blocks,local_error_2pct_go,subspace_overlap_07_go,rank_energy_07_go,combined_gate,weight_error_rank_energy,alternating_iterations,calibration_defect_rank_energy
0,down,4,joint_residual_shaped_ptq_lr,16,0.65,0.0,0.009237616322934628,0.026100434362888336,0.7105853560443862,0.5153321027755737,-0.8429890871047974,-0.004687107168138027,57737216,214958080,167936,0,0,False,False,True,False,,2,0.9887825929451908
0,down,4,ptq_activation_lr,16,0.65,0.0,,0.026174888014793396,0.2531175202901682,0.2268468737602234,-0.5031401515007019,-0.00464958231896162,57737216,214958080,167936,0,0,False,False,False,False,,,0.9216218170667381
0,down,4,joint_shaped_ptq_lr,16,0.65,0.0,0.00933910347521305,0.026172028854489326,0.2532784983412689,0.22704526782035828,-0.5032998919487,-0.004745598882436752,57737216,214958080,167936,0,0,False,False,False,False,,,0.9216242718795161
0,down,4,joint_shaped_ptq_lr_block_sparse,16,0.65,0.01,0.00923642423003912,0.02596958912909031,0.2499537834098965,0.22596004605293274,-0.4999835193157196,-0.0041910079307854176,59965984,393216000,167936,139264,17,False,False,False,False,,,0.9210822440267442
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,16,0.65,0.01,0.009077081456780434,0.0258006751537323,0.7113249725656908,0.5152214169502258,-0.8434285521507263,-0.005056349094957113,59965984,393216000,167936,139264,17,False,False,True,False,,2,0.9888484181054873
0,down,4,joint_shaped_ptq_lr_block_sparse,16,0.65,0.02,0.009139749221503735,0.025756960734725,0.25015196241010607,0.2261440008878708,-0.5001790523529053,-0.003881682874634862,62194752,571473920,167936,278528,34,False,False,False,False,,,0.9210824926470342
0,down,4,joint_residual_shaped_ptq_lr_block_sparse,16,0.65,0.02,0.008987591601908207,0.025552870705723763,0.710850017479951,0.5143305063247681,-0.8431433439254761,-0.0011579120764508843,62194752,571473920,167936,278528,34,False,False,True,False,,2,0.9888072090898998
24,down,4,ptq_only,0,0.55,0.0,0.12133006006479263,0.11950286477804184,0.0,,,,55050240,0,0,0,0,False,False,False,False,,,
24,down,4,ptq_weight_svd,8,0.55,0.0,,0.11788603663444519,0.02687824682138029,,-0.16399942338466644,-0.003910969942808151,56393728,107479040,83968,0,0,False,False,False,False,0.026502077217095483,,
24,down,4,joint_residual_shaped_ptq_lr,8,0.55,0.0,0.06949494779109955,0.08491580188274384,0.8762102699151939,0.8741419315338135,-0.9360854029655457,-0.0010962379164993763,56393728,107479040,83968,0,0,False,True,True,False,,2,0.9455595662168548
24,down,4,ptq_activation_lr,8,0.55,0.0,,0.08583075553178787,0.48414583345078743,0.4829396605491638,-0.6958230137825012,-0.0012540790485218167,56393728,107479040,83968,0,0,False,False,False,False,,,0.7045138723105822
24,down,4,joint_shaped_ptq_lr,8,0.55,0.0,0.06943126022815704,0.0855279490351677,0.4877792039309208,0.4821698069572449,-0.6984281539916992,-0.0008615147089585662,56393728,107479040,83968,0,0,False,False,False,False,,,0.7027724102426907
24,down,4,joint_shaped_ptq_lr_block_sparse,8,0.55,0.01,0.06883681565523148,0.08546159416437149,0.4758149303006304,0.4695809781551361,-0.6898106336593628,0.0008229038794524968,58622496,285736960,83968,139264,17,False,False,False,False,,,0.6985907734903581
24,down,4,joint_residual_shaped_ptq_lr_block_sparse,8,0.55,0.01,0.06895875185728073,0.08446002006530762,0.8760981793058492,0.8726009130477905,-0.93602454662323,0.0006191682768985629,58622496,285736960,83968,139264,17,False,True,True,False,,2,0.9458088700969135
24,down,4,joint_shaped_ptq_lr_block_sparse,8,0.55,0.02,0.06824631989002228,0.08490761369466782,0.4687621252630395,0.4555460214614868,-0.684680163860321,0.0024095282424241304,60851264,463994880,83968,278528,34,False,False,False,False,,,0.6964694123264416
