split,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
validation,centroid,moment,0.125,16,108,0.10545019861269143,0.3577318235160033,0.8321850334329022,0.6881911278598838,0.19534888979333387,5.119046241101925
validation,centroid,moment,0.125,4,108,0.09019224667837443,0.30556488861485254,0.6784905847334743,0.6881911278598838,0.3593932302265632,2.782467547787684
validation,centroid,moment,0.125,8,108,0.09973208056761801,0.35013765898720495,0.7833082260539141,0.6881911278598838,0.2500206326595212,3.9996699046906374
validation,centroid,moment,0.25,16,108,0.07257481534095513,0.2750559740635111,0.6929541593599617,0.7861994091007445,0.31254691810247326,3.1995196307523175
validation,centroid,moment,0.25,4,108,0.06175183237633298,0.2321790394246364,0.5649232060916632,0.7861994091007445,0.45315255731922344,2.206762344928244
validation,centroid,moment,0.25,8,108,0.06853406001917599,0.26399605346762905,0.651841298373417,0.7861994091007445,0.3594065142676247,2.782364704873909
validation,centroid,moment,0.375,16,108,0.0517526450078272,0.21773458932342363,0.5636264836890144,0.8449439456065496,0.4297359019581235,2.3270106021941053
validation,centroid,moment,0.375,4,108,0.04336612539299548,0.18279370080884016,0.45774150537016356,0.8449439456065496,0.5469051010717673,1.828470785955927
validation,centroid,moment,0.375,8,108,0.04864811063033672,0.20684975253100304,0.5290257691331023,0.8449439456065496,0.46878448197892586,2.1331764135591733
validation,centroid,oracle_mass,0.125,16,108,0.09602904829525001,0.33760318900645053,0.7982378415845766,0.7020235581806412,0.19535341202007833,5.118927740546556
validation,centroid,oracle_mass,0.125,4,108,0.07925032076869826,0.27530344762835823,0.6479254036387476,0.7020235581806412,0.3593966218966216,2.7824412892997206
validation,centroid,oracle_mass,0.125,8,108,0.08953901555748393,0.315199019092611,0.7500571569919331,0.7020235581806412,0.25002458960792256,3.9996066049669574
validation,centroid,oracle_mass,0.25,16,108,0.06666288017280156,0.2558827983251917,0.6565037011106977,0.7939750761897476,0.3125582236693344,3.199403900688701
validation,centroid,oracle_mass,0.25,4,108,0.055010016440848235,0.2107745713121154,0.5336956734890144,0.7939750761897476,0.4531610364943693,2.20672105381334
validation,centroid,oracle_mass,0.25,8,108,0.06225737167014009,0.23989246961075067,0.6154715104509241,0.7939750761897476,0.3594164066386283,2.7822881246638254
validation,centroid,oracle_mass,0.375,16,108,0.04920308311172747,0.21213784968343397,0.5321250001086064,0.8505688356580557,0.4297562519784734,2.3269004124926385
validation,centroid,oracle_mass,0.375,4,108,0.04055472852245817,0.17349678219793518,0.43061152410578807,0.8505688356580557,0.5469203635870297,1.8284197601299832
validation,centroid,oracle_mass,0.375,8,108,0.04598484265265647,0.1987430082858208,0.4985668236566446,0.8505688356580557,0.468802288246732,2.133095390254787
